part_id,participant_id,hh_id,part_age,part_gender
10051,1005,HH10051,90,M
10101,1010,HH10101,95,M
10102,1010,HH10102,95,M
10103,1010,HH10103,95,M
10104,1010,HH10104,95,M
10105,1010,HH10105,95,M
10106,1010,HH10106,95,M
10107,1010,HH10107,95,M
10171,1017,HH10171,77,F
10172,1017,HH10172,77,F
10173,1017,HH10173,77,F
10174,1017,HH10174,77,F
10175,1017,HH10175,77,F
10176,1017,HH10176,77,F
10177,1017,HH10177,77,F
10201,1020,HH10201,75,M
10202,1020,HH10202,75,M
10203,1020,HH10203,75,M
10204,1020,HH10204,75,M
10205,1020,HH10205,75,M
10206,1020,HH10206,75,M
10207,1020,HH10207,75,M
10211,1021,HH10211,90,M
10212,1021,HH10212,90,M
10213,1021,HH10213,90,M
10214,1021,HH10214,90,M
10215,1021,HH10215,90,M
10216,1021,HH10216,90,M
10217,1021,HH10217,90,M
10221,1022,HH10221,73,M
10222,1022,HH10222,73,M
10223,1022,HH10223,73,M
10224,1022,HH10224,73,M
10225,1022,HH10225,73,M
10226,1022,HH10226,73,M
10227,1022,HH10227,73,M
10231,1023,HH10231,93,M
10232,1023,HH10232,93,M
10233,1023,HH10233,93,M
10234,1023,HH10234,93,M
10235,1023,HH10235,93,M
10236,1023,HH10236,93,M
10237,1023,HH10237,93,M
10241,1024,HH10241,70,M
10242,1024,HH10242,70,M
10243,1024,HH10243,70,M
10244,1024,HH10244,70,M
10245,1024,HH10245,70,M
10246,1024,HH10246,70,M
10247,1024,HH10247,70,M
10251,1025,HH10251,74,M
10252,1025,HH10252,74,M
10253,1025,HH10253,74,M
10254,1025,HH10254,74,M
10255,1025,HH10255,74,M
10256,1025,HH10256,74,M
10257,1025,HH10257,74,M
10261,1026,HH10261,80,F
10262,1026,HH10262,80,F
10263,1026,HH10263,80,F
10264,1026,HH10264,80,F
10265,1026,HH10265,80,F
10266,1026,HH10266,80,F
10267,1026,HH10267,80,F
10271,1027,HH10271,71,F
10272,1027,HH10272,71,F
10273,1027,HH10273,71,F
10274,1027,HH10274,71,F
10275,1027,HH10275,71,F
10276,1027,HH10276,71,F
10277,1027,HH10277,71,F
10281,1028,HH10281,84,M
10282,1028,HH10282,84,M
10283,1028,HH10283,84,M
10284,1028,HH10284,84,M
10285,1028,HH10285,84,M
10286,1028,HH10286,84,M
10287,1028,HH10287,84,M
10291,1029,HH10291,80,M
10292,1029,HH10292,80,M
10293,1029,HH10293,80,M
10294,1029,HH10294,80,M
10295,1029,HH10295,80,M
10296,1029,HH10296,80,M
10297,1029,HH10297,80,M
10301,1030,HH10301,84,M
10302,1030,HH10302,84,M
10303,1030,HH10303,84,M
10304,1030,HH10304,84,M
10305,1030,HH10305,84,M
10306,1030,HH10306,84,M
10307,1030,HH10307,84,M
10311,1031,HH10311,83,M
10312,1031,HH10312,83,M
10313,1031,HH10313,83,M
10314,1031,HH10314,83,M
10315,1031,HH10315,83,M
10316,1031,HH10316,83,M
10317,1031,HH10317,83,M
10321,1032,HH10321,72,M
10322,1032,HH10322,72,M
10323,1032,HH10323,72,M
10324,1032,HH10324,72,M
10325,1032,HH10325,72,M
10326,1032,HH10326,72,M
10327,1032,HH10327,72,M
10331,1033,HH10331,72,M
10332,1033,HH10332,72,M
10333,1033,HH10333,72,M
10334,1033,HH10334,72,M
10335,1033,HH10335,72,M
