part_id,round,survey_date,survey_day,dayofweek,year
10051,1,NA,Monday,1,2021
10101,1,NA,Monday,1,2021
10102,1,NA,Tuesday,2,2021
10103,1,NA,Wednesday,3,2021
10104,1,NA,Thursday,4,2021
10105,1,NA,Friday,5,2021
10106,1,NA,Saturday,6,2021
10107,1,NA,Sunday,7,2021
10171,1,2021-04-19,Monday,1,2021
10172,1,2021-04-20,Tuesday,2,2021
10173,1,2021-04-21,Wednesday,3,2021
10174,1,2021-04-22,Thursday,4,2021
10175,1,2021-04-23,Friday,5,2021
10176,1,2021-04-24,Saturday,6,2021
10177,1,2021-04-25,Sunday,7,2021
10201,1,2021-04-19,Monday,1,2021
10202,1,2021-04-20,Tuesday,2,2021
10203,1,2021-04-21,Wednesday,3,2021
10204,1,2021-04-22,Thursday,4,2021
10205,1,2021-04-23,Friday,5,2021
10206,1,2021-04-24,Saturday,6,2021
10207,1,NA,Sunday,7,2021
10211,1,2021-04-26,Monday,1,2021
10212,1,2021-04-20,Tuesday,2,2021
10213,1,2021-04-21,Wednesday,3,2021
10214,1,2021-04-22,Thursday,4,2021
10215,1,2021-04-23,Friday,5,2021
10216,1,2021-04-24,Saturday,6,2021
10217,1,2021-04-25,Sunday,7,2021
10221,1,2021-04-19,Monday,1,2021
10222,1,2021-04-20,Tuesday,2,2021
10223,1,2021-04-21,Wednesday,3,2021
10224,1,2021-04-22,Thursday,4,2021
10225,1,2021-04-23,Friday,5,2021
10226,1,2021-04-24,Saturday,6,2021
10227,1,2021-04-25,Sunday,7,2021
10231,1,NA,Monday,1,2021
10232,1,NA,Tuesday,2,2021
10233,1,2021-04-28,Wednesday,3,2021
10234,1,2021-04-22,Thursday,4,2021
10235,1,2021-04-23,Friday,5,2021
10236,1,2021-04-24,Saturday,6,2021
10237,1,2021-04-25,Sunday,7,2021
10241,1,2021-04-26,Monday,1,2021
10242,1,2021-04-27,Tuesday,2,2021
10243,1,2021-04-28,Wednesday,3,2021
10244,1,2021-04-22,Thursday,4,2021
10245,1,2021-04-23,Friday,5,2021
10246,1,2021-04-24,Saturday,6,2021
10247,1,2021-04-25,Sunday,7,2021
10251,1,2021-04-26,Monday,1,2021
10252,1,2021-04-20,Tuesday,2,2021
10253,1,2021-04-21,Wednesday,3,2021
10254,1,2021-04-22,Thursday,4,2021
10255,1,2021-04-23,Friday,5,2021
10256,1,2021-04-24,Saturday,6,2021
10257,1,2021-04-25,Sunday,7,2021
10261,1,NA,Monday,1,2021
10262,1,NA,Tuesday,2,2021
10263,1,NA,Wednesday,3,2021
10264,1,2021-04-22,Thursday,4,2021
10265,1,NA,Friday,5,2021
10266,1,NA,Saturday,6,2021
10267,1,NA,Sunday,7,2021
10271,1,2021-04-26,Monday,1,2021
10272,1,2021-04-27,Tuesday,2,2021
10273,1,2021-04-28,Wednesday,3,2021
10274,1,2021-04-22,Thursday,4,2021
10275,1,2021-04-23,Friday,5,2021
10276,1,2021-04-24,Saturday,6,2021
10277,1,2021-04-25,Sunday,7,2021
10281,1,2021-04-26,Monday,1,2021
10282,1,2021-04-20,Tuesday,2,2021
10283,1,2021-04-21,Wednesday,3,2021
10284,1,2021-04-22,Thursday,4,2021
10285,1,2021-04-23,Friday,5,2021
10286,1,2021-04-24,Saturday,6,2021
10287,1,2021-04-25,Sunday,7,2021
10291,1,2021-04-26,Monday,1,2021
10292,1,2021-04-27,Tuesday,2,2021
10293,1,2021-04-28,Wednesday,3,2021
10294,1,2021-04-22,Thursday,4,2021
10295,1,2021-04-23,Friday,5,2021
10296,1,2021-04-24,Saturday,6,2021
10297,1,2021-04-25,Sunday,7,2021
10301,1,2021-04-19,Monday,1,2021
10302,1,2021-04-20,Tuesday,2,2021
10303,1,2021-04-21,Wednesday,3,2021
10304,1,2021-04-22,Thursday,4,2021
10305,1,2021-04-23,Friday,5,2021
10306,1,2021-04-24,Saturday,6,2021
10307,1,2021-04-25,Sunday,7,2021
10311,1,2021-04-26,Monday,1,2021
10312,1,2021-04-27,Tuesday,2,2021
10313,1,2021-04-21,Wednesday,3,2021
10314,1,2021-04-22,Thursday,4,2021
10315,1,2021-04-23,Friday,5,2021
10316,1,2021-04-24,Saturday,6,2021
10317,1,2021-04-25,Sunday,7,2021
10321,1,2021-04-26,Monday,1,2021
10322,1,2021-04-27,Tuesday,2,2021
10323,1,2021-04-28,Wednesday,3,2021
10324,1,2021-04-22,Thursday,4,2021
10325,1,2021-04-23,Friday,5,2021
10326,1,2021-04-24,Saturday,6,2021
10327,1,2021-04-25,Sunday,7,2021
10331,1,2021-04-26,Monday,1,2021
10332,1,2021-04-27,Tuesday,2,2021
10333,1,2021-04-28,Wednesday,3,2021
10334,1,2021-04-22,Thursday,4,2021
10335,1,2021-04-23,Friday,5,2021
10336,1,2021-04-24,Saturday,6,2021
10337,1,2021-04-25,Sunday,7,2021
10341,1,2021-04-19,Monday,1,2021
10342,1,2021-04-20,Tuesday,2,2021
10343,1,2021-04-21,Wednesday,3,2021
10344,1,2021-04-22,Thursday,4,2021
10345,1,2021-04-23,Friday,5,2021
10346,1,2021-04-24,Saturday,6,2021
10347,1,2021-04-25,Sunday,7,2021
10351,1,2021-04-26,Monday,1,2021
10352,1,2021-04-27,Tuesday,2,2021
10353,1,2021-04-28,Wednesday,3,2021
10354,1,2021-04-22,Thursday,4,2021
10355,1,2021-04-23,Friday,5,2021
10356,1,2021-04-24,Saturday,6,2021
10357,1,2021-04-25,Sunday,7,2021
10361,1,2021-04-26,Monday,1,2021
10362,1,2021-04-27,Tuesday,2,2021
10363,1,2021-04-21,Wednesday,3,2021
10364,1,2021-04-22,Thursday,4,2021
10365,1,2021-04-23,Friday,5,2021
10366,1,2021-04-24,Saturday,6,2021
10367,1,2021-04-25,Sunday,7,2021
10371,1,2021-04-26,Monday,1,2021
10372,1,2021-04-27,Tuesday,2,2021
10373,1,2021-04-28,Wednesday,3,2021
10374,1,2021-04-22,Thursday,4,2021
10375,1,2021-04-23,Friday,5,2021
10376,1,2021-04-24,Saturday,6,2021
10377,1,2021-04-25,Sunday,7,2021
10381,1,2021-04-26,Monday,1,2021
10382,1,2021-04-20,Tuesday,2,2021
10383,1,2021-04-21,Wednesday,3,2021
10384,1,2021-04-22,Thursday,4,2021
10385,1,2021-04-23,Friday,5,2021
10386,1,2021-04-24,Saturday,6,2021
10387,1,2021-04-25,Sunday,7,2021
10391,1,2021-04-26,Monday,1,2021
10392,1,2021-04-27,Tuesday,2,2021
10393,1,2021-04-28,Wednesday,3,2021
10394,1,2021-04-22,Thursday,4,2021
10395,1,2021-04-23,Friday,5,2021
10396,1,2021-04-24,Saturday,6,2021
10397,1,2021-04-25,Sunday,7,2021
10411,1,2021-04-26,Monday,1,2021
10412,1,2021-04-27,Tuesday,2,2021
10413,1,2021-04-21,Wednesday,3,2021
10414,1,2021-04-22,Thursday,4,2021
10415,1,2021-04-23,Friday,5,2021
10416,1,2021-04-24,Saturday,6,2021
10417,1,NA,Sunday,7,2021
10421,1,2021-04-26,Monday,1,2021
10422,1,2021-04-27,Tuesday,2,2021
10423,1,2021-04-28,Wednesday,3,2021
10424,1,2021-04-22,Thursday,4,2021
10425,1,2021-04-23,Friday,5,2021
10426,1,2021-04-24,Saturday,6,2021
10427,1,2021-04-25,Sunday,7,2021
10431,1,2021-04-26,Monday,1,2021
10432,1,2021-04-27,Tuesday,2,2021
10433,1,2021-04-28,Wednesday,3,2021
10434,1,2021-04-22,Thursday,4,2021
10435,1,2021-04-23,Friday,5,2021
10436,1,2021-04-24,Saturday,6,2021
10437,1,2021-04-25,Sunday,7,2021
10451,1,2021-04-26,Monday,1,2021
10452,1,2021-04-20,Tuesday,2,2021
10453,1,2021-04-21,Wednesday,3,2021
10454,1,2021-04-22,Thursday,4,2021
10455,1,2021-04-23,Friday,5,2021
10456,1,2021-04-24,Saturday,6,2021
10457,1,2021-04-25,Sunday,7,2021
10461,1,2021-04-26,Monday,1,2021
10462,1,2021-04-27,Tuesday,2,2021
10463,1,2021-04-21,Wednesday,3,2021
10464,1,2021-04-22,Thursday,4,2021
10465,1,2021-04-23,Friday,5,2021
10466,1,2021-04-24,Saturday,6,2021
10467,1,2021-04-25,Sunday,7,2021
10471,1,2021-04-26,Monday,1,2021
10472,1,2021-04-27,Tuesday,2,2021
10473,1,2021-04-28,Wednesday,3,2021
10474,1,2021-04-22,Thursday,4,2021
10475,1,2021-04-23,Friday,5,2021
10476,1,2021-04-24,Saturday,6,2021
10477,1,2021-04-25,Sunday,7,2021
10481,1,2021-04-26,Monday,1,2021
10482,1,2021-04-27,Tuesday,2,2021
10483,1,2021-04-28,Wednesday,3,2021
10484,1,2021-04-22,Thursday,4,2021
10485,1,2021-04-23,Friday,5,2021
10486,1,2021-04-24,Saturday,6,2021
10487,1,2021-04-25,Sunday,7,2021
10491,1,2021-04-26,Monday,1,2021
10492,1,2021-04-27,Tuesday,2,2021
10493,1,2021-04-21,Wednesday,3,2021
10494,1,2021-04-22,Thursday,4,2021
10495,1,2021-04-23,Friday,5,2021
10496,1,2021-04-24,Saturday,6,2021
10497,1,2021-04-25,Sunday,7,2021
10501,1,2021-04-19,Monday,1,2021
10502,1,2021-04-20,Tuesday,2,2021
10503,1,2021-04-21,Wednesday,3,2021
10504,1,2021-04-22,Thursday,4,2021
10505,1,2021-04-23,Friday,5,2021
10506,1,2021-04-24,Saturday,6,2021
10507,1,2021-04-25,Sunday,7,2021
10511,1,2021-04-26,Monday,1,2021
10512,1,2021-04-27,Tuesday,2,2021
10513,1,2021-04-28,Wednesday,3,2021
10514,1,2021-04-29,Thursday,4,2021
10515,1,2021-04-23,Friday,5,2021
10516,1,2021-04-24,Saturday,6,2021
10517,1,2021-04-25,Sunday,7,2021
10521,1,2021-04-26,Monday,1,2021
10522,1,2021-04-27,Tuesday,2,2021
10523,1,NA,Wednesday,3,2021
10524,1,2021-04-22,Thursday,4,2021
10525,1,2021-04-23,Friday,5,2021
10526,1,2021-04-24,Saturday,6,2021
10527,1,2021-04-25,Sunday,7,2021
10531,1,2021-04-26,Monday,1,2021
10532,1,2021-04-27,Tuesday,2,2021
10533,1,2021-04-21,Wednesday,3,2021
10534,1,2021-04-22,Thursday,4,2021
10535,1,2021-04-23,Friday,5,2021
10536,1,2021-04-24,Saturday,6,2021
10537,1,2021-04-25,Sunday,7,2021
10541,1,2021-04-19,Monday,1,2021
10542,1,2021-04-20,Tuesday,2,2021
10543,1,2021-04-21,Wednesday,3,2021
10544,1,2021-04-22,Thursday,4,2021
10545,1,2021-04-23,Friday,5,2021
10546,1,2021-04-24,Saturday,6,2021
10547,1,2021-04-25,Sunday,7,2021
10551,1,2021-04-19,Monday,1,2021
10552,1,2021-04-20,Tuesday,2,2021
10553,1,2021-04-21,Wednesday,3,2021
10554,1,2021-04-22,Thursday,4,2021
10555,1,2021-04-23,Friday,5,2021
10556,1,2021-04-24,Saturday,6,2021
10557,1,2021-04-25,Sunday,7,2021
10571,1,NA,Monday,1,2021
10572,1,NA,Tuesday,2,2021
10574,1,NA,Thursday,4,2021
10575,1,NA,Friday,5,2021
10576,1,2021-04-24,Saturday,6,2021
10581,1,2021-04-26,Monday,1,2021
10582,1,2021-04-27,Tuesday,2,2021
10583,1,2021-04-28,Wednesday,3,2021
10584,1,2021-04-22,Thursday,4,2021
10585,1,2021-04-23,Friday,5,2021
10586,1,2021-04-24,Saturday,6,2021
10587,1,2021-04-25,Sunday,7,2021
10591,1,2021-04-19,Monday,1,2021
10592,1,2021-04-20,Tuesday,2,2021
10593,1,2021-04-21,Wednesday,3,2021
10594,1,2021-04-22,Thursday,4,2021
10595,1,2021-04-23,Friday,5,2021
10596,1,2021-04-24,Saturday,6,2021
10597,1,2021-04-25,Sunday,7,2021
10601,1,2021-04-26,Monday,1,2021
10602,1,2021-04-27,Tuesday,2,2021
10603,1,2021-04-28,Wednesday,3,2021
10604,1,2021-04-22,Thursday,4,2021
10605,1,2021-04-23,Friday,5,2021
10606,1,2021-04-24,Saturday,6,2021
10607,1,2021-04-25,Sunday,7,2021
10611,1,2021-04-26,Monday,1,2021
10612,1,2021-04-27,Tuesday,2,2021
10613,1,2021-04-28,Wednesday,3,2021
10614,1,2021-04-22,Thursday,4,2021
10615,1,2021-04-23,Friday,5,2021
10616,1,2021-04-24,Saturday,6,2021
10617,1,2021-04-25,Sunday,7,2021
10621,1,NA,Monday,1,2021
10622,1,NA,Tuesday,2,2021
10623,1,NA,Wednesday,3,2021
10624,1,NA,Thursday,4,2021
10625,1,NA,Friday,5,2021
10626,1,NA,Saturday,6,2021
10627,1,NA,Sunday,7,2021
10651,1,2021-04-26,Monday,1,2021
10652,1,2021-04-27,Tuesday,2,2021
10653,1,2021-04-28,Wednesday,3,2021
10654,1,2021-04-22,Thursday,4,2021
10655,1,2021-04-23,Friday,5,2021
10656,1,2021-04-24,Saturday,6,2021
10657,1,2021-04-25,Sunday,7,2021
10661,1,2021-04-26,Monday,1,2021
10662,1,2021-04-27,Tuesday,2,2021
10663,1,2021-04-21,Wednesday,3,2021
10664,1,2021-04-22,Thursday,4,2021
10665,1,2021-04-23,Friday,5,2021
10666,1,2021-04-24,Saturday,6,2021
10667,1,2021-04-25,Sunday,7,2021
10671,1,2021-04-26,Monday,1,2021
10672,1,2021-04-27,Tuesday,2,2021
10673,1,2021-04-28,Wednesday,3,2021
10674,1,2021-04-22,Thursday,4,2021
10675,1,2021-04-23,Friday,5,2021
10676,1,NA,Saturday,6,2021
10677,1,NA,Sunday,7,2021
10681,1,2021-04-26,Monday,1,2021
10682,1,2021-04-27,Tuesday,2,2021
10683,1,2021-04-21,Wednesday,3,2021
10684,1,2021-04-22,Thursday,4,2021
10685,1,2021-04-23,Friday,5,2021
10686,1,2021-04-24,Saturday,6,2021
10687,1,2021-04-25,Sunday,7,2021
10691,1,2021-04-26,Monday,1,2021
10692,1,2021-04-27,Tuesday,2,2021
10693,1,2021-04-28,Wednesday,3,2021
10694,1,2021-04-29,Thursday,4,2021
10695,1,2021-04-23,Friday,5,2021
10696,1,2021-04-24,Saturday,6,2021
10697,1,2021-04-25,Sunday,7,2021
10701,1,2021-04-26,Monday,1,2021
10702,1,2021-04-27,Tuesday,2,2021
10703,1,2021-04-28,Wednesday,3,2021
10704,1,2021-04-22,Thursday,4,2021
10705,1,2021-04-23,Friday,5,2021
10706,1,2021-04-24,Saturday,6,2021
10707,1,2021-04-25,Sunday,7,2021
10711,1,2021-04-26,Monday,1,2021
10712,1,2021-04-20,Tuesday,2,2021
10713,1,2021-04-21,Wednesday,3,2021
10714,1,2021-04-22,Thursday,4,2021
10715,1,2021-04-23,Friday,5,2021
10716,1,2021-04-24,Saturday,6,2021
10717,1,2021-04-25,Sunday,7,2021
10721,1,2021-04-19,Monday,1,2021
10722,1,2021-04-20,Tuesday,2,2021
10723,1,2021-04-21,Wednesday,3,2021
10724,1,2021-04-22,Thursday,4,2021
10725,1,2021-04-23,Friday,5,2021
10726,1,2021-04-24,Saturday,6,2021
10727,1,2021-04-25,Sunday,7,2021
10731,1,2021-04-26,Monday,1,2021
10732,1,2021-04-27,Tuesday,2,2021
10733,1,2021-04-28,Wednesday,3,2021
10734,1,2021-04-29,Thursday,4,2021
10735,1,2021-04-23,Friday,5,2021
10736,1,2021-04-24,Saturday,6,2021
10737,1,2021-04-25,Sunday,7,2021
10741,1,2021-04-19,Monday,1,2021
10742,1,2021-04-20,Tuesday,2,2021
10743,1,2021-04-21,Wednesday,3,2021
10744,1,2021-04-22,Thursday,4,2021
10745,1,2021-04-23,Friday,5,2021
10746,1,2021-04-24,Saturday,6,2021
10747,1,2021-04-25,Sunday,7,2021
10751,1,NA,Monday,1,2021
10752,1,2021-04-13,Tuesday,2,2021
10753,1,2021-04-14,Wednesday,3,2021
10754,1,NA,Thursday,4,2021
10755,1,2021-04-16,Friday,5,2021
10756,1,NA,Saturday,6,2021
10757,1,NA,Sunday,7,2021
10761,1,2021-04-19,Monday,1,2021
10762,1,2021-04-20,Tuesday,2,2021
10763,1,2021-04-21,Wednesday,3,2021
10764,1,2021-04-22,Thursday,4,2021
10765,1,2021-04-23,Friday,5,2021
10766,1,NA,Saturday,6,2021
10767,1,NA,Sunday,7,2021
10771,1,2021-04-26,Monday,1,2021
10772,1,2021-04-27,Tuesday,2,2021
10773,1,2021-04-21,Wednesday,3,2021
10774,1,2021-04-22,Thursday,4,2021
10775,1,2021-04-23,Friday,5,2021
10776,1,2021-04-24,Saturday,6,2021
10777,1,2021-04-25,Sunday,7,2021
10781,1,2021-04-19,Monday,1,2021
10782,1,2021-04-20,Tuesday,2,2021
10783,1,2021-04-21,Wednesday,3,2021
10784,1,2021-04-22,Thursday,4,2021
10785,1,2021-04-23,Friday,5,2021
10786,1,NA,Saturday,6,2021
10787,1,NA,Sunday,7,2021
10791,1,2021-04-19,Monday,1,2021
10792,1,2021-04-20,Tuesday,2,2021
10793,1,2021-04-21,Wednesday,3,2021
10794,1,2021-04-22,Thursday,4,2021
10795,1,2021-04-23,Friday,5,2021
10796,1,2021-04-24,Saturday,6,2021
10797,1,2021-04-25,Sunday,7,2021
10801,1,2021-04-26,Monday,1,2021
10802,1,2021-04-20,Tuesday,2,2021
10803,1,2021-04-21,Wednesday,3,2021
10804,1,2021-04-22,Thursday,4,2021
10805,1,2021-04-23,Friday,5,2021
10806,1,2021-04-24,Saturday,6,2021
10807,1,2021-04-25,Sunday,7,2021
10811,1,2021-04-26,Monday,1,2021
10812,1,2021-04-27,Tuesday,2,2021
10813,1,2021-04-21,Wednesday,3,2021
10814,1,2021-04-22,Thursday,4,2021
10815,1,2021-04-23,Friday,5,2021
10816,1,2021-04-24,Saturday,6,2021
10817,1,2021-04-25,Sunday,7,2021
10821,1,2021-04-19,Monday,1,2021
10822,1,2021-04-20,Tuesday,2,2021
10823,1,2021-04-21,Wednesday,3,2021
10824,1,2021-04-22,Thursday,4,2021
10825,1,2021-04-23,Friday,5,2021
10826,1,2021-04-24,Saturday,6,2021
10827,1,2021-04-25,Sunday,7,2021
10831,1,2021-04-19,Monday,1,2021
10832,1,2021-04-20,Tuesday,2,2021
10833,1,2021-04-21,Wednesday,3,2021
10834,1,2021-04-22,Thursday,4,2021
10835,1,2021-04-23,Friday,5,2021
10836,1,2021-04-24,Saturday,6,2021
10837,1,2021-04-25,Sunday,7,2021
10841,1,2021-04-26,Monday,1,2021
10842,1,2021-04-27,Tuesday,2,2021
10843,1,2021-04-21,Wednesday,3,2021
10844,1,2021-04-22,Thursday,4,2021
10845,1,2021-04-23,Friday,5,2021
10846,1,2021-04-24,Saturday,6,2021
10847,1,2021-04-25,Sunday,7,2021
10861,1,2021-04-19,Monday,1,2021
10862,1,2021-04-20,Tuesday,2,2021
10863,1,2021-04-21,Wednesday,3,2021
10864,1,2021-04-22,Thursday,4,2021
10865,1,2021-04-23,Friday,5,2021
10866,1,2021-04-24,Saturday,6,2021
10867,1,NA,Sunday,7,2021
10851,1,2021-04-19,Monday,1,2021
10852,1,2021-04-20,Tuesday,2,2021
10853,1,2021-04-21,Wednesday,3,2021
10854,1,2021-04-22,Thursday,4,2021
10855,1,2021-04-23,Friday,5,2021
10856,1,2021-04-24,Saturday,6,2021
10901,1,2021-04-19,Monday,1,2021
10902,1,2021-04-20,Tuesday,2,2021
10903,1,2021-04-21,Wednesday,3,2021
10904,1,2021-04-22,Thursday,4,2021
10905,1,2021-04-23,Friday,5,2021
10906,1,2021-04-24,Saturday,6,2021
10907,1,2021-04-25,Sunday,7,2021
10911,1,2021-04-19,Monday,1,2021
10912,1,2021-04-20,Tuesday,2,2021
10913,1,2021-04-21,Wednesday,3,2021
10914,1,2021-04-22,Thursday,4,2021
10915,1,2021-04-23,Friday,5,2021
10916,1,2021-04-24,Saturday,6,2021
10917,1,2021-04-25,Sunday,7,2021
10921,1,2021-04-19,Monday,1,2021
10922,1,2021-04-20,Tuesday,2,2021
10923,1,2021-04-21,Wednesday,3,2021
10924,1,2021-04-22,Thursday,4,2021
10925,1,2021-04-23,Friday,5,2021
10926,1,2021-04-24,Saturday,6,2021
10927,1,2021-04-25,Sunday,7,2021
10941,1,2021-04-19,Monday,1,2021
10942,1,2021-04-20,Tuesday,2,2021
10943,1,2021-04-21,Wednesday,3,2021
10944,1,NA,Thursday,4,2021
10945,1,2021-04-23,Friday,5,2021
10946,1,NA,Saturday,6,2021
10947,1,NA,Sunday,7,2021
10951,1,2021-04-26,Monday,1,2021
10952,1,2021-04-20,Tuesday,2,2021
10953,1,2021-04-21,Wednesday,3,2021
10954,1,2021-04-22,Thursday,4,2021
10955,1,2021-04-23,Friday,5,2021
10956,1,2021-04-24,Saturday,6,2021
10957,1,2021-04-25,Sunday,7,2021
10961,1,2021-04-19,Monday,1,2021
10962,1,2021-04-20,Tuesday,2,2021
10963,1,2021-04-21,Wednesday,3,2021
10964,1,2021-04-22,Thursday,4,2021
10965,1,NA,Friday,5,2021
10966,1,NA,Saturday,6,2021
10967,1,NA,Sunday,7,2021
10971,1,2021-04-19,Monday,1,2021
10972,1,2021-04-20,Tuesday,2,2021
10973,1,2021-04-21,Wednesday,3,2021
10974,1,2021-04-22,Thursday,4,2021
10975,1,2021-04-23,Friday,5,2021
10976,1,2021-04-24,Saturday,6,2021
10977,1,2021-04-25,Sunday,7,2021
10982,1,2021-04-20,Tuesday,2,2021
10983,1,NA,Wednesday,3,2021
10984,1,NA,Thursday,4,2021
10985,1,NA,Friday,5,2021
10986,1,NA,Saturday,6,2021
10987,1,NA,Sunday,7,2021
10991,1,2021-04-19,Monday,1,2021
10992,1,2021-04-20,Tuesday,2,2021
10993,1,2021-04-21,Wednesday,3,2021
10994,1,2021-04-22,Thursday,4,2021
10995,1,2021-04-23,Friday,5,2021
10996,1,2021-04-24,Saturday,6,2021
10997,1,2021-04-25,Sunday,7,2021
11001,1,2021-04-19,Monday,1,2021
11002,1,2021-04-20,Tuesday,2,2021
11003,1,2021-04-21,Wednesday,3,2021
11004,1,2021-04-22,Thursday,4,2021
11005,1,2021-04-23,Friday,5,2021
11006,1,2021-04-24,Saturday,6,2021
11007,1,2021-04-25,Sunday,7,2021
11011,1,2021-04-19,Monday,1,2021
11012,1,2021-04-20,Tuesday,2,2021
11013,1,2021-04-21,Wednesday,3,2021
11014,1,2021-04-22,Thursday,4,2021
11015,1,2021-04-23,Friday,5,2021
11016,1,2021-04-24,Saturday,6,2021
11017,1,2021-04-25,Sunday,7,2021
11021,1,NA,Monday,1,2021
11022,1,NA,Tuesday,2,2021
11023,1,NA,Wednesday,3,2021
11024,1,NA,Thursday,4,2021
11025,1,NA,Friday,5,2021
11026,1,NA,Saturday,6,2021
11027,1,NA,Sunday,7,2021
11031,1,NA,Monday,1,2021
11032,1,NA,Tuesday,2,2021
11033,1,2021-04-21,Wednesday,3,2021
11034,1,NA,Thursday,4,2021
11035,1,NA,Friday,5,2021
11036,1,NA,Saturday,6,2021
11037,1,NA,Sunday,7,2021
11041,1,2021-04-26,Monday,1,2021
11042,1,2021-04-20,Tuesday,2,2021
11043,1,2021-04-21,Wednesday,3,2021
11044,1,2021-04-22,Thursday,4,2021
11045,1,2021-04-23,Friday,5,2021
11046,1,2021-04-24,Saturday,6,2021
11047,1,2021-04-25,Sunday,7,2021
11051,1,2021-04-19,Monday,1,2021
11052,1,2021-04-20,Tuesday,2,2021
11053,1,2021-04-21,Wednesday,3,2021
11054,1,2021-04-22,Thursday,4,2021
11055,1,2021-04-23,Friday,5,2021
11056,1,2021-04-24,Saturday,6,2021
11057,1,2021-04-25,Sunday,7,2021
11061,1,2021-04-19,Monday,1,2021
11062,1,2021-04-20,Tuesday,2,2021
11063,1,2021-04-21,Wednesday,3,2021
11064,1,2021-04-22,Thursday,4,2021
11065,1,2021-04-23,Friday,5,2021
11066,1,2021-04-24,Saturday,6,2021
11067,1,2021-04-25,Sunday,7,2021
11071,1,2021-04-19,Monday,1,2021
11072,1,2021-04-20,Tuesday,2,2021
11073,1,2021-04-21,Wednesday,3,2021
11074,1,2021-04-22,Thursday,4,2021
11075,1,2021-04-23,Friday,5,2021
11076,1,2021-04-24,Saturday,6,2021
11077,1,2021-04-25,Sunday,7,2021
11081,1,2021-04-19,Monday,1,2021
11082,1,2021-04-20,Tuesday,2,2021
11083,1,2021-04-21,Wednesday,3,2021
11084,1,2021-04-22,Thursday,4,2021
11085,1,2021-04-23,Friday,5,2021
11086,1,2021-04-24,Saturday,6,2021
11087,1,2021-04-25,Sunday,7,2021
11091,1,2021-04-19,Monday,1,2021
11092,1,2021-04-20,Tuesday,2,2021
11093,1,2021-04-21,Wednesday,3,2021
11094,1,2021-04-22,Thursday,4,2021
11095,1,2021-04-23,Friday,5,2021
11096,1,2021-04-24,Saturday,6,2021
11097,1,2021-04-25,Sunday,7,2021
11101,1,2021-04-19,Monday,1,2021
11102,1,2021-04-20,Tuesday,2,2021
11103,1,2021-04-21,Wednesday,3,2021
11104,1,2021-04-22,Thursday,4,2021
11105,1,2021-04-23,Friday,5,2021
11106,1,2021-04-24,Saturday,6,2021
11107,1,2021-04-25,Sunday,7,2021
11121,1,2021-04-19,Monday,1,2021
11122,1,2021-04-20,Tuesday,2,2021
11123,1,2021-04-21,Wednesday,3,2021
11124,1,2021-04-22,Thursday,4,2021
11125,1,2021-04-23,Friday,5,2021
11126,1,2021-04-24,Saturday,6,2021
11127,1,2021-04-25,Sunday,7,2021
11131,1,2021-04-26,Monday,1,2021
11132,1,2021-04-27,Tuesday,2,2021
