"hh_id","country","hh_size"
"HHat_A1_103064","at",3
"HHat_A1_103065","at",3
"HHat_A1_103066","at",2
"HHat_A1_103067","at",2
"HHat_A1_103068","at",3
"HHat_A1_103069","at",2
"HHat_A1_103070","at",1
"HHat_A1_103071","at",1
"HHat_A1_103072","at",4
"HHat_A1_103073","at",2
"HHat_A1_103074","at",2
"HHat_A1_103075","at",4
"HHat_A1_103076","at",2
"HHat_A1_103077","at",4
"HHat_A1_103078","at",1
"HHat_A1_103079","at",2
"HHat_A1_103080","at",3
"HHat_A1_103081","at",2
"HHat_A1_103082","at",2
"HHat_A1_103083","at",1
"HHat_A1_103084","at",2
"HHat_A1_103085","at",3
"HHat_A1_103086","at",4
"HHat_A1_103087","at",2
"HHat_A1_103088","at",2
"HHat_A1_103089","at",2
"HHat_A1_103090","at",2
"HHat_A1_103091","at",1
"HHat_A1_103092","at",2
"HHat_A1_103093","at",2
"HHat_A1_103094","at",3
"HHat_A1_103095","at",2
"HHat_A1_103096","at",5
"HHat_A1_103097","at",4
"HHat_A1_103098","at",2
"HHat_A1_103099","at",2
"HHat_A1_103100","at",1
"HHat_A1_103101","at",2
"HHat_A1_103102","at",3
"HHat_A1_103103","at",4
"HHat_A1_103104","at",2
"HHat_A1_103105","at",3
"HHat_A1_103106","at",3
"HHat_A1_103107","at",3
"HHat_A1_103108","at",1
"HHat_A1_103109","at",2
"HHat_A1_103110","at",3
"HHat_A1_103111","at",5
"HHat_A1_103112","at",2
"HHat_A1_103113","at",3
"HHat_A1_103114","at",2
"HHat_A1_103115","at",1
"HHat_A1_103116","at",1
"HHat_A1_103117","at",1
"HHat_A1_103118","at",1
"HHat_A1_103119","at",3
"HHat_A1_103120","at",5
"HHat_A1_103121","at",2
"HHat_A1_103122","at",3
"HHat_A1_103123","at",2
"HHat_A1_103124","at",3
"HHat_A1_103125","at",3
"HHat_A1_103126","at",2
"HHat_A1_103127","at",3
"HHat_A1_103128","at",1
"HHat_A1_103129","at",2
"HHat_A1_103130","at",3
"HHat_A1_103131","at",3
"HHat_A1_103132","at",2
"HHat_A1_103133","at",2
"HHat_A1_103134","at",3
"HHat_A1_103135","at",2
"HHat_A1_103136","at",3
"HHat_A1_103137","at",3
"HHat_A1_103138","at",4
"HHat_A1_103139","at",5
"HHat_A1_103140","at",3
