"part_id","hh_id","part_age","part_gender"
"at_A1_103064","HHat_A1_103064","40-49","F"
"at_A1_103065","HHat_A1_103065","30-39","F"
"at_A1_103066","HHat_A1_103066","5-11","F"
"at_A1_103067","HHat_A1_103067","40-49","F"
"at_A1_103068","HHat_A1_103068","50-59","F"
"at_A1_103069","HHat_A1_103069","60-69","F"
"at_A1_103070","HHat_A1_103070","18-29","M"
"at_A1_103071","HHat_A1_103071","60-69","M"
"at_A1_103072","HHat_A1_103072","50-59","F"
"at_A1_103073","HHat_A1_103073","50-59","F"
"at_A1_103074","HHat_A1_103074","60-69","F"
"at_A1_103075","HHat_A1_103075","40-49","F"
"at_A1_103076","HHat_A1_103076","50-59","M"
"at_A1_103077","HHat_A1_103077","16-17","F"
"at_A1_103078","HHat_A1_103078","30-39","F"
"at_A1_103079","HHat_A1_103079","60-69","F"
"at_A1_103080","HHat_A1_103080","30-39","F"
"at_A1_103081","HHat_A1_103081","50-59","M"
"at_A1_103082","HHat_A1_103082","50-59","F"
"at_A1_103083","HHat_A1_103083","18-29","M"
"at_A1_103084","HHat_A1_103084","50-59","F"
"at_A1_103085","HHat_A1_103085","50-59","M"
"at_A1_103086","HHat_A1_103086","18-29","M"
"at_A1_103087","HHat_A1_103087","40-49","F"
"at_A1_103088","HHat_A1_103088","50-59","M"
"at_A1_103089","HHat_A1_103089","50-59","F"
"at_A1_103090","HHat_A1_103090","60-69","F"
"at_A1_103091","HHat_A1_103091","60-69","F"
"at_A1_103092","HHat_A1_103092","30-39","F"
"at_A1_103093","HHat_A1_103093","40-49","F"
"at_A1_103094","HHat_A1_103094","40-49","F"
"at_A1_103095","HHat_A1_103095","50-59","F"
"at_A1_103096","HHat_A1_103096","18-29","F"
"at_A1_103097","HHat_A1_103097","40-49","F"
"at_A1_103098","HHat_A1_103098","50-59","M"
"at_A1_103099","HHat_A1_103099","50-59","M"
"at_A1_103100","HHat_A1_103100","50-59","F"
"at_A1_103101","HHat_A1_103101","50-59","M"
"at_A1_103102","HHat_A1_103102","30-39","F"
"at_A1_103103","HHat_A1_103103","40-49","M"
"at_A1_103104","HHat_A1_103104","70-120","M"
"at_A1_103105","HHat_A1_103105","50-59","F"
"at_A1_103106","HHat_A1_103106","60-69","F"
"at_A1_103107","HHat_A1_103107","5-11","M"
"at_A1_103108","HHat_A1_103108","70-120","M"
"at_A1_103109","HHat_A1_103109","40-49","M"
"at_A1_103110","HHat_A1_103110","18-29","F"
"at_A1_103111","HHat_A1_103111","1-4","F"
"at_A1_103112","HHat_A1_103112","50-59","M"
"at_A1_103113","HHat_A1_103113","16-17","M"
"at_A1_103114","HHat_A1_103114","50-59","M"
"at_A1_103115","HHat_A1_103115","70-120","M"
"at_A1_103116","HHat_A1_103116","60-69","F"
"at_A1_103117","HHat_A1_103117","40-49","F"
"at_A1_103118","HHat_A1_103118","70-120","F"
"at_A1_103119","HHat_A1_103119","1-4","M"
"at_A1_103120","HHat_A1_103120","1-4","F"
"at_A1_103121","HHat_A1_103121","70-120","M"
"at_A1_103122","HHat_A1_103122","1-4","F"
"at_A1_103123","HHat_A1_103123","50-59","F"
"at_A1_103124","HHat_A1_103124","30-39","M"
"at_A1_103125","HHat_A1_103125","5-11","M"
"at_A1_103126","HHat_A1_103126","30-39","M"
"at_A1_103127","HHat_A1_103127","40-49","F"
"at_A1_103128","HHat_A1_103128","50-59","M"
"at_A1_103129","HHat_A1_103129","18-29","F"
"at_A1_103130","HHat_A1_103130","5-11","M"
"at_A1_103131","HHat_A1_103131","30-39","F"
"at_A1_103132","HHat_A1_103132","70-120","M"
"at_A1_103133","HHat_A1_103133","30-39","M"
"at_A1_103134","HHat_A1_103134","30-39","M"
"at_A1_103135","HHat_A1_103135","30-39","M"
"at_A1_103136","HHat_A1_103136","1-4","F"
"at_A1_103137","HHat_A1_103137","1-4","F"
"at_A1_103138","HHat_A1_103138","5-11","M"
"at_A1_103139","HHat_A1_103139","12-15","F"
"at_A1_103140","HHat_A1_103140","1-4","F"
"at_A1_103141","HHat_A1_103141","12-15","F"
"at_A1_103142","HHat_A1_103142","70-120","M"
"at_A1_103143","HHat_A1_103143","5-11","F"
"at_A1_103144","HHat_A1_103144","16-17","M"
"at_A1_103145","HHat_A1_103145","5-11","F"
"at_A1_103146","HHat_A1_103146","60-69","M"
"at_A1_103147","HHat_A1_103147","5-11","M"
"at_A1_103148","HHat_A1_103148","5-11","F"
"at_A1_103149","HHat_A1_103149","70-120","M"
"at_A1_103150","HHat_A1_103150","60-69","M"
"at_A1_103151","HHat_A1_103151","40-49","F"
"at_A1_103152","HHat_A1_103152","50-59","M"
"at_A1_103153","HHat_A1_103153","5-11","F"
"at_A1_103154","HHat_A1_103154","70-120","M"
"at_A1_103155","HHat_A1_103155","30-39","F"
"at_A1_103156","HHat_A1_103156","40-49","M"
"at_A1_103157","HHat_A1_103157","60-69","M"
"at_A1_103158","HHat_A1_103158","12-15","M"
"at_A1_103159","HHat_A1_103159","60-69","M"
"at_A1_103160","HHat_A1_103160","70-120","M"
"at_A1_103161","HHat_A1_103161","60-69","F"
"at_A1_103162","HHat_A1_103162","50-59","M"
"at_A1_103163","HHat_A1_103163","60-69","F"
"at_A1_103164","HHat_A1_103164","40-49","F"
"at_A1_103165","HHat_A1_103165","5-11","F"
"at_A1_103166","HHat_A1_103166","70-120","F"
"at_A1_103167","HHat_A1_103167","70-120","M"
"at_A1_103168","HHat_A1_103168","50-59","F"
"at_A1_103169","HHat_A1_103169","5-11","F"
"at_A1_103170","HHat_A1_103170","5-11","F"
"at_A1_103171","HHat_A1_103171","30-39","M"
"at_A1_103172","HHat_A1_103172","30-39","F"
"at_A1_103173","HHat_A1_103173","1-4","F"
"at_A1_103174","HHat_A1_103174","70-120","M"
"at_A1_103175","HHat_A1_103175","16-17","F"
"at_A1_103176","HHat_A1_103176","50-59","M"
"at_A1_103177","HHat_A1_103177","5-11","F"
"at_A1_103178","HHat_A1_103178","60-69","M"
"at_A1_103179","HHat_A1_103179","12-15","F"
"at_A1_103180","HHat_A1_103180","70-120","F"
"at_A1_103181","HHat_A1_103181","70-120","F"
"at_A1_103182","HHat_A1_103182","40-49","F"
"at_A1_103183","HHat_A1_103183","30-39","F"
"at_A1_103184","HHat_A1_103184","5-11","F"
"at_A1_103185","HHat_A1_103185","70-120","F"
"at_A1_103186","HHat_A1_103186","40-49","M"
"at_A1_103187","HHat_A1_103187","18-29","F"
"at_A1_103188","HHat_A1_103188","70-120","M"
"at_A1_103189","HHat_A1_103189","12-15","M"
"at_A1_103190","HHat_A1_103190","5-11","M"
"at_A1_103191","HHat_A1_103191","12-15","F"
"at_A1_103192","HHat_A1_103192","60-69","F"
"at_A1_103193","HHat_A1_103193","50-59","M"
"at_A1_103194","HHat_A1_103194","5-11","F"
"at_A1_103195","HHat_A1_103195","70-120","M"
"at_A1_103196","HHat_A1_103196","60-69","M"
"at_A1_103197","HHat_A1_103197","50-59","M"
"at_A1_103198","HHat_A1_103198","30-39","M"
"at_A1_103199","HHat_A1_103199","70-120","M"
"at_A1_103200","HHat_A1_103200","5-11","F"
"at_A1_103201","HHat_A1_103201","70-120","M"
"at_A1_103202","HHat_A1_103202","12-15","M"
"at_A1_103203","HHat_A1_103203","50-59","M"
"at_A1_103204","HHat_A1_103204","5-11","F"
"at_A1_103205","HHat_A1_103205","30-39","F"
"at_A1_103206","HHat_A1_103206","40-49","M"
"at_A1_103207","HHat_A1_103207","30-39","M"
"at_A1_103208","HHat_A1_103208","50-59","F"
"at_A1_103209","HHat_A1_103209","40-49","M"
"at_A1_103210","HHat_A1_103210","70-120","F"
"at_A1_103211","HHat_A1_103211","60-69","M"
"at_A1_103212","HHat_A1_103212","40-49","M"
"at_A1_103213","HHat_A1_103213","60-69","M"
"at_A1_103214","HHat_A1_103214","50-59","M"
"at_A1_103215","HHat_A1_103215","70-120","F"
"at_A1_103216","HHat_A1_103216","30-39","F"
"at_A1_103217","HHat_A1_103217","50-59","M"
"at_A1_103218","HHat_A1_103218","60-69","M"
"at_A1_103219","HHat_A1_103219","18-29","F"
"at_A1_103220","HHat_A1_103220","30-39","F"
"at_A1_103221","HHat_A1_103221","70-120","M"
"at_A1_103222","HHat_A1_103222","40-49","M"
"at_A1_103223","HHat_A1_103223","70-120","F"
"at_A1_103224","HHat_A1_103224","30-39","M"
"at_A1_103225","HHat_A1_103225","50-59","F"
"at_A1_103226","HHat_A1_103226","70-120","M"
"at_A1_103227","HHat_A1_103227","30-39","F"
"at_A1_103228","HHat_A1_103228","70-120","M"
"at_A1_103229","HHat_A1_103229","30-39","M"
"at_A1_103230","HHat_A1_103230","30-39","F"
"at_A1_103231","HHat_A1_103231","60-69","F"
"at_A1_103232","HHat_A1_103232","50-59","F"
"at_A1_103233","HHat_A1_103233","70-120","F"
"at_A1_103234","HHat_A1_103234","30-39","M"
"at_A1_103235","HHat_A1_103235","40-49","F"
"at_A1_103236","HHat_A1_103236","1-4","F"
