"part_id","sday_id","dayofweek","month","year","day","wave"
"at_A1_103064","2022.04.07",4,4,2022,7,1
"at_A1_103065","2022.04.07",4,4,2022,7,1
"at_A1_103066","2022.04.07",4,4,2022,7,1
"at_A1_103067","2022.04.07",4,4,2022,7,1
"at_A1_103068","2022.04.07",4,4,2022,7,1
"at_A1_103069","2022.04.07",4,4,2022,7,1
"at_A1_103070","2022.04.07",4,4,2022,7,1
"at_A1_103071","2022.04.07",4,4,2022,7,1
"at_A1_103072","2022.04.07",4,4,2022,7,1
"at_A1_103073","2022.04.07",4,4,2022,7,1
"at_A1_103074","2022.04.07",4,4,2022,7,1
"at_A1_103075","2022.04.07",4,4,2022,7,1
"at_A1_103076","2022.04.07",4,4,2022,7,1
"at_A1_103077","2022.04.07",4,4,2022,7,1
"at_A1_103078","2022.04.07",4,4,2022,7,1
"at_A1_103079","2022.04.07",4,4,2022,7,1
"at_A1_103080","2022.04.07",4,4,2022,7,1
"at_A1_103081","2022.04.07",4,4,2022,7,1
"at_A1_103082","2022.04.07",4,4,2022,7,1
"at_A1_103083","2022.04.07",4,4,2022,7,1
"at_A1_103084","2022.04.07",4,4,2022,7,1
"at_A1_103085","2022.04.07",4,4,2022,7,1
"at_A1_103086","2022.04.07",4,4,2022,7,1
"at_A1_103087","2022.04.07",4,4,2022,7,1
"at_A1_103088","2022.04.08",5,4,2022,8,1
"at_A1_103089","2022.04.08",5,4,2022,8,1
"at_A1_103090","2022.04.08",5,4,2022,8,1
"at_A1_103091","2022.04.08",5,4,2022,8,1
"at_A1_103092","2022.04.08",5,4,2022,8,1
"at_A1_103093","2022.04.08",5,4,2022,8,1
"at_A1_103094","2022.04.08",5,4,2022,8,1
"at_A1_103095","2022.04.08",5,4,2022,8,1
"at_A1_103096","2022.04.09",6,4,2022,9,1
"at_A1_103097","2022.04.08",5,4,2022,8,1
"at_A1_103098","2022.04.08",5,4,2022,8,1
"at_A1_103099","2022.04.09",6,4,2022,9,1
"at_A1_103100","2022.04.10",0,4,2022,10,1
"at_A1_103101","2022.04.10",0,4,2022,10,1
"at_A1_103102","2022.04.10",0,4,2022,10,1
"at_A1_103103","2022.04.10",0,4,2022,10,1
"at_A1_103104","2022.04.10",0,4,2022,10,1
"at_A1_103105","2022.04.10",0,4,2022,10,1
"at_A1_103106","2022.04.10",0,4,2022,10,1
"at_A1_103107","2022.04.10",0,4,2022,10,1
"at_A1_103108","2022.04.10",0,4,2022,10,1
"at_A1_103109","2022.04.10",0,4,2022,10,1
"at_A1_103110","2022.04.10",0,4,2022,10,1
"at_A1_103111","2022.04.10",0,4,2022,10,1
"at_A1_103112","2022.04.10",0,4,2022,10,1
"at_A1_103113","2022.04.10",0,4,2022,10,1
"at_A1_103114","2022.04.10",0,4,2022,10,1
"at_A1_103115","2022.04.10",0,4,2022,10,1
"at_A1_103116","2022.04.10",0,4,2022,10,1
"at_A1_103117","2022.04.10",0,4,2022,10,1
"at_A1_103118","2022.04.10",0,4,2022,10,1
"at_A1_103119","2022.04.10",0,4,2022,10,1
"at_A1_103120","2022.04.10",0,4,2022,10,1
"at_A1_103121","2022.04.10",0,4,2022,10,1
"at_A1_103122","2022.04.10",0,4,2022,10,1
"at_A1_103123","2022.04.10",0,4,2022,10,1
"at_A1_103124","2022.04.10",0,4,2022,10,1
"at_A1_103125","2022.04.10",0,4,2022,10,1
"at_A1_103126","2022.04.10",0,4,2022,10,1
"at_A1_103127","2022.04.10",0,4,2022,10,1
"at_A1_103128","2022.04.10",0,4,2022,10,1
"at_A1_103129","2022.04.10",0,4,2022,10,1
"at_A1_103130","2022.04.10",0,4,2022,10,1
"at_A1_103131","2022.04.10",0,4,2022,10,1
"at_A1_103132","2022.04.10",0,4,2022,10,1
"at_A1_103133","2022.04.10",0,4,2022,10,1
