cont_id,cnt_outside_other,cnt_other_house,cnt_worship,cnt_supermarket,cnt_shop,cnt_gender_all,frequency_multi_all
104714001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
104714002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
104714003,FALSE,FALSE,FALSE,FALSE,TRUE,female,3-7 days
104714004,NA,NA,NA,NA,NA,NA,NA
104714005,NA,NA,NA,NA,NA,NA,NA
104714006,NA,NA,NA,NA,NA,NA,NA
104714007,NA,NA,NA,NA,NA,NA,NA
104714008,NA,NA,NA,NA,NA,NA,NA
104716001,FALSE,FALSE,FALSE,TRUE,FALSE,female,never met
104717001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
104718001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
104718002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
104718003,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
104718004,FALSE,FALSE,FALSE,TRUE,FALSE,female,1-2 days
104719001,TRUE,FALSE,FALSE,TRUE,FALSE,male,1-2 days
104719002,NA,NA,NA,NA,NA,NA,NA
104719003,NA,NA,NA,NA,NA,NA,NA
104719004,NA,NA,NA,NA,NA,NA,NA
104719005,NA,NA,NA,NA,NA,NA,NA
104719006,NA,NA,NA,NA,NA,NA,NA
104719007,NA,NA,NA,NA,NA,NA,NA
104719008,NA,NA,NA,NA,NA,NA,NA
104719009,NA,NA,NA,NA,NA,NA,NA
104719010,NA,NA,NA,NA,NA,NA,NA
104719011,NA,NA,NA,NA,NA,NA,NA
104720001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
104720002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
104720003,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
104720004,FALSE,FALSE,FALSE,FALSE,FALSE,female,occasional
104720005,FALSE,FALSE,FALSE,TRUE,FALSE,female,occasional
104721001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
104721002,FALSE,FALSE,FALSE,FALSE,FALSE,male,occasional
104721003,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
104722001,FALSE,FALSE,FALSE,FALSE,FALSE,female,2-3 weeks
104723001,TRUE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
104723002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
104723003,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
104723004,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
104723005,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
104723006,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
104724001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
104724002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
104724003,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
104724004,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
104727001,FALSE,FALSE,FALSE,FALSE,FALSE,female,2-3 weeks
104727002,NA,NA,NA,NA,NA,NA,NA
104727003,NA,NA,NA,NA,NA,NA,NA
104727004,NA,NA,NA,NA,NA,NA,NA
104727005,NA,NA,NA,NA,NA,NA,NA
104727006,NA,NA,NA,NA,NA,NA,NA
104727007,NA,NA,NA,NA,NA,NA,NA
104727008,NA,NA,NA,NA,NA,NA,NA
104727009,NA,NA,NA,NA,NA,NA,NA
104728001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
104728002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
104728003,FALSE,FALSE,FALSE,TRUE,FALSE,male,3-7 days
104728004,FALSE,FALSE,FALSE,FALSE,FALSE,other,1-2 days
104731001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
104731002,FALSE,FALSE,FALSE,TRUE,FALSE,NA,never met
104731003,FALSE,FALSE,FALSE,FALSE,FALSE,female,1 month
104731004,FALSE,FALSE,FALSE,FALSE,FALSE,female,never met
104733001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
104733002,NA,NA,NA,NA,NA,NA,NA
104733003,NA,NA,NA,NA,NA,NA,NA
104733004,NA,NA,NA,NA,NA,NA,NA
104733005,NA,NA,NA,NA,NA,NA,NA
104733006,NA,NA,NA,NA,NA,NA,NA
104733007,NA,NA,NA,NA,NA,NA,NA
104733008,NA,NA,NA,NA,NA,NA,NA
104733009,NA,NA,NA,NA,NA,NA,NA
104733010,NA,NA,NA,NA,NA,NA,NA
104733011,NA,NA,NA,NA,NA,NA,NA
104733012,NA,NA,NA,NA,NA,NA,NA
104733013,NA,NA,NA,NA,NA,NA,NA
104733014,NA,NA,NA,NA,NA,NA,NA
104733015,NA,NA,NA,NA,NA,NA,NA
104733016,NA,NA,NA,NA,NA,NA,NA
104733017,NA,NA,NA,NA,NA,NA,NA
104733018,NA,NA,NA,NA,NA,NA,NA
104733019,NA,NA,NA,NA,NA,NA,NA
104733020,NA,NA,NA,NA,NA,NA,NA
104733021,NA,NA,NA,NA,NA,NA,NA
104733022,NA,NA,NA,NA,NA,NA,NA
104733023,NA,NA,NA,NA,NA,NA,NA
104733024,NA,NA,NA,NA,NA,NA,NA
104733025,NA,NA,NA,NA,NA,NA,NA
104733026,NA,NA,NA,NA,NA,NA,NA
104733027,NA,NA,NA,NA,NA,NA,NA
104733028,NA,NA,NA,NA,NA,NA,NA
104733029,NA,NA,NA,NA,NA,NA,NA
104733030,NA,NA,NA,NA,NA,NA,NA
104733031,NA,NA,NA,NA,NA,NA,NA
104733032,NA,NA,NA,NA,NA,NA,NA
104733033,NA,NA,NA,NA,NA,NA,NA
104733034,NA,NA,NA,NA,NA,NA,NA
104733035,NA,NA,NA,NA,NA,NA,NA
104733036,NA,NA,NA,NA,NA,NA,NA
104733037,NA,NA,NA,NA,NA,NA,NA
104733038,NA,NA,NA,NA,NA,NA,NA
104733039,NA,NA,NA,NA,NA,NA,NA
104733040,NA,NA,NA,NA,NA,NA,NA
104733041,NA,NA,NA,NA,NA,NA,NA
104733042,NA,NA,NA,NA,NA,NA,NA
104733043,NA,NA,NA,NA,NA,NA,NA
104733044,NA,NA,NA,NA,NA,NA,NA
104733045,NA,NA,NA,NA,NA,NA,NA
104733046,NA,NA,NA,NA,NA,NA,NA
104733047,NA,NA,NA,NA,NA,NA,NA
104733048,NA,NA,NA,NA,NA,NA,NA
104733049,NA,NA,NA,NA,NA,NA,NA
104733050,NA,NA,NA,NA,NA,NA,NA
104733051,NA,NA,NA,NA,NA,NA,NA
104733052,NA,NA,NA,NA,NA,NA,NA
104733053,NA,NA,NA,NA,NA,NA,NA
104733054,NA,NA,NA,NA,NA,NA,NA
104733055,NA,NA,NA,NA,NA,NA,NA
104733056,NA,NA,NA,NA,NA,NA,NA
104733057,NA,NA,NA,NA,NA,NA,NA
104733058,NA,NA,NA,NA,NA,NA,NA
104733059,NA,NA,NA,NA,NA,NA,NA
104733060,NA,NA,NA,NA,NA,NA,NA
104733061,NA,NA,NA,NA,NA,NA,NA
104733062,NA,NA,NA,NA,NA,NA,NA
104733063,NA,NA,NA,NA,NA,NA,NA
104733064,NA,NA,NA,NA,NA,NA,NA
104733065,NA,NA,NA,NA,NA,NA,NA
104733066,NA,NA,NA,NA,NA,NA,NA
104733067,NA,NA,NA,NA,NA,NA,NA
104733068,NA,NA,NA,NA,NA,NA,NA
104733069,NA,NA,NA,NA,NA,NA,NA
104733070,NA,NA,NA,NA,NA,NA,NA
104733071,NA,NA,NA,NA,NA,NA,NA
104733072,NA,NA,NA,NA,NA,NA,NA
104733073,NA,NA,NA,NA,NA,NA,NA
104733074,NA,NA,NA,NA,NA,NA,NA
104733075,NA,NA,NA,NA,NA,NA,NA
104733076,NA,NA,NA,NA,NA,NA,NA
104733077,NA,NA,NA,NA,NA,NA,NA
104733078,NA,NA,NA,NA,NA,NA,NA
104733079,NA,NA,NA,NA,NA,NA,NA
104733080,NA,NA,NA,NA,NA,NA,NA
104733081,NA,NA,NA,NA,NA,NA,NA
104733082,NA,NA,NA,NA,NA,NA,NA
104733083,NA,NA,NA,NA,NA,NA,NA
104733084,NA,NA,NA,NA,NA,NA,NA
104733085,NA,NA,NA,NA,NA,NA,NA
104733086,NA,NA,NA,NA,NA,NA,NA
104733087,NA,NA,NA,NA,NA,NA,NA
104733088,NA,NA,NA,NA,NA,NA,NA
104733089,NA,NA,NA,NA,NA,NA,NA
104733090,NA,NA,NA,NA,NA,NA,NA
104733091,NA,NA,NA,NA,NA,NA,NA
104733092,NA,NA,NA,NA,NA,NA,NA
104733093,NA,NA,NA,NA,NA,NA,NA
104733094,NA,NA,NA,NA,NA,NA,NA
104733095,NA,NA,NA,NA,NA,NA,NA
104733096,NA,NA,NA,NA,NA,NA,NA
104733097,NA,NA,NA,NA,NA,NA,NA
104733098,NA,NA,NA,NA,NA,NA,NA
104733099,NA,NA,NA,NA,NA,NA,NA
104733100,NA,NA,NA,NA,NA,NA,NA
104733101,NA,NA,NA,NA,NA,NA,NA
104733102,NA,NA,NA,NA,NA,NA,NA
104733103,NA,NA,NA,NA,NA,NA,NA
104733104,NA,NA,NA,NA,NA,NA,NA
104733105,NA,NA,NA,NA,NA,NA,NA
104733106,NA,NA,NA,NA,NA,NA,NA
104733107,NA,NA,NA,NA,NA,NA,NA
104733108,NA,NA,NA,NA,NA,NA,NA
104733109,NA,NA,NA,NA,NA,NA,NA
104733110,NA,NA,NA,NA,NA,NA,NA
104733111,NA,NA,NA,NA,NA,NA,NA
104733112,NA,NA,NA,NA,NA,NA,NA
104733113,NA,NA,NA,NA,NA,NA,NA
104733114,NA,NA,NA,NA,NA,NA,NA
104733115,NA,NA,NA,NA,NA,NA,NA
104733116,NA,NA,NA,NA,NA,NA,NA
104733117,NA,NA,NA,NA,NA,NA,NA
104733118,NA,NA,NA,NA,NA,NA,NA
104733119,NA,NA,NA,NA,NA,NA,NA
104733120,NA,NA,NA,NA,NA,NA,NA
104733121,NA,NA,NA,NA,NA,NA,NA
104733122,NA,NA,NA,NA,NA,NA,NA
104733123,NA,NA,NA,NA,NA,NA,NA
104733124,NA,NA,NA,NA,NA,NA,NA
104733125,NA,NA,NA,NA,NA,NA,NA
104733126,NA,NA,NA,NA,NA,NA,NA
104733127,NA,NA,NA,NA,NA,NA,NA
104733128,NA,NA,NA,NA,NA,NA,NA
104733129,NA,NA,NA,NA,NA,NA,NA
104733130,NA,NA,NA,NA,NA,NA,NA
104733131,NA,NA,NA,NA,NA,NA,NA
104733132,NA,NA,NA,NA,NA,NA,NA
104733133,NA,NA,NA,NA,NA,NA,NA
104733134,NA,NA,NA,NA,NA,NA,NA
104733135,NA,NA,NA,NA,NA,NA,NA
104733136,NA,NA,NA,NA,NA,NA,NA
104733137,NA,NA,NA,NA,NA,NA,NA
104733138,NA,NA,NA,NA,NA,NA,NA
104733139,NA,NA,NA,NA,NA,NA,NA
104733140,NA,NA,NA,NA,NA,NA,NA
104733141,NA,NA,NA,NA,NA,NA,NA
104733142,NA,NA,NA,NA,NA,NA,NA
104733143,NA,NA,NA,NA,NA,NA,NA
104733144,NA,NA,NA,NA,NA,NA,NA
104733145,NA,NA,NA,NA,NA,NA,NA
104733146,NA,NA,NA,NA,NA,NA,NA
104733147,NA,NA,NA,NA,NA,NA,NA
104733148,NA,NA,NA,NA,NA,NA,NA
104733149,NA,NA,NA,NA,NA,NA,NA
104733150,NA,NA,NA,NA,NA,NA,NA
104733151,NA,NA,NA,NA,NA,NA,NA
104733152,NA,NA,NA,NA,NA,NA,NA
104733153,NA,NA,NA,NA,NA,NA,NA
104733154,NA,NA,NA,NA,NA,NA,NA
104733155,NA,NA,NA,NA,NA,NA,NA
104733156,NA,NA,NA,NA,NA,NA,NA
