hh_id,country,hh_size
HH10471401,at,3
HH10471402,at,3
HH10471403,at,3
HH10471405,at,3
HH10471406,at,3
HH10471407,at,3
HH10471501,at,4
HH10471601,at,1
HH10471602,at,1
HH10471603,at,1
HH10471606,at,1
HH10471607,at,1
HH10471609,at,1
HH10471701,at,2
HH10471801,at,3
HH10471802,at,3
HH10471803,at,3
HH10471805,at,3
HH10471807,at,3
HH10471809,at,3
HH10471901,at,2
HH10471902,at,3
HH10471903,at,3
HH10471906,at,3
HH10471907,at,3
HH10471909,at,3
HH10472001,at,4
HH10472002,at,4
HH10472003,at,4
HH10472007,at,4
HH10472009,at,4
HH10472101,at,2
HH10472102,at,2
HH10472103,at,2
HH10472105,at,2
HH10472107,at,2
HH10472109,at,2
HH10472201,at,2
HH10472203,at,2
HH10472205,at,2
HH10472207,at,2
HH10472301,at,2
HH10472302,at,2
HH10472307,at,2
HH10472309,at,2
HH10472401,at,5
HH10472402,at,5
HH10472403,at,5
HH10472405,at,5
HH10472406,at,5
HH10472407,at,5
HH10472501,at,1
HH10472502,at,1
HH10472503,at,1
HH10472505,at,1
HH10472506,at,1
HH10472507,at,1
HH10472509,at,1
HH10472601,at,1
HH10472602,at,1
HH10472603,at,1
HH10472605,at,1
HH10472606,at,1
HH10472609,at,1
HH10472701,at,1
HH10472702,at,1
HH10472703,at,1
HH10472706,at,1
HH10472707,at,1
HH10472709,at,1
HH10472801,at,3
HH10472802,at,3
HH10472803,at,3
HH10472805,at,3
HH10472806,at,3
HH10472807,at,3
HH10472809,at,3
HH10472901,at,2
HH10472902,at,2
HH10472903,at,2
HH10472905,at,2
HH10472906,at,2
HH10472907,at,2
HH10472909,at,2
HH10473001,at,1
HH10473002,at,1
HH10473003,at,1
HH10473007,at,1
HH10473101,at,2
HH10473102,at,2
HH10473103,at,2
HH10473201,at,1
HH10473202,at,1
HH10473203,at,1
HH10473205,at,1
HH10473301,at,2
HH10473302,at,2
HH10473303,at,2
HH10473305,at,2
HH10473306,at,2
HH10473307,at,2
HH10473309,at,2
HH10473401,at,1
HH10473402,at,1
HH10473403,at,1
HH10473405,at,1
HH10473406,at,1
HH10473407,at,1
HH10473409,at,1
HH10473501,at,3
HH10473502,at,3
HH10473505,at,3
HH10473506,at,3
HH10473507,at,3
HH10473509,at,3
HH10473601,at,4
HH10473602,at,4
