"part_id","hh_id","part_age","part_gender"
10471401,"HH10471401","40-49","M"
10471402,"HH10471402","40-49","M"
10471403,"HH10471403","40-49","M"
10471405,"HH10471405","40-49","M"
10471406,"HH10471406","40-49","M"
10471407,"HH10471407","40-49","M"
10471501,"HH10471501","50-59","M"
10471601,"HH10471601","50-59","M"
10471602,"HH10471602","50-59","M"
10471603,"HH10471603","50-59","M"
10471606,"HH10471606","50-59","M"
10471607,"HH10471607","50-59","M"
10471609,"HH10471609","50-59","M"
10471701,"HH10471701","18-29","F"
10471801,"HH10471801","18-29","F"
10471802,"HH10471802","18-29","F"
10471803,"HH10471803","18-29","F"
10471805,"HH10471805","18-29","F"
10471807,"HH10471807","18-29","F"
10471809,"HH10471809","18-29","F"
10471901,"HH10471901","60-69","M"
10471902,"HH10471902","60-69","M"
10471903,"HH10471903","60-69","M"
10471906,"HH10471906","60-69","M"
10471907,"HH10471907","60-69","M"
10471909,"HH10471909","60-69","M"
10472001,"HH10472001","40-49","M"
10472002,"HH10472002","40-49","M"
10472003,"HH10472003","40-49","M"
10472007,"HH10472007","40-49","M"
10472009,"HH10472009","40-49","M"
10472101,"HH10472101","40-49","M"
10472102,"HH10472102","40-49","M"
10472103,"HH10472103","40-49","M"
10472105,"HH10472105","40-49","M"
10472107,"HH10472107","40-49","M"
10472109,"HH10472109","40-49","M"
10472201,"HH10472201","60-69","M"
10472203,"HH10472203","60-69","M"
10472205,"HH10472205","60-69","M"
10472207,"HH10472207","60-69","M"
10472301,"HH10472301","18-29","M"
10472302,"HH10472302","18-29","M"
10472307,"HH10472307","18-29","M"
10472309,"HH10472309","18-29","M"
10472401,"HH10472401","50-59","M"
10472402,"HH10472402","50-59","M"
10472403,"HH10472403","50-59","M"
10472405,"HH10472405","50-59","M"
10472406,"HH10472406","50-59","M"
10472407,"HH10472407","50-59","M"
10472501,"HH10472501","40-49","M"
10472502,"HH10472502","40-49","M"
10472503,"HH10472503","40-49","M"
10472505,"HH10472505","40-49","M"
10472506,"HH10472506","40-49","M"
10472507,"HH10472507","40-49","M"
10472509,"HH10472509","40-49","M"
10472601,"HH10472601","50-59","M"
10472602,"HH10472602","50-59","M"
10472603,"HH10472603","50-59","M"
10472605,"HH10472605","50-59","M"
10472606,"HH10472606","50-59","M"
10472609,"HH10472609","50-59","M"
10472701,"HH10472701","50-59","M"
10472702,"HH10472702","50-59","M"
10472703,"HH10472703","50-59","M"
10472706,"HH10472706","50-59","M"
10472707,"HH10472707","50-59","M"
10472709,"HH10472709","50-59","M"
10472801,"HH10472801","50-59","F"
10472802,"HH10472802","50-59","F"
10472803,"HH10472803","50-59","F"
10472805,"HH10472805","50-59","F"
10472806,"HH10472806","50-59","F"
10472807,"HH10472807","50-59","F"
10472809,"HH10472809","50-59","F"
10472901,"HH10472901","50-59","M"
10472902,"HH10472902","50-59","M"
10472903,"HH10472903","50-59","M"
10472905,"HH10472905","50-59","M"
10472906,"HH10472906","50-59","M"
10472907,"HH10472907","50-59","M"
10472909,"HH10472909","50-59","M"
10473001,"HH10473001","70-120","M"
10473002,"HH10473002","70-120","M"
10473003,"HH10473003","70-120","M"
10473007,"HH10473007","70-120","M"
10473101,"HH10473101","60-69","F"
10473102,"HH10473102","60-69","F"
10473103,"HH10473103","60-69","F"
10473201,"HH10473201","18-29","F"
10473202,"HH10473202","18-29","F"
10473203,"HH10473203","18-29","F"
10473205,"HH10473205","18-29","F"
10473301,"HH10473301","50-59","M"
10473302,"HH10473302","50-59","M"
10473303,"HH10473303","40-49","M"
10473305,"HH10473305","50-59","M"
10473306,"HH10473306","50-59","M"
10473307,"HH10473307","50-59","M"
10473309,"HH10473309","40-49","F"
10473401,"HH10473401","40-49","M"
10473402,"HH10473402","40-49","M"
10473403,"HH10473403","40-49","M"
10473405,"HH10473405","40-49","M"
10473406,"HH10473406","40-49","M"
10473407,"HH10473407","40-49","M"
10473409,"HH10473409","40-49","M"
10473501,"HH10473501","60-69","M"
10473502,"HH10473502","60-69","M"
10473505,"HH10473505","60-69","M"
10473506,"HH10473506","60-69","M"
10473507,"HH10473507","60-69","M"
10473509,"HH10473509","60-69","M"
10473601,"HH10473601","70-120","F"
10473602,"HH10473602","70-120","F"
10473603,"HH10473603","70-120","F"
10473605,"HH10473605","70-120","F"
10473606,"HH10473606","70-120","F"
10473607,"HH10473607","70-120","F"
10473609,"HH10473609","70-120","F"
10473701,"HH10473701","70-120","M"
10473702,"HH10473702","70-120","M"
10473703,"HH10473703","70-120","M"
10473705,"HH10473705","70-120","M"
10473707,"HH10473707","70-120","M"
10473709,"HH10473709","70-120","M"
10473801,"HH10473801","40-49","M"
10473802,"HH10473802","40-49","M"
10473805,"HH10473805","40-49","M"
10473806,"HH10473806","40-49","M"
10473807,"HH10473807","40-49","M"
10473809,"HH10473809","40-49","M"
10473901,"HH10473901","70-120","M"
10473902,"HH10473902","70-120","M"
10473903,"HH10473903","70-120","M"
10473905,"HH10473905","70-120","M"
10473906,"HH10473906","70-120","M"
10473907,"HH10473907","70-120","M"
10473909,"HH10473909","70-120","M"
10474001,"HH10474001","30-39","F"
10474002,"HH10474002","30-39","F"
10474006,"HH10474006","30-39","F"
10474009,"HH10474009","30-39","F"
10474101,"HH10474101","50-59","M"
10474102,"HH10474102","50-59","M"
10474103,"HH10474103","50-59","M"
10474106,"HH10474106","50-59","M"
10474107,"HH10474107","50-59","M"
10474109,"HH10474109","50-59","M"
10474201,"HH10474201","40-49","M"
10474202,"HH10474202","40-49","M"
10474203,"HH10474203","40-49","M"
10474205,"HH10474205","40-49","M"
10474206,"HH10474206","40-49","M"
10474207,"HH10474207","40-49","M"
10474209,"HH10474209","40-49","M"
10474301,"HH10474301","30-39","F"
10474302,"HH10474302","30-39","F"
10474303,"HH10474303","30-39","F"
10474305,"HH10474305","30-39","F"
10474306,"HH10474306","30-39","F"
10474307,"HH10474307","30-39","F"
10474309,"HH10474309","30-39","F"
10474401,"HH10474401","40-49","F"
10474402,"HH10474402","40-49","F"
10474403,"HH10474403","40-49","F"
10474405,"HH10474405","40-49","F"
10474406,"HH10474406","40-49","F"
10474409,"HH10474409","40-49","F"
10474501,"HH10474501","50-59","M"
10474502,"HH10474502","50-59","M"
10474506,"HH10474506","50-59","M"
10474507,"HH10474507","50-59","M"
