part_id,sday_id,dayofweek,month,year,day,wave
10471401,2020.12.21,1,12,2020,21,1
10471501,2020.12.21,1,12,2020,21,1
10471601,2020.12.21,1,12,2020,21,1
10471701,2020.12.21,1,12,2020,21,1
10471801,2020.12.21,1,12,2020,21,1
10471901,2020.12.21,1,12,2020,21,1
10472001,2020.12.21,1,12,2020,21,1
10472101,2020.12.21,1,12,2020,21,1
10472201,2020.12.21,1,12,2020,21,1
10472301,2020.12.21,1,12,2020,21,1
10472401,2020.12.21,1,12,2020,21,1
10472501,2020.12.21,1,12,2020,21,1
10472601,2020.12.21,1,12,2020,21,1
10472701,2020.12.21,1,12,2020,21,1
10472801,2020.12.21,1,12,2020,21,1
10472901,2020.12.21,1,12,2020,21,1
10473001,2020.12.21,1,12,2020,21,1
10473101,2020.12.21,1,12,2020,21,1
10473201,2020.12.21,1,12,2020,21,1
10473301,2020.12.21,1,12,2020,21,1
10473401,2020.12.21,1,12,2020,21,1
10473501,2020.12.21,1,12,2020,21,1
10473601,2020.12.21,1,12,2020,21,1
10473701,2020.12.21,1,12,2020,21,1
10473801,2020.12.21,1,12,2020,21,1
10473901,2020.12.21,1,12,2020,21,1
10474001,2020.12.21,1,12,2020,21,1
10474101,2020.12.21,1,12,2020,21,1
10474201,2020.12.21,1,12,2020,21,1
10474301,2020.12.21,1,12,2020,21,1
10474401,2020.12.21,1,12,2020,21,1
10474501,2020.12.21,1,12,2020,21,1
10474601,2020.12.23,3,12,2020,23,1
10474701,2020.12.21,1,12,2020,21,1
10474801,2020.12.21,1,12,2020,21,1
10474901,2020.12.22,2,12,2020,22,1
10475001,2020.12.22,2,12,2020,22,1
10475101,2020.12.22,2,12,2020,22,1
10475201,2020.12.22,2,12,2020,22,1
10475301,2020.12.22,2,12,2020,22,1
10475401,2020.12.22,2,12,2020,22,1
10475501,2020.12.22,2,12,2020,22,1
10475601,2020.12.22,2,12,2020,22,1
10475701,2020.12.22,2,12,2020,22,1
10475801,2020.12.22,2,12,2020,22,1
10475901,2020.12.22,2,12,2020,22,1
10476001,2020.12.22,2,12,2020,22,1
10476101,2020.12.22,2,12,2020,22,1
10476201,2020.12.22,2,12,2020,22,1
10476301,2020.12.22,2,12,2020,22,1
10476401,2020.12.22,2,12,2020,22,1
10476501,2020.12.22,2,12,2020,22,1
10476601,2020.12.22,2,12,2020,22,1
10476701,2020.12.22,2,12,2020,22,1
10476801,2020.12.22,2,12,2020,22,1
10476901,2020.12.22,2,12,2020,22,1
10477001,2020.12.22,2,12,2020,22,1
10477101,2020.12.22,2,12,2020,22,1
10477201,2020.12.22,2,12,2020,22,1
10477301,2020.12.22,2,12,2020,22,1
10477401,2020.12.22,2,12,2020,22,1
10477501,2020.12.22,2,12,2020,22,1
10477601,2020.12.22,2,12,2020,22,1
10477701,2020.12.22,2,12,2020,22,1
10477801,2020.12.22,2,12,2020,22,1
10477901,2020.12.22,2,12,2020,22,1
10478001,2020.12.22,2,12,2020,22,1
10478101,2020.12.22,2,12,2020,22,1
10478201,2020.12.22,2,12,2020,22,1
10478301,2020.12.22,2,12,2020,22,1
10478401,2020.12.22,2,12,2020,22,1
10478501,2020.12.22,2,12,2020,22,1
10478601,2020.12.22,2,12,2020,22,1
10478701,2020.12.22,2,12,2020,22,1
10478801,2020.12.22,2,12,2020,22,1
10478901,2020.12.22,2,12,2020,22,1
10479001,2020.12.22,2,12,2020,22,1
10479101,2020.12.22,2,12,2020,22,1
