hh_type,hh_id
Couple with no children,HH1200101
Couple with no children,HH1200101
Couple with independent children only,HH1200201
Couple with independent children only,HH1200201
Couple with independent children only,HH1200201
Couple with no children,HH1200301
Couple with no children,HH1200301
Couple with no children,NA
,
Couple with no children,HH1200401
Couple with no children,HH1200401
Couple with independent children only,HH1200501
Couple with independent children only,HH1200501
Couple with independent children only,HH1200601
Couple with independent children only,HH1200601
Couple with independent children only,HH1200601
Couple with no children,HH1200701
Couple with no children,NA
,
Couple with no children,HH1200801
Couple with no children,HH1200801
Live alone,HH1200901
Live alone,HH1201001
Couple with no children,HH1201101
Couple with no children,NA
,
Couple with independent children only,HH1201201
Couple with independent children only,NA
,
Couple with independent children only,HH1201201
Couple with independent children only,HH1201301
Couple with independent children only,HH1201301
Couple with no children,HH1201401
Couple with no children,HH1201401
Couple with dependent children,HH1201501
Couple with dependent children,HH1201501
Couple with dependent children,HH1201501
Couple with dependent children,NA
,
Couple with no children,HH1201601
Couple with no children,HH1201601
Couple with no children,HH1201701
Couple with no children,HH1201701
Couple with no children,HH1201701
Couple with no children,HH1201801
Couple with no children,HH1201801
Couple with independent children only,HH1201901
Couple with independent children only,HH1201901
Couple with independent children only,HH1201901
Live alone,HH1202001
Couple with independent children only,HH1202101
Couple with independent children only,HH1202101
Couple with dependent children,HH1202201
Couple with dependent children,HH1202201
Couple with dependent children,HH1202201
Couple with dependent children,HH1202201
Couple with no children,HH1202301
Couple with no children,HH1202301
Couple with no children,HH1202401
Couple with no children,HH1202401
Live alone,HH1202501
Couple with independent children only,HH1202601
Couple with independent children only,NA
,
Couple with independent children only,HH1202701
Couple with independent children only,HH1202701
Couple with independent children only,HH1202701
Couple with independent children only,HH1202701
Couple with independent children only,HH1202801
Couple with independent children only,HH1202801
Live alone,HH1202901
Couple with independent children only,HH1203001
Couple with independent children only,HH1203001
Couple with independent children only,HH1203001
Couple with independent children only,HH1203101
Couple with independent children only,HH1203101
Couple with no children,HH1203201
Couple with no children,HH1203201
Couple with independent children only,HH1203301
Couple with independent children only,HH1203301
Couple with no children,HH1203401
Couple with no children,NA
,
Live alone,HH1203501
Couple with independent children only,HH1203601
Couple with independent children only,HH1203601
Couple with independent children only,HH1203601
Lone parent with independent children only,HH1203701
Lone parent with independent children only,HH1203701
Lone parent with independent children only,HH1203701
Couple with no children,HH1203801
Couple with no children,HH1203801
Couple with no children,HH1203901
Couple with no children,NA
,
Couple with no children,NA
,
Couple with no children,HH1204001
Couple with no children,HH1204001
Couple with no children,HH1204001
Couple with independent children only,HH1204101
Couple with independent children only,HH1204101
Couple with independent children only,HH1204101
Couple with independent children only,HH1204101
Couple with dependent children,HH1204201
Couple with dependent children,NA
,
Couple with dependent children,NA
,
Couple with dependent children,HH1204201
Couple with independent children only,HH1204301
Couple with independent children only,HH1204301
Couple with no children,HH1204401
Couple with no children,NA
,
Couple with no children,NA
,
Couple with dependent children,HH1204501
Couple with dependent children,HH1204501
Couple with dependent children,HH1204501
Couple with dependent children,HH1204501
Couple with dependent children,HH1204601
Couple with dependent children,HH1204601
Couple with dependent children,HH1204601
Couple with dependent children,HH1204601
Couple with dependent children,HH1204601
Couple with no children,HH1204701
Couple with no children,HH1204701
Live alone,HH1204801
Couple with no children,HH1204901
Couple with no children,HH1204901
Live alone,HH1205001
Live alone,HH1205101
Couple with independent children only,HH1205201
Couple with independent children only,HH1205201
Live alone,HH1205301
Couple with no children,HH1205401
Couple with no children,HH1205401
Couple with no children,HH1205501
Couple with no children,HH1205501
Couple with dependent children,HH1205601
Couple with dependent children,HH1205601
Couple with dependent children,HH1205601
Couple with dependent children,HH1205601
Couple with dependent children,NA
,
Couple with independent children only,HH1205701
Couple with independent children only,HH1205701
Couple with independent children only,HH1205701
Live alone,HH1205801
Live alone,HH1205901
Live alone,HH1206001
Couple with independent children only,HH1206101
Couple with independent children only,HH1206101
Couple with dependent children,HH1206201
Couple with dependent children,HH1206201
Couple with no children,HH1206301
