"part_id","hh_id","part_age","part_gender"
10000101,"HH10000101","40-49","M"
10000102,"HH10000102","40-49","M"
10000201,"HH10000201","70-120","F"
10000203,"HH10000203","70-120","F"
10000301,"HH10000301","60-69","M"
10000303,"HH10000303","60-69","M"
10000401,"HH10000401","60-69","M"
10000501,"HH10000501","70-120","F"
10000503,"HH10000503","70-120","F"
10000504,"HH10000504","70-120","F"
10000601,"HH10000601","16-17","M"
10000602,"HH10000602","16-17","M"
10000603,"HH10000603","16-17","M"
10000701,"HH10000701","16-17","F"
10000702,"HH10000702","16-17","F"
10000703,"HH10000703","16-17","F"
10000801,"HH10000801","1-4","M"
10000803,"HH10000803",NA,"M"
10000901,"HH10000901","12-15","F"
10000902,"HH10000902","12-15","F"
10000903,"HH10000903","12-15","F"
10000904,"HH10000904","12-15","F"
10001001,"HH10001001","70-120","M"
10001101,"HH10001101","5-11","F"
10001201,"HH10001201","70-120","M"
10001203,"HH10001203","70-120","M"
10001301,"HH10001301","12-15","M"
10001302,"HH10001302","12-15","M"
10001303,"HH10001303","12-15","M"
10001304,"HH10001304","12-15","M"
10001401,"HH10001401","70-120","M"
10001402,"HH10001402","70-120","M"
10001403,"HH10001403","70-120","M"
10001501,"HH10001501","70-120","M"
10001503,"HH10001503","70-120","M"
10001601,"HH10001601","5-11","M"
10001701,"HH10001701","1-4","F"
10001702,"HH10001702","1-4","F"
10001703,"HH10001703","1-4","F"
10001704,"HH10001704","1-4","F"
10001801,"HH10001801","5-11","F"
10001804,"HH10001804","5-11","F"
10001901,"HH10001901","16-17","F"
10002001,"HH10002001","60-69","M"
10002101,"HH10002101","12-15","F"
10002201,"HH10002201","12-15","F"
10002202,"HH10002202","12-15","F"
10002203,"HH10002203","12-15","F"
10002204,"HH10002204","12-15","F"
10002301,"HH10002301","12-15","F"
10002401,"HH10002401","12-15","M"
10002402,"HH10002402","12-15","M"
10002403,"HH10002403","12-15","M"
10002501,"HH10002501","60-69","M"
10002601,"HH10002601","12-15","F"
10002602,"HH10002602","12-15","F"
10002603,"HH10002603","12-15","F"
10002701,"HH10002701","12-15","M"
10002801,"HH10002801","16-17","M"
10002901,"HH10002901","70-120","F"
10003001,"HH10003001","70-120","M"
10003101,"HH10003101","12-15","M"
10003103,"HH10003103",NA,"M"
10003201,"HH10003201","12-15","M"
10003202,"HH10003202","12-15","M"
10003203,"HH10003203","12-15","M"
10003204,"HH10003204","12-15","M"
10003301,"HH10003301","16-17","M"
10003302,"HH10003302","16-17","M"
10003303,"HH10003303","16-17","M"
10003401,"HH10003401","5-11","M"
10003402,"HH10003402","5-11","M"
10003403,"HH10003403","5-11","M"
10003501,"HH10003501","60-69","M"
10003601,"HH10003601","70-120","M"
10003603,"HH10003603","70-120","M"
10003701,"HH10003701","16-17","M"
10003703,"HH10003703","16-17","M"
10003801,"HH10003801","5-11","F"
10003802,"HH10003802","5-11","F"
10003803,"HH10003803","5-11","F"
10003901,"HH10003901","70-120","M"
10003902,"HH10003902","70-120","M"
10003903,"HH10003903","70-120","M"
10003904,"HH10003904","70-120","M"
10004001,"HH10004001","5-11","M"
10004002,"HH10004002","5-11","M"
10004003,"HH10004003","5-11","M"
10004101,"HH10004101","5-11","F"
10004102,"HH10004102","5-11","F"
10004103,"HH10004103","5-11","F"
10004201,"HH10004201","12-15","F"
10004202,"HH10004202","12-15","F"
10004301,"HH10004301","1-4","M"
10004302,"HH10004302","1-4","M"
10004303,"HH10004303","1-4","M"
10004401,"HH10004401","60-69","F"
10004501,"HH10004501","12-15","M"
10004502,"HH10004502","12-15","M"
10004503,"HH10004503","12-15","M"
10004504,"HH10004504","12-15","M"
10004601,"HH10004601","1-4","M"
10004604,"HH10004604","1-4","M"
10004701,"HH10004701","5-11","M"
10004703,"HH10004703","12-15","M"
10004801,"HH10004801","60-69","F"
10004804,"HH10004804","60-69","F"
10004901,"HH10004901","16-17","M"
10004902,"HH10004902","16-17","M"
10004903,"HH10004903","16-17","M"
10004904,"HH10004904","16-17","M"
10005001,"HH10005001","16-17","F"
10005002,"HH10005002","16-17","F"
10005003,"HH10005003","16-17","F"
10005101,"HH10005101","60-69","M"
10005201,"HH10005201","60-69","M"
10005301,"HH10005301","18-29","F"
10005401,"HH10005401","70-120","F"
10005404,"HH10005404","70-120","F"
10005501,"HH10005501","18-29","F"
10005601,"HH10005601","60-69","M"
10005603,"HH10005603","60-69","M"
10005701,"HH10005701","50-59","M"
10005702,"HH10005702","50-59","M"
10005703,"HH10005703","50-59","M"
10005801,"HH10005801","40-49","F"
10005802,"HH10005802","40-49","F"
10005803,"HH10005803","40-49","F"
10005804,"HH10005804","40-49","F"
10005901,"HH10005901","40-49","F"
10005902,"HH10005902","40-49","F"
10005904,"HH10005904","40-49","F"
10006001,"HH10006001","50-59","F"
10006002,"HH10006002","50-59","F"
10006003,"HH10006003","50-59","F"
10006101,"HH10006101","60-69","F"
10006102,"HH10006102","60-69","F"
10006103,"HH10006103","60-69","F"
10006201,"HH10006201","60-69","M"
10006202,"HH10006202","60-69","M"
10006203,"HH10006203","60-69","M"
10006301,"HH10006301","70-120","M"
10006401,"HH10006401","30-39","M"
10006402,"HH10006402","30-39","M"
10006403,"HH10006403","30-39","M"
10006501,"HH10006501","30-39","F"
10006502,"HH10006502","30-39","F"
10006503,"HH10006503","30-39","F"
10006601,"HH10006601","60-69","M"
10006604,"HH10006604","60-69","M"
10006701,"HH10006701","30-39","F"
10006702,"HH10006702","30-39","F"
10006703,"HH10006703","30-39","F"
10006704,"HH10006704","30-39","F"
10006801,"HH10006801","60-69","M"
