"part_id","panel","multiple_contacts_child_work","multiple_contacts_child_school","multiple_contacts_child_other","multiple_contacts_adult_work","multiple_contacts_adult_school","multiple_contacts_adult_other","multiple_contacts_older_adult_work","multiple_contacts_older_adult_school","multiple_contacts_older_adult_other","multiple_contacts_child_work_phys","multiple_contacts_child_school_phys","multiple_contacts_child_other_phys","multiple_contacts_adult_work_phys","multiple_contacts_adult_school_phys","multiple_contacts_adult_other_phys","multiple_contacts_older_adult_work_phys","multiple_contacts_older_adult_school_phys","multiple_contacts_older_adult_other_phys","panel_id","survey_round","country"
1200101,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12001,1,"BE"
1200102,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12001,2,"BE"
1200103,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12001,3,"BE"
1200104,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12001,4,"BE"
1200105,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12001,5,"BE"
1200106,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12001,6,"BE"
1200107,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12001,7,"BE"
1200108,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12001,8,"BE"
1200201,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12002,1,"BE"
1200202,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12002,2,"BE"
1200203,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12002,3,"BE"
1200204,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12002,4,"BE"
1200205,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12002,5,"BE"
1200206,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12002,6,"BE"
1200207,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12002,7,"BE"
1200208,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12002,8,"BE"
1200301,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12003,1,"BE"
1200302,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12003,2,"BE"
1200303,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12003,3,"BE"
1200304,"A",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,12003,4,"BE"
1200305,"A",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,12003,5,"BE"
1200306,"A",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12003,6,"BE"
1200307,"A",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,12003,7,"BE"
1200308,"A",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,12003,8,"BE"
1200401,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12004,1,"BE"
1200402,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12004,2,"BE"
1200403,"A",0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,12004,3,"BE"
1200404,"A",0,0,0,0,0,8,0,0,12,0,0,0,0,0,0,0,0,0,12004,4,"BE"
1200405,"A",0,0,0,0,0,3,0,0,4,0,0,0,0,0,1,0,0,1,12004,5,"BE"
1200406,"A",0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,12004,6,"BE"
1200408,"A",0,0,0,0,0,4,0,0,2,0,0,0,0,0,1,0,0,2,12004,8,"BE"
1200501,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12005,1,"BE"
1200502,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12005,2,"BE"
1200503,"A",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,12005,3,"BE"
1200504,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12005,4,"BE"
1200505,"A",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12005,5,"BE"
1200506,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12005,6,"BE"
1200507,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12005,7,"BE"
1200508,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12005,8,"BE"
