cont_id,cnt_outside_other,cnt_other_house,cnt_worship,cnt_supermarket,cnt_shop,cnt_gender_all,frequency_multi_all
101561001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
101561002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
101561003,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
101561004,FALSE,FALSE,FALSE,FALSE,FALSE,male,2-3 weeks
101562001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
101563001,FALSE,FALSE,FALSE,FALSE,FALSE,female,2-3 weeks
101563002,TRUE,FALSE,FALSE,FALSE,FALSE,female,2-3 weeks
101564001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
101565001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
101565002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
101565003,FALSE,FALSE,FALSE,FALSE,FALSE,male,3-7 days
101565004,FALSE,TRUE,FALSE,FALSE,FALSE,male,2-3 weeks
101566001,FALSE,FALSE,TRUE,FALSE,FALSE,male,1-2 days
101566002,FALSE,FALSE,TRUE,FALSE,FALSE,male,1-2 days
101566003,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
101566004,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
101566005,FALSE,FALSE,TRUE,FALSE,FALSE,female,2-3 weeks
101566006,FALSE,FALSE,TRUE,FALSE,FALSE,female,2-3 weeks
101566007,FALSE,FALSE,TRUE,FALSE,FALSE,female,1 month
101566008,FALSE,FALSE,TRUE,FALSE,FALSE,male,2-3 weeks
101566009,NA,NA,NA,NA,NA,NA,NA
101566010,NA,NA,NA,NA,NA,NA,NA
101566011,NA,NA,NA,NA,NA,NA,NA
101566012,NA,NA,NA,NA,NA,NA,NA
101566013,NA,NA,NA,NA,NA,NA,NA
101566014,NA,NA,NA,NA,NA,NA,NA
101566015,NA,NA,NA,NA,NA,NA,NA
101566016,NA,NA,NA,NA,NA,NA,NA
101566017,NA,NA,NA,NA,NA,NA,NA
101566018,NA,NA,NA,NA,NA,NA,NA
101566019,NA,NA,NA,NA,NA,NA,NA
101566020,NA,NA,NA,NA,NA,NA,NA
101566021,NA,NA,NA,NA,NA,NA,NA
101566022,NA,NA,NA,NA,NA,NA,NA
101566023,NA,NA,NA,NA,NA,NA,NA
101566024,NA,NA,NA,NA,NA,NA,NA
101566025,NA,NA,NA,NA,NA,NA,NA
101566026,NA,NA,NA,NA,NA,NA,NA
101566027,NA,NA,NA,NA,NA,NA,NA
101566028,NA,NA,NA,NA,NA,NA,NA
101566029,NA,NA,NA,NA,NA,NA,NA
101566030,NA,NA,NA,NA,NA,NA,NA
101566031,NA,NA,NA,NA,NA,NA,NA
101566032,NA,NA,NA,NA,NA,NA,NA
101566033,NA,NA,NA,NA,NA,NA,NA
101566034,NA,NA,NA,NA,NA,NA,NA
101566035,NA,NA,NA,NA,NA,NA,NA
101566036,NA,NA,NA,NA,NA,NA,NA
101566037,NA,NA,NA,NA,NA,NA,NA
101566038,NA,NA,NA,NA,NA,NA,NA
101566039,NA,NA,NA,NA,NA,NA,NA
101566040,NA,NA,NA,NA,NA,NA,NA
101566041,NA,NA,NA,NA,NA,NA,NA
101569001,FALSE,FALSE,FALSE,FALSE,FALSE,female,2-3 weeks
101569002,TRUE,FALSE,FALSE,FALSE,FALSE,male,3-7 days
101570001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
101571001,FALSE,FALSE,FALSE,TRUE,FALSE,male,1-2 days
101571002,FALSE,FALSE,FALSE,FALSE,FALSE,female,NA
101571003,FALSE,FALSE,FALSE,FALSE,FALSE,male,occasional
101571004,NA,NA,NA,NA,NA,NA,NA
101571005,NA,NA,NA,NA,NA,NA,NA
101571006,NA,NA,NA,NA,NA,NA,NA
101571007,NA,NA,NA,NA,NA,NA,NA
101571008,NA,NA,NA,NA,NA,NA,NA
101571009,NA,NA,NA,NA,NA,NA,NA
101571010,NA,NA,NA,NA,NA,NA,NA
101573001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
101573002,TRUE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
101573003,FALSE,FALSE,FALSE,FALSE,FALSE,female,never met
101574001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
101574002,FALSE,FALSE,FALSE,FALSE,FALSE,female,3-7 days
101575001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
101576001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
101577001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
101577002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
101577003,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
101578001,TRUE,FALSE,FALSE,FALSE,FALSE,male,3-7 days
101579001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
101579002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
101579003,FALSE,FALSE,FALSE,FALSE,FALSE,male,3-7 days
101579004,FALSE,FALSE,FALSE,FALSE,FALSE,female,2-3 weeks
101581001,FALSE,FALSE,FALSE,FALSE,FALSE,male,occasional
101581002,FALSE,FALSE,FALSE,FALSE,FALSE,female,occasional
101581003,FALSE,TRUE,FALSE,FALSE,FALSE,male,occasional
101581004,FALSE,FALSE,FALSE,FALSE,FALSE,female,never met
101582001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
101583001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
101583002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
101583003,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
101583004,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
101583005,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
101584001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
101585001,FALSE,FALSE,FALSE,FALSE,FALSE,female,never met
101585002,FALSE,FALSE,FALSE,FALSE,FALSE,female,never met
101585003,FALSE,FALSE,FALSE,FALSE,FALSE,female,never met
101585004,FALSE,FALSE,FALSE,FALSE,FALSE,female,never met
101585005,FALSE,FALSE,FALSE,FALSE,FALSE,male,occasional
101587001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
101588001,FALSE,FALSE,FALSE,FALSE,FALSE,male,3-7 days
101588002,FALSE,FALSE,FALSE,FALSE,FALSE,female,3-7 days
101588003,FALSE,FALSE,FALSE,FALSE,FALSE,male,3-7 days
101588004,NA,NA,NA,NA,NA,NA,NA
101588005,NA,NA,NA,NA,NA,NA,NA
101588006,NA,NA,NA,NA,NA,NA,NA
101588007,NA,NA,NA,NA,NA,NA,NA
101588008,NA,NA,NA,NA,NA,NA,NA
101588009,NA,NA,NA,NA,NA,NA,NA
101588010,NA,NA,NA,NA,NA,NA,NA
101588011,NA,NA,NA,NA,NA,NA,NA
101588012,NA,NA,NA,NA,NA,NA,NA
101588013,NA,NA,NA,NA,NA,NA,NA
101588014,NA,NA,NA,NA,NA,NA,NA
101588015,NA,NA,NA,NA,NA,NA,NA
101588016,NA,NA,NA,NA,NA,NA,NA
101588017,NA,NA,NA,NA,NA,NA,NA
101588018,NA,NA,NA,NA,NA,NA,NA
101588019,NA,NA,NA,NA,NA,NA,NA
101588020,NA,NA,NA,NA,NA,NA,NA
101588021,NA,NA,NA,NA,NA,NA,NA
101588022,NA,NA,NA,NA,NA,NA,NA
101588023,NA,NA,NA,NA,NA,NA,NA
101588024,NA,NA,NA,NA,NA,NA,NA
