hh_id,country,hh_size
HH10156001,ch,5
HH10156004,ch,NA
HH10156008,ch,NA
HH10156101,ch,4
HH10156103,ch,NA
HH10156104,ch,NA
HH10156105,ch,NA
HH10156107,ch,NA
HH10156108,ch,NA
HH10156109,ch,NA
HH10156201,ch,2
HH10156205,ch,NA
HH10156207,ch,NA
HH10156208,ch,NA
HH10156209,ch,NA
HH10156301,ch,2
HH10156303,ch,NA
HH10156304,ch,NA
HH10156305,ch,NA
HH10156308,ch,NA
HH10156309,ch,NA
HH10156401,ch,2
HH10156403,ch,NA
HH10156404,ch,NA
HH10156405,ch,NA
HH10156408,ch,NA
HH10156409,ch,NA
HH10156501,ch,5
HH10156503,ch,NA
HH10156504,ch,NA
HH10156505,ch,NA
HH10156507,ch,NA
HH10156508,ch,NA
HH10156509,ch,NA
HH10156601,ch,5
HH10156609,ch,NA
HH10156701,ch,3
HH10156703,ch,NA
HH10156704,ch,NA
HH10156705,ch,NA
HH10156708,ch,NA
HH10156801,ch,1
HH10156803,ch,NA
HH10156804,ch,NA
HH10156805,ch,NA
HH10156807,ch,NA
HH10156808,ch,NA
HH10156901,ch,2
HH10156903,ch,NA
HH10156904,ch,NA
HH10156907,ch,NA
HH10156908,ch,NA
HH10156909,ch,NA
HH10157001,ch,2
HH10157003,ch,NA
HH10157005,ch,NA
HH10157007,ch,NA
HH10157101,ch,3
HH10157103,ch,NA
HH10157104,ch,NA
HH10157105,ch,NA
HH10157107,ch,NA
HH10157201,ch,1
HH10157301,ch,2
HH10157303,ch,NA
HH10157304,ch,NA
HH10157401,ch,3
HH10157403,ch,NA
HH10157404,ch,NA
HH10157405,ch,NA
HH10157407,ch,NA
HH10157408,ch,NA
HH10157409,ch,NA
HH10157501,ch,2
HH10157601,ch,2
HH10157603,ch,NA
HH10157604,ch,NA
HH10157605,ch,NA
HH10157608,ch,NA
HH10157609,ch,NA
HH10157701,ch,4
HH10157703,ch,NA
HH10157801,ch,1
HH10157803,ch,NA
HH10157804,ch,NA
HH10157805,ch,NA
HH10157807,ch,NA
HH10157808,ch,NA
HH10157809,ch,NA
HH10157901,ch,3
HH10157903,ch,NA
HH10157904,ch,NA
HH10157907,ch,NA
HH10158001,ch,1
HH10158003,ch,NA
HH10158005,ch,NA
HH10158008,ch,NA
HH10158101,ch,1
HH10158104,ch,NA
HH10158105,ch,NA
HH10158107,ch,NA
HH10158108,ch,NA
HH10158109,ch,NA
HH10158201,ch,2
HH10158203,ch,NA
HH10158204,ch,NA
HH10158205,ch,NA
HH10158301,ch,2
HH10158303,ch,NA
HH10158304,ch,NA
HH10158305,ch,NA
HH10158307,ch,NA
HH10158308,ch,NA
HH10158309,ch,NA
HH10158401,ch,1
HH10158403,ch,NA
HH10158407,ch,NA
HH10158408,ch,NA
HH10158409,ch,NA
HH10158501,ch,1
HH10158503,ch,NA
HH10158601,ch,2
HH10158603,ch,NA
HH10158608,ch,NA
HH10158609,ch,NA
HH10158701,ch,2
HH10158703,ch,NA
HH10158704,ch,NA
HH10158705,ch,NA
HH10158801,ch,1
HH10158901,ch,4
HH10158903,ch,NA
HH10158904,ch,NA
HH10158905,ch,NA
HH10158907,ch,NA
HH10158908,ch,NA
HH10159001,ch,4
HH10159003,ch,NA
HH10159004,ch,NA
HH10159101,ch,1
HH10159103,ch,NA
HH10159104,ch,NA
HH10159105,ch,NA
HH10159107,ch,NA
HH10159108,ch,NA
HH10159109,ch,NA
HH10159201,ch,2
HH10159204,ch,NA
HH10159205,ch,NA
HH10159208,ch,NA
HH10159209,ch,NA
HH10159301,ch,1
HH10159304,ch,NA
HH10159305,ch,NA
HH10159307,ch,NA
HH10159308,ch,NA
HH10159401,ch,1
HH10159501,ch,2
HH10159503,ch,NA
HH10159601,ch,1
HH10159603,ch,NA
HH10159604,ch,NA
HH10159607,ch,NA
HH10159701,ch,2
HH10159704,ch,NA
HH10159707,ch,NA
HH10159708,ch,NA
HH10159709,ch,NA
HH10159801,ch,4
HH10159807,ch,NA
HH10159901,ch,3
HH10159903,ch,NA
HH10159904,ch,NA
HH10159905,ch,NA
HH10159907,ch,NA
HH10159908,ch,NA
HH10159909,ch,NA
HH10160001,ch,2
HH10160003,ch,NA
HH10160004,ch,NA
HH10160008,ch,NA
