"part_id","hh_id","part_age","part_gender"
10156001,"HH10156001","18-29","M"
10156004,"HH10156004","18-29","M"
10156008,"HH10156008","18-29","M"
10156101,"HH10156101","50-59","M"
10156103,"HH10156103","50-59","M"
10156104,"HH10156104","50-59","M"
10156105,"HH10156105","50-59","M"
10156107,"HH10156107","50-59","M"
10156108,"HH10156108","50-59","M"
10156109,"HH10156109","50-59","M"
10156201,"HH10156201","60-69","M"
10156205,"HH10156205","60-69","M"
10156207,"HH10156207","60-69","M"
10156208,"HH10156208","60-69","M"
10156209,"HH10156209","60-69","M"
10156301,"HH10156301","70-120","F"
10156303,"HH10156303","70-120","F"
10156304,"HH10156304","70-120","F"
10156305,"HH10156305","70-120","F"
10156308,"HH10156308","70-120","F"
10156309,"HH10156309","70-120","F"
10156401,"HH10156401","60-69","M"
10156403,"HH10156403","60-69","M"
10156404,"HH10156404","60-69","M"
10156405,"HH10156405","60-69","M"
10156408,"HH10156408","60-69","M"
10156409,"HH10156409","60-69","M"
10156501,"HH10156501","18-29","F"
10156503,"HH10156503","18-29","F"
10156504,"HH10156504","18-29","F"
10156505,"HH10156505","18-29","F"
10156507,"HH10156507","18-29","F"
10156508,"HH10156508","18-29","F"
10156509,"HH10156509","18-29","F"
10156601,"HH10156601","30-39","F"
10156609,"HH10156609","30-39","F"
10156701,"HH10156701","18-29","M"
10156703,"HH10156703","18-29","M"
10156704,"HH10156704","18-29","M"
10156705,"HH10156705","18-29","M"
10156708,"HH10156708","18-29","M"
10156801,"HH10156801","60-69","M"
10156803,"HH10156803","60-69","M"
10156804,"HH10156804","60-69","M"
10156805,"HH10156805","60-69","M"
10156807,"HH10156807","60-69","M"
10156808,"HH10156808","60-69","M"
10156901,"HH10156901","60-69","M"
10156903,"HH10156903","60-69","M"
10156904,"HH10156904","60-69","M"
10156907,"HH10156907","60-69","M"
10156908,"HH10156908","60-69","M"
10156909,"HH10156909","60-69","M"
10157001,"HH10157001","30-39","M"
10157003,"HH10157003","30-39","M"
10157005,"HH10157005","30-39","M"
10157007,"HH10157007","30-39","M"
10157101,"HH10157101","60-69","M"
10157103,"HH10157103","60-69","M"
10157104,"HH10157104","60-69","M"
10157105,"HH10157105","60-69","M"
10157107,"HH10157107","60-69","M"
10157201,"HH10157201","30-39","M"
10157301,"HH10157301","70-120","M"
10157303,"HH10157303","70-120","M"
10157304,"HH10157304","70-120","M"
10157401,"HH10157401","50-59","M"
10157403,"HH10157403","50-59","M"
10157404,"HH10157404","50-59","M"
10157405,"HH10157405","50-59","M"
10157407,"HH10157407","50-59","M"
10157408,"HH10157408","50-59","M"
10157409,"HH10157409","50-59","M"
10157501,"HH10157501","40-49","M"
10157601,"HH10157601","50-59","M"
10157603,"HH10157603","50-59","M"
10157604,"HH10157604","50-59","M"
10157605,"HH10157605","50-59","M"
10157608,"HH10157608","50-59","M"
10157609,"HH10157609","50-59","M"
10157701,"HH10157701","18-29","F"
10157703,"HH10157703","18-29","F"
10157801,"HH10157801","50-59","M"
10157803,"HH10157803","50-59","M"
10157804,"HH10157804","50-59","M"
10157805,"HH10157805","50-59","M"
10157807,"HH10157807","18-29","M"
10157808,"HH10157808","50-59","M"
10157809,"HH10157809","50-59","M"
10157901,"HH10157901","50-59","F"
10157903,"HH10157903","50-59","F"
10157904,"HH10157904","50-59","F"
10157907,"HH10157907","50-59","F"
10158001,"HH10158001","70-120","M"
10158003,"HH10158003","70-120","M"
10158005,"HH10158005","70-120","M"
10158008,"HH10158008","70-120","M"
10158101,"HH10158101","30-39","M"
10158104,"HH10158104","30-39","M"
10158105,"HH10158105","30-39","M"
10158107,"HH10158107","30-39","M"
10158108,"HH10158108","30-39","M"
10158109,"HH10158109","30-39","M"
10158201,"HH10158201","50-59","M"
10158203,"HH10158203","50-59","M"
10158204,"HH10158204","50-59","M"
10158205,"HH10158205","50-59","M"
10158301,"HH10158301","30-39","M"
10158303,"HH10158303","30-39","M"
10158304,"HH10158304","30-39","M"
10158305,"HH10158305","30-39","M"
10158307,"HH10158307","30-39","M"
10158308,"HH10158308","30-39","M"
10158309,"HH10158309","30-39","M"
10158401,"HH10158401","60-69","F"
10158403,"HH10158403","60-69","F"
10158407,"HH10158407","60-69","F"
10158408,"HH10158408","60-69","F"
10158409,"HH10158409","60-69","F"
10158501,"HH10158501","50-59","M"
10158503,"HH10158503","50-59","M"
10158601,"HH10158601","50-59","M"
10158603,"HH10158603","50-59","M"
10158608,"HH10158608","50-59","M"
10158609,"HH10158609","50-59","M"
10158701,"HH10158701","60-69","M"
10158703,"HH10158703","60-69","M"
10158704,"HH10158704","60-69","M"
10158705,"HH10158705","60-69","M"
10158801,"HH10158801","40-49","M"
10158901,"HH10158901","40-49","F"
10158903,"HH10158903","40-49","F"
10158904,"HH10158904","40-49","F"
10158905,"HH10158905","40-49","F"
10158907,"HH10158907","40-49","F"
10158908,"HH10158908","40-49","F"
10159001,"HH10159001","18-29","F"
10159003,"HH10159003","18-29","F"
10159004,"HH10159004","18-29","F"
10159101,"HH10159101","50-59","M"
10159103,"HH10159103","50-59","M"
10159104,"HH10159104","50-59","M"
10159105,"HH10159105","50-59","M"
10159107,"HH10159107","50-59","M"
10159108,"HH10159108","50-59","M"
10159109,"HH10159109","50-59","M"
10159201,"HH10159201","60-69","M"
10159204,"HH10159204","60-69","M"
10159205,"HH10159205","60-69","M"
10159208,"HH10159208","60-69","M"
10159209,"HH10159209","60-69","M"
10159301,"HH10159301","60-69","M"
10159304,"HH10159304","60-69","M"
10159305,"HH10159305","60-69","M"
10159307,"HH10159307","60-69","M"
10159308,"HH10159308","60-69","M"
10159401,"HH10159401","60-69","F"
10159501,"HH10159501","50-59","F"
10159503,"HH10159503","50-59","F"
10159601,"HH10159601","60-69","F"
10159603,"HH10159603","60-69","F"
10159604,"HH10159604","60-69","F"
10159607,"HH10159607","60-69","F"
10159701,"HH10159701","60-69","F"
10159704,"HH10159704","60-69","F"
10159707,"HH10159707","60-69","F"
10159708,"HH10159708","60-69","F"
10159709,"HH10159709","60-69","F"
10159801,"HH10159801","18-29","F"
10159807,"HH10159807","18-29","F"
10159901,"HH10159901","50-59","M"
10159903,"HH10159903","50-59","M"
10159904,"HH10159904","50-59","M"
10159905,"HH10159905","50-59","M"
10159907,"HH10159907","50-59","M"
10159908,"HH10159908","50-59","M"
10159909,"HH10159909","50-59","M"
10160001,"HH10160001","40-49","M"
10160003,"HH10160003","40-49","M"
10160004,"HH10160004","40-49","M"
10160008,"HH10160008","40-49","M"
10160009,"HH10160009","40-49","M"
10160101,"HH10160101","30-39","F"
10160103,"HH10160103","30-39","F"
10160104,"HH10160104","30-39","F"
10160105,"HH10160105","30-39","F"
10160107,"HH10160107","30-39","F"
10160108,"HH10160108","30-39","F"
10160109,"HH10160109","30-39","F"
10160201,"HH10160201","30-39","F"
10160203,"HH10160203","30-39","F"
10160204,"HH10160204","30-39","F"
10160205,"HH10160205","30-39","F"
10160207,"HH10160207","30-39","F"
10160209,"HH10160209","30-39","F"
10160301,"HH10160301","70-120","F"
10160303,"HH10160303","70-120","F"
10160304,"HH10160304","70-120","F"
10160401,"HH10160401","30-39","M"
10160403,"HH10160403","30-39","M"
10160501,"HH10160501","50-59","M"
10160503,"HH10160503","50-59","M"
10160504,"HH10160504","50-59","M"
10160505,"HH10160505","50-59","M"
10160507,"HH10160507","50-59","M"
10160508,"HH10160508","50-59","M"
10160509,"HH10160509","50-59","M"
10160601,"HH10160601","60-69","F"
10160604,"HH10160604","60-69","F"
10160607,"HH10160607","60-69","F"
10160608,"HH10160608","60-69","F"
10160701,"HH10160701","60-69","M"
10160703,"HH10160703","60-69","M"
10160704,"HH10160704","60-69","M"
10160705,"HH10160705","60-69","M"
10160707,"HH10160707","60-69","M"
10160708,"HH10160708","60-69","M"
10160709,"HH10160709","60-69","M"
10160801,"HH10160801","60-69","M"
10160803,"HH10160803","60-69","M"
10160804,"HH10160804","60-69","M"
10160805,"HH10160805","60-69","M"
10161001,"HH10161001","18-29","F"
10161004,"HH10161004","18-29","F"
10161005,"HH10161005","18-29","F"
10161007,"HH10161007","18-29","F"
10161008,"HH10161008","18-29","F"
10161101,"HH10161101","60-69","F"
10161103,"HH10161103","60-69","M"
10161104,"HH10161104","60-69","F"
10161105,"HH10161105","60-69","F"
10161107,"HH10161107","60-69","F"
10161108,"HH10161108","60-69","F"
10161201,"HH10161201","40-49","F"
10161203,"HH10161203","40-49","F"
10161204,"HH10161204","40-49","F"
10161205,"HH10161205","40-49","F"
10161207,"HH10161207","40-49","F"
10161208,"HH10161208","40-49","F"
10161209,"HH10161209","40-49","F"
10161301,"HH10161301","30-39","M"
10161303,"HH10161303","30-39","M"
10161304,"HH10161304","30-39","M"
10161307,"HH10161307","30-39","M"
10161308,"HH10161308","30-39","M"
10161401,"HH10161401","60-69","F"
10161501,"HH10161501","60-69","M"
10161503,"HH10161503","60-69","M"
10161504,"HH10161504","60-69","M"
10161505,"HH10161505","60-69","M"
10161507,"HH10161507","60-69","M"
10161508,"HH10161508","60-69","M"
10161509,"HH10161509","60-69","M"
10161601,"HH10161601","50-59","F"
10161603,"HH10161603","50-59","F"
10161604,"HH10161604","50-59","F"
10161605,"HH10161605","50-59","M"
10161607,"HH10161607","50-59","F"
10161608,"HH10161608","50-59","F"
10161701,"HH10161701","18-29","M"
10161703,"HH10161703","18-29","M"
10161704,"HH10161704","18-29","M"
10161705,"HH10161705","18-29","M"
10161707,"HH10161707","18-29","M"
10161708,"HH10161708","18-29","M"
10161801,"HH10161801","60-69","M"
10161803,"HH10161803","60-69","M"
10161804,"HH10161804","60-69","M"
10161901,"HH10161901","18-29","F"
10161903,"HH10161903","18-29","F"
10161907,"HH10161907","18-29","F"
