cont_id,cnt_outside_other,cnt_other_house,cnt_worship,cnt_supermarket,cnt_shop,cnt_gender_all,frequency_multi_all
106275001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
106276001,FALSE,FALSE,FALSE,FALSE,FALSE,male,3-7 days
106277001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1 month
106277002,FALSE,TRUE,FALSE,FALSE,FALSE,male,occasional
106277003,FALSE,FALSE,FALSE,FALSE,FALSE,male,occasional
106277004,FALSE,FALSE,FALSE,FALSE,FALSE,male,occasional
106277005,FALSE,FALSE,FALSE,TRUE,FALSE,female,2-3 weeks
106278001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
106279001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
106280001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
106280002,FALSE,FALSE,FALSE,FALSE,FALSE,male,occasional
106281001,TRUE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
106281002,FALSE,FALSE,FALSE,FALSE,TRUE,male,occasional
106281003,FALSE,FALSE,FALSE,TRUE,FALSE,female,occasional
106281004,FALSE,FALSE,FALSE,FALSE,FALSE,male,3-7 days
106281005,FALSE,FALSE,FALSE,FALSE,TRUE,female,3-7 days
106281006,NA,NA,NA,NA,NA,NA,NA
106281007,NA,NA,NA,NA,NA,NA,NA
106283001,FALSE,FALSE,FALSE,TRUE,FALSE,male,1-2 days
106284001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
106285001,FALSE,FALSE,FALSE,TRUE,FALSE,female,1-2 days
106285002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
106285003,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
106285004,FALSE,FALSE,FALSE,FALSE,FALSE,NA,never met
106286001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
106286002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
106287001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
106287002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
106288001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
106288002,FALSE,FALSE,FALSE,FALSE,FALSE,female,occasional
106288003,FALSE,FALSE,FALSE,FALSE,FALSE,male,occasional
106288004,FALSE,FALSE,FALSE,FALSE,FALSE,female,occasional
106288005,FALSE,FALSE,FALSE,FALSE,FALSE,male,3-7 days
106289001,TRUE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
106289002,FALSE,FALSE,FALSE,FALSE,FALSE,female,2-3 weeks
106289003,FALSE,FALSE,FALSE,FALSE,FALSE,female,3-7 days
106289004,FALSE,FALSE,FALSE,FALSE,FALSE,NA,3-7 days
106291001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
106292001,FALSE,FALSE,FALSE,FALSE,FALSE,female,2-3 weeks
106293001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
106294001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
106294002,FALSE,TRUE,FALSE,FALSE,FALSE,male,1-2 days
106294003,FALSE,TRUE,FALSE,FALSE,FALSE,female,3-7 days
106295001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
106296001,FALSE,FALSE,FALSE,FALSE,FALSE,female,3-7 days
106296002,NA,NA,NA,NA,NA,NA,NA
106296003,NA,NA,NA,NA,NA,NA,NA
106296004,NA,NA,NA,NA,NA,NA,NA
106296005,NA,NA,NA,NA,NA,NA,NA
106296006,NA,NA,NA,NA,NA,NA,NA
106296007,NA,NA,NA,NA,NA,NA,NA
106296008,NA,NA,NA,NA,NA,NA,NA
106296009,NA,NA,NA,NA,NA,NA,NA
106296010,NA,NA,NA,NA,NA,NA,NA
106296011,NA,NA,NA,NA,NA,NA,NA
106296012,NA,NA,NA,NA,NA,NA,NA
106296013,NA,NA,NA,NA,NA,NA,NA
106296014,NA,NA,NA,NA,NA,NA,NA
106297001,FALSE,FALSE,FALSE,TRUE,FALSE,female,3-7 days
106299001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
106300001,TRUE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
106301001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
106301002,FALSE,FALSE,FALSE,FALSE,FALSE,female,3-7 days
106301003,FALSE,FALSE,FALSE,FALSE,FALSE,male,occasional
106301004,FALSE,FALSE,FALSE,FALSE,FALSE,female,occasional
106302001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
106303001,FALSE,TRUE,FALSE,FALSE,FALSE,female,1-2 days
106303002,FALSE,TRUE,FALSE,FALSE,FALSE,female,occasional
106303003,FALSE,TRUE,FALSE,FALSE,FALSE,male,occasional
106303004,FALSE,TRUE,FALSE,FALSE,FALSE,female,occasional
106305001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
106306001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
106306002,FALSE,FALSE,FALSE,FALSE,FALSE,male,2-3 weeks
106306003,FALSE,FALSE,FALSE,TRUE,TRUE,female,1-2 days
106307001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
106307002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
106307003,FALSE,FALSE,FALSE,TRUE,FALSE,male,never met
106307004,FALSE,FALSE,FALSE,TRUE,FALSE,female,never met
106307005,FALSE,FALSE,FALSE,FALSE,FALSE,female,occasional
106308001,NA,NA,NA,NA,NA,NA,NA
106308002,NA,NA,NA,NA,NA,NA,NA
106308003,NA,NA,NA,NA,NA,NA,NA
106309001,FALSE,TRUE,FALSE,FALSE,FALSE,female,1-2 days
106309002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
106309003,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
106309004,FALSE,TRUE,FALSE,FALSE,FALSE,female,occasional
106309005,FALSE,TRUE,FALSE,FALSE,FALSE,female,occasional
106309006,FALSE,FALSE,FALSE,FALSE,FALSE,female,3-7 days
106309007,FALSE,TRUE,FALSE,FALSE,FALSE,male,3-7 days
106309008,NA,NA,NA,NA,NA,NA,NA
106309009,NA,NA,NA,NA,NA,NA,NA
106309010,NA,NA,NA,NA,NA,NA,NA
106309011,NA,NA,NA,NA,NA,NA,NA
106309012,NA,NA,NA,NA,NA,NA,NA
106309013,NA,NA,NA,NA,NA,NA,NA
106309014,NA,NA,NA,NA,NA,NA,NA
106309015,NA,NA,NA,NA,NA,NA,NA
106309016,NA,NA,NA,NA,NA,NA,NA
106309017,NA,NA,NA,NA,NA,NA,NA
106309018,NA,NA,NA,NA,NA,NA,NA
106309019,NA,NA,NA,NA,NA,NA,NA
106309020,NA,NA,NA,NA,NA,NA,NA
106309021,NA,NA,NA,NA,NA,NA,NA
106309022,NA,NA,NA,NA,NA,NA,NA
106309023,NA,NA,NA,NA,NA,NA,NA
106311001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
106311002,FALSE,FALSE,FALSE,FALSE,FALSE,male,3-7 days
106312001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
106312002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
106312003,NA,NA,NA,NA,NA,NA,NA
106313001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
106314001,FALSE,FALSE,FALSE,FALSE,FALSE,female,NA
106315001,FALSE,FALSE,FALSE,TRUE,FALSE,female,never met
106315002,FALSE,FALSE,FALSE,FALSE,FALSE,female,never met
106315003,FALSE,FALSE,FALSE,FALSE,FALSE,female,never met
106315004,FALSE,FALSE,FALSE,FALSE,FALSE,male,never met
106315005,FALSE,FALSE,FALSE,FALSE,FALSE,female,never met
106316001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
106316002,TRUE,FALSE,FALSE,FALSE,FALSE,male,3-7 days
106316003,TRUE,FALSE,FALSE,FALSE,FALSE,male,never met
106316004,TRUE,FALSE,FALSE,FALSE,FALSE,female,3-7 days
106317001,FALSE,FALSE,FALSE,FALSE,FALSE,male,never met
106317002,NA,NA,NA,NA,NA,NA,NA
106317003,NA,NA,NA,NA,NA,NA,NA
106318001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
106318002,FALSE,FALSE,FALSE,TRUE,FALSE,female,3-7 days
106318003,FALSE,FALSE,FALSE,FALSE,FALSE,male,3-7 days
106319001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
106319002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
106319003,FALSE,FALSE,FALSE,FALSE,FALSE,male,3-7 days
106319004,FALSE,FALSE,FALSE,FALSE,FALSE,female,1 month
106319005,TRUE,FALSE,FALSE,FALSE,FALSE,female,occasional
106319006,TRUE,FALSE,FALSE,FALSE,FALSE,male,occasional
106319007,FALSE,FALSE,FALSE,FALSE,FALSE,male,3-7 days
106319008,TRUE,FALSE,FALSE,FALSE,FALSE,male,2-3 weeks
106319009,TRUE,FALSE,FALSE,FALSE,FALSE,female,2-3 weeks
106320001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
106321001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
106322001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
106322002,FALSE,TRUE,FALSE,FALSE,FALSE,male,3-7 days
106322003,FALSE,TRUE,FALSE,FALSE,FALSE,male,3-7 days
106322004,FALSE,FALSE,FALSE,TRUE,FALSE,female,3-7 days
106322005,FALSE,FALSE,FALSE,TRUE,FALSE,male,3-7 days
106322006,FALSE,FALSE,FALSE,FALSE,FALSE,female,occasional
106323001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
106323002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
106323003,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
106323004,FALSE,FALSE,FALSE,TRUE,FALSE,female,3-7 days
106323005,FALSE,FALSE,FALSE,TRUE,FALSE,female,never met
106324001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
106325001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
106325002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
106325003,FALSE,FALSE,FALSE,FALSE,FALSE,female,3-7 days
106327001,FALSE,TRUE,FALSE,FALSE,FALSE,male,1-2 days
106327002,FALSE,TRUE,FALSE,FALSE,FALSE,female,2-3 weeks
106327003,FALSE,TRUE,FALSE,FALSE,FALSE,male,1-2 days
106327004,FALSE,FALSE,FALSE,FALSE,FALSE,male,3-7 days
106327005,TRUE,FALSE,FALSE,FALSE,FALSE,female,1 month
106328001,FALSE,TRUE,FALSE,TRUE,FALSE,male,1-2 days
106328002,FALSE,TRUE,FALSE,FALSE,FALSE,male,3-7 days
106328003,FALSE,TRUE,FALSE,FALSE,FALSE,female,3-7 days
106328004,FALSE,TRUE,FALSE,FALSE,FALSE,male,3-7 days
106328005,FALSE,FALSE,FALSE,TRUE,FALSE,male,never met
106328006,FALSE,FALSE,FALSE,TRUE,FALSE,female,never met
106328007,FALSE,TRUE,FALSE,FALSE,FALSE,female,2-3 weeks
106328008,FALSE,TRUE,FALSE,FALSE,FALSE,male,3-7 days
106328009,FALSE,TRUE,FALSE,FALSE,FALSE,male,3-7 days
106328010,FALSE,TRUE,FALSE,FALSE,FALSE,female,2-3 weeks
106328011,FALSE,TRUE,FALSE,FALSE,FALSE,male,2-3 weeks
106328012,NA,NA,NA,NA,NA,NA,NA
106328013,NA,NA,NA,NA,NA,NA,NA
106328014,NA,NA,NA,NA,NA,NA,NA
106329001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
106329002,FALSE,FALSE,FALSE,FALSE,FALSE,male,occasional
106329003,FALSE,FALSE,FALSE,FALSE,FALSE,male,occasional
106329004,FALSE,FALSE,FALSE,FALSE,FALSE,male,occasional
106329005,FALSE,FALSE,FALSE,FALSE,FALSE,male,occasional
