hh_id,country,hh_size
HH10627401,dk,2
HH10627402,dk,2
HH10627405,dk,2
HH10627407,dk,2
HH10627501,dk,2
HH10627502,dk,2
HH10627503,dk,2
HH10627506,dk,2
HH10627507,dk,2
HH10627509,dk,2
HH10627601,dk,2
HH10627602,dk,2
HH10627603,dk,2
HH10627605,dk,2
HH10627606,dk,2
HH10627607,dk,2
HH10627609,dk,2
HH10627701,dk,1
HH10627702,dk,1
HH10627705,dk,1
HH10627706,dk,1
HH10627707,dk,1
HH10627801,dk,2
HH10627802,dk,2
HH10627803,dk,2
HH10627805,dk,2
HH10627806,dk,2
HH10627807,dk,2
HH10627809,dk,2
HH10627901,dk,2
HH10627902,dk,2
HH10627906,dk,2
HH10627907,dk,2
HH10627909,dk,2
HH10628001,dk,4
HH10628002,dk,4
HH10628005,dk,4
HH10628007,dk,4
HH10628101,dk,4
HH10628201,dk,2
HH10628203,dk,1
HH10628205,dk,1
HH10628206,dk,1
HH10628207,dk,1
HH10628209,dk,1
HH10628301,dk,1
HH10628302,dk,1
HH10628303,dk,1
HH10628305,dk,1
HH10628306,dk,1
HH10628307,dk,1
HH10628309,dk,1
HH10628401,dk,2
HH10628402,dk,2
HH10628403,dk,2
HH10628501,dk,4
HH10628502,dk,4
HH10628503,dk,4
HH10628505,dk,4
HH10628506,dk,4
HH10628507,dk,4
HH10628509,dk,4
HH10628601,dk,3
HH10628701,dk,3
HH10628801,dk,2
HH10628803,dk,2
HH10628901,dk,2
HH10628902,dk,2
HH10628903,dk,2
HH10628905,dk,2
HH10629001,dk,1
HH10629002,dk,1
HH10629005,dk,1
HH10629007,dk,1
HH10629009,dk,1
HH10629101,dk,2
HH10629103,dk,2
HH10629105,dk,2
HH10629201,dk,1
HH10629203,dk,1
HH10629205,dk,1
HH10629301,dk,2
HH10629303,dk,2
HH10629305,dk,2
HH10629401,dk,2
HH10629405,dk,2
HH10629406,dk,2
HH10629501,dk,2
HH10629505,dk,2
HH10629601,dk,1
HH10629701,dk,1
HH10629702,dk,1
HH10629703,dk,1
HH10629705,dk,1
HH10629706,dk,1
HH10629801,dk,2
HH10629802,dk,2
HH10629803,dk,1
HH10629805,dk,1
HH10629806,dk,1
HH10629809,dk,1
HH10629901,dk,2
HH10629902,dk,2
HH10629903,dk,2
HH10629905,dk,2
HH10629906,dk,2
HH10629907,dk,2
HH10629909,dk,2
HH10630001,dk,2
HH10630003,dk,2
HH10630101,dk,2
HH10630103,dk,2
HH10630201,dk,2
HH10630202,dk,2
HH10630301,dk,2
HH10630302,dk,2
HH10630303,dk,2
HH10630305,dk,2
HH10630306,dk,2
HH10630401,dk,2
HH10630501,dk,2
HH10630502,dk,2
HH10630503,dk,2
HH10630505,dk,2
HH10630506,dk,2
HH10630507,dk,2
HH10630509,dk,2
HH10630601,dk,2
HH10630603,dk,2
HH10630701,dk,3
HH10630702,dk,3
HH10630703,dk,3
HH10630705,dk,3
HH10630706,dk,3
HH10630707,dk,3
HH10630709,dk,3
HH10630801,dk,1
HH10630803,dk,1
HH10630805,dk,1
HH10630901,dk,3
HH10630903,dk,3
HH10630905,dk,3
HH10630909,dk,3
HH10631001,dk,1
HH10631003,dk,1
HH10631005,dk,1
HH10631101,dk,2
HH10631102,dk,2
HH10631103,dk,2
HH10631105,dk,2
HH10631106,dk,2
HH10631107,dk,2
HH10631201,dk,2
HH10631202,dk,2
HH10631203,dk,2
HH10631207,dk,4
HH10631301,dk,1
HH10631303,dk,1
HH10631306,dk,1
HH10631401,dk,2
HH10631402,dk,2
HH10631403,dk,2
HH10631405,dk,2
HH10631501,dk,1
HH10631505,dk,1
HH10631506,dk,1
HH10631601,dk,2
HH10631603,dk,2
HH10631701,dk,1
HH10631703,dk,1
HH10631706,dk,1
HH10631707,dk,1
HH10631801,dk,2
HH10631802,dk,2
HH10631803,dk,2
HH10631805,dk,2
HH10631806,dk,2
HH10631807,dk,2
HH10631809,dk,2
HH10631901,dk,2
HH10631903,dk,2
HH10631905,dk,2
HH10632001,dk,2
HH10632101,dk,2
HH10632102,dk,2
HH10632105,dk,2
HH10632106,dk,2
HH10632201,dk,2
HH10632203,dk,2
HH10632206,dk,2
HH10632301,dk,4
HH10632302,dk,4
HH10632305,dk,4
HH10632307,dk,4
HH10632401,dk,2
HH10632402,dk,2
HH10632403,dk,2
HH10632405,dk,2
HH10632406,dk,2
HH10632501,dk,3
HH10632502,dk,3
HH10632503,dk,3
HH10632506,dk,3
HH10632601,dk,2
HH10632701,dk,1
HH10632703,dk,1
HH10632706,dk,1
HH10632801,dk,2
HH10632802,dk,2
HH10632805,dk,2
HH10632806,dk,2
HH10632807,dk,2
HH10632809,dk,2
HH10632901,dk,2
HH10632903,dk,2
HH10632906,dk,2
HH10633001,dk,2
HH10633003,dk,2
HH10633101,dk,2
HH10633103,dk,2
HH10633106,dk,2
HH10633201,dk,3
HH10633202,dk,3
HH10633203,dk,3
HH10633205,dk,3
HH10633207,dk,3
HH10633301,dk,1
HH10633302,dk,1
HH10633303,dk,1
HH10633305,dk,1
HH10633306,dk,1
HH10633401,dk,3
HH10633501,dk,2
HH10633502,dk,2
HH10633601,dk,2
HH10633602,dk,2
HH10633603,dk,2
HH10633606,dk,2
HH10633607,dk,2
HH10633609,dk,2
HH10633701,dk,1
HH10633703,dk,1
HH10633705,dk,1
HH10633706,dk,1
HH10633801,dk,2
HH10633802,dk,2
HH10633803,dk,2
HH10633805,dk,2
HH10633806,dk,2
HH10633807,dk,2
HH10633809,dk,2
HH10633901,dk,2
HH10634001,dk,2
HH10634101,dk,2
HH10634201,dk,1
HH10634202,dk,1
HH10634203,dk,1
HH10634205,dk,1
HH10634206,dk,1
HH10634207,dk,1
HH10634209,dk,1
HH10634301,dk,2
HH10634302,dk,2
HH10634303,dk,2
HH10634307,dk,2
HH10634309,dk,2
HH10634401,dk,2
HH10634402,dk,2
HH10634403,dk,2
HH10634405,dk,2
HH10634406,dk,2
HH10634409,dk,2
HH10634501,dk,4
HH10634502,dk,4
HH10634503,dk,4
HH10634505,dk,4
HH10634506,dk,4
HH10634509,dk,4
HH10634601,dk,1
HH10634603,dk,1
HH10634701,dk,4
HH10634702,dk,4
HH10634705,dk,4
HH10634801,dk,4
HH10634806,dk,5
HH10634809,dk,4
HH10634901,dk,2
HH10634902,dk,2
HH10634903,dk,2
HH10634905,dk,2
HH10634906,dk,2
HH10634907,dk,2
HH10634909,dk,2
HH10635001,dk,2
HH10635002,dk,2
HH10635003,dk,2
HH10635005,dk,2
HH10635007,dk,2
HH10635009,dk,2
HH10635101,dk,2
HH10635103,dk,2
HH10635105,dk,2
HH10635106,dk,2
HH10635109,dk,2
HH10635201,dk,3
HH10635202,dk,3
HH10635203,dk,3
HH10635301,dk,1
HH10635303,dk,1
HH10635306,dk,1
HH10635401,dk,2
HH10635402,dk,2
HH10635403,dk,2
HH10635405,dk,2
HH10635406,dk,2
HH10635409,dk,2
HH10635501,dk,2
HH10635502,dk,2
HH10635503,dk,2
HH10635505,dk,2
HH10635506,dk,2
HH10635507,dk,2
HH10635509,dk,2
HH10635601,dk,2
HH10635603,dk,2
HH10635605,dk,2
HH10635606,dk,2
HH10635701,dk,3
HH10635703,dk,3
HH10635801,dk,1
HH10635802,dk,1
HH10635803,dk,1
HH10635805,dk,1
HH10635806,dk,1
HH10635809,dk,1
HH10635901,dk,2
HH10635902,dk,2
HH10635906,dk,2
HH10635907,dk,2
HH10635909,dk,2
HH10636001,dk,1
HH10636005,dk,1
HH10636006,dk,1
HH10636101,dk,2
HH10636103,dk,2
HH10636105,dk,2
HH10636107,dk,2
HH10636109,dk,2
HH10636201,dk,1
HH10636301,dk,2
HH10636401,dk,2
HH10636402,dk,2
HH10636403,dk,2
HH10636405,dk,2
HH10636406,dk,2
HH10636407,dk,2
HH10636501,dk,2
HH10636502,dk,2
HH10636503,dk,2
HH10636505,dk,2
HH10636601,dk,4
HH10636602,dk,4
HH10636603,dk,4
HH10636605,dk,4
HH10636607,dk,4
HH10636609,dk,4
HH10636701,dk,1
HH10636702,dk,1
HH10636703,dk,1
HH10636705,dk,1
HH10636706,dk,1
HH10636707,dk,1
HH10636709,dk,1
HH10636801,dk,1
HH10636802,dk,1
HH10636803,dk,1
HH10636805,dk,1
HH10636806,dk,1
HH10636807,dk,1
HH10636809,dk,1
HH10636901,dk,5
HH10636902,dk,5
HH10636903,dk,5
HH10636905,dk,5
HH10636907,dk,5
HH10637001,dk,4
HH10637002,dk,4
HH10637003,dk,4
HH10637005,dk,4
HH10637006,dk,4
HH10637101,dk,2
HH10637103,dk,2
HH10637201,dk,2
HH10637202,dk,2
HH10637205,dk,2
HH10637206,dk,2
HH10637207,dk,2
HH10637209,dk,2
