"part_id","hh_id","part_age","part_gender"
10627401,"HH10627401","50-59","F"
10627402,"HH10627402","50-59","F"
10627405,"HH10627405","50-59","F"
10627407,"HH10627407","50-59","F"
10627501,"HH10627501","60-69","F"
10627502,"HH10627502","60-69","F"
10627503,"HH10627503","60-69","F"
10627506,"HH10627506","60-69","F"
10627507,"HH10627507","60-69","F"
10627509,"HH10627509","60-69","F"
10627601,"HH10627601","50-59","M"
10627602,"HH10627602","50-59","M"
10627603,"HH10627603","50-59","M"
10627605,"HH10627605","50-59","M"
10627606,"HH10627606","60-69","M"
10627607,"HH10627607","60-69","M"
10627609,"HH10627609","60-69","M"
10627701,"HH10627701","60-69","M"
10627702,"HH10627702","60-69","M"
10627705,"HH10627705","60-69","M"
10627706,"HH10627706","60-69","M"
10627707,"HH10627707","60-69","M"
10627801,"HH10627801","50-59","F"
10627802,"HH10627802","50-59","F"
10627803,"HH10627803","50-59","F"
10627805,"HH10627805","50-59","F"
10627806,"HH10627806","50-59","F"
10627807,"HH10627807","50-59","F"
10627809,"HH10627809","50-59","F"
10627901,"HH10627901","60-69","M"
10627902,"HH10627902","60-69","M"
10627906,"HH10627906","60-69","M"
10627907,"HH10627907","60-69","M"
10627909,"HH10627909","60-69","M"
10628001,"HH10628001","40-49","M"
10628002,"HH10628002","40-49","M"
10628005,"HH10628005","40-49","M"
10628007,"HH10628007","40-49","M"
10628101,"HH10628101","30-39","M"
10628201,"HH10628201","70-120","M"
10628203,"HH10628203","70-120","M"
10628205,"HH10628205","70-120","M"
10628206,"HH10628206","70-120","M"
10628207,"HH10628207","70-120","M"
10628209,"HH10628209","70-120","M"
10628301,"HH10628301","60-69","M"
10628302,"HH10628302","60-69","M"
10628303,"HH10628303","60-69","M"
10628305,"HH10628305","60-69","M"
10628306,"HH10628306","60-69","M"
10628307,"HH10628307","60-69","M"
10628309,"HH10628309","60-69","M"
10628401,"HH10628401","60-69","M"
10628402,"HH10628402","60-69","M"
10628403,"HH10628403","60-69","M"
10628501,"HH10628501","18-29","M"
10628502,"HH10628502","18-29","M"
10628503,"HH10628503","18-29","M"
10628505,"HH10628505","18-29","M"
10628506,"HH10628506","18-29","M"
10628507,"HH10628507","18-29","M"
10628509,"HH10628509","18-29","M"
10628601,"HH10628601","70-120","M"
10628701,"HH10628701","50-59","F"
10628801,"HH10628801","70-120","M"
10628803,"HH10628803","70-120","M"
10628901,"HH10628901","70-120","F"
10628902,"HH10628902","70-120","F"
10628903,"HH10628903","70-120","F"
10628905,"HH10628905","70-120","F"
10629001,"HH10629001","70-120","M"
10629002,"HH10629002","70-120","M"
10629005,"HH10629005","70-120","M"
10629007,"HH10629007","70-120","M"
10629009,"HH10629009","70-120","M"
10629101,"HH10629101","70-120","M"
10629103,"HH10629103","70-120","M"
10629105,"HH10629105","70-120","M"
10629201,"HH10629201","70-120","M"
10629203,"HH10629203","70-120","M"
10629205,"HH10629205","70-120","M"
10629301,"HH10629301","70-120","F"
10629303,"HH10629303","70-120","F"
10629305,"HH10629305","70-120","F"
10629401,"HH10629401","60-69","M"
10629405,"HH10629405","60-69","M"
10629406,"HH10629406","60-69","M"
10629501,"HH10629501","60-69","F"
10629505,"HH10629505","60-69","F"
10629601,"HH10629601","70-120","F"
10629701,"HH10629701","60-69","F"
10629702,"HH10629702","60-69","F"
10629703,"HH10629703","60-69","F"
10629705,"HH10629705","60-69","F"
10629706,"HH10629706","60-69","F"
10629801,"HH10629801","70-120","M"
10629802,"HH10629802","70-120","M"
10629803,"HH10629803","70-120","M"
10629805,"HH10629805","70-120","M"
10629806,"HH10629806","70-120","M"
10629809,"HH10629809","70-120","M"
10629901,"HH10629901","60-69","F"
10629902,"HH10629902","60-69","F"
10629903,"HH10629903","60-69","F"
10629905,"HH10629905","60-69","F"
10629906,"HH10629906","60-69","F"
10629907,"HH10629907","60-69","F"
10629909,"HH10629909","60-69","F"
10630001,"HH10630001","70-120","F"
10630003,"HH10630003","70-120","F"
10630101,"HH10630101","70-120","F"
10630103,"HH10630103","70-120","F"
10630201,"HH10630201","70-120","M"
10630202,"HH10630202","70-120","M"
10630301,"HH10630301","70-120","M"
10630302,"HH10630302","70-120","M"
10630303,"HH10630303","70-120","M"
10630305,"HH10630305","70-120","M"
10630306,"HH10630306","70-120","M"
10630401,"HH10630401","70-120","M"
10630501,"HH10630501","60-69","M"
10630502,"HH10630502","60-69","M"
10630503,"HH10630503","60-69","M"
10630505,"HH10630505","60-69","M"
10630506,"HH10630506","60-69","M"
10630507,"HH10630507","60-69","M"
10630509,"HH10630509","60-69","M"
10630601,"HH10630601","70-120","M"
10630603,"HH10630603","70-120","M"
10630701,"HH10630701","50-59","M"
10630702,"HH10630702","50-59","M"
10630703,"HH10630703","50-59","M"
10630705,"HH10630705","50-59","M"
10630706,"HH10630706","50-59","M"
10630707,"HH10630707","50-59","M"
10630709,"HH10630709","50-59","M"
10630801,"HH10630801","70-120","M"
10630803,"HH10630803","70-120","M"
10630805,"HH10630805","70-120","M"
10630901,"HH10630901","18-29","F"
10630903,"HH10630903","18-29","F"
10630905,"HH10630905","18-29","F"
10630909,"HH10630909","18-29","F"
10631001,"HH10631001","60-69","M"
10631003,"HH10631003","60-69","M"
10631005,"HH10631005","60-69","M"
10631101,"HH10631101","50-59","F"
10631102,"HH10631102","50-59","F"
10631103,"HH10631103","50-59","F"
10631105,"HH10631105","50-59","F"
10631106,"HH10631106","50-59","F"
10631107,"HH10631107","50-59","F"
10631201,"HH10631201","70-120","M"
10631202,"HH10631202","70-120","M"
10631203,"HH10631203","70-120","M"
10631207,"HH10631207","70-120","M"
10631301,"HH10631301","70-120","M"
10631303,"HH10631303","70-120","M"
10631306,"HH10631306","70-120","M"
10631401,"HH10631401","70-120","M"
10631402,"HH10631402","70-120","M"
10631403,"HH10631403","70-120","M"
10631405,"HH10631405","70-120","M"
10631501,"HH10631501","70-120","M"
10631505,"HH10631505","70-120","M"
10631506,"HH10631506","70-120","M"
10631601,"HH10631601","70-120","M"
10631603,"HH10631603","70-120","M"
10631701,"HH10631701","70-120","F"
10631703,"HH10631703","70-120","F"
10631706,"HH10631706","70-120","F"
10631707,"HH10631707","70-120","F"
10631801,"HH10631801","60-69","M"
10631802,"HH10631802","60-69","M"
10631803,"HH10631803","60-69","M"
10631805,"HH10631805","60-69","M"
10631806,"HH10631806","60-69","M"
10631807,"HH10631807","60-69","M"
10631809,"HH10631809","60-69","M"
10631901,"HH10631901","70-120","M"
10631903,"HH10631903","70-120","M"
10631905,"HH10631905","70-120","M"
10632001,"HH10632001","70-120","M"
10632101,"HH10632101","70-120","F"
10632102,"HH10632102","70-120","F"
10632105,"HH10632105","70-120","F"
10632106,"HH10632106","70-120","F"
10632201,"HH10632201","60-69","M"
10632203,"HH10632203","60-69","M"
10632206,"HH10632206","60-69","M"
10632301,"HH10632301","30-39","M"
10632302,"HH10632302","30-39","M"
10632305,"HH10632305","30-39","M"
10632307,"HH10632307","30-39","M"
10632401,"HH10632401","70-120","M"
10632402,"HH10632402","70-120","M"
10632403,"HH10632403","70-120","M"
10632405,"HH10632405","70-120","M"
10632406,"HH10632406","70-120","M"
10632501,"HH10632501","60-69","M"
10632502,"HH10632502","60-69","M"
10632503,"HH10632503","60-69","M"
10632506,"HH10632506","60-69","M"
10632601,"HH10632601","60-69","M"
10632701,"HH10632701","60-69","F"
10632703,"HH10632703","60-69","F"
10632706,"HH10632706","60-69","F"
10632801,"HH10632801","18-29","F"
10632802,"HH10632802","18-29","F"
10632805,"HH10632805","18-29","F"
10632806,"HH10632806","18-29","F"
10632807,"HH10632807","18-29","F"
10632809,"HH10632809","18-29","F"
10632901,"HH10632901","70-120","M"
10632903,"HH10632903","70-120","M"
10632906,"HH10632906","70-120","M"
10633001,"HH10633001","70-120","M"
10633003,"HH10633003","70-120","M"
10633101,"HH10633101","60-69","M"
10633103,"HH10633103","60-69","M"
10633106,"HH10633106","70-120","M"
10633201,"HH10633201","70-120","M"
