cont_id,cnt_outside_other,cnt_other_house,cnt_worship,cnt_supermarket,cnt_shop,cnt_gender_all,frequency_multi_all
106165001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
106166001,FALSE,FALSE,FALSE,TRUE,FALSE,female,3-7 days
106168001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
106168002,FALSE,FALSE,FALSE,TRUE,FALSE,female,never met
106168003,FALSE,FALSE,FALSE,TRUE,FALSE,female,never met
106169001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
106169002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
106169003,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
106169004,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
106170001,FALSE,FALSE,FALSE,FALSE,FALSE,female,3-7 days
106170002,FALSE,FALSE,FALSE,FALSE,FALSE,male,3-7 days
106170003,NA,NA,NA,NA,NA,NA,NA
106170004,NA,NA,NA,NA,NA,NA,NA
106171001,TRUE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
106171002,TRUE,FALSE,FALSE,FALSE,FALSE,male,never met
106172001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
106172002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
106172003,FALSE,FALSE,FALSE,FALSE,FALSE,male,2-3 weeks
106172004,FALSE,FALSE,FALSE,TRUE,FALSE,female,3-7 days
106172005,FALSE,FALSE,FALSE,FALSE,FALSE,female,occasional
106172006,FALSE,FALSE,FALSE,FALSE,FALSE,female,occasional
106173001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
106173002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
106173003,FALSE,FALSE,FALSE,FALSE,FALSE,female,3-7 days
106174001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
106175001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
106175002,FALSE,FALSE,FALSE,FALSE,FALSE,male,3-7 days
106176001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
106176002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
106176003,FALSE,FALSE,FALSE,FALSE,FALSE,female,3-7 days
106176004,FALSE,FALSE,FALSE,FALSE,FALSE,female,3-7 days
106177001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
106177002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
106178001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
106178002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
106178003,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
106178004,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
106178005,NA,NA,NA,NA,NA,NA,NA
106178006,NA,NA,NA,NA,NA,NA,NA
106178007,NA,NA,NA,NA,NA,NA,NA
106178008,NA,NA,NA,NA,NA,NA,NA
106178009,NA,NA,NA,NA,NA,NA,NA
106178010,NA,NA,NA,NA,NA,NA,NA
106178011,NA,NA,NA,NA,NA,NA,NA
106178012,NA,NA,NA,NA,NA,NA,NA
106178013,NA,NA,NA,NA,NA,NA,NA
