hh_id,country,hh_size
HH10616501,ee,2
HH10616502,ee,2
HH10616503,ee,2
HH10616601,ee,1
HH10616602,ee,1
HH10616604,ee,1
HH10616701,ee,3
HH10616702,ee,3
HH10616703,ee,3
HH10616704,ee,3
HH10616801,ee,2
HH10616804,ee,2
HH10616901,ee,5
HH10616902,ee,5
HH10616903,ee,5
HH10617001,ee,1
HH10617002,ee,1
HH10617003,ee,1
HH10617004,ee,1
HH10617101,ee,2
HH10617104,ee,2
HH10617201,ee,3
HH10617202,ee,3
HH10617203,ee,3
HH10617204,ee,3
HH10617301,ee,3
HH10617302,ee,3
HH10617303,ee,3
HH10617304,ee,3
HH10617401,ee,2
HH10617402,ee,2
HH10617403,ee,2
HH10617501,ee,2
HH10617502,ee,2
HH10617503,ee,2
HH10617504,ee,2
HH10617601,ee,10
HH10617602,ee,10
HH10617603,ee,10
HH10617701,ee,3
HH10617801,ee,5
HH10617802,ee,5
HH10617901,ee,3
HH10617902,ee,3
HH10618001,ee,4
HH10618101,ee,3
HH10618201,ee,1
HH10618202,ee,1
HH10618301,ee,3
HH10618302,ee,3
HH10618304,ee,3
HH10618401,ee,3
HH10618501,ee,3
HH10618502,ee,3
HH10618503,ee,3
HH10618504,ee,3
HH10618601,ee,4
HH10618701,ee,4
HH10618702,ee,4
HH10618704,ee,4
HH10618801,ee,3
HH10618802,ee,3
HH10618803,ee,3
HH10618901,ee,4
HH10618902,ee,4
HH10618904,ee,4
HH10619001,ee,5
HH10619002,ee,5
HH10619003,ee,5
HH10619101,ee,4
HH10619102,ee,4
HH10619104,ee,4
HH10619201,ee,5
HH10619301,ee,2
HH10619302,ee,2
HH10619303,ee,2
HH10619401,ee,5
HH10619501,ee,2
HH10619504,ee,2
HH10619601,ee,4
HH10619602,ee,4
HH10619603,ee,4
HH10619604,ee,4
HH10619701,ee,3
HH10619702,ee,3
HH10619704,ee,3
HH10619801,ee,5
HH10619901,ee,4
HH10620001,ee,3
HH10620101,ee,5
HH10620201,ee,1
HH10620202,ee,1
HH10620203,ee,1
HH10620204,ee,1
HH10620301,ee,3
HH10620302,ee,3
HH10620303,ee,3
HH10620304,ee,3
HH10620401,ee,3
HH10620501,ee,3
HH10620502,ee,3
HH10620601,ee,3
HH10620701,ee,4
HH10620801,ee,1
HH10620802,ee,1
HH10620803,ee,1
HH10620804,ee,1
HH10620901,ee,2
HH10620902,ee,2
HH10621001,ee,5
HH10621101,ee,2
HH10621102,ee,2
HH10621201,ee,4
HH10621301,ee,2
HH10621302,ee,2
HH10621303,ee,2
HH10621401,ee,5
HH10621404,ee,5
HH10621501,ee,1
HH10621502,ee,1
HH10621503,ee,1
HH10621601,ee,2
HH10621602,ee,2
HH10621603,ee,2
HH10621701,ee,6
HH10621702,ee,6
HH10621801,ee,4
HH10621802,ee,4
HH10621901,ee,3
HH10622001,ee,5
HH10622101,ee,4
HH10622201,ee,1
HH10622301,ee,2
HH10622302,ee,2
HH10622304,ee,2
HH10622401,ee,4
HH10622402,ee,4
HH10622501,ee,4
HH10622601,ee,4
HH10622701,ee,1
HH10622704,ee,1
HH10622801,ee,5
HH10622802,ee,5
HH10622804,ee,5
HH10622901,ee,3
HH10623001,ee,3
HH10623002,ee,3
HH10623004,ee,3
HH10623101,ee,1
HH10623201,ee,4
HH10623301,ee,3
HH10623304,ee,3
HH10623401,ee,1
HH10623404,ee,1
HH10623501,ee,3
HH10623502,ee,3
HH10623503,ee,2
HH10623601,ee,2
HH10623701,ee,2
HH10623702,ee,2
HH10623801,ee,3
HH10623802,ee,3
HH10623901,ee,4
HH10624001,ee,1
HH10624101,ee,4
HH10624102,ee,4
HH10624103,ee,4
HH10624201,ee,3
HH10624204,ee,3
HH10624301,ee,4
HH10624302,ee,3
HH10624401,ee,2
HH10624402,ee,2
HH10624403,ee,2
HH10624404,ee,2
HH10624501,ee,4
HH10624601,ee,3
HH10624701,ee,3
HH10624702,ee,3
HH10624703,ee,3
HH10624801,ee,3
HH10624802,ee,3
HH10624803,ee,3
HH10624804,ee,3
HH10624901,ee,4
HH10625001,ee,4
HH10625101,ee,2
HH10625201,ee,3
HH10625301,ee,4
HH10625401,ee,5
HH10625501,ee,4
HH10625601,ee,2
HH10625701,ee,2
HH10625801,ee,3
HH10625802,ee,3
HH10625804,ee,3
HH10625901,ee,1
HH10625902,ee,1
HH10625903,ee,1
HH10626001,ee,3
HH10626101,ee,4
HH10626201,ee,2
HH10626202,ee,2
HH10626301,ee,4
HH10626401,ee,1
HH10626501,ee,5
HH10626502,ee,5
HH10626601,ee,2
HH10626602,ee,2
HH10626603,ee,2
HH10626604,ee,2
HH10626701,ee,2
HH10626704,ee,2
HH10626801,ee,2
HH10626804,ee,2
HH10626901,ee,1
HH10627001,ee,3
HH10627002,ee,3
HH10627101,ee,4
HH10627102,ee,4
HH10627103,ee,4
HH10627104,ee,4
HH10627201,ee,3
HH10627204,ee,3
HH10627301,ee,3
HH10627302,ee,3
HH10627303,ee,3
HH10627304,ee,3
HH10627401,ee,2
HH10627402,ee,2
HH10627403,ee,2
HH10627501,ee,4
HH10627502,ee,4
HH10627503,ee,4
HH10627504,ee,4
HH10627601,ee,2
HH10627701,ee,2
HH10627702,ee,2
HH10627703,ee,2
HH10627704,ee,2
HH10627801,ee,2
HH10627802,ee,2
HH10627803,ee,2
HH10627804,ee,2
HH10627901,ee,4
HH10628001,ee,2
HH10628004,ee,2
HH10628101,ee,2
HH10628201,ee,3
HH10628202,ee,3
HH10628204,ee,3
HH10628301,ee,2
HH10628302,ee,2
HH10628303,ee,2
HH10628401,ee,2
HH10628402,ee,2
HH10628403,ee,2
HH10628404,ee,2
HH10628501,ee,2
HH10628502,ee,2
HH10628503,ee,2
HH10628601,ee,4
HH10628602,ee,4
HH10628603,ee,4
HH10628701,ee,3
HH10628702,ee,3
HH10628704,ee,3
HH10628801,ee,2
HH10628804,ee,2
HH10628901,ee,4
HH10628902,ee,4
HH10628904,ee,4
HH10629001,ee,1
HH10629002,ee,1
HH10629003,ee,1
HH10629004,ee,1
HH10629101,ee,2
HH10629102,ee,2
HH10629104,ee,2
HH10629201,ee,3
HH10629301,ee,1
HH10629401,ee,2
HH10629501,ee,1
HH10629601,ee,2
HH10629602,ee,2
HH10629603,ee,2
HH10629604,ee,2
HH10629701,ee,2
HH10629702,ee,2
HH10629801,ee,2
HH10629802,ee,2
HH10629803,ee,2
HH10629804,ee,2
HH10629901,ee,1
HH10629902,ee,1
HH10629904,ee,1
