"part_id","hh_id","part_age","part_gender"
10616501,"HH10616501","30-39","M"
10616502,"HH10616502","30-39","M"
10616503,"HH10616503","30-39","M"
10616601,"HH10616601","50-59","F"
10616602,"HH10616602","50-59","F"
10616604,"HH10616604","50-59","M"
10616701,"HH10616701","30-39","M"
10616702,"HH10616702","30-39","M"
10616703,"HH10616703","30-39","M"
10616704,"HH10616704","30-39","M"
10616801,"HH10616801","30-39","F"
10616804,"HH10616804","30-39","F"
10616901,"HH10616901","30-39","M"
10616902,"HH10616902","30-39","M"
10616903,"HH10616903","30-39","M"
10617001,"HH10617001","50-59","M"
10617002,"HH10617002","50-59","M"
10617003,"HH10617003","50-59","M"
10617004,"HH10617004","50-59","M"
10617101,"HH10617101","70-120","M"
10617104,"HH10617104","70-120","M"
10617201,"HH10617201","40-49","M"
10617202,"HH10617202","40-49","M"
10617203,"HH10617203","40-49","M"
10617204,"HH10617204","40-49","M"
10617301,"HH10617301","40-49","F"
10617302,"HH10617302","40-49","F"
10617303,"HH10617303","40-49","F"
10617304,"HH10617304","40-49","F"
10617401,"HH10617401","50-59","F"
10617402,"HH10617402","50-59","F"
10617403,"HH10617403","50-59","F"
10617501,"HH10617501","30-39","M"
10617502,"HH10617502","30-39","M"
10617503,"HH10617503","30-39","M"
10617504,"HH10617504","30-39","M"
10617601,"HH10617601","30-39","F"
10617602,"HH10617602","30-39","F"
10617603,"HH10617603","30-39","F"
10617701,"HH10617701","5-11","F"
10617801,"HH10617801","12-15","F"
10617802,"HH10617802","12-15","F"
10617901,"HH10617901","16-17","F"
10617902,"HH10617902","16-17","F"
10618001,"HH10618001","5-11","M"
10618101,"HH10618101","40-49","M"
10618201,"HH10618201","40-49","F"
10618202,"HH10618202","40-49","F"
10618301,"HH10618301","30-39","M"
10618302,"HH10618302","30-39","M"
10618304,"HH10618304","30-39","M"
10618401,"HH10618401","5-11","F"
10618501,"HH10618501","5-11","F"
10618502,"HH10618502","5-11","F"
10618503,"HH10618503","5-11","F"
10618504,"HH10618504","5-11","F"
10618601,"HH10618601","5-11","M"
10618701,"HH10618701","16-17","M"
10618702,"HH10618702","16-17","M"
10618704,"HH10618704","16-17","M"
10618801,"HH10618801","5-11","F"
10618802,"HH10618802","5-11","F"
10618803,"HH10618803","5-11","F"
10618901,"HH10618901","12-15","F"
10618902,"HH10618902","12-15","F"
10618904,"HH10618904","12-15","F"
10619001,"HH10619001","12-15","F"
10619002,"HH10619002","16-17","F"
10619003,"HH10619003","12-15","F"
10619101,"HH10619101","Under 1","F"
10619102,"HH10619102","1-4","F"
10619104,"HH10619104","1-4","F"
10619201,"HH10619201","1-4","M"
10619301,"HH10619301","30-39","F"
10619302,"HH10619302","30-39","F"
10619303,"HH10619303","30-39","F"
10619401,"HH10619401","1-4","F"
10619501,"HH10619501","70-120","M"
10619504,"HH10619504","70-120","M"
10619601,"HH10619601","1-4","F"
10619602,"HH10619602","1-4","F"
10619603,"HH10619603","1-4","F"
10619604,"HH10619604","1-4","F"
10619701,"HH10619701","12-15","F"
10619702,"HH10619702","12-15","F"
10619704,"HH10619704","12-15","F"
10619801,"HH10619801","Under 1","F"
10619901,"HH10619901","1-4","F"
10620001,"HH10620001","5-11","M"
10620101,"HH10620101","5-11","M"
10620201,"HH10620201","40-49","F"
10620202,"HH10620202","40-49","F"
10620203,"HH10620203","40-49","F"
10620204,"HH10620204","40-49","F"
10620301,"HH10620301","50-59","M"
10620302,"HH10620302","50-59","M"
10620303,"HH10620303","50-59","M"
10620304,"HH10620304","50-59","M"
10620401,"HH10620401","16-17","F"
10620501,"HH10620501","12-15","F"
10620502,"HH10620502","12-15","F"
10620601,"HH10620601","1-4","F"
10620701,"HH10620701","16-17","M"
10620801,"HH10620801","50-59","F"
10620802,"HH10620802","50-59","F"
10620803,"HH10620803","50-59","F"
10620804,"HH10620804","50-59","F"
10620901,"HH10620901","16-17","M"
10620902,"HH10620902","16-17","M"
10621001,"HH10621001","12-15","F"
10621101,"HH10621101","60-69","M"
10621102,"HH10621102","60-69","M"
10621201,"HH10621201","12-15","M"
10621301,"HH10621301","40-49","M"
10621302,"HH10621302","40-49","M"
10621303,"HH10621303","40-49","M"
10621401,"HH10621401","16-17","M"
10621404,"HH10621404","16-17","M"
10621501,"HH10621501","60-69","F"
10621502,"HH10621502","60-69","F"
10621503,"HH10621503","60-69","F"
10621601,"HH10621601","16-17","F"
10621602,"HH10621602","16-17","F"
