cont_id,cnt_outside_other,cnt_other_house,cnt_worship,cnt_supermarket,cnt_shop,cnt_gender_all,frequency_multi_all
103139001,TRUE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
103140001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
103140002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
103140003,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
103140004,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
103140005,FALSE,FALSE,FALSE,FALSE,FALSE,male,3-7 days
103141001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
103142001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
103142002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
103142003,FALSE,FALSE,FALSE,FALSE,FALSE,male,3-7 days
103142004,FALSE,FALSE,FALSE,FALSE,FALSE,male,2-3 weeks
103143001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
103143002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1 month
103144001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
103144002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
103145001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
103146001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
103146002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
103147001,FALSE,TRUE,FALSE,FALSE,FALSE,female,3-7 days
103147002,FALSE,TRUE,FALSE,FALSE,FALSE,female,1-2 days
103147003,FALSE,TRUE,FALSE,FALSE,FALSE,male,1-2 days
103148001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
103148002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
103148003,FALSE,FALSE,FALSE,FALSE,TRUE,female,never met
103149001,FALSE,TRUE,FALSE,FALSE,FALSE,male,3-7 days
103149002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
103149003,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
103149004,TRUE,FALSE,FALSE,FALSE,FALSE,female,3-7 days
103149005,FALSE,FALSE,FALSE,FALSE,FALSE,female,NA
103149006,TRUE,FALSE,FALSE,FALSE,FALSE,female,2-3 weeks
103149007,TRUE,FALSE,FALSE,FALSE,FALSE,female,2-3 weeks
103149008,FALSE,TRUE,FALSE,FALSE,FALSE,female,3-7 days
103149009,FALSE,TRUE,FALSE,FALSE,FALSE,male,3-7 days
103149010,FALSE,TRUE,FALSE,FALSE,FALSE,male,3-7 days
103150001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
103151001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
103151002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
103151003,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
103151004,TRUE,TRUE,FALSE,FALSE,FALSE,female,1 month
103151005,TRUE,TRUE,FALSE,FALSE,FALSE,male,1 month
103151006,TRUE,TRUE,FALSE,FALSE,FALSE,female,1 month
103152001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
103152002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
103152003,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
103152004,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
103152005,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
103152006,FALSE,FALSE,FALSE,FALSE,FALSE,male,3-7 days
103152007,FALSE,TRUE,FALSE,FALSE,FALSE,female,3-7 days
103152008,FALSE,TRUE,FALSE,FALSE,FALSE,female,2-3 weeks
103152009,FALSE,TRUE,FALSE,FALSE,FALSE,male,1 month
103152010,TRUE,FALSE,FALSE,FALSE,FALSE,male,1 month
103153001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
103153002,FALSE,TRUE,FALSE,FALSE,FALSE,female,1-2 days
103153003,FALSE,FALSE,FALSE,FALSE,FALSE,male,3-7 days
103153004,FALSE,FALSE,FALSE,FALSE,FALSE,female,3-7 days
103154001,TRUE,FALSE,FALSE,FALSE,FALSE,male,3-7 days
103155001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
103155002,FALSE,FALSE,FALSE,FALSE,FALSE,male,3-7 days
103156001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
103156002,FALSE,FALSE,FALSE,TRUE,FALSE,female,1-2 days
103156003,FALSE,FALSE,FALSE,TRUE,FALSE,female,1-2 days
103157001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
103157002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
103157003,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
103157004,FALSE,TRUE,FALSE,FALSE,FALSE,male,2-3 weeks
103157005,FALSE,TRUE,FALSE,FALSE,FALSE,female,3-7 days
103157006,FALSE,TRUE,FALSE,FALSE,FALSE,male,3-7 days
103157007,FALSE,FALSE,FALSE,FALSE,FALSE,female,2-3 weeks
103157008,FALSE,FALSE,FALSE,FALSE,FALSE,female,3-7 days
103157009,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
103158001,FALSE,FALSE,FALSE,FALSE,FALSE,male,occasional
103158002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
103158003,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
103158004,TRUE,FALSE,FALSE,FALSE,FALSE,male,3-7 days
103158005,TRUE,FALSE,FALSE,FALSE,FALSE,male,2-3 weeks
103158006,TRUE,FALSE,FALSE,FALSE,FALSE,female,2-3 weeks
103158007,TRUE,FALSE,FALSE,FALSE,FALSE,female,3-7 days
103158008,FALSE,FALSE,FALSE,FALSE,FALSE,female,occasional
103158009,FALSE,FALSE,FALSE,FALSE,FALSE,male,occasional
103158010,FALSE,FALSE,FALSE,FALSE,FALSE,female,occasional
103158011,FALSE,FALSE,FALSE,FALSE,FALSE,male,occasional
103160001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
103160002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
103160003,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
103160004,FALSE,FALSE,FALSE,FALSE,FALSE,male,2-3 weeks
103162001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
103162002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
103162003,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
103162004,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
103163001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
103163002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
103163003,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
103164001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
103164002,TRUE,FALSE,FALSE,FALSE,TRUE,female,1-2 days
103164003,FALSE,TRUE,FALSE,FALSE,FALSE,male,3-7 days
103164004,TRUE,TRUE,FALSE,FALSE,FALSE,female,3-7 days
103164005,TRUE,FALSE,FALSE,FALSE,FALSE,male,2-3 weeks
103165001,FALSE,FALSE,FALSE,TRUE,FALSE,male,1-2 days
103165002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
103165003,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
103165004,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
103165005,FALSE,FALSE,FALSE,TRUE,FALSE,male,3-7 days
103166001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
103166002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
103166003,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
