hh_id,country,hh_size
HH10313901,es,2
HH10314001,es,4
HH10314002,es,4
HH10314003,es,4
HH10314004,es,4
HH10314008,es,4
HH10314101,es,2
HH10314102,es,2
HH10314103,es,2
HH10314104,es,2
HH10314105,es,2
HH10314106,es,2
HH10314108,es,2
HH10314201,es,3
HH10314202,es,3
HH10314203,es,3
HH10314204,es,3
HH10314205,es,3
HH10314206,es,3
HH10314301,es,3
HH10314302,es,3
HH10314303,es,3
HH10314304,es,3
HH10314305,es,3
HH10314306,es,3
HH10314308,es,3
HH10314401,es,3
HH10314402,es,3
HH10314404,es,3
HH10314501,es,2
HH10314502,es,2
HH10314503,es,2
HH10314504,es,2
HH10314506,es,2
HH10314508,es,2
HH10314601,es,3
HH10314603,es,3
HH10314604,es,3
HH10314605,es,3
HH10314606,es,3
HH10314608,es,3
HH10314701,es,1
HH10314702,es,1
HH10314703,es,1
HH10314705,es,1
HH10314706,es,1
HH10314801,es,3
HH10314802,es,3
HH10314803,es,3
HH10314804,es,3
HH10314901,es,4
HH10314902,es,4
HH10314903,es,4
HH10314904,es,4
HH10314905,es,4
HH10314906,es,4
HH10315001,es,2
HH10315002,es,2
HH10315003,es,2
HH10315004,es,2
HH10315006,es,2
HH10315008,es,2
HH10315101,es,4
HH10315102,es,4
HH10315103,es,4
HH10315104,es,4
HH10315105,es,4
HH10315106,es,4
HH10315108,es,4
HH10315201,es,4
HH10315202,es,4
HH10315203,es,4
HH10315204,es,4
HH10315205,es,4
HH10315206,es,4
HH10315208,es,4
HH10315301,es,3
HH10315302,es,3
HH10315303,es,3
HH10315304,es,3
HH10315306,es,3
HH10315308,es,3
HH10315401,es,3
HH10315402,es,3
HH10315403,es,3
HH10315404,es,3
HH10315405,es,3
HH10315406,es,3
HH10315408,es,3
HH10315501,es,2
HH10315503,es,2
HH10315504,es,2
HH10315505,es,2
HH10315506,es,2
HH10315601,es,4
HH10315603,es,4
HH10315604,es,4
HH10315606,es,4
HH10315701,es,4
HH10315801,es,4
HH10315802,es,4
HH10315803,es,4
HH10315804,es,4
HH10315805,es,4
HH10315806,es,4
HH10315901,es,2
HH10315902,es,2
HH10315904,es,2
HH10315906,es,2
HH10315908,es,2
HH10316001,es,4
HH10316002,es,4
HH10316003,es,4
HH10316004,es,4
HH10316005,es,4
HH10316006,es,4
HH10316008,es,4
HH10316101,es,1
HH10316102,es,1
HH10316103,es,1
HH10316104,es,1
HH10316106,es,1
HH10316108,es,1
HH10316201,es,3
HH10316202,es,3
HH10316203,es,3
HH10316204,es,3
HH10316205,es,3
HH10316208,es,3
HH10316301,es,4
HH10316302,es,5
HH10316303,es,5
HH10316305,es,5
HH10316306,es,5
HH10316401,es,2
HH10316402,es,2
HH10316403,es,2
HH10316404,es,2
HH10316405,es,2
HH10316406,es,2
HH10316408,es,2
HH10316501,es,3
HH10316502,es,3
HH10316505,es,3
HH10316601,es,4
HH10316602,es,4
HH10316608,es,4
HH10316701,es,4
HH10316703,es,4
HH10316704,es,4
HH10316705,es,4
HH10316706,es,4
HH10316801,es,3
HH10316802,es,3
HH10316803,es,3
HH10316806,es,3
HH10316901,es,4
HH10316902,es,4
HH10316904,es,4
HH10317001,es,3
HH10317002,es,3
HH10317003,es,3
HH10317004,es,3
HH10317005,es,3
HH10317006,es,3
HH10317008,es,3
HH10317101,es,4
HH10317102,es,4
HH10317104,es,4
HH10317106,es,4
HH10317201,es,3
HH10317202,es,3
HH10317301,es,3
HH10317302,es,3
HH10317303,es,3
HH10317304,es,3
HH10317401,es,4
HH10317402,es,4
HH10317403,es,4
HH10317404,es,4
HH10317405,es,4
HH10317406,es,4
HH10317408,es,4
HH10317501,es,4
HH10317601,es,3
HH10317701,es,2
HH10317702,es,2
HH10317801,es,4
HH10317802,es,4
HH10317804,es,4
HH10317806,es,4
HH10317901,es,3
HH10317902,es,3
HH10317903,es,3
HH10317904,es,3
HH10317905,es,3
HH10318001,es,1
HH10318002,es,1
HH10318003,es,1
HH10318004,es,1
HH10318008,es,1
HH10318101,es,3
HH10318102,es,3
HH10318103,es,3
HH10318104,es,3
HH10318105,es,3
HH10318106,es,3
HH10318108,es,3
HH10318201,es,4
HH10318204,es,4
HH10318205,es,4
HH10318301,es,4
HH10318302,es,2
HH10318303,es,2
HH10318304,es,2
HH10318305,es,2
HH10318306,es,2
HH10318401,es,6
HH10318402,es,6
HH10318403,es,6
HH10318404,es,6
HH10318405,es,6
HH10318501,es,4
HH10318502,es,4
HH10318503,es,4
HH10318504,es,4
HH10318505,es,4
HH10318506,es,4
HH10318508,es,4
HH10318601,es,2
HH10318603,es,2
HH10318606,es,2
HH10318701,es,4
HH10318702,es,4
HH10318703,es,4
HH10318704,es,4
HH10318705,es,4
HH10318706,es,4
HH10318708,es,4
HH10318801,es,2
HH10318802,es,2
HH10318901,es,3
HH10318902,es,2
HH10318905,es,2
HH10318906,es,2
HH10319001,es,4
HH10319002,es,4
HH10319003,es,4
HH10319004,es,4
HH10319006,es,4
HH10319008,es,4
HH10319101,es,4
HH10319102,es,4
HH10319104,es,4
HH10319201,es,4
HH10319203,es,4
HH10319204,es,4
HH10319205,es,4
HH10319206,es,4
HH10319301,es,3
HH10319302,es,3
HH10319304,es,3
HH10319306,es,3
HH10319308,es,3
HH10319401,es,2
HH10319403,es,2
HH10319404,es,2
HH10319405,es,2
HH10319406,es,2
HH10319408,es,2
HH10319501,es,5
HH10319502,es,5
HH10319503,es,5
HH10319504,es,5
HH10319506,es,5
HH10319508,es,5
HH10319601,es,3
HH10319602,es,3
HH10319701,es,3
HH10319801,es,4
HH10319802,es,4
HH10319901,es,2
HH10319902,es,2
HH10319903,es,2
HH10319904,es,2
HH10319905,es,2
HH10319906,es,2
HH10319908,es,2
HH10320001,es,1
HH10320002,es,2
HH10320003,es,1
HH10320004,es,1
HH10320005,es,1
HH10320008,es,1
HH10320101,es,2
HH10320102,es,2
HH10320103,es,2
HH10320104,es,2
HH10320106,es,2
HH10320201,es,2
HH10320301,es,5
HH10320302,es,5
HH10320304,es,5
HH10320305,es,5
HH10320306,es,5
HH10320308,es,5
HH10320401,es,4
HH10320402,es,4
HH10320403,es,4
HH10320501,es,3
HH10320502,es,3
HH10320503,es,3
HH10320504,es,3
HH10320505,es,3
HH10320506,es,3
HH10320508,es,3
HH10320601,es,4
HH10320602,es,4
HH10320603,es,4
HH10320604,es,4
HH10320606,es,4
HH10320701,es,4
HH10320702,es,4
HH10320708,es,4
HH10320801,es,4
HH10320802,es,4
HH10320803,es,4
HH10320804,es,4
HH10320805,es,4
HH10320806,es,4
HH10320901,es,3
HH10320902,es,3
HH10320903,es,3
HH10320904,es,3
HH10320906,es,3
HH10320908,es,3
HH10321001,es,1
HH10321002,es,1
HH10321003,es,1
HH10321004,es,1
HH10321005,es,1
HH10321006,es,1
HH10321101,es,4
HH10321102,es,4
HH10321103,es,4
HH10321104,es,4
HH10321108,es,4
HH10321201,es,2
HH10321202,es,2
HH10321203,es,2
HH10321204,es,2
HH10321205,es,2
HH10321206,es,2
HH10321301,es,2
HH10321303,es,2
HH10321304,es,2
HH10321306,es,2
HH10321308,es,2
HH10321401,es,4
HH10321402,es,4
HH10321403,es,4
HH10321404,es,4
HH10321501,es,4
HH10321502,es,4
HH10321506,es,4
