"part_id","hh_id","part_age","part_gender"
10313901,"HH10313901","18-29","F"
10314001,"HH10314001","40-49","M"
10314002,"HH10314002","40-49","M"
10314003,"HH10314003","40-49","M"
10314004,"HH10314004","40-49","M"
10314008,"HH10314008","40-49","M"
10314101,"HH10314101","18-29","F"
10314102,"HH10314102","18-29","F"
10314103,"HH10314103","18-29","F"
10314104,"HH10314104","18-29","F"
10314105,"HH10314105","18-29","F"
10314106,"HH10314106","18-29","F"
10314108,"HH10314108","30-39","F"
10314201,"HH10314201","30-39","M"
10314202,"HH10314202","30-39","M"
10314203,"HH10314203","30-39","M"
10314204,"HH10314204","30-39","M"
10314205,"HH10314205","30-39","M"
10314206,"HH10314206","30-39","M"
10314301,"HH10314301","30-39","F"
10314302,"HH10314302","30-39","F"
10314303,"HH10314303","30-39","F"
10314304,"HH10314304","30-39","F"
10314305,"HH10314305","30-39","F"
10314306,"HH10314306","30-39","F"
10314308,"HH10314308","30-39","F"
10314401,"HH10314401","30-39","M"
10314402,"HH10314402","30-39","M"
10314404,"HH10314404","30-39","M"
10314501,"HH10314501","40-49","F"
10314502,"HH10314502","40-49","F"
10314503,"HH10314503","40-49","F"
10314504,"HH10314504","40-49","F"
10314506,"HH10314506","40-49","F"
10314508,"HH10314508","40-49","F"
10314601,"HH10314601","40-49","M"
10314603,"HH10314603","40-49","M"
10314604,"HH10314604","40-49","M"
10314605,"HH10314605","40-49","M"
10314606,"HH10314606","40-49","M"
10314608,"HH10314608","40-49","M"
10314701,"HH10314701","40-49","M"
10314702,"HH10314702","40-49","M"
10314703,"HH10314703","40-49","M"
10314705,"HH10314705","40-49","M"
10314706,"HH10314706","40-49","M"
10314801,"HH10314801","30-39","F"
10314802,"HH10314802","30-39","F"
10314803,"HH10314803","30-39","F"
10314804,"HH10314804","30-39","F"
10314901,"HH10314901","50-59","F"
10314902,"HH10314902","50-59","F"
10314903,"HH10314903","50-59","F"
10314904,"HH10314904","50-59","F"
10314905,"HH10314905","50-59","F"
10314906,"HH10314906","50-59","F"
10315001,"HH10315001","18-29","F"
10315002,"HH10315002","18-29","F"
10315003,"HH10315003","18-29","F"
10315004,"HH10315004","18-29","F"
10315006,"HH10315006","18-29","F"
10315008,"HH10315008","18-29","F"
10315101,"HH10315101","50-59","F"
10315102,"HH10315102","50-59","F"
10315103,"HH10315103","50-59","F"
10315104,"HH10315104","50-59","F"
10315105,"HH10315105","50-59","F"
10315106,"HH10315106","50-59","F"
10315108,"HH10315108","50-59","F"
10315201,"HH10315201","40-49","M"
10315202,"HH10315202","40-49","M"
10315203,"HH10315203","40-49","M"
10315204,"HH10315204","40-49","M"
10315205,"HH10315205","40-49","M"
10315206,"HH10315206","40-49","M"
10315208,"HH10315208","40-49","M"
10315301,"HH10315301","40-49","M"
10315302,"HH10315302","40-49","M"
10315303,"HH10315303","40-49","M"
10315304,"HH10315304","40-49","M"
10315306,"HH10315306","40-49","M"
10315308,"HH10315308","40-49","M"
10315401,"HH10315401","30-39","M"
10315402,"HH10315402","30-39","M"
10315403,"HH10315403","30-39","M"
10315404,"HH10315404","30-39","M"
10315405,"HH10315405","30-39","M"
10315406,"HH10315406","30-39","M"
10315408,"HH10315408","30-39","M"
10315501,"HH10315501","60-69","M"
10315503,"HH10315503","60-69","M"
10315504,"HH10315504","60-69","M"
10315505,"HH10315505","60-69","M"
10315506,"HH10315506","60-69","M"
10315601,"HH10315601","40-49","F"
10315603,"HH10315603","40-49","F"
10315604,"HH10315604","40-49","F"
10315606,"HH10315606","40-49","F"
10315701,"HH10315701","18-29","F"
10315801,"HH10315801","30-39","F"
10315802,"HH10315802","30-39","F"
10315803,"HH10315803","30-39","F"
10315804,"HH10315804","30-39","F"
10315805,"HH10315805","30-39","F"
10315806,"HH10315806","30-39","F"
10315901,"HH10315901","18-29","M"
10315902,"HH10315902","18-29","M"
10315904,"HH10315904","18-29","M"
10315906,"HH10315906","18-29","M"
10315908,"HH10315908","18-29","M"
10316001,"HH10316001","50-59","M"
10316002,"HH10316002","50-59","M"
10316003,"HH10316003","50-59","M"
10316004,"HH10316004","50-59","M"
10316005,"HH10316005","50-59","M"
10316006,"HH10316006","50-59","M"
10316008,"HH10316008","50-59","M"
10316101,"HH10316101","40-49","F"
10316102,"HH10316102","40-49","F"
10316103,"HH10316103","40-49","F"
10316104,"HH10316104","40-49","F"
10316106,"HH10316106","40-49","F"
10316108,"HH10316108","40-49","F"
10316201,"HH10316201","50-59","F"
10316202,"HH10316202","50-59","F"
10316203,"HH10316203","50-59","F"
10316204,"HH10316204","50-59","F"
10316205,"HH10316205","50-59","F"
10316208,"HH10316208","50-59","F"
10316301,"HH10316301","60-69","F"
10316302,"HH10316302","60-69","F"
10316303,"HH10316303","60-69","F"
10316305,"HH10316305","60-69","F"
10316306,"HH10316306","60-69","F"
10316401,"HH10316401","18-29","M"
10316402,"HH10316402","18-29","M"
10316403,"HH10316403","18-29","M"
10316404,"HH10316404","18-29","M"
10316405,"HH10316405","18-29","M"
10316406,"HH10316406","18-29","M"
10316408,"HH10316408","18-29","M"
10316501,"HH10316501","40-49","F"
10316502,"HH10316502","40-49","F"
10316505,"HH10316505","40-49","F"
10316601,"HH10316601","18-29","M"
10316602,"HH10316602","18-29","M"
10316608,"HH10316608","30-39","M"
10316701,"HH10316701","50-59","F"
10316703,"HH10316703","50-59","M"
10316704,"HH10316704","50-59","M"
10316705,"HH10316705","50-59","M"
10316706,"HH10316706","50-59","M"
10316801,"HH10316801","40-49","M"
10316802,"HH10316802","40-49","M"
10316803,"HH10316803","40-49","M"
10316806,"HH10316806","40-49","M"
10316901,"HH10316901","40-49","M"
10316902,"HH10316902","40-49","M"
10316904,"HH10316904","40-49","M"
10317001,"HH10317001","50-59","F"
10317002,"HH10317002","50-59","F"
10317003,"HH10317003","50-59","F"
10317004,"HH10317004","50-59","F"
10317005,"HH10317005","50-59","F"
10317006,"HH10317006","50-59","F"
10317008,"HH10317008","50-59","F"
10317101,"HH10317101","40-49","F"
10317102,"HH10317102","40-49","F"
10317104,"HH10317104","40-49","F"
10317106,"HH10317106","40-49","F"
10317201,"HH10317201","18-29","M"
10317202,"HH10317202","18-29","M"
10317301,"HH10317301","50-59","M"
10317302,"HH10317302","50-59","M"
10317303,"HH10317303","50-59","M"
10317304,"HH10317304","50-59","M"
10317401,"HH10317401","40-49","F"
10317402,"HH10317402","40-49","F"
10317403,"HH10317403","40-49","F"
10317404,"HH10317404","40-49","F"
10317405,"HH10317405","40-49","F"
10317406,"HH10317406","40-49","F"
10317408,"HH10317408","40-49","F"
