hh_id,country,hh_size
HH10000001,fi,4
HH10000003,fi,NA
HH10000004,fi,NA
HH10000005,fi,NA
HH10000007,fi,NA
HH10000008,fi,NA
HH10000009,fi,NA
HH10000010,fi,4
HH10000012,fi,4
HH10000013,fi,4
HH10000014,fi,4
HH10000015,fi,4
HH10000101,fi,4
HH10000103,fi,NA
HH10000104,fi,NA
HH10000105,fi,NA
HH10000107,fi,NA
HH10000108,fi,NA
HH10000109,fi,NA
HH10000110,fi,4
HH10000112,fi,4
HH10000113,fi,4
HH10000114,fi,4
HH10000115,fi,4
HH10000201,fi,2
HH10000203,fi,NA
HH10000204,fi,NA
HH10000205,fi,NA
HH10000207,fi,NA
HH10000208,fi,NA
HH10000209,fi,NA
HH10000210,fi,2
HH10000211,fi,2
HH10000212,fi,2
HH10000213,fi,2
HH10000214,fi,2
HH10000215,fi,2
HH10000301,fi,1
HH10000304,fi,NA
HH10000309,fi,NA
HH10000401,fi,3
HH10000407,fi,NA
HH10000408,fi,NA
HH10000409,fi,NA
HH10000501,fi,1
HH10000504,fi,NA
HH10000510,fi,1
HH10000512,fi,1
HH10000513,fi,1
HH10000514,fi,1
HH10000601,fi,3
HH10000603,fi,NA
HH10000604,fi,NA
HH10000605,fi,NA
HH10000607,fi,NA
HH10000608,fi,NA
HH10000610,fi,4
HH10000612,fi,4
HH10000614,fi,4
HH10000615,fi,4
HH10000701,fi,1
HH10000703,fi,NA
HH10000705,fi,NA
HH10000707,fi,NA
HH10000708,fi,NA
HH10000710,fi,1
HH10000712,fi,1
HH10000713,fi,1
HH10000714,fi,1
HH10000715,fi,1
HH10000801,fi,3
HH10000804,fi,NA
HH10000901,fi,1
HH10000903,fi,NA
HH10000904,fi,NA
HH10000905,fi,NA
HH10000907,fi,NA
HH10000908,fi,NA
HH10000909,fi,NA
HH10000910,fi,1
HH10000911,fi,1
HH10000913,fi,1
HH10000914,fi,1
HH10000915,fi,1
HH10001001,fi,2
HH10001003,fi,NA
HH10001007,fi,NA
HH10001008,fi,NA
HH10001009,fi,NA
HH10001010,fi,2
HH10001101,fi,1
HH10001103,fi,NA
HH10001104,fi,NA
HH10001105,fi,NA
HH10001107,fi,NA
HH10001108,fi,NA
HH10001109,fi,NA
HH10001110,fi,1
HH10001112,fi,1
HH10001113,fi,1
HH10001114,fi,1
HH10001115,fi,1
HH10001201,fi,1
HH10001203,fi,NA
HH10001204,fi,NA
HH10001205,fi,NA
HH10001207,fi,NA
HH10001208,fi,NA
HH10001210,fi,1
HH10001211,fi,1
HH10001212,fi,1
HH10001213,fi,1
HH10001214,fi,1
HH10001215,fi,1
HH10001301,fi,1
HH10001303,fi,NA
HH10001304,fi,NA
HH10001305,fi,NA
HH10001307,fi,NA
HH10001308,fi,NA
HH10001309,fi,NA
HH10001310,fi,1
HH10001312,fi,1
HH10001313,fi,1
HH10001314,fi,1
HH10001315,fi,1
HH10001401,fi,3
HH10001403,fi,NA
HH10001404,fi,NA
HH10001407,fi,NA
HH10001410,fi,3
HH10001413,fi,3
HH10001414,fi,3
HH10001415,fi,3
HH10001501,fi,1
HH10001503,fi,NA
HH10001504,fi,NA
HH10001505,fi,NA
HH10001507,fi,NA
HH10001508,fi,NA
HH10001509,fi,NA
HH10001510,fi,1
HH10001511,fi,1
HH10001512,fi,1
HH10001513,fi,1
HH10001514,fi,1
HH10001515,fi,1
HH10001601,fi,4
HH10001603,fi,NA
HH10001605,fi,NA
HH10001607,fi,NA
HH10001608,fi,NA
HH10001609,fi,NA
HH10001610,fi,4
HH10001611,fi,4
HH10001701,fi,2
HH10001703,fi,NA
HH10001801,fi,2
HH10001803,fi,NA
HH10001804,fi,NA
HH10001805,fi,NA
HH10001807,fi,NA
HH10001809,fi,NA
HH10001810,fi,2
HH10001812,fi,2
HH10001813,fi,2
HH10001814,fi,2
HH10001901,fi,2
HH10001903,fi,NA
HH10001904,fi,NA
HH10001905,fi,NA
HH10001908,fi,NA
HH10001909,fi,NA
HH10001910,fi,2
HH10001912,fi,2
HH10001913,fi,2
HH10001914,fi,2
HH10001915,fi,2
HH10002001,fi,3
HH10002003,fi,NA
HH10002004,fi,NA
HH10002005,fi,NA
HH10002007,fi,NA
HH10002008,fi,NA
HH10002101,fi,1
HH10002103,fi,NA
HH10002104,fi,NA
HH10002107,fi,NA
HH10002108,fi,NA
HH10002110,fi,1
HH10002111,fi,1
HH10002112,fi,1
HH10002113,fi,1
HH10002114,fi,1
HH10002201,fi,3
HH10002203,fi,NA
HH10002207,fi,NA
HH10002301,fi,2
HH10002303,fi,NA
HH10002401,fi,3
HH10002501,fi,3
HH10002503,fi,NA
HH10002504,fi,NA
HH10002505,fi,NA
HH10002507,fi,NA
HH10002509,fi,NA
HH10002510,fi,3
HH10002512,fi,3
HH10002513,fi,3
HH10002514,fi,3
HH10002515,fi,3
HH10002601,fi,1
HH10002603,fi,NA
HH10002604,fi,NA
HH10002605,fi,NA
HH10002607,fi,NA
HH10002608,fi,NA
HH10002609,fi,NA
HH10002610,fi,1
HH10002611,fi,1
HH10002612,fi,1
HH10002613,fi,1
HH10002614,fi,1
HH10002615,fi,1
HH10002701,fi,3
HH10002703,fi,NA
HH10002704,fi,NA
HH10002705,fi,NA
HH10002707,fi,NA
HH10002709,fi,NA
HH10002710,fi,3
HH10002715,fi,3
HH10002801,fi,2
HH10002803,fi,NA
HH10002804,fi,NA
HH10002807,fi,NA
HH10002808,fi,NA
HH10002810,fi,2
HH10002811,fi,2
HH10002901,fi,2
HH10002903,fi,NA
HH10003001,fi,1
HH10003003,fi,NA
HH10003004,fi,NA
HH10003008,fi,NA
HH10003009,fi,NA
HH10003010,fi,1
HH10003011,fi,1
HH10003012,fi,1
HH10003013,fi,1
HH10003014,fi,1
HH10003015,fi,1
HH10003101,fi,2
HH10003103,fi,NA
HH10003104,fi,NA
HH10003107,fi,NA
HH10003110,fi,2
HH10003111,fi,2
HH10003112,fi,2
HH10003113,fi,2
HH10003201,fi,1
HH10003203,fi,NA
HH10003204,fi,NA
HH10003207,fi,NA
HH10003208,fi,NA
HH10003209,fi,NA
HH10003210,fi,1
HH10003211,fi,1
HH10003213,fi,1
HH10003301,fi,2
HH10003303,fi,NA
HH10003304,fi,NA
HH10003307,fi,NA
HH10003308,fi,NA
HH10003309,fi,NA
HH10003310,fi,2
HH10003312,fi,2
HH10003313,fi,2
HH10003314,fi,2
HH10003315,fi,2
HH10003401,fi,2
HH10003403,fi,NA
HH10003404,fi,NA
HH10003405,fi,NA
HH10003407,fi,NA
HH10003409,fi,NA
HH10003410,fi,2
HH10003411,fi,2
HH10003412,fi,2
HH10003413,fi,2
HH10003414,fi,2
HH10003415,fi,2
HH10003501,fi,2
HH10003504,fi,NA
HH10003507,fi,NA
HH10003508,fi,NA
HH10003510,fi,2
HH10003512,fi,2
HH10003513,fi,2
HH10003601,fi,2
HH10003603,fi,NA
HH10003604,fi,NA
HH10003605,fi,NA
HH10003607,fi,NA
HH10003608,fi,NA
HH10003609,fi,NA
HH10003610,fi,2
HH10003612,fi,2
HH10003613,fi,2
HH10003614,fi,2
HH10003701,fi,1
HH10003703,fi,NA
HH10003704,fi,NA
HH10003705,fi,NA
HH10003707,fi,NA
HH10003708,fi,NA
HH10003709,fi,NA
HH10003710,fi,1
HH10003712,fi,1
HH10003713,fi,1
HH10003714,fi,1
HH10003715,fi,1
HH10003801,fi,5
HH10003808,fi,NA
HH10003809,fi,NA
HH10003901,fi,3
HH10003903,fi,NA
HH10003907,fi,NA
HH10003909,fi,NA
HH10003910,fi,4
HH10003912,fi,4
HH10003914,fi,4
HH10003915,fi,4
HH10004001,fi,1
HH10004003,fi,NA
HH10004004,fi,NA
HH10004005,fi,NA
HH10004007,fi,NA
HH10004008,fi,NA
HH10004009,fi,NA
HH10004010,fi,1
HH10004012,fi,1
HH10004013,fi,1
HH10004014,fi,1
HH10004101,fi,1
HH10004103,fi,NA
HH10004104,fi,NA
HH10004105,fi,NA
HH10004107,fi,NA
HH10004108,fi,NA
HH10004109,fi,NA
HH10004110,fi,1
HH10004111,fi,1
HH10004112,fi,1
HH10004113,fi,1
HH10004114,fi,1
HH10004115,fi,1
HH10004201,fi,2
HH10004203,fi,NA
HH10004204,fi,NA
HH10004205,fi,NA
HH10004207,fi,NA
HH10004208,fi,NA
HH10004209,fi,NA
HH10004210,fi,2
HH10004211,fi,2
HH10004212,fi,2
HH10004214,fi,2
HH10004215,fi,2
HH10004301,fi,2
HH10004303,fi,NA
HH10004304,fi,NA
HH10004305,fi,NA
HH10004307,fi,NA
HH10004309,fi,NA
HH10004310,fi,2
HH10004311,fi,2
HH10004312,fi,2
HH10004313,fi,2
HH10004315,fi,2
HH10004401,fi,5
HH10004404,fi,NA
HH10004405,fi,NA
HH10004407,fi,NA
HH10004409,fi,NA
HH10004410,fi,5
HH10004411,fi,5
HH10004412,fi,5
HH10004413,fi,5
HH10004414,fi,5
HH10004415,fi,5
HH10004501,fi,2
HH10004503,fi,NA
HH10004504,fi,NA
HH10004505,fi,NA
HH10004507,fi,NA
HH10004508,fi,NA
HH10004509,fi,NA
HH10004510,fi,2
HH10004511,fi,2
HH10004512,fi,2
HH10004513,fi,2
HH10004514,fi,2
HH10004601,fi,2
HH10004603,fi,NA
HH10004604,fi,NA
HH10004605,fi,NA
HH10004701,fi,3
HH10004703,fi,NA
HH10004707,fi,NA
HH10004708,fi,NA
HH10004709,fi,NA
HH10004710,fi,3
HH10004712,fi,3
HH10004713,fi,3
HH10004714,fi,3
HH10004715,fi,3
HH10004801,fi,6
HH10004803,fi,NA
HH10004807,fi,NA
HH10004809,fi,NA
HH10004901,fi,2
HH10004904,fi,NA
HH10004908,fi,NA
HH10004909,fi,NA
HH10004910,fi,2
HH10004911,fi,2
HH10004912,fi,2
HH10004913,fi,2
HH10004914,fi,2
HH10004915,fi,2
HH10005001,fi,1
HH10005003,fi,NA
HH10005004,fi,NA
HH10005005,fi,NA
HH10005008,fi,NA
HH10005009,fi,NA
HH10005101,fi,1
HH10005103,fi,NA
HH10005104,fi,NA
HH10005105,fi,NA
HH10005107,fi,NA
HH10005108,fi,NA
HH10005109,fi,NA
HH10005110,fi,1
HH10005111,fi,1
HH10005112,fi,1
HH10005113,fi,1
HH10005114,fi,1
HH10005115,fi,1
HH10005201,fi,4
HH10005203,fi,NA
HH10005204,fi,NA
HH10005207,fi,NA
HH10005208,fi,NA
HH10005209,fi,NA
HH10005301,fi,2
HH10005303,fi,NA
HH10005304,fi,NA
HH10005305,fi,NA
HH10005308,fi,NA
HH10005309,fi,NA
HH10005310,fi,2
HH10005311,fi,2
HH10005312,fi,2
HH10005313,fi,2
HH10005401,fi,1
HH10005404,fi,NA
HH10005501,fi,1
HH10005503,fi,NA
HH10005507,fi,NA
HH10005508,fi,NA
HH10005509,fi,NA
HH10005510,fi,1
HH10005512,fi,1
HH10005513,fi,1
HH10005514,fi,1
HH10005515,fi,1
HH10005601,fi,3
HH10005603,fi,NA
HH10005604,fi,NA
HH10005607,fi,NA
HH10005608,fi,NA
HH10005609,fi,NA
HH10005701,fi,2
HH10005703,fi,NA
HH10005704,fi,NA
HH10005705,fi,NA
HH10005707,fi,NA
HH10005708,fi,NA
HH10005709,fi,NA
HH10005710,fi,2
HH10005711,fi,2
HH10005713,fi,2
HH10005714,fi,2
HH10005715,fi,2
HH10005801,fi,2
HH10005804,fi,NA
HH10005901,fi,4
HH10005903,fi,NA
HH10005904,fi,NA
HH10005905,fi,NA
HH10005907,fi,NA
HH10005908,fi,NA
HH10005909,fi,NA
HH10005910,fi,4
HH10005911,fi,1
HH10005912,fi,1
HH10005913,fi,1
HH10005914,fi,1
HH10005915,fi,1
HH10006001,fi,2
HH10006003,fi,NA
HH10006101,fi,1
HH10006103,fi,NA
HH10006104,fi,NA
HH10006107,fi,NA
HH10006108,fi,NA
HH10006109,fi,NA
HH10006110,fi,1
HH10006111,fi,1
HH10006112,fi,1
HH10006113,fi,1
HH10006114,fi,1
HH10006115,fi,1
HH10006201,fi,1
HH10006203,fi,NA
HH10006204,fi,NA
HH10006207,fi,NA
HH10006208,fi,NA
HH10006209,fi,NA
HH10006210,fi,1
HH10006211,fi,1
HH10006212,fi,1
HH10006213,fi,1
HH10006214,fi,1
HH10006215,fi,1
HH10006301,fi,3
HH10006303,fi,NA
HH10006304,fi,NA
HH10006307,fi,NA
HH10006308,fi,NA
HH10006309,fi,NA
HH10006310,fi,3
HH10006311,fi,3
HH10006312,fi,3
HH10006313,fi,3
HH10006314,fi,3
HH10006315,fi,3
HH10006401,fi,2
HH10006407,fi,NA
HH10006501,fi,2
HH10006503,fi,NA
HH10006504,fi,NA
HH10006507,fi,NA
HH10006510,fi,2
HH10006512,fi,2
HH10006513,fi,2
HH10006514,fi,2
HH10006515,fi,2
HH10006601,fi,4
HH10006603,fi,NA
HH10006605,fi,NA
HH10006607,fi,NA
HH10006610,fi,4
HH10006611,fi,4
HH10006612,fi,4
HH10006614,fi,4
HH10006615,fi,4
HH10006701,fi,8
HH10006703,fi,NA
HH10006801,fi,2
HH10006803,fi,NA
HH10006804,fi,NA
HH10006901,fi,4
HH10006903,fi,NA
HH10007001,fi,4
HH10007003,fi,NA
HH10007004,fi,NA
HH10007005,fi,NA
HH10007008,fi,NA
HH10007101,fi,1
HH10007103,fi,NA
HH10007104,fi,NA
HH10007105,fi,NA
HH10007109,fi,NA
HH10007110,fi,1
HH10007111,fi,1
HH10007113,fi,1
HH10007114,fi,1
HH10007201,fi,3
HH10007203,fi,NA
HH10007205,fi,NA
HH10007301,fi,3
HH10007304,fi,NA
HH10007308,fi,NA
HH10007309,fi,NA
HH10007401,fi,2
HH10007403,fi,NA
HH10007404,fi,NA
HH10007407,fi,NA
HH10007408,fi,NA
HH10007410,fi,2
HH10007411,fi,2
HH10007413,fi,2
HH10007414,fi,2
HH10007501,fi,1
HH10007601,fi,2
HH10007701,fi,3
HH10007703,fi,NA
HH10007710,fi,3
HH10007711,fi,3
HH10007713,fi,3
HH10007801,fi,1
HH10007901,fi,1
HH10007903,fi,NA
HH10007907,fi,NA
HH10007908,fi,NA
HH10007909,fi,NA
HH10007910,fi,1
HH10007911,fi,1
HH10007912,fi,1
HH10007913,fi,1
HH10007914,fi,1
HH10007915,fi,1
HH10008001,fi,3
HH10008008,fi,NA
HH10008009,fi,NA
HH10008010,fi,3
HH10008011,fi,3
HH10008101,fi,1
HH10008103,fi,NA
HH10008110,fi,1
HH10008111,fi,1
HH10008113,fi,1
HH10008201,fi,5
HH10008301,fi,2
HH10008303,fi,NA
HH10008310,fi,2
HH10008401,fi,1
HH10008403,fi,NA
HH10008407,fi,NA
HH10008408,fi,NA
HH10008409,fi,NA
HH10008410,fi,1
HH10008411,fi,1
HH10008412,fi,1
HH10008413,fi,1
HH10008414,fi,1
HH10008415,fi,1
HH10008501,fi,2
HH10008510,fi,2
HH10008511,fi,2
HH10008512,fi,2
HH10008513,fi,2
HH10008514,fi,2
HH10008515,fi,2
HH10008601,fi,1
HH10008605,fi,NA
HH10008607,fi,NA
HH10008608,fi,NA
HH10008609,fi,NA
HH10008610,fi,1
HH10008611,fi,1
HH10008612,fi,1
HH10008613,fi,1
HH10008701,fi,5
HH10008801,fi,1
HH10008803,fi,NA
HH10008807,fi,NA
HH10008808,fi,NA
HH10008809,fi,NA
HH10008810,fi,1
HH10008811,fi,1
HH10008812,fi,1
HH10008813,fi,1
HH10008814,fi,1
HH10008815,fi,1
HH10008901,fi,2
HH10008903,fi,NA
HH10008905,fi,NA
HH10008907,fi,NA
HH10008908,fi,NA
HH10008909,fi,NA
HH10009001,fi,3
HH10009101,fi,1
HH10009201,fi,2
HH10009205,fi,NA
HH10009207,fi,NA
HH10009208,fi,NA
HH10009209,fi,NA
HH10009210,fi,2
HH10009211,fi,2
HH10009212,fi,2
HH10009213,fi,2
HH10009214,fi,2
HH10009215,fi,2
HH10009301,fi,1
HH10009307,fi,NA
HH10009308,fi,NA
HH10009309,fi,NA
HH10009310,fi,1
HH10009311,fi,1
HH10009312,fi,1
HH10009313,fi,1
HH10009314,fi,1
HH10009315,fi,1
HH10009401,fi,3
HH10009410,fi,3
HH10009411,fi,3
HH10009412,fi,3
HH10009413,fi,3
HH10009414,fi,3
HH10009415,fi,3
HH10009501,fi,2
HH10009601,fi,4
HH10009603,fi,NA
HH10009701,fi,2
HH10009801,fi,1
HH10009804,fi,NA
HH10009901,fi,2
HH10009905,fi,NA
HH10009909,fi,NA
HH10009910,fi,2
HH10009911,fi,2
HH10010001,fi,1
HH10010003,fi,NA
HH10010004,fi,NA
HH10010005,fi,NA
HH10010007,fi,NA
HH10010008,fi,NA
HH10010009,fi,NA
HH10010010,fi,1
HH10010011,fi,1
HH10010012,fi,1
HH10010013,fi,1
HH10010014,fi,1
HH10010015,fi,1
HH10010101,fi,1
HH10010105,fi,NA
HH10010107,fi,NA
HH10010108,fi,NA
HH10010109,fi,NA
HH10010110,fi,1
HH10010111,fi,1
HH10010112,fi,1
HH10010113,fi,1
HH10010114,fi,1
HH10010201,fi,2
HH10010203,fi,NA
HH10010301,fi,4
HH10010303,fi,NA
HH10010305,fi,NA
HH10010307,fi,NA
HH10010310,fi,4
HH10010311,fi,4
HH10010312,fi,4
HH10010313,fi,4
HH10010315,fi,4
HH10010401,fi,2
HH10010407,fi,NA
HH10010410,fi,2
HH10010501,fi,2
HH10010505,fi,NA
HH10010507,fi,NA
HH10010508,fi,NA
HH10010509,fi,NA
HH10010510,fi,2
HH10010511,fi,2
HH10010512,fi,2
HH10010513,fi,2
HH10010514,fi,2
HH10010515,fi,2
HH10010601,fi,2
HH10010607,fi,NA
HH10010701,fi,2
HH10010709,fi,NA
HH10010801,fi,2
HH10010807,fi,NA
HH10010808,fi,NA
HH10010810,fi,2
HH10010811,fi,2
HH10010901,fi,4
HH10011001,fi,3
HH10011010,fi,3
HH10011011,fi,3
HH10011012,fi,3
HH10011013,fi,3
HH10011014,fi,3
HH10011015,fi,3
HH10011101,fi,2
HH10011103,fi,NA
HH10011104,fi,NA
HH10011201,fi,1
HH10011203,fi,NA
HH10011208,fi,NA
HH10011209,fi,NA
HH10011210,fi,1
HH10011211,fi,1
HH10011212,fi,1
HH10011213,fi,1
HH10011401,fi,3
HH10011408,fi,NA
HH10011409,fi,NA
HH10011410,fi,3
HH10011411,fi,3
HH10011501,fi,3
HH10011508,fi,NA
HH10011510,fi,4
HH10011515,fi,4
HH10011601,fi,2
HH10011701,fi,1
HH10011703,fi,NA
HH10011710,fi,1
HH10011711,fi,2
HH10011712,fi,2
HH10011714,fi,2
HH10011715,fi,2
HH10011801,fi,1
HH10011803,fi,NA
HH10011807,fi,NA
HH10011808,fi,NA
HH10011809,fi,NA
HH10011810,fi,1
HH10011811,fi,1
HH10011812,fi,1
HH10011813,fi,1
HH10011814,fi,1
HH10011901,fi,1
HH10011903,fi,NA
HH10011905,fi,NA
HH10011907,fi,NA
HH10011908,fi,NA
HH10011909,fi,NA
HH10011910,fi,1
HH10011911,fi,1
HH10011912,fi,1
HH10011913,fi,1
HH10011914,fi,1
HH10011915,fi,1
HH10012001,fi,1
HH10012003,fi,NA
HH10012004,fi,NA
HH10012010,fi,1
HH10012011,fi,1
HH10012012,fi,1
HH10012013,fi,1
HH10012014,fi,1
HH10012101,fi,4
HH10012103,fi,NA
HH10012109,fi,NA
HH10012110,fi,4
HH10012111,fi,4
HH10012112,fi,4
HH10012114,fi,4
HH10012301,fi,5
HH10012303,fi,NA
HH10012308,fi,NA
HH10012309,fi,NA
HH10012310,fi,5
HH10012311,fi,5
HH10012312,fi,5
HH10012401,fi,1
HH10012403,fi,NA
HH10012501,fi,3
HH10012601,fi,1
HH10012603,fi,NA
HH10012701,fi,1
HH10012703,fi,NA
HH10012801,fi,2
HH10012803,fi,NA
HH10012901,fi,2
HH10012903,fi,NA
HH10012905,fi,NA
HH10012907,fi,NA
HH10012908,fi,NA
HH10012909,fi,NA
HH10012910,fi,3
HH10012911,fi,3
HH10012913,fi,3
HH10013001,fi,4
HH10013003,fi,NA
HH10013004,fi,NA
HH10013101,fi,2
HH10013103,fi,NA
HH10013105,fi,NA
HH10013107,fi,NA
HH10013108,fi,NA
HH10013109,fi,NA
HH10013110,fi,2
HH10013111,fi,2
HH10013112,fi,2
HH10013113,fi,2
HH10013114,fi,2
HH10013115,fi,2
HH10013201,fi,2
HH10013203,fi,NA
HH10013301,fi,1
HH10013303,fi,NA
HH10013305,fi,NA
HH10013310,fi,1
HH10013311,fi,1
HH10013312,fi,1
HH10013313,fi,1
HH10013314,fi,1
HH10013315,fi,1
HH10013401,fi,4
HH10013501,fi,2
HH10013503,fi,NA
HH10013505,fi,NA
HH10013507,fi,NA
HH10013509,fi,NA
HH10013510,fi,2
HH10013513,fi,2
HH10013601,fi,2
HH10013603,fi,NA
HH10013604,fi,NA
HH10013605,fi,NA
HH10013608,fi,NA
HH10013609,fi,NA
HH10013610,fi,2
HH10013611,fi,2
HH10013701,fi,2
HH10013801,fi,1
HH10013803,fi,NA
HH10013804,fi,NA
HH10013901,fi,3
HH10013903,fi,NA
HH10013905,fi,NA
HH10014001,fi,2
HH10014003,fi,NA
HH10014010,fi,2
HH10014011,fi,2
HH10014012,fi,2
HH10014013,fi,2
HH10014014,fi,2
HH10014015,fi,2
HH10014101,fi,2
HH10014103,fi,NA
HH10014201,fi,2
HH10014203,fi,NA
HH10014210,fi,2
HH10014211,fi,2
HH10014212,fi,2
HH10014213,fi,2
HH10014214,fi,2
HH10014215,fi,2
HH10014301,fi,2
HH10014303,fi,NA
HH10014401,fi,1
HH10014403,fi,NA
HH10014404,fi,NA
HH10014405,fi,NA
HH10014407,fi,NA
HH10014408,fi,NA
HH10014501,fi,2
HH10014601,fi,1
HH10014603,fi,NA
HH10014604,fi,NA
HH10014701,fi,1
HH10014703,fi,NA
HH10014704,fi,NA
HH10014705,fi,NA
HH10014707,fi,NA
HH10014709,fi,NA
HH10014710,fi,2
HH10014711,fi,2
HH10014712,fi,2
HH10014713,fi,2
HH10014715,fi,2
HH10014801,fi,4
HH10014803,fi,NA
HH10014901,fi,3
HH10014907,fi,NA
HH10014908,fi,NA
HH10014910,fi,3
HH10014911,fi,3
HH10014912,fi,3
HH10014913,fi,3
HH10014914,fi,3
HH10014915,fi,3
HH10015001,fi,1
HH10015003,fi,NA
HH10015005,fi,NA
HH10015008,fi,NA
HH10015009,fi,NA
HH10015010,fi,1
HH10015011,fi,1
HH10015012,fi,1
HH10015013,fi,1
HH10015014,fi,1
HH10015015,fi,1
HH10015101,fi,1
HH10015103,fi,NA
HH10015105,fi,NA
HH10015107,fi,NA
HH10015108,fi,NA
HH10015109,fi,NA
HH10015110,fi,1
HH10015111,fi,1
HH10015112,fi,1
HH10015113,fi,1
HH10015114,fi,1
HH10015115,fi,1
HH10015201,fi,2
HH10015203,fi,NA
HH10015205,fi,NA
HH10015207,fi,NA
