"part_id","hh_id","part_age","part_gender"
10000001,"HH10000001","40-49","M"
10000003,"HH10000003","40-49","M"
10000004,"HH10000004","40-49","M"
10000005,"HH10000005","40-49","M"
10000007,"HH10000007","40-49","M"
10000008,"HH10000008","40-49","M"
10000009,"HH10000009","40-49","M"
10000010,"HH10000010","40-49","M"
10000012,"HH10000012","40-49","M"
10000013,"HH10000013","40-49","M"
10000014,"HH10000014","40-49","M"
10000015,"HH10000015","40-49","M"
10000101,"HH10000101","30-39","F"
10000103,"HH10000103","30-39","F"
10000104,"HH10000104","30-39","F"
10000105,"HH10000105","30-39","F"
10000107,"HH10000107","30-39","F"
10000108,"HH10000108","30-39","F"
10000109,"HH10000109","30-39","F"
10000110,"HH10000110","30-39","F"
10000112,"HH10000112","30-39","F"
10000113,"HH10000113","30-39","F"
10000114,"HH10000114","30-39","F"
10000115,"HH10000115","30-39","F"
10000201,"HH10000201","50-59","F"
10000203,"HH10000203","50-59","F"
10000204,"HH10000204","50-59","F"
10000205,"HH10000205","50-59","F"
10000207,"HH10000207","50-59","F"
10000208,"HH10000208","50-59","F"
10000209,"HH10000209","50-59","F"
10000210,"HH10000210","50-59","F"
10000211,"HH10000211","50-59","F"
10000212,"HH10000212","50-59","F"
10000213,"HH10000213","50-59","F"
10000214,"HH10000214","50-59","F"
10000215,"HH10000215","50-59","F"
10000301,"HH10000301","18-29","M"
10000304,"HH10000304","18-29","M"
10000309,"HH10000309","18-29","M"
10000401,"HH10000401","18-29","F"
10000407,"HH10000407","30-39","F"
10000408,"HH10000408","30-39","F"
10000409,"HH10000409","30-39","F"
10000501,"HH10000501","18-29","M"
10000504,"HH10000504","18-29","M"
10000510,"HH10000510","18-29","M"
10000512,"HH10000512","18-29","M"
10000513,"HH10000513","18-29","M"
10000514,"HH10000514","18-29","M"
10000601,"HH10000601","30-39","M"
10000603,"HH10000603","30-39","M"
10000604,"HH10000604","30-39","M"
10000605,"HH10000605","30-39","M"
10000607,"HH10000607","30-39","M"
10000608,"HH10000608","30-39","M"
10000610,"HH10000610","30-39","M"
10000612,"HH10000612","30-39","M"
10000614,"HH10000614","30-39","M"
10000615,"HH10000615","30-39","M"
10000701,"HH10000701","18-29","F"
10000703,"HH10000703","18-29","F"
10000705,"HH10000705","18-29","F"
10000707,"HH10000707","18-29","F"
10000708,"HH10000708","18-29","F"
10000710,"HH10000710","18-29","F"
10000712,"HH10000712","18-29","F"
10000713,"HH10000713","18-29","F"
10000714,"HH10000714","18-29","F"
10000715,"HH10000715","18-29","F"
10000801,"HH10000801","18-29","F"
10000804,"HH10000804","18-29","F"
10000901,"HH10000901","50-59","F"
10000903,"HH10000903","50-59","F"
10000904,"HH10000904","50-59","F"
10000905,"HH10000905","50-59","F"
10000907,"HH10000907","50-59","F"
10000908,"HH10000908","50-59","F"
10000909,"HH10000909","50-59","F"
10000910,"HH10000910","50-59","F"
10000911,"HH10000911","50-59","F"
10000913,"HH10000913","50-59","F"
10000914,"HH10000914","50-59","F"
10000915,"HH10000915","50-59","F"
10001001,"HH10001001","40-49","M"
10001003,"HH10001003","40-49","M"
10001007,"HH10001007","40-49","M"
10001008,"HH10001008","40-49","M"
10001009,"HH10001009","40-49","M"
10001010,"HH10001010","40-49","M"
10001101,"HH10001101","50-59","M"
10001103,"HH10001103","50-59","M"
10001104,"HH10001104","50-59","M"
10001105,"HH10001105","50-59","M"
10001107,"HH10001107","50-59","M"
10001108,"HH10001108","50-59","M"
10001109,"HH10001109","50-59","M"
10001110,"HH10001110","50-59","M"
10001112,"HH10001112","50-59","M"
10001113,"HH10001113","50-59","M"
10001114,"HH10001114","50-59","M"
10001115,"HH10001115","50-59","M"
10001201,"HH10001201","30-39","F"
10001203,"HH10001203","30-39","F"
10001204,"HH10001204","30-39","F"
10001205,"HH10001205","30-39","F"
10001207,"HH10001207","30-39","F"
10001208,"HH10001208","30-39","F"
10001210,"HH10001210","30-39","F"
10001211,"HH10001211","30-39","F"
10001212,"HH10001212","30-39","F"
10001213,"HH10001213","30-39","F"
10001214,"HH10001214","30-39","F"
10001215,"HH10001215","30-39","F"
10001301,"HH10001301","18-29","M"
10001303,"HH10001303","18-29","M"
10001304,"HH10001304","18-29","M"
10001305,"HH10001305","18-29","M"
10001307,"HH10001307","18-29","M"
10001308,"HH10001308","18-29","M"
10001309,"HH10001309","18-29","M"
10001310,"HH10001310","18-29","M"
10001312,"HH10001312","18-29","M"
10001313,"HH10001313","18-29","M"
10001314,"HH10001314","18-29","M"
10001315,"HH10001315","18-29","M"
10001401,"HH10001401","30-39","M"
10001403,"HH10001403","30-39","M"
10001404,"HH10001404","30-39","M"
10001407,"HH10001407","30-39","M"
10001410,"HH10001410","30-39","M"
10001413,"HH10001413","30-39","M"
10001414,"HH10001414","30-39","M"
10001415,"HH10001415","30-39","M"
10001501,"HH10001501","50-59","F"
10001503,"HH10001503","50-59","F"
10001504,"HH10001504","50-59","F"
10001505,"HH10001505","50-59","F"
10001507,"HH10001507","50-59","F"
10001508,"HH10001508","50-59","F"
10001509,"HH10001509","50-59","F"
10001510,"HH10001510","50-59","F"
10001511,"HH10001511","50-59","F"
10001512,"HH10001512","50-59","F"
10001513,"HH10001513","50-59","F"
10001514,"HH10001514","50-59","F"
10001515,"HH10001515","50-59","F"
10001601,"HH10001601","40-49","M"
10001603,"HH10001603","40-49","M"
10001605,"HH10001605","40-49","M"
10001607,"HH10001607","40-49","M"
10001608,"HH10001608","40-49","M"
10001609,"HH10001609","40-49","M"
10001610,"HH10001610","40-49","M"
10001611,"HH10001611","40-49","M"
10001701,"HH10001701","50-59","M"
10001703,"HH10001703","50-59","M"
10001801,"HH10001801","70-120","F"
10001803,"HH10001803","70-120","F"
10001804,"HH10001804","70-120","F"
10001805,"HH10001805","70-120","F"
10001807,"HH10001807","70-120","F"
10001809,"HH10001809","70-120","F"
10001810,"HH10001810","70-120","F"
10001812,"HH10001812","70-120","F"
10001813,"HH10001813","70-120","F"
10001814,"HH10001814","70-120","F"
10001901,"HH10001901","40-49","M"
10001903,"HH10001903","40-49","M"
10001904,"HH10001904","40-49","M"
10001905,"HH10001905","40-49","M"
10001908,"HH10001908","40-49","M"
10001909,"HH10001909","40-49","M"
10001910,"HH10001910","40-49","M"
10001912,"HH10001912","40-49","M"
10001913,"HH10001913","40-49","M"
10001914,"HH10001914","40-49","M"
10001915,"HH10001915","40-49","M"
10002001,"HH10002001","70-120","M"
10002003,"HH10002003","70-120","M"
10002004,"HH10002004","70-120","M"
10002005,"HH10002005","70-120","M"
10002007,"HH10002007","70-120","M"
10002008,"HH10002008","70-120","M"
10002101,"HH10002101","18-29","F"
10002103,"HH10002103","18-29","F"
10002104,"HH10002104","18-29","F"
10002107,"HH10002107","18-29","F"
10002108,"HH10002108","18-29","F"
10002110,"HH10002110","18-29","F"
10002111,"HH10002111","18-29","F"
