"part_id","panel","multiple_contacts_child_school","multiple_contacts_adult_school","multiple_contacts_older_adult_school","multiple_contacts_school_precautions","multiple_contacts_school_duration","multiple_contacts_child_other","multiple_contacts_adult_other","multiple_contacts_older_adult_other","multiple_contacts_other_precautions","multiple_contacts_other_duration","survey_round","multiple_contacts_child_work","multiple_contacts_adult_work","multiple_contacts_older_adult_work","multiple_contacts_work_precautions","multiple_contacts_work_duration","panel_id"
10000001,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,100000
10000003,"A",NA,NA,NA,NA,NA,20,10,3,"Yes","5 minutes or more but less than 15 minutes",3,20,10,3,"Yes","5 minutes or more but less than 15 minutes",100000
10000004,"A",NA,NA,NA,NA,NA,10,15,7,"Yes","5 minutes or more but less than 15 minutes",4,10,15,7,"Yes","5 minutes or more but less than 15 minutes",100000
10000005,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,100000
10000007,"A",NA,NA,NA,NA,NA,30,15,6,"Yes","5 minutes or more but less than 15 minutes",7,55,20,7,"Yes","5 minutes or more but less than 15 minutes",100000
10000008,"A",NA,NA,NA,NA,NA,1,1,1,"Yes","1 minutes or more but less than 5 minutes",8,1,1,1,"Yes","5 minutes or more but less than 15 minutes",100000
10000009,"A",NA,NA,NA,NA,NA,1,1,2,"Yes","5 minutes or more but less than 15 minutes",9,2,0,2,"Yes","1 minutes or more but less than 5 minutes",100000
10000010,"B",1,1,1,"Yes","1 minutes or more but less than 5 minutes",2,3,2,"Yes","1 minutes or more but less than 5 minutes",10,2,2,5,"Yes","1 minutes or more but less than 5 minutes",100000
10000012,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,100000
10000013,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,100000
10000014,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,100000
10000015,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,100000
10000101,"A",NA,NA,NA,NA,NA,20,0,0,"Yes","1 hour or more",1,20,0,0,"Yes","1 hour or more",100001
10000103,"A",NA,NA,NA,NA,NA,0,10,0,"Yes","15 minutes or more but less than 1 hour",3,30,5,0,"Yes","1 hour or more",100001
