part_id,cont_id,cnt_age_exact,cnt_age_est_min,cnt_age_est_max,cnt_gender,frequency_multi,phys_contact,cnt_home,cnt_work,cnt_school,cnt_transport,cnt_leisure,cnt_otherplace,duration_multi
10156201,101562001,NA,45,54,M,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6
10156201,101562002,NA,45,54,F,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6
10156201,101562003,NA,15,19,F,3,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6
10156301,101563001,NA,35,44,F,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
10156301,101563002,NA,8,10,F,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
10156301,101563003,NA,4,7,M,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
10156301,101563004,NA,35,44,F,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
10156401,101564001,NA,35,44,M,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6
10156401,101564002,NA,4,7,F,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6
10156401,101564003,NA,8,10,M,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6
10156401,101564004,NA,65,69,M,4,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6
10156401,101564005,NA,55,64,F,4,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6
10156401,101564006,NA,35,44,M,4,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6
10156401,101564007,NA,70,74,F,4,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5
10156401,101564008,NA,70,74,M,4,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5
10156401,101564009,NA,35,44,M,4,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5
10156401,101564010,NA,35,44,M,3,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4
10156401,101564011,NA,35,44,F,3,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5
10156401,101564012,NA,5,9,M,3,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5
10156501,101565001,NA,20,24,F,2,2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,3
10156501,101565002,NA,55,64,F,5,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2
10156601,101566001,NA,65,69,F,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6
10156601,101566002,NA,10,14,M,3,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6
10156601,101566003,NA,10,14,F,3,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5
10156601,101566004,NA,35,44,F,3,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5
10156601,101566005,NA,35,44,M,4,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5
10156701,101567001,NA,70,74,M,3,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5
10156701,101567002,NA,55,64,F,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4
10156701,101567003,NA,35,44,M,4,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2
10156701,101567004,NA,35,44,M,3,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5
10156801,101568001,NA,45,54,F,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6
10156901,101569001,NA,45,54,M,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6
10157001,101570001,NA,65,69,F,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5
10157201,101572001,NA,25,34,M,1,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,4
10157201,101572002,NA,25,34,F,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5
10157201,101572003,NA,16,17,F,3,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4
10157201,101572004,NA,25,34,F,3,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2
10157201,101572005,NA,5,9,F,2,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,5
10157201,101572006,NA,5,9,M,5,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,5
10157401,101574001,NA,45,54,F,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6
10157401,101574002,NA,16,17,M,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6
10157401,101574003,NA,16,17,F,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6
10157501,101575001,NA,16,17,F,3,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4
10157501,101575002,NA,16,17,F,3,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3
10157501,101575003,NA,16,17,F,3,2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,5
10157501,101575004,NA,15,19,F,3,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3
10157501,101575005,NA,15,19,F,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3
10157501,101575006,NA,15,19,M,3,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3
10157501,101575007,NA,15,19,F,3,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4
10157501,101575008,NA,25,34,F,3,2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,3
10157501,101575009,NA,15,19,F,3,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,4
10157701,101577001,NA,65,69,F,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6
10157701,101577002,NA,11,15,F,1,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6
10157701,101577003,NA,35,44,M,3,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5
10157701,101577004,NA,35,44,F,2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5
10157701,101577005,NA,1,4,F,2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5
10157701,101577006,NA,5,9,M,2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6
10157801,101578001,NA,1,3,M,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6
