cont_id,cnt_outside_other,cnt_other_house,cnt_worship,cnt_supermarket,cnt_shop,cnt_gender_all,frequency_multi_all
101562001,FALSE,TRUE,FALSE,FALSE,FALSE,male,1 month
101562002,FALSE,TRUE,FALSE,FALSE,FALSE,female,1 month
101562003,FALSE,TRUE,FALSE,FALSE,FALSE,female,1 month
101563001,FALSE,FALSE,FALSE,FALSE,FALSE,female,3-7 days
101563002,FALSE,FALSE,FALSE,TRUE,FALSE,female,3-7 days
101563003,FALSE,FALSE,FALSE,TRUE,FALSE,male,3-7 days
101563004,FALSE,FALSE,FALSE,TRUE,FALSE,female,3-7 days
101564001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
101564002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
101564003,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
101564004,FALSE,TRUE,FALSE,FALSE,FALSE,male,occasional
101564005,FALSE,TRUE,FALSE,FALSE,FALSE,female,occasional
101564006,FALSE,TRUE,FALSE,FALSE,FALSE,male,occasional
101564007,FALSE,TRUE,FALSE,FALSE,FALSE,female,occasional
101564008,FALSE,TRUE,FALSE,FALSE,FALSE,male,occasional
101564009,FALSE,TRUE,FALSE,FALSE,FALSE,male,occasional
101564010,FALSE,TRUE,FALSE,FALSE,FALSE,male,2-3 weeks
101564011,FALSE,TRUE,FALSE,FALSE,FALSE,female,2-3 weeks
101564012,FALSE,TRUE,FALSE,FALSE,FALSE,male,2-3 weeks
101565001,FALSE,FALSE,FALSE,FALSE,FALSE,female,3-7 days
101565002,FALSE,FALSE,FALSE,FALSE,FALSE,female,never met
101566001,FALSE,TRUE,FALSE,FALSE,FALSE,female,1-2 days
101566002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1 month
101566003,FALSE,TRUE,FALSE,FALSE,FALSE,female,1 month
101566004,FALSE,TRUE,FALSE,FALSE,FALSE,female,1 month
101566005,FALSE,TRUE,FALSE,FALSE,FALSE,male,occasional
101567001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1 month
101567002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
101567003,FALSE,FALSE,FALSE,FALSE,FALSE,male,occasional
101567004,FALSE,FALSE,FALSE,FALSE,FALSE,male,2-3 weeks
101568001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
101569001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
101570001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
101572001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
101572002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
101572003,FALSE,FALSE,FALSE,FALSE,FALSE,female,1 month
101572004,FALSE,FALSE,FALSE,FALSE,FALSE,female,2-3 weeks
101572005,FALSE,FALSE,FALSE,FALSE,FALSE,female,3-7 days
101572006,FALSE,FALSE,FALSE,FALSE,FALSE,male,never met
101574001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
101574002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
101574003,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
101575001,FALSE,FALSE,TRUE,FALSE,FALSE,female,2-3 weeks
101575002,FALSE,FALSE,FALSE,FALSE,TRUE,female,1 month
101575003,FALSE,FALSE,FALSE,FALSE,FALSE,female,2-3 weeks
101575004,FALSE,TRUE,FALSE,FALSE,FALSE,female,2-3 weeks
101575005,FALSE,TRUE,FALSE,FALSE,FALSE,female,3-7 days
101575006,FALSE,FALSE,FALSE,FALSE,FALSE,male,2-3 weeks
101575007,FALSE,TRUE,FALSE,FALSE,FALSE,female,2-3 weeks
101575008,FALSE,FALSE,FALSE,FALSE,FALSE,female,1 month
101575009,FALSE,FALSE,FALSE,FALSE,FALSE,female,2-3 weeks
101577001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
101577002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
101577003,FALSE,FALSE,FALSE,FALSE,FALSE,male,2-3 weeks
101577004,FALSE,FALSE,FALSE,FALSE,FALSE,female,3-7 days
101577005,FALSE,FALSE,FALSE,FALSE,FALSE,female,3-7 days
101577006,FALSE,FALSE,FALSE,FALSE,FALSE,male,3-7 days
101578001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
101578002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
101578003,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
101578004,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
101579001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
101580001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
101580002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
101580003,NA,NA,NA,NA,NA,NA,NA
101580004,NA,NA,NA,NA,NA,NA,NA
101581001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
101581002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
101582001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
101582002,FALSE,FALSE,FALSE,FALSE,FALSE,female,2-3 weeks
101582003,FALSE,TRUE,FALSE,FALSE,FALSE,female,occasional
101582004,FALSE,TRUE,FALSE,FALSE,FALSE,male,occasional
101583001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
101583002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
101583003,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
101583004,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
101584001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
101584002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
101584003,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
101584004,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
101584005,NA,NA,NA,NA,NA,NA,NA
101584006,NA,NA,NA,NA,NA,NA,NA
101584007,NA,NA,NA,NA,NA,NA,NA
101584008,NA,NA,NA,NA,NA,NA,NA
101584009,NA,NA,NA,NA,NA,NA,NA
101584010,NA,NA,NA,NA,NA,NA,NA
101584011,NA,NA,NA,NA,NA,NA,NA
101584012,NA,NA,NA,NA,NA,NA,NA
101584013,NA,NA,NA,NA,NA,NA,NA
101584014,NA,NA,NA,NA,NA,NA,NA
101584015,NA,NA,NA,NA,NA,NA,NA
101584016,NA,NA,NA,NA,NA,NA,NA
101584017,NA,NA,NA,NA,NA,NA,NA
101584018,NA,NA,NA,NA,NA,NA,NA
101584019,NA,NA,NA,NA,NA,NA,NA
101584020,NA,NA,NA,NA,NA,NA,NA
101584021,NA,NA,NA,NA,NA,NA,NA
