hh_id,country,hh_size
HH10156201,fr,1
HH10156203,fr,1
HH10156205,fr,1
HH10156301,fr,4
HH10156302,fr,4
HH10156303,fr,4
HH10156305,fr,4
HH10156306,fr,4
HH10156401,fr,4
HH10156402,fr,4
HH10156501,fr,3
HH10156502,fr,3
HH10156503,fr,3
HH10156505,fr,3
HH10156506,fr,3
HH10156509,fr,3
HH10156601,fr,2
HH10156602,fr,2
HH10156603,fr,2
HH10156605,fr,2
HH10156607,fr,2
HH10156701,fr,4
HH10156702,fr,4
HH10156801,fr,3
HH10156803,fr,3
HH10156806,fr,3
HH10156807,fr,3
HH10156901,fr,2
HH10156903,fr,2
HH10156905,fr,2
HH10156906,fr,2
HH10157001,fr,2
HH10157002,fr,2
HH10157003,fr,2
HH10157005,fr,2
HH10157007,fr,2
HH10157009,fr,2
HH10157101,fr,1
HH10157201,fr,4
HH10157205,fr,4
HH10157301,fr,1
HH10157302,fr,1
HH10157303,fr,1
HH10157305,fr,1
HH10157306,fr,1
HH10157307,fr,1
HH10157309,fr,1
HH10157401,fr,4
HH10157402,fr,4
HH10157403,fr,4
HH10157409,fr,4
HH10157501,fr,4
HH10157502,fr,4
HH10157503,fr,4
HH10157505,fr,4
HH10157507,fr,4
HH10157509,fr,4
HH10157601,fr,1
HH10157602,fr,1
HH10157603,fr,1
HH10157605,fr,1
HH10157701,fr,3
HH10157703,fr,3
HH10157705,fr,3
HH10157709,fr,3
HH10157801,fr,3
HH10157901,fr,2
HH10157902,fr,2
HH10157903,fr,2
HH10157907,fr,2
HH10157909,fr,2
HH10158001,fr,3
HH10158002,fr,3
HH10158003,fr,3
HH10158005,fr,3
HH10158006,fr,3
HH10158007,fr,3
HH10158009,fr,3
HH10158101,fr,3
HH10158102,fr,3
HH10158103,fr,3
HH10158105,fr,3
HH10158106,fr,3
HH10158107,fr,3
HH10158109,fr,3
HH10158201,fr,2
HH10158202,fr,2
HH10158203,fr,2
HH10158205,fr,2
HH10158206,fr,2
HH10158207,fr,2
HH10158209,fr,2
HH10158301,fr,12
HH10158302,fr,9
HH10158303,fr,8
HH10158305,fr,8
HH10158306,fr,8
HH10158307,fr,8
HH10158401,fr,2
HH10158402,fr,2
HH10158403,fr,2
HH10158405,fr,2
HH10158406,fr,2
HH10158409,fr,2
HH10158501,fr,2
HH10158502,fr,2
HH10158503,fr,2
HH10158505,fr,2
HH10158506,fr,2
HH10158507,fr,2
HH10158601,fr,2
HH10158605,fr,2
HH10158607,fr,2
HH10158609,fr,2
HH10158701,fr,2
HH10158702,fr,2
HH10158703,fr,2
HH10158705,fr,2
HH10158706,fr,2
HH10158801,fr,4
HH10158802,fr,4
HH10158806,fr,4
HH10158809,fr,4
HH10158901,fr,4
HH10158902,fr,4
HH10158909,fr,4
HH10159001,fr,3
HH10159002,fr,3
HH10159003,fr,3
