"part_id","hh_id","part_age","part_gender"
10156201,"HH10156201","18-29","F"
10156203,"HH10156203","18-29","F"
10156205,"HH10156205","18-29","F"
10156301,"HH10156301","40-49","M"
10156302,"HH10156302","40-49","M"
10156303,"HH10156303","40-49","M"
10156305,"HH10156305","40-49","M"
10156306,"HH10156306","40-49","M"
10156401,"HH10156401","30-39","F"
10156402,"HH10156402","30-39","F"
10156501,"HH10156501","50-59","M"
10156502,"HH10156502","50-59","M"
10156503,"HH10156503","50-59","M"
10156505,"HH10156505","50-59","M"
10156506,"HH10156506","50-59","M"
10156509,"HH10156509","50-59","M"
10156601,"HH10156601","70-120","M"
10156602,"HH10156602","70-120","M"
10156603,"HH10156603","70-120","M"
10156605,"HH10156605","70-120","M"
10156607,"HH10156607","70-120","M"
10156701,"HH10156701","30-39","M"
10156702,"HH10156702","30-39","M"
10156801,"HH10156801","30-39","M"
10156803,"HH10156803","40-49","M"
10156806,"HH10156806","40-49","M"
10156807,"HH10156807","40-49","M"
10156901,"HH10156901","40-49","F"
10156903,"HH10156903","40-49","F"
10156905,"HH10156905","40-49","F"
10156906,"HH10156906","40-49","F"
10157001,"HH10157001","70-120","M"
10157002,"HH10157002","70-120","M"
10157003,"HH10157003","70-120","M"
10157005,"HH10157005","70-120","M"
10157007,"HH10157007","70-120","M"
10157009,"HH10157009","70-120","M"
10157101,"HH10157101","18-29","F"
10157201,"HH10157201","30-39","M"
10157205,"HH10157205","30-39","M"
10157301,"HH10157301","30-39","M"
10157302,"HH10157302","30-39","M"
10157303,"HH10157303","30-39","M"
10157305,"HH10157305","30-39","M"
10157306,"HH10157306","30-39","M"
10157307,"HH10157307","30-39","M"
10157309,"HH10157309","30-39","M"
10157401,"HH10157401","50-59","M"
10157402,"HH10157402","50-59","M"
10157403,"HH10157403","50-59","M"
10157409,"HH10157409","50-59","M"
10157501,"HH10157501","18-29","M"
10157502,"HH10157502","18-29","M"
10157503,"HH10157503","18-29","M"
10157505,"HH10157505","18-29","M"
10157507,"HH10157507","18-29","M"
10157509,"HH10157509","18-29","M"
10157601,"HH10157601","40-49","F"
10157602,"HH10157602","40-49","F"
10157603,"HH10157603","40-49","F"
10157605,"HH10157605","40-49","F"
10157701,"HH10157701","60-69","M"
10157703,"HH10157703","60-69","M"
10157705,"HH10157705","60-69","M"
10157709,"HH10157709","60-69","M"
10157801,"HH10157801","30-39","M"
10157901,"HH10157901","40-49","M"
10157902,"HH10157902","40-49","M"
10157903,"HH10157903","40-49","M"
10157907,"HH10157907","40-49","M"
10157909,"HH10157909","40-49","M"
10158001,"HH10158001","40-49","M"
10158002,"HH10158002","40-49","M"
10158003,"HH10158003","40-49","M"
10158005,"HH10158005","40-49","M"
10158006,"HH10158006","40-49","M"
10158007,"HH10158007","40-49","M"
10158009,"HH10158009","40-49","M"
10158101,"HH10158101","40-49","M"
10158102,"HH10158102","40-49","M"
10158103,"HH10158103","40-49","M"
10158105,"HH10158105","40-49","M"
10158106,"HH10158106","40-49","M"
10158107,"HH10158107","40-49","M"
10158109,"HH10158109","40-49","M"
10158201,"HH10158201","18-29","M"
10158202,"HH10158202","18-29","M"
10158203,"HH10158203","18-29","M"
10158205,"HH10158205","18-29","M"
10158206,"HH10158206","18-29","M"
10158207,"HH10158207","18-29","M"
10158209,"HH10158209","18-29","M"
10158301,"HH10158301","30-39","F"
10158302,"HH10158302","30-39","F"
10158303,"HH10158303","30-39","F"
10158305,"HH10158305","30-39","F"
10158306,"HH10158306","30-39","F"
10158307,"HH10158307","30-39","F"
10158401,"HH10158401","18-29","M"
10158402,"HH10158402","18-29","M"
10158403,"HH10158403","18-29","M"
10158405,"HH10158405","18-29","M"
10158406,"HH10158406","18-29","M"
10158409,"HH10158409","18-29","M"
10158501,"HH10158501","60-69","M"
10158502,"HH10158502","60-69","M"
10158503,"HH10158503","60-69","M"
10158505,"HH10158505","60-69","M"
10158506,"HH10158506","60-69","M"
10158507,"HH10158507","60-69","M"
10158601,"HH10158601","60-69","F"
10158605,"HH10158605","60-69","F"
10158607,"HH10158607","60-69","F"
10158609,"HH10158609","60-69","F"
10158701,"HH10158701","50-59","F"
10158702,"HH10158702","50-59","F"
10158703,"HH10158703","50-59","F"
10158705,"HH10158705","50-59","F"
10158706,"HH10158706","50-59","F"
10158801,"HH10158801","40-49","F"
10158802,"HH10158802","40-49","F"
10158806,"HH10158806","40-49","F"
10158809,"HH10158809","40-49","F"
10158901,"HH10158901","40-49","M"
10158902,"HH10158902","40-49","M"
10158909,"HH10158909","40-49","M"
10159001,"HH10159001","40-49","M"
10159002,"HH10159002","40-49","M"
10159003,"HH10159003","40-49","M"
10159005,"HH10159005","40-49","M"
10159006,"HH10159006","40-49","M"
10159101,"HH10159101","18-29","M"
10159102,"HH10159102","18-29","M"
10159105,"HH10159105","18-29","M"
10159201,"HH10159201","30-39","F"
10159301,"HH10159301","18-29","M"
10159401,"HH10159401","30-39","M"
10159402,"HH10159402","30-39","M"
10159403,"HH10159403","30-39","M"
10159405,"HH10159405","30-39","M"
10159501,"HH10159501","18-29","M"
10159503,"HH10159503","18-29","M"
10159601,"HH10159601","30-39","M"
10159603,"HH10159603","30-39","M"
10159701,"HH10159701","50-59","M"
10159702,"HH10159702","50-59","M"
10159703,"HH10159703","50-59","M"
10159705,"HH10159705","50-59","M"
10159706,"HH10159706","50-59","M"
10159801,"HH10159801","30-39","F"
10159901,"HH10159901","30-39","M"
10159902,"HH10159902","30-39","M"
10159905,"HH10159905","30-39","M"
10159906,"HH10159906","30-39","M"
