cont_id,cnt_outside_other,cnt_other_house,cnt_worship,cnt_supermarket,cnt_shop,cnt_gender_all,frequency_multi_all
101557001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
101558001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
101558002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
101558003,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
101558004,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
101558005,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
101558006,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
101558007,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
101558008,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
101558009,NA,NA,NA,NA,NA,NA,NA
101558010,NA,NA,NA,NA,NA,NA,NA
101558011,NA,NA,NA,NA,NA,NA,NA
101558012,NA,NA,NA,NA,NA,NA,NA
101558013,NA,NA,NA,NA,NA,NA,NA
101558014,NA,NA,NA,NA,NA,NA,NA
101558015,NA,NA,NA,NA,NA,NA,NA
101558016,NA,NA,NA,NA,NA,NA,NA
101558017,NA,NA,NA,NA,NA,NA,NA
101558018,NA,NA,NA,NA,NA,NA,NA
101558019,NA,NA,NA,NA,NA,NA,NA
101558020,NA,NA,NA,NA,NA,NA,NA
101558021,NA,NA,NA,NA,NA,NA,NA
101558022,NA,NA,NA,NA,NA,NA,NA
101558023,NA,NA,NA,NA,NA,NA,NA
101558024,NA,NA,NA,NA,NA,NA,NA
101558025,NA,NA,NA,NA,NA,NA,NA
101558026,NA,NA,NA,NA,NA,NA,NA
101558027,NA,NA,NA,NA,NA,NA,NA
101558028,NA,NA,NA,NA,NA,NA,NA
101558029,NA,NA,NA,NA,NA,NA,NA
101558030,NA,NA,NA,NA,NA,NA,NA
101558031,NA,NA,NA,NA,NA,NA,NA
101558032,NA,NA,NA,NA,NA,NA,NA
101558033,NA,NA,NA,NA,NA,NA,NA
101558034,NA,NA,NA,NA,NA,NA,NA
101558035,NA,NA,NA,NA,NA,NA,NA
101558036,NA,NA,NA,NA,NA,NA,NA
101558037,NA,NA,NA,NA,NA,NA,NA
101558038,NA,NA,NA,NA,NA,NA,NA
101558039,NA,NA,NA,NA,NA,NA,NA
101558040,NA,NA,NA,NA,NA,NA,NA
101558041,NA,NA,NA,NA,NA,NA,NA
101558042,NA,NA,NA,NA,NA,NA,NA
101558043,NA,NA,NA,NA,NA,NA,NA
101558044,NA,NA,NA,NA,NA,NA,NA
101558045,NA,NA,NA,NA,NA,NA,NA
101558046,NA,NA,NA,NA,NA,NA,NA
101558047,NA,NA,NA,NA,NA,NA,NA
101558048,NA,NA,NA,NA,NA,NA,NA
101558049,NA,NA,NA,NA,NA,NA,NA
101558050,NA,NA,NA,NA,NA,NA,NA
101558051,NA,NA,NA,NA,NA,NA,NA
101558052,NA,NA,NA,NA,NA,NA,NA
101558053,NA,NA,NA,NA,NA,NA,NA
101558054,NA,NA,NA,NA,NA,NA,NA
101558055,NA,NA,NA,NA,NA,NA,NA
101558056,NA,NA,NA,NA,NA,NA,NA
101558057,NA,NA,NA,NA,NA,NA,NA
101559001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
101559002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
101559003,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
101560001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
101560002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
101561001,FALSE,FALSE,FALSE,FALSE,TRUE,male,never met
101562001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
101562002,FALSE,TRUE,FALSE,FALSE,FALSE,male,1 month
101563001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
101564001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
101564002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
101564003,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
101564004,FALSE,FALSE,FALSE,FALSE,FALSE,male,2-3 weeks
101565001,FALSE,TRUE,FALSE,FALSE,FALSE,female,3-7 days
101565002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
101565003,FALSE,TRUE,FALSE,FALSE,FALSE,female,1-2 days
101565004,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
101566001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
101566002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
101566003,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
101568001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
101568002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
101568003,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
101568004,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
101568005,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
101568006,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
