hh_id,country,hh_size
HH10155701,gr,2
HH10155702,gr,2
HH10155703,gr,2
HH10155704,gr,2
HH10155801,gr,4
HH10155802,gr,4
HH10155803,gr,4
HH10155804,gr,4
HH10155901,gr,4
HH10155902,gr,4
HH10155903,gr,4
HH10155904,gr,4
HH10156001,gr,2
HH10156002,gr,2
HH10156003,gr,2
HH10156101,gr,2
HH10156102,gr,2
HH10156103,gr,2
HH10156104,gr,2
HH10156201,gr,1
HH10156301,gr,2
HH10156302,gr,2
HH10156303,gr,2
HH10156401,gr,3
HH10156501,gr,5
HH10156601,gr,4
HH10156602,gr,4
HH10156603,gr,4
HH10156604,gr,4
HH10156701,gr,1
HH10156702,gr,1
HH10156703,gr,1
HH10156801,gr,5
HH10156802,gr,5
HH10156803,gr,5
HH10156901,gr,3
HH10156902,gr,3
HH10156903,gr,3
HH10156904,gr,3
HH10157001,gr,3
HH10157002,gr,3
HH10157003,gr,3
HH10157004,gr,3
HH10157101,gr,4
HH10157102,gr,4
HH10157103,gr,4
HH10157104,gr,4
HH10157201,gr,2
HH10157202,gr,2
HH10157203,gr,2
HH10157204,gr,2
HH10157301,gr,4
HH10157302,gr,4
HH10157303,gr,4
HH10157304,gr,4
HH10157401,gr,2
HH10157402,gr,2
HH10157403,gr,2
HH10157501,gr,3
HH10157601,gr,1
HH10157602,gr,1
HH10157604,gr,1
HH10157701,gr,5
HH10157703,gr,5
HH10157704,gr,5
HH10157801,gr,5
HH10157901,gr,2
HH10157902,gr,2
HH10157903,gr,2
HH10157904,gr,2
HH10158001,gr,9
HH10158101,gr,2
HH10158102,gr,2
HH10158104,gr,2
HH10158201,gr,3
HH10158301,gr,4
HH10158303,gr,4
HH10158401,gr,4
HH10158403,gr,3
HH10158404,gr,4
HH10158501,gr,1
HH10158601,gr,4
HH10158603,gr,4
HH10158604,gr,4
HH10158701,gr,2
HH10158702,gr,2
HH10158703,gr,2
HH10158704,gr,2
HH10158801,gr,4
HH10158803,gr,4
HH10158804,gr,4
HH10158901,gr,5
HH10159001,gr,2
HH10159002,gr,2
HH10159003,gr,2
HH10159004,gr,2
HH10159101,gr,4
HH10159102,gr,4
HH10159103,gr,4
HH10159104,gr,4
HH10159201,gr,6
HH10159301,gr,1
HH10159302,gr,1
HH10159303,gr,1
HH10159304,gr,1
HH10159401,gr,4
HH10159402,gr,4
HH10159403,gr,4
HH10159404,gr,4
HH10159501,gr,2
HH10159502,gr,2
HH10159503,gr,2
HH10159504,gr,2
HH10159601,gr,3
HH10159602,gr,3
HH10159604,gr,3
HH10159701,gr,4
HH10159702,gr,4
HH10159703,gr,4
HH10159801,gr,2
HH10159802,gr,2
HH10159803,gr,2
HH10159804,gr,2
HH10159901,gr,4
HH10159903,gr,4
HH10159904,gr,4
HH10160001,gr,4
HH10160002,gr,4
HH10160003,gr,4
HH10160101,gr,3
HH10160201,gr,4
HH10160301,gr,2
HH10160401,gr,4
HH10160501,gr,4
HH10160503,gr,4
HH10160601,gr,3
HH10160701,gr,4
HH10160703,gr,4
HH10160801,gr,2
HH10160802,gr,2
HH10160803,gr,2
HH10160804,gr,2
HH10160901,gr,3
HH10160902,gr,3
HH10160903,gr,3
HH10160904,gr,3
HH10161001,gr,1
HH10161002,gr,1
HH10161003,gr,1
HH10161101,gr,3
HH10161102,gr,3
HH10161103,gr,3
HH10161104,gr,3
HH10161201,gr,2
HH10161202,gr,2
HH10161203,gr,2
HH10161204,gr,2
HH10161301,gr,2
HH10161302,gr,2
HH10161303,gr,2
HH10161304,gr,2
HH10161401,gr,1
HH10161403,gr,1
HH10161501,gr,1
HH10161502,gr,1
HH10161503,gr,1
HH10161504,gr,1
HH10161601,gr,2
HH10161602,gr,2
HH10161603,gr,2
HH10161701,gr,1
HH10161702,gr,1
HH10161703,gr,1
HH10161801,gr,4
HH10161802,gr,3
HH10161803,gr,4
HH10161901,gr,2
HH10161902,gr,2
HH10161903,gr,2
HH10161904,gr,2
HH10162001,gr,1
HH10162002,gr,1
HH10162003,gr,1
HH10162004,gr,1
HH10162101,gr,1
HH10162201,gr,1
HH10162203,gr,1
HH10162301,gr,1
HH10162302,gr,1
HH10162303,gr,1
HH10162304,gr,1
HH10162401,gr,1
HH10162402,gr,1
HH10162403,gr,1
HH10162501,gr,1
HH10162502,gr,1
HH10162601,gr,5
HH10162701,gr,5
HH10162702,gr,5
HH10162703,gr,5
HH10162704,gr,5
HH10162801,gr,1
HH10162802,gr,1
HH10162803,gr,1
HH10162804,gr,1
HH10162901,gr,3
HH10162902,gr,3
HH10162903,gr,3
HH10162904,gr,3
HH10163001,gr,4
HH10163101,gr,1
HH10163102,gr,1
HH10163103,gr,1
HH10163104,gr,1
HH10163201,gr,6
HH10163203,gr,1
HH10163301,gr,1
HH10163302,gr,1
HH10163303,gr,1
HH10163304,gr,1
HH10163401,gr,3
HH10163402,gr,3
HH10163403,gr,3
HH10163501,gr,3
HH10163601,gr,2
HH10163602,gr,2
HH10163603,gr,2
HH10163604,gr,2
HH10163701,gr,2
HH10163801,gr,3
HH10163802,gr,3
HH10163803,gr,3
HH10163804,gr,3
HH10163901,gr,2
HH10163902,gr,2
HH10163903,gr,2
HH10163904,gr,2
HH10164001,gr,4
HH10164101,gr,2
HH10164102,gr,2
HH10164103,gr,2
HH10164104,gr,2
HH10164201,gr,3
HH10164202,gr,3
HH10164203,gr,3
HH10164204,gr,3
HH10164301,gr,3
HH10164302,gr,3
HH10164303,gr,3
HH10164401,gr,4
HH10164402,gr,4
HH10164403,gr,4
HH10164404,gr,4
HH10164501,gr,4
HH10164601,gr,3
HH10164602,gr,3
HH10164701,gr,1
HH10164801,gr,3
HH10164802,gr,3
HH10164803,gr,3
HH10164804,gr,3
HH10164901,gr,2
HH10165001,gr,2
HH10165002,gr,2
HH10165101,gr,3
HH10165102,gr,3
HH10165103,gr,3
HH10165201,gr,1
HH10165203,gr,1
HH10165301,gr,4
HH10165302,gr,4
HH10165303,gr,4
HH10165304,gr,4
HH10165401,gr,3
HH10165402,gr,3
HH10165403,gr,3
HH10165404,gr,3
HH10165501,gr,1
HH10165502,gr,1
HH10165503,gr,1
HH10165601,gr,4
HH10165603,gr,4
HH10165604,gr,4
HH10165701,gr,4
HH10165702,gr,4
HH10165703,gr,4
HH10165704,gr,4
HH10165801,gr,4
HH10165802,gr,4
HH10165803,gr,4
HH10165901,gr,4
HH10165902,gr,4
HH10165903,gr,4
HH10165904,gr,4
HH10166001,gr,1
HH10166002,gr,1
HH10166003,gr,1
HH10166004,gr,1
HH10166101,gr,1
HH10166102,gr,1
HH10166103,gr,1
HH10166104,gr,1
HH10166201,gr,2
HH10166202,gr,2
HH10166203,gr,2
HH10166204,gr,2
HH10166301,gr,2
HH10166302,gr,2
HH10166303,gr,2
HH10166304,gr,2
HH10166401,gr,1
HH10166403,gr,1
HH10166501,gr,3
HH10166502,gr,3
HH10166503,gr,3
HH10166504,gr,3
HH10166601,gr,3
HH10166603,gr,3
HH10166701,gr,3
HH10166702,gr,3
HH10166801,gr,4
HH10166803,gr,4
HH10166804,gr,4
HH10166901,gr,4
HH10166902,gr,4
HH10166903,gr,4
HH10167001,gr,1
HH10167101,gr,2
HH10167102,gr,2
HH10167103,gr,2
HH10167104,gr,2
HH10167201,gr,9
HH10167202,gr,8
HH10167203,gr,9
HH10167301,gr,2
HH10167302,gr,2
HH10167303,gr,2
HH10167304,gr,2
HH10167401,gr,2
HH10167402,gr,2
HH10167501,gr,4
HH10167503,gr,4
HH10167504,gr,4
HH10167601,gr,4
HH10167602,gr,4
HH10167603,gr,4
HH10167604,gr,4
HH10167701,gr,3
HH10167702,gr,3
HH10167703,gr,3
HH10167704,gr,3
HH10167801,gr,1
HH10167901,gr,3
HH10167902,gr,3
HH10167903,gr,3
HH10167904,gr,3
HH10168001,gr,1
HH10168002,gr,1
HH10168003,gr,1
HH10168004,gr,1
HH10168101,gr,3
HH10168102,gr,3
HH10168103,gr,3
HH10168201,gr,2
HH10168202,gr,2
HH10168203,gr,2
HH10168204,gr,2
HH10168301,gr,3
HH10168302,gr,3
HH10168303,gr,3
HH10168304,gr,3
HH10168401,gr,2
HH10168501,gr,1
HH10168502,gr,1
HH10168504,gr,1
HH10168601,gr,2
HH10168603,gr,2
HH10168604,gr,2
HH10168701,gr,3
HH10168801,gr,3
HH10168901,gr,1
HH10168903,gr,1
HH10169001,gr,4
HH10169002,gr,4
HH10169003,gr,4
HH10169004,gr,4
HH10169101,gr,3
HH10169102,gr,3
HH10169103,gr,3
HH10169201,gr,3
HH10169202,gr,3
HH10169301,gr,4
HH10169302,gr,4
HH10169304,gr,4
HH10169401,gr,2
HH10169402,gr,2
HH10169403,gr,2
HH10169404,gr,2
HH10169501,gr,2
HH10169502,gr,2
HH10169503,gr,2
HH10169504,gr,2
HH10169601,gr,10
HH10169701,gr,3
HH10169801,gr,2
HH10169901,gr,2
HH10169902,gr,2
HH10169903,gr,2
HH10169904,gr,2
HH10170001,gr,4
HH10170002,gr,4
HH10170003,gr,4
HH10170004,gr,4
HH10170101,gr,3
HH10170102,gr,3
HH10170103,gr,3
HH10170201,gr,3
HH10170203,gr,3
HH10170204,gr,3
HH10170301,gr,1
HH10170302,gr,1
HH10170303,gr,1
HH10170304,gr,1
HH10170401,gr,3
HH10170402,gr,3
HH10170403,gr,3
HH10170501,gr,3
HH10170503,gr,3
HH10170601,gr,3
HH10170602,gr,3
HH10170603,gr,3
HH10170604,gr,3
HH10170701,gr,2
HH10170704,gr,2
HH10170801,gr,5
HH10170803,gr,5
HH10170804,gr,5
HH10170901,gr,3
HH10170904,gr,3
HH10171001,gr,1
HH10171003,gr,1
HH10171004,gr,1
HH10171101,gr,3
HH10171102,gr,3
HH10171104,gr,3
HH10171201,gr,2
HH10171202,gr,2
HH10171203,gr,2
HH10171301,gr,1
HH10171401,gr,1
HH10171501,gr,4
HH10171502,gr,4
HH10171503,gr,4
HH10171601,gr,2
HH10171602,gr,2
HH10171603,gr,2
HH10171604,gr,2
HH10171701,gr,2
