"part_id","hh_id","part_age","part_gender"
10155701,"HH10155701","40-49","M"
10155702,"HH10155702","40-49","M"
10155703,"HH10155703","40-49","M"
10155704,"HH10155704","40-49","M"
10155801,"HH10155801","5-11","F"
10155802,"HH10155802","5-11","F"
10155803,"HH10155803","45-54","F"
10155804,"HH10155804","12-15","F"
10155901,"HH10155901","50-59","M"
10155902,"HH10155902","50-59","M"
10155903,"HH10155903","50-59","M"
10155904,"HH10155904","50-59","M"
10156001,"HH10156001","30-39","M"
10156002,"HH10156002","30-39","M"
10156003,"HH10156003","30-39","M"
10156101,"HH10156101","30-39","M"
10156102,"HH10156102","30-39","M"
10156103,"HH10156103","30-39","M"
10156104,"HH10156104","30-39","M"
10156201,"HH10156201","40-49","F"
10156301,"HH10156301","60-69","M"
10156302,"HH10156302","60-69","M"
10156303,"HH10156303","60-69","M"
10156401,"HH10156401","30-39","M"
10156501,"HH10156501","40-49","M"
10156601,"HH10156601","50-59","M"
10156602,"HH10156602","50-59","M"
10156603,"HH10156603","50-59","M"
10156604,"HH10156604","50-59","M"
10156701,"HH10156701","30-39","M"
10156702,"HH10156702","30-39","M"
10156703,"HH10156703","30-39","M"
10156801,"HH10156801","50-59","M"
10156802,"HH10156802","50-59","M"
10156803,"HH10156803","50-59","M"
10156901,"HH10156901","60-69","M"
10156902,"HH10156902","60-69","M"
10156903,"HH10156903","60-69","M"
10156904,"HH10156904","60-69","M"
10157001,"HH10157001","30-39","M"
10157002,"HH10157002","30-39","M"
10157003,"HH10157003","30-39","M"
10157004,"HH10157004","30-39","M"
10157101,"HH10157101","50-59","M"
10157102,"HH10157102","50-59","M"
10157103,"HH10157103","50-59","M"
10157104,"HH10157104","50-59","M"
10157201,"HH10157201","16-17","M"
10157202,"HH10157202","16-17","M"
10157203,"HH10157203","16-17","M"
10157204,"HH10157204","16-17","M"
10157301,"HH10157301","50-59","M"
10157302,"HH10157302","50-59","M"
10157303,"HH10157303","50-59","M"
10157304,"HH10157304","50-59","M"
