cont_id,cnt_outside_other,cnt_other_house,cnt_worship,cnt_supermarket,cnt_shop,cnt_gender_all,frequency_multi_all
100001001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100001002,FALSE,FALSE,FALSE,FALSE,FALSE,female,occasional
100002001,TRUE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100002002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100004001,FALSE,FALSE,FALSE,FALSE,TRUE,female,occasional
100004002,FALSE,FALSE,FALSE,FALSE,FALSE,female,3-7 days
100004003,NA,NA,NA,NA,NA,NA,NA
100004004,NA,NA,NA,NA,NA,NA,NA
100004005,NA,NA,NA,NA,NA,NA,NA
100004006,NA,NA,NA,NA,NA,NA,NA
100004007,NA,NA,NA,NA,NA,NA,NA
100004008,NA,NA,NA,NA,NA,NA,NA
100004009,NA,NA,NA,NA,NA,NA,NA
100004010,NA,NA,NA,NA,NA,NA,NA
100004011,NA,NA,NA,NA,NA,NA,NA
100004012,NA,NA,NA,NA,NA,NA,NA
100004013,NA,NA,NA,NA,NA,NA,NA
100004014,NA,NA,NA,NA,NA,NA,NA
100004015,NA,NA,NA,NA,NA,NA,NA
100004016,NA,NA,NA,NA,NA,NA,NA
100004017,NA,NA,NA,NA,NA,NA,NA
100004018,NA,NA,NA,NA,NA,NA,NA
100004019,NA,NA,NA,NA,NA,NA,NA
100004020,NA,NA,NA,NA,NA,NA,NA
100004021,NA,NA,NA,NA,NA,NA,NA
100004022,NA,NA,NA,NA,NA,NA,NA
100004023,NA,NA,NA,NA,NA,NA,NA
100004024,NA,NA,NA,NA,NA,NA,NA
100004025,NA,NA,NA,NA,NA,NA,NA
100004026,NA,NA,NA,NA,NA,NA,NA
100005001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100005002,FALSE,FALSE,FALSE,FALSE,FALSE,male,3-7 days
100006001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
100006002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100006003,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
100006004,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100007001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100007002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
100007003,FALSE,FALSE,FALSE,TRUE,FALSE,female,never met
100008001,FALSE,FALSE,FALSE,FALSE,FALSE,male,3-7 days
100008002,TRUE,TRUE,FALSE,FALSE,FALSE,female,3-7 days
100008003,FALSE,TRUE,FALSE,FALSE,FALSE,male,3-7 days
100008004,TRUE,FALSE,FALSE,FALSE,FALSE,male,occasional
100009001,FALSE,FALSE,FALSE,TRUE,TRUE,male,1-2 days
100009002,FALSE,FALSE,FALSE,FALSE,FALSE,male,3-7 days
100009003,FALSE,FALSE,FALSE,FALSE,FALSE,male,3-7 days
100009004,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100010001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100011001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
100011002,FALSE,FALSE,FALSE,FALSE,FALSE,female,2-3 weeks
100011003,NA,NA,NA,NA,NA,NA,NA
100011004,NA,NA,NA,NA,NA,NA,NA
100012001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100012002,TRUE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
100012003,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100012004,TRUE,FALSE,FALSE,FALSE,FALSE,male,never met
100012005,TRUE,FALSE,FALSE,FALSE,FALSE,male,never met
100012006,NA,NA,NA,NA,NA,NA,NA
100012007,NA,NA,NA,NA,NA,NA,NA
100012008,NA,NA,NA,NA,NA,NA,NA
100012009,NA,NA,NA,NA,NA,NA,NA
100012010,NA,NA,NA,NA,NA,NA,NA
100012011,NA,NA,NA,NA,NA,NA,NA
100012012,NA,NA,NA,NA,NA,NA,NA
100012013,NA,NA,NA,NA,NA,NA,NA
100012014,NA,NA,NA,NA,NA,NA,NA
100012015,NA,NA,NA,NA,NA,NA,NA
100012016,NA,NA,NA,NA,NA,NA,NA
100012017,NA,NA,NA,NA,NA,NA,NA
100012018,NA,NA,NA,NA,NA,NA,NA
100012019,NA,NA,NA,NA,NA,NA,NA
100012020,NA,NA,NA,NA,NA,NA,NA
100012021,NA,NA,NA,NA,NA,NA,NA
100012022,NA,NA,NA,NA,NA,NA,NA
100012023,NA,NA,NA,NA,NA,NA,NA
100012024,NA,NA,NA,NA,NA,NA,NA
100012025,NA,NA,NA,NA,NA,NA,NA
100012026,NA,NA,NA,NA,NA,NA,NA
100012027,NA,NA,NA,NA,NA,NA,NA
100012028,NA,NA,NA,NA,NA,NA,NA
100012029,NA,NA,NA,NA,NA,NA,NA
100012030,NA,NA,NA,NA,NA,NA,NA
100012031,NA,NA,NA,NA,NA,NA,NA
100012032,NA,NA,NA,NA,NA,NA,NA
100012033,NA,NA,NA,NA,NA,NA,NA
100012034,NA,NA,NA,NA,NA,NA,NA
100012035,NA,NA,NA,NA,NA,NA,NA
100012036,NA,NA,NA,NA,NA,NA,NA
100012037,NA,NA,NA,NA,NA,NA,NA
100012038,NA,NA,NA,NA,NA,NA,NA
100012039,NA,NA,NA,NA,NA,NA,NA
100013001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100013002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
100013003,FALSE,FALSE,FALSE,FALSE,FALSE,female,3-7 days
100013004,FALSE,FALSE,FALSE,FALSE,FALSE,female,never met
100013005,FALSE,FALSE,FALSE,FALSE,FALSE,female,never met
100014001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
100014002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100015001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100015002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
100016001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
100016002,FALSE,FALSE,FALSE,FALSE,FALSE,male,3-7 days
100017001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100017002,TRUE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
100017003,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100017004,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
100017005,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
100017006,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100018001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100018002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
100018003,NA,NA,NA,NA,NA,NA,NA
100018004,NA,NA,NA,NA,NA,NA,NA
100018005,NA,NA,NA,NA,NA,NA,NA
100018006,NA,NA,NA,NA,NA,NA,NA
100018007,NA,NA,NA,NA,NA,NA,NA
100018008,NA,NA,NA,NA,NA,NA,NA
100019001,TRUE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100019002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
100019003,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
100019004,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100019005,NA,NA,NA,NA,NA,NA,NA
100019006,NA,NA,NA,NA,NA,NA,NA
100019007,NA,NA,NA,NA,NA,NA,NA
100019008,NA,NA,NA,NA,NA,NA,NA
100019009,NA,NA,NA,NA,NA,NA,NA
100019010,NA,NA,NA,NA,NA,NA,NA
100019011,NA,NA,NA,NA,NA,NA,NA
100019012,NA,NA,NA,NA,NA,NA,NA
100019013,NA,NA,NA,NA,NA,NA,NA
100019014,NA,NA,NA,NA,NA,NA,NA
100019015,NA,NA,NA,NA,NA,NA,NA
100019016,NA,NA,NA,NA,NA,NA,NA
100019017,NA,NA,NA,NA,NA,NA,NA
100019018,NA,NA,NA,NA,NA,NA,NA
100019019,NA,NA,NA,NA,NA,NA,NA
100019020,NA,NA,NA,NA,NA,NA,NA
100019021,NA,NA,NA,NA,NA,NA,NA
100019022,NA,NA,NA,NA,NA,NA,NA
100019023,NA,NA,NA,NA,NA,NA,NA
100019024,NA,NA,NA,NA,NA,NA,NA
100019025,NA,NA,NA,NA,NA,NA,NA
100019026,NA,NA,NA,NA,NA,NA,NA
100019027,NA,NA,NA,NA,NA,NA,NA
100019028,NA,NA,NA,NA,NA,NA,NA
100019029,NA,NA,NA,NA,NA,NA,NA
100019030,NA,NA,NA,NA,NA,NA,NA
100019031,NA,NA,NA,NA,NA,NA,NA
100019032,NA,NA,NA,NA,NA,NA,NA
100019033,NA,NA,NA,NA,NA,NA,NA
100019034,NA,NA,NA,NA,NA,NA,NA
100019035,NA,NA,NA,NA,NA,NA,NA
100020001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100020002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
100020003,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100021001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100021002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
100021003,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
100021004,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
100021005,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
100021006,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
100021007,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100021008,FALSE,FALSE,FALSE,FALSE,TRUE,female,never met
100021009,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100021010,FALSE,FALSE,FALSE,FALSE,FALSE,female,1 month
100022001,FALSE,TRUE,FALSE,FALSE,FALSE,male,3-7 days
100022002,FALSE,FALSE,FALSE,FALSE,FALSE,male,3-7 days
100022003,FALSE,FALSE,FALSE,FALSE,FALSE,female,2-3 weeks
100022004,FALSE,TRUE,FALSE,FALSE,FALSE,male,3-7 days
100023001,FALSE,FALSE,FALSE,TRUE,FALSE,male,1-2 days
100023002,FALSE,FALSE,FALSE,TRUE,FALSE,female,1-2 days
100024001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
100024002,FALSE,FALSE,FALSE,FALSE,FALSE,female,3-7 days
100024003,FALSE,FALSE,FALSE,FALSE,FALSE,male,never met
100024004,FALSE,FALSE,FALSE,FALSE,TRUE,male,occasional
100024005,TRUE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
100025001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100025002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
100025003,FALSE,FALSE,FALSE,FALSE,FALSE,male,never met
100025004,FALSE,FALSE,FALSE,FALSE,FALSE,female,occasional
100026001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
100026002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
100026003,NA,NA,NA,NA,NA,NA,NA
100026004,NA,NA,NA,NA,NA,NA,NA
100026005,NA,NA,NA,NA,NA,NA,NA
100026006,NA,NA,NA,NA,NA,NA,NA
100026007,NA,NA,NA,NA,NA,NA,NA
100026008,NA,NA,NA,NA,NA,NA,NA
100026009,NA,NA,NA,NA,NA,NA,NA
100026010,NA,NA,NA,NA,NA,NA,NA
100026011,NA,NA,NA,NA,NA,NA,NA
100026012,NA,NA,NA,NA,NA,NA,NA
100026013,NA,NA,NA,NA,NA,NA,NA
100026014,NA,NA,NA,NA,NA,NA,NA
100026015,NA,NA,NA,NA,NA,NA,NA
100026016,NA,NA,NA,NA,NA,NA,NA
