hh_id,country,hh_size
HH10000101,hr,2
HH10000102,hr,2
HH10000103,hr,2
HH10000104,hr,2
HH10000201,hr,5
HH10000204,hr,5
HH10000301,hr,3
HH10000302,hr,3
HH10000303,hr,3
HH10000304,hr,3
HH10000401,hr,2
HH10000402,hr,2
HH10000403,hr,2
HH10000404,hr,2
HH10000501,hr,2
HH10000502,hr,2
HH10000503,hr,2
HH10000504,hr,2
HH10000601,hr,2
HH10000603,hr,2
HH10000604,hr,2
HH10000701,hr,4
HH10000801,hr,2
HH10000803,hr,2
HH10000901,hr,2
HH10000902,hr,2
HH10000903,hr,2
HH10001001,hr,2
HH10001002,hr,2
HH10001003,hr,2
HH10001004,hr,2
HH10001101,hr,2
HH10001102,hr,1
HH10001103,hr,2
HH10001104,hr,1
HH10001201,hr,4
HH10001202,hr,4
HH10001301,hr,3
HH10001302,hr,3
HH10001401,hr,3
HH10001403,hr,3
HH10001501,hr,4
HH10001502,hr,4
HH10001504,hr,4
HH10001601,hr,2
HH10001602,hr,2
HH10001603,hr,2
HH10001701,hr,4
HH10001702,hr,4
HH10001703,hr,4
HH10001704,hr,4
HH10001801,hr,3
HH10001802,hr,3
HH10001803,hr,3
HH10001901,hr,7
HH10001902,hr,7
HH10002001,hr,4
HH10002002,hr,4
HH10002003,hr,4
HH10002004,hr,4
HH10002101,hr,4
HH10002102,hr,4
HH10002201,hr,4
HH10002202,hr,4
HH10002204,hr,4
HH10002301,hr,5
HH10002302,hr,5
HH10002303,hr,5
HH10002304,hr,5
HH10002401,hr,4
HH10002402,hr,4
HH10002403,hr,4
HH10002404,hr,4
HH10002501,hr,4
HH10002502,hr,4
HH10002503,hr,4
HH10002504,hr,4
HH10002601,hr,3
HH10002602,hr,3
HH10002603,hr,3
HH10002604,hr,3
HH10002701,hr,2
HH10002702,hr,2
HH10002703,hr,2
HH10002704,hr,1
HH10002801,hr,2
HH10002802,hr,3
HH10002803,hr,3
HH10002804,hr,2
HH10002901,hr,4
HH10002902,hr,4
HH10002903,hr,4
HH10002904,hr,4
HH10003001,hr,4
HH10003003,hr,4
HH10003101,hr,5
HH10003102,hr,5
HH10003103,hr,5
HH10003104,hr,5
HH10003201,hr,2
HH10003202,hr,2
HH10003203,hr,2
HH10003204,hr,2
HH10003301,hr,3
HH10003302,hr,3
HH10003303,hr,2
HH10003304,hr,2
HH10003401,hr,4
HH10003402,hr,4
HH10003501,hr,3
HH10003502,hr,3
HH10003503,hr,3
HH10003504,hr,3
HH10003601,hr,4
HH10003701,hr,4
HH10003702,hr,4
HH10003703,hr,4
HH10003704,hr,4
HH10003801,hr,1
HH10003901,hr,3
HH10003902,hr,3
HH10003903,hr,3
HH10003904,hr,3
HH10004001,hr,1
HH10004002,hr,1
HH10004003,hr,1
HH10004004,hr,1
HH10004101,hr,1
HH10004102,hr,1
HH10004103,hr,1
HH10004104,hr,1
HH10004201,hr,4
HH10004202,hr,4
HH10004203,hr,4
HH10004204,hr,4
HH10004301,hr,2
HH10004401,hr,2
HH10004402,hr,2
HH10004403,hr,2
HH10004404,hr,2
HH10004501,hr,2
HH10004502,hr,2
HH10004601,hr,3
HH10004602,hr,3
HH10004603,hr,3
HH10004701,hr,6
HH10004702,hr,6
HH10004703,hr,6
HH10004801,hr,3
HH10004802,hr,3
HH10004803,hr,3
HH10004804,hr,3
HH10004901,hr,7
HH10004903,hr,7
HH10004904,hr,7
HH10005001,hr,5
HH10005002,hr,5
HH10005003,hr,5
HH10005004,hr,5
HH10005101,hr,3
HH10005103,hr,3
HH10005104,hr,3
HH10005201,hr,2
HH10005203,hr,2
HH10005301,hr,3
HH10005302,hr,3
HH10005303,hr,3
HH10005304,hr,3
HH10005401,hr,4
HH10005402,hr,4
HH10005404,hr,4
HH10005501,hr,3
HH10005502,hr,3
HH10005503,hr,3
HH10005504,hr,3
HH10005601,hr,4
HH10005701,hr,3
HH10005702,hr,3
