"part_id","hh_id","part_age","part_gender"
10000101,"HH10000101","18-29","F"
10000102,"HH10000102","18-29","F"
10000103,"HH10000103","18-29","F"
10000104,"HH10000104","18-29","F"
10000201,"HH10000201","18-29","F"
10000204,"HH10000204","18-29","F"
10000301,"HH10000301","40-49","M"
10000302,"HH10000302","40-49","M"
10000303,"HH10000303","40-49","M"
10000304,"HH10000304","40-49","M"
10000401,"HH10000401","40-49","F"
10000402,"HH10000402","40-49","F"
10000403,"HH10000403","40-49","F"
10000404,"HH10000404","40-49","F"
10000501,"HH10000501","40-49","M"
10000502,"HH10000502","40-49","M"
10000503,"HH10000503","40-49","M"
10000504,"HH10000504","40-49","M"
10000601,"HH10000601","18-29","F"
10000603,"HH10000603","18-29","F"
10000604,"HH10000604","18-29","F"
10000701,"HH10000701","18-29","M"
10000801,"HH10000801","60-69","F"
10000803,"HH10000803","60-69","F"
10000901,"HH10000901","18-29","F"
10000902,"HH10000902","18-29","F"
10000903,"HH10000903","18-29","F"
10001001,"HH10001001","40-49","M"
10001002,"HH10001002","40-49","M"
10001003,"HH10001003","40-49","M"
10001004,"HH10001004","40-49","M"
10001101,"HH10001101","70-120","M"
10001102,"HH10001102","70-120","M"
10001103,"HH10001103","70-120","M"
10001104,"HH10001104","70-120","M"
10001201,"HH10001201","5-11","F"
10001202,"HH10001202","5-11","F"
10001301,"HH10001301","1-4","F"
10001302,"HH10001302","1-4","F"
10001401,"HH10001401","1-4","M"
10001403,"HH10001403","1-4","M"
10001501,"HH10001501","50-59","M"
10001502,"HH10001502","50-59","M"
10001504,"HH10001504","50-59","M"
10001601,"HH10001601","60-69","F"
10001602,"HH10001602","60-69","F"
10001603,"HH10001603","60-69","F"
10001701,"HH10001701","5-11","F"
10001702,"HH10001702","5-11","F"
10001703,"HH10001703","5-11","F"
10001704,"HH10001704","5-11","F"
10001801,"HH10001801","40-49","M"
10001802,"HH10001802","40-49","M"
10001803,"HH10001803","40-49","M"
10001901,"HH10001901","5-11","F"
10001902,"HH10001902","5-11","F"
10002001,"HH10002001","18-29","F"
10002002,"HH10002002","18-29","F"
10002003,"HH10002003","18-29","F"
10002004,"HH10002004","18-29","F"
10002101,"HH10002101","50-59","F"
10002102,"HH10002102","50-59","F"
10002201,"HH10002201","1-4","M"
10002202,"HH10002202","1-4","M"
10002204,"HH10002204","1-4","M"
10002301,"HH10002301","16-17","M"
10002302,"HH10002302","16-17","M"
10002303,"HH10002303","16-17","M"
10002304,"HH10002304","16-17","M"
10002401,"HH10002401","30-39","M"
10002402,"HH10002402","30-39","M"
10002403,"HH10002403","30-39","M"
10002404,"HH10002404","30-39","M"
10002501,"HH10002501","30-39","M"
10002502,"HH10002502","30-39","M"
10002503,"HH10002503","30-39","M"
10002504,"HH10002504","30-39","M"
10002601,"HH10002601","12-15","M"
10002602,"HH10002602","12-15","M"
10002603,"HH10002603","12-15","M"
10002604,"HH10002604","12-15","M"
10002701,"HH10002701","60-69","M"
10002702,"HH10002702","60-69","M"
10002703,"HH10002703","60-69","M"
10002704,"HH10002704","60-69","M"
10002801,"HH10002801","60-69","M"
10002802,"HH10002802","60-69","M"
10002803,"HH10002803","60-69","M"
10002804,"HH10002804","60-69","M"
10002901,"HH10002901","30-39","F"
10002902,"HH10002902","30-39","F"
10002903,"HH10002903","30-39","F"
10002904,"HH10002904","30-39","F"
10003001,"HH10003001","1-4","F"
10003003,"HH10003003","1-4","F"
10003101,"HH10003101","40-49","F"
10003102,"HH10003102","40-49","F"
10003103,"HH10003103","40-49","F"
10003104,"HH10003104","40-49","F"
10003201,"HH10003201","12-15","F"
10003202,"HH10003202","12-15","F"
10003203,"HH10003203","12-15","F"
10003204,"HH10003204","12-15","F"
10003301,"HH10003301","16-17","F"
10003302,"HH10003302","16-17","F"
10003303,"HH10003303","16-17","F"
10003304,"HH10003304","16-17","F"
10003401,"HH10003401","16-17","F"
10003402,"HH10003402","16-17","F"
10003501,"HH10003501","40-49","M"
10003502,"HH10003502","40-49","M"
10003503,"HH10003503","40-49","M"
10003504,"HH10003504","40-49","M"
10003601,"HH10003601","50-59","M"
10003701,"HH10003701","1-4","F"
10003702,"HH10003702","35-44","F"
10003703,"HH10003703","1-4","F"
10003704,"HH10003704","1-4","F"
10003801,"HH10003801","30-39","F"
10003901,"HH10003901","30-39","M"
10003902,"HH10003902","30-39","F"
10003903,"HH10003903","30-39","F"
10003904,"HH10003904","30-39","F"
10004001,"HH10004001","18-29","F"
10004002,"HH10004002","18-29","F"
10004003,"HH10004003","18-29","F"
10004004,"HH10004004","18-29","F"
10004101,"HH10004101","50-59","M"
10004102,"HH10004102","50-59","M"
10004103,"HH10004103","50-59","M"
10004104,"HH10004104","50-59","M"
10004201,"HH10004201","40-49","M"
10004202,"HH10004202","40-49","M"
10004203,"HH10004203","40-49","M"
10004204,"HH10004204","40-49","M"
10004301,"HH10004301","30-39","F"
10004401,"HH10004401","40-49","F"
10004402,"HH10004402","40-49","F"
10004403,"HH10004403","40-49","F"
10004404,"HH10004404","40-49","F"
10004501,"HH10004501","5-11","F"
10004502,"HH10004502","5-11","F"
10004601,"HH10004601","1-4","F"
10004602,"HH10004602","1-4","F"
10004603,"HH10004603","1-4","F"
10004701,"HH10004701","18-29","M"
10004702,"HH10004702","18-29","M"
10004703,"HH10004703","18-29","M"
10004801,"HH10004801","18-29","M"
10004802,"HH10004802","18-29","M"
10004803,"HH10004803","18-29","M"
10004804,"HH10004804","18-29","M"
10004901,"HH10004901","16-17","F"
10004903,"HH10004903","16-17","F"
10004904,"HH10004904","16-17","F"
10005001,"HH10005001","5-11","F"
10005002,"HH10005002","5-11","F"
10005003,"HH10005003","5-11","F"
10005004,"HH10005004","5-11","F"
10005101,"HH10005101","12-15","F"
10005103,"HH10005103","12-15","F"
10005104,"HH10005104","12-15","F"
10005201,"HH10005201","30-39","F"
10005203,"HH10005203","30-39","F"
10005301,"HH10005301","50-59","F"
10005302,"HH10005302","50-59","F"
10005303,"HH10005303","50-59","F"
