cont_id,cnt_outside_other,cnt_other_house,cnt_worship,cnt_supermarket,cnt_shop,cnt_gender_all,frequency_multi_all
106433001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
106433002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
106433003,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
106434001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
106434002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
106434003,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
106435001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
106435002,FALSE,FALSE,FALSE,FALSE,TRUE,female,3-7 days
106435003,FALSE,TRUE,FALSE,FALSE,FALSE,female,1 month
106435004,FALSE,TRUE,FALSE,FALSE,FALSE,male,1 month
106435005,FALSE,TRUE,FALSE,FALSE,FALSE,female,3-7 days
106435006,FALSE,TRUE,FALSE,FALSE,FALSE,female,2-3 weeks
106435007,FALSE,TRUE,FALSE,FALSE,FALSE,male,never met
106436001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
106436002,FALSE,FALSE,FALSE,TRUE,FALSE,female,1-2 days
106436003,FALSE,FALSE,FALSE,FALSE,FALSE,male,1 month
106436004,FALSE,FALSE,FALSE,FALSE,FALSE,female,3-7 days
106436005,FALSE,FALSE,FALSE,FALSE,FALSE,male,3-7 days
106437001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
106438001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
106438002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
106438003,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
106438004,FALSE,FALSE,FALSE,FALSE,FALSE,female,3-7 days
106439001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
106440001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
106440002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
106441001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
106442001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
106442002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
106442003,FALSE,FALSE,FALSE,FALSE,FALSE,female,3-7 days
106442004,FALSE,FALSE,FALSE,TRUE,FALSE,male,2-3 weeks
106443001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
106443002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
106443003,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
106444001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
106444002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
106444003,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
106444004,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
106444005,FALSE,FALSE,FALSE,FALSE,FALSE,female,3-7 days
106444006,FALSE,FALSE,FALSE,FALSE,FALSE,female,3-7 days
106444007,FALSE,FALSE,FALSE,FALSE,FALSE,female,3-7 days
106444008,FALSE,FALSE,FALSE,FALSE,FALSE,male,3-7 days
106444009,FALSE,FALSE,FALSE,FALSE,FALSE,male,3-7 days
106444010,FALSE,FALSE,FALSE,FALSE,FALSE,male,1 month
106444011,FALSE,FALSE,FALSE,FALSE,FALSE,male,1 month
106445001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
106445002,TRUE,FALSE,FALSE,FALSE,FALSE,female,3-7 days
106445003,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
106447001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
106448001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
106448002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
106448003,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
106448004,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
106448005,FALSE,FALSE,FALSE,FALSE,FALSE,female,3-7 days
106448006,FALSE,FALSE,FALSE,FALSE,FALSE,male,3-7 days
106448007,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
106449001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
106449002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
106449003,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
106449004,TRUE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
106449005,FALSE,TRUE,FALSE,FALSE,FALSE,male,3-7 days
106449006,FALSE,FALSE,FALSE,TRUE,FALSE,female,3-7 days
106449007,FALSE,FALSE,FALSE,FALSE,FALSE,female,3-7 days
106449008,FALSE,TRUE,FALSE,FALSE,FALSE,male,2-3 weeks
106451001,FALSE,TRUE,FALSE,FALSE,FALSE,male,1-2 days
106451002,FALSE,TRUE,FALSE,FALSE,FALSE,female,3-7 days
106451003,FALSE,TRUE,FALSE,FALSE,FALSE,female,3-7 days
106452001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
106452002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
106452003,FALSE,FALSE,FALSE,TRUE,FALSE,male,1-2 days
106452004,FALSE,FALSE,FALSE,FALSE,FALSE,male,2-3 weeks
106453001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
106454001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
106454002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
106454003,FALSE,TRUE,FALSE,FALSE,FALSE,female,1-2 days
106454004,FALSE,TRUE,FALSE,FALSE,FALSE,male,1-2 days
106455001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
106455002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1 month
106456001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
106456002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
106456003,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
106456004,TRUE,FALSE,FALSE,FALSE,FALSE,male,3-7 days
106456005,FALSE,TRUE,FALSE,FALSE,FALSE,male,occasional
106456006,FALSE,TRUE,FALSE,FALSE,FALSE,female,occasional
106457001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
106457002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
106457003,FALSE,TRUE,FALSE,FALSE,FALSE,male,1-2 days
106459001,TRUE,FALSE,FALSE,FALSE,FALSE,female,never met
106459002,FALSE,FALSE,FALSE,FALSE,FALSE,male,never met
106459003,TRUE,FALSE,FALSE,FALSE,FALSE,female,never met
106459004,TRUE,FALSE,FALSE,FALSE,FALSE,female,never met
106459005,FALSE,FALSE,FALSE,FALSE,FALSE,male,never met
106459006,TRUE,FALSE,FALSE,FALSE,FALSE,female,never met
106459007,TRUE,FALSE,FALSE,FALSE,FALSE,female,occasional
106459008,TRUE,FALSE,FALSE,FALSE,FALSE,male,occasional
106459009,TRUE,FALSE,FALSE,FALSE,FALSE,female,occasional
106459010,NA,NA,NA,NA,NA,NA,NA
106459011,NA,NA,NA,NA,NA,NA,NA
106459012,NA,NA,NA,NA,NA,NA,NA
106459013,NA,NA,NA,NA,NA,NA,NA
106459014,NA,NA,NA,NA,NA,NA,NA
106459015,NA,NA,NA,NA,NA,NA,NA
106459016,NA,NA,NA,NA,NA,NA,NA
106459017,NA,NA,NA,NA,NA,NA,NA
106459018,NA,NA,NA,NA,NA,NA,NA
106459019,NA,NA,NA,NA,NA,NA,NA
106459020,NA,NA,NA,NA,NA,NA,NA
106459021,NA,NA,NA,NA,NA,NA,NA
106459022,NA,NA,NA,NA,NA,NA,NA
106459023,NA,NA,NA,NA,NA,NA,NA
106459024,NA,NA,NA,NA,NA,NA,NA
106459025,NA,NA,NA,NA,NA,NA,NA
106459026,NA,NA,NA,NA,NA,NA,NA
106459027,NA,NA,NA,NA,NA,NA,NA
106459028,NA,NA,NA,NA,NA,NA,NA
106459029,NA,NA,NA,NA,NA,NA,NA
106460001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
106460002,FALSE,TRUE,FALSE,FALSE,FALSE,female,1-2 days
106460003,FALSE,TRUE,FALSE,FALSE,FALSE,male,1-2 days
