hh_id,country,hh_size
HH10643301,hu,4
HH10643304,hu,4
HH10643308,hu,4
HH10643401,hu,4
HH10643403,hu,4
HH10643501,hu,2
HH10643503,hu,2
HH10643504,hu,2
HH10643508,hu,2
HH10643601,hu,2
HH10643603,hu,2
HH10643604,hu,2
HH10643605,hu,2
HH10643606,hu,2
HH10643609,hu,2
HH10643701,hu,2
HH10643703,hu,2
HH10643704,hu,2
HH10643705,hu,2
HH10643706,hu,2
HH10643709,hu,2
HH10643801,hu,4
HH10643803,hu,4
HH10643804,hu,4
HH10643805,hu,4
HH10643806,hu,4
HH10643809,hu,4
HH10643901,hu,2
HH10643903,hu,2
HH10643904,hu,2
HH10643906,hu,2
HH10644001,hu,3
HH10644101,hu,4
HH10644201,hu,4
HH10644203,hu,4
HH10644204,hu,4
HH10644205,hu,4
HH10644206,hu,4
HH10644208,hu,4
HH10644209,hu,4
HH10644301,hu,4
HH10644303,hu,4
HH10644304,hu,4
HH10644305,hu,4
HH10644306,hu,4
HH10644401,hu,5
HH10644403,hu,5
HH10644404,hu,5
HH10644501,hu,2
HH10644503,hu,2
HH10644504,hu,2
HH10644505,hu,2
HH10644506,hu,2
HH10644601,hu,2
HH10644603,hu,2
HH10644604,hu,3
HH10644605,hu,3
HH10644701,hu,2
HH10644801,hu,3
HH10644803,hu,3
HH10644809,hu,2
HH10644901,hu,4
HH10644903,hu,4
HH10644904,hu,4
HH10644906,hu,4
HH10644908,hu,4
HH10644909,hu,4
HH10645001,hu,2
HH10645004,hu,2
HH10645005,hu,2
HH10645009,hu,2
HH10645101,hu,2
HH10645201,hu,3
HH10645301,hu,2
HH10645303,hu,2
HH10645304,hu,2
HH10645309,hu,2
HH10645401,hu,3
HH10645404,hu,3
HH10645405,hu,3
HH10645409,hu,3
HH10645501,hu,2
HH10645503,hu,2
HH10645504,hu,2
HH10645506,hu,2
HH10645508,hu,2
HH10645509,hu,2
HH10645601,hu,4
HH10645604,hu,4
HH10645605,hu,4
HH10645606,hu,4
HH10645609,hu,4
HH10645701,hu,3
HH10645801,hu,1
HH10645803,hu,1
HH10645804,hu,1
HH10645901,hu,3
HH10645903,hu,3
HH10645904,hu,3
HH10645906,hu,3
HH10645909,hu,3
HH10646001,hu,4
HH10646003,hu,4
HH10646004,hu,4
HH10646005,hu,4
HH10646009,hu,4
HH10646101,hu,3
HH10646103,hu,3
HH10646104,hu,3
HH10646105,hu,3
HH10646106,hu,3
HH10646108,hu,3
HH10646109,hu,3
HH10646201,hu,3
HH10646204,hu,3
HH10646205,hu,3
HH10646206,hu,3
HH10646209,hu,3
HH10646301,hu,3
HH10646304,hu,3
HH10646305,hu,3
HH10646306,hu,3
HH10646308,hu,3
HH10646309,hu,3
HH10646401,hu,8
HH10646404,hu,8
HH10646405,hu,3
HH10646406,hu,3
HH10646409,hu,2
HH10646501,hu,3
HH10646601,hu,2
HH10646603,hu,2
HH10646604,hu,2
HH10646605,hu,2
HH10646606,hu,2
HH10646608,hu,2
HH10646609,hu,2
HH10646701,hu,6
HH10646703,hu,6
HH10646801,hu,5
HH10646804,hu,5
HH10646806,hu,5
HH10646808,hu,5
HH10646901,hu,3
HH10646904,hu,3
HH10646909,hu,3
HH10647001,hu,1
HH10647003,hu,1
HH10647004,hu,1
HH10647005,hu,1
HH10647101,hu,2
HH10647201,hu,2
HH10647203,hu,2
HH10647204,hu,2
HH10647301,hu,3
HH10647303,hu,3
HH10647304,hu,3
HH10647305,hu,3
HH10647306,hu,3
HH10647309,hu,3
HH10647401,hu,2
HH10647403,hu,2
HH10647405,hu,2
HH10647501,hu,3
HH10647503,hu,3
HH10647504,hu,3
HH10647508,hu,3
HH10647601,hu,4
HH10647603,hu,4
HH10647605,hu,4
HH10647606,hu,4
HH10647608,hu,4
HH10647609,hu,4
HH10647701,hu,2
HH10647801,hu,5
HH10647901,hu,2
HH10647903,hu,2
HH10647904,hu,2
HH10647906,hu,2
HH10647908,hu,2
HH10647909,hu,2
HH10648001,hu,1
HH10648101,hu,4
HH10648104,hu,4
HH10648201,hu,1
HH10648204,hu,1
HH10648206,hu,1
HH10648208,hu,1
HH10648209,hu,1
HH10648301,hu,3
HH10648401,hu,3
HH10648501,hu,1
HH10648503,hu,1
HH10648504,hu,1
HH10648505,hu,1
HH10648601,hu,3
HH10648701,hu,2
HH10648703,hu,2
HH10648704,hu,2
HH10648705,hu,2
HH10648708,hu,2
HH10648709,hu,2
HH10648801,hu,2
HH10648803,hu,2
HH10648804,hu,2
HH10648805,hu,2
