"part_id","hh_id","part_age","part_gender"
10643301,"HH10643301","18-29","F"
10643304,"HH10643304","18-29","F"
10643308,"HH10643308","18-29","F"
10643401,"HH10643401","18-29","M"
10643403,"HH10643403","18-29","M"
10643501,"HH10643501","30-39","F"
10643503,"HH10643503","30-39","F"
10643504,"HH10643504","30-39","F"
10643508,"HH10643508","30-39","F"
10643601,"HH10643601","60-69","M"
10643603,"HH10643603","60-69","M"
10643604,"HH10643604","60-69","M"
10643605,"HH10643605","60-69","M"
10643606,"HH10643606","60-69","M"
10643609,"HH10643609","60-69","M"
10643701,"HH10643701","60-69","F"
10643703,"HH10643703","60-69","F"
10643704,"HH10643704","60-69","F"
10643705,"HH10643705","60-69","F"
10643706,"HH10643706","60-69","F"
10643709,"HH10643709","60-69","F"
10643801,"HH10643801","40-49","F"
10643803,"HH10643803","40-49","F"
10643804,"HH10643804","40-49","F"
10643805,"HH10643805","40-49","F"
10643806,"HH10643806","40-49","F"
10643809,"HH10643809","40-49","F"
10643901,"HH10643901","50-59","F"
10643903,"HH10643903","50-59","F"
10643904,"HH10643904","50-59","F"
10643906,"HH10643906","50-59","F"
10644001,"HH10644001","40-49","M"
10644101,"HH10644101","18-29","F"
10644201,"HH10644201","50-59","M"
10644203,"HH10644203","50-59","M"
10644204,"HH10644204","50-59","M"
10644205,"HH10644205","50-59","M"
10644206,"HH10644206","50-59","M"
10644208,"HH10644208","50-59","M"
10644209,"HH10644209","50-59","M"
10644301,"HH10644301","18-29","F"
10644303,"HH10644303","18-29","F"
10644304,"HH10644304","18-29","F"
10644305,"HH10644305","18-29","F"
10644306,"HH10644306","18-29","F"
10644401,"HH10644401","18-29","F"
10644403,"HH10644403","18-29","F"
10644404,"HH10644404","18-29","F"
10644501,"HH10644501","18-29","F"
10644503,"HH10644503","18-29","F"
10644504,"HH10644504","18-29","F"
10644505,"HH10644505","18-29","F"
10644506,"HH10644506","18-29","F"
10644601,"HH10644601","60-69","M"
10644603,"HH10644603","60-69","M"
10644604,"HH10644604","60-69","M"
10644605,"HH10644605","60-69","M"
10644701,"HH10644701","60-69","M"
10644801,"HH10644801","50-59","F"
10644803,"HH10644803","50-59","F"
10644809,"HH10644809","50-59","F"
10644901,"HH10644901","40-49","F"
10644903,"HH10644903","40-49","F"
10644904,"HH10644904","40-49","F"
10644906,"HH10644906","40-49","F"
10644908,"HH10644908","40-49","F"
10644909,"HH10644909","40-49","F"
10645001,"HH10645001","18-29","M"
10645004,"HH10645004","18-29","M"
10645005,"HH10645005","18-29","M"
10645009,"HH10645009","18-29","M"
10645101,"HH10645101","50-59","F"
10645201,"HH10645201","30-39","F"
10645301,"HH10645301","30-39","F"
10645303,"HH10645303","30-39","F"
10645304,"HH10645304","30-39","F"
10645309,"HH10645309","30-39","F"
10645401,"HH10645401","30-39","F"
10645404,"HH10645404","30-39","F"
10645405,"HH10645405","30-39","F"
10645409,"HH10645409","30-39","F"
10645501,"HH10645501","30-39","M"
10645503,"HH10645503","30-39","M"
10645504,"HH10645504","30-39","M"
10645506,"HH10645506","30-39","M"
10645508,"HH10645508","30-39","M"
10645509,"HH10645509","30-39","M"
10645601,"HH10645601","40-49","F"
10645604,"HH10645604","40-49","F"
10645605,"HH10645605","40-49","F"
10645606,"HH10645606","40-49","F"
10645609,"HH10645609","40-49","F"
10645701,"HH10645701","18-29","F"
10645801,"HH10645801","18-29","F"
10645803,"HH10645803","18-29","F"
10645804,"HH10645804","18-29","F"
10645901,"HH10645901","40-49","M"
10645903,"HH10645903","40-49","M"
10645904,"HH10645904","40-49","M"
10645906,"HH10645906","40-49","M"
10645909,"HH10645909","40-49","M"
10646001,"HH10646001","40-49","M"
10646003,"HH10646003","40-49","M"
10646004,"HH10646004","40-49","M"
10646005,"HH10646005","40-49","M"
10646009,"HH10646009","40-49","M"
10646101,"HH10646101","40-49","F"
10646103,"HH10646103","40-49","F"
10646104,"HH10646104","40-49","F"
10646105,"HH10646105","40-49","F"
10646106,"HH10646106","40-49","F"
10646108,"HH10646108","40-49","F"
10646109,"HH10646109","40-49","F"
10646201,"HH10646201","50-59","M"
10646204,"HH10646204","50-59","M"
10646205,"HH10646205","50-59","M"
10646206,"HH10646206","50-59","M"
10646209,"HH10646209","50-59","M"
10646301,"HH10646301","40-49","M"
10646304,"HH10646304","40-49","M"
10646305,"HH10646305","40-49","M"
10646306,"HH10646306","40-49","M"
10646308,"HH10646308","40-49","M"
10646309,"HH10646309","40-49","M"
10646401,"HH10646401","60-69","M"
10646404,"HH10646404","60-69","M"
10646405,"HH10646405","60-69","M"
10646406,"HH10646406","60-69","M"
10646409,"HH10646409","60-69","M"
10646501,"HH10646501","60-69","M"
10646601,"HH10646601","40-49","F"
10646603,"HH10646603","40-49","F"
10646604,"HH10646604","40-49","F"
10646605,"HH10646605","40-49","F"
10646606,"HH10646606","40-49","F"
10646608,"HH10646608","40-49","F"
10646609,"HH10646609","40-49","F"
10646701,"HH10646701","40-49","F"
10646703,"HH10646703","40-49","F"
10646801,"HH10646801","30-39","F"
10646804,"HH10646804","30-39","F"
10646806,"HH10646806","30-39","F"
10646808,"HH10646808","30-39","F"
10646901,"HH10646901","60-69","M"
10646904,"HH10646904","60-69","M"
10646909,"HH10646909","60-69","M"
10647001,"HH10647001","30-39","M"
10647003,"HH10647003","30-39","M"
10647004,"HH10647004","30-39","M"
10647005,"HH10647005","30-39","M"
10647101,"HH10647101","40-49","M"
10647201,"HH10647201","30-39","F"
10647203,"HH10647203","30-39","F"
