cont_id,cnt_outside_other,cnt_other_house,cnt_worship,cnt_supermarket,cnt_shop,cnt_gender_all,frequency_multi_all
107690001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1 month
107690002,FALSE,FALSE,FALSE,TRUE,FALSE,female,2-3 weeks
107690003,FALSE,FALSE,FALSE,FALSE,FALSE,male,1 month
107690004,FALSE,FALSE,FALSE,FALSE,FALSE,male,1 month
107691001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
107691002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
107691003,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
107691004,FALSE,TRUE,FALSE,FALSE,FALSE,male,3-7 days
107691005,FALSE,TRUE,FALSE,FALSE,FALSE,female,3-7 days
107691006,FALSE,TRUE,FALSE,FALSE,FALSE,male,occasional
107691007,NA,NA,NA,NA,NA,NA,NA
107691008,NA,NA,NA,NA,NA,NA,NA
107691009,NA,NA,NA,NA,NA,NA,NA
107691010,NA,NA,NA,NA,NA,NA,NA
107691011,NA,NA,NA,NA,NA,NA,NA
107691012,NA,NA,NA,NA,NA,NA,NA
107691013,NA,NA,NA,NA,NA,NA,NA
107691014,NA,NA,NA,NA,NA,NA,NA
107691015,NA,NA,NA,NA,NA,NA,NA
107691016,NA,NA,NA,NA,NA,NA,NA
107691017,NA,NA,NA,NA,NA,NA,NA
107691018,NA,NA,NA,NA,NA,NA,NA
107691019,NA,NA,NA,NA,NA,NA,NA
107691020,NA,NA,NA,NA,NA,NA,NA
107691021,NA,NA,NA,NA,NA,NA,NA
107691022,NA,NA,NA,NA,NA,NA,NA
107691023,NA,NA,NA,NA,NA,NA,NA
107691024,NA,NA,NA,NA,NA,NA,NA
107691025,NA,NA,NA,NA,NA,NA,NA
107691026,NA,NA,NA,NA,NA,NA,NA
107691027,NA,NA,NA,NA,NA,NA,NA
107691028,NA,NA,NA,NA,NA,NA,NA
107691029,NA,NA,NA,NA,NA,NA,NA
107691030,NA,NA,NA,NA,NA,NA,NA
107691031,NA,NA,NA,NA,NA,NA,NA
107691032,NA,NA,NA,NA,NA,NA,NA
107691033,NA,NA,NA,NA,NA,NA,NA
107691034,NA,NA,NA,NA,NA,NA,NA
107691035,NA,NA,NA,NA,NA,NA,NA
107691036,NA,NA,NA,NA,NA,NA,NA
107692001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
107692002,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1-2 days
107694001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
107694002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
107694003,FALSE,FALSE,FALSE,FALSE,TRUE,female,occasional
107694004,FALSE,FALSE,FALSE,FALSE,TRUE,female,occasional
107694005,FALSE,FALSE,FALSE,FALSE,TRUE,female,never met
107694006,FALSE,FALSE,FALSE,TRUE,FALSE,female,1-2 days
107694007,FALSE,FALSE,FALSE,TRUE,FALSE,female,1-2 days
107695001,FALSE,FALSE,FALSE,FALSE,FALSE,female,never met
107696001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
107696002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
107697001,NA,NA,NA,NA,NA,NA,NA
107697002,NA,NA,NA,NA,NA,NA,NA
107697003,NA,NA,NA,NA,NA,NA,NA
107697004,NA,NA,NA,NA,NA,NA,NA
107697005,NA,NA,NA,NA,NA,NA,NA
107697006,NA,NA,NA,NA,NA,NA,NA
107698001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
107699001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
107699002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
107699003,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
107699004,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
107699005,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
107699006,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
107699007,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
107699008,FALSE,FALSE,FALSE,FALSE,FALSE,female,3-7 days
107700001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
107700002,FALSE,FALSE,FALSE,FALSE,FALSE,male,occasional
107700003,FALSE,FALSE,FALSE,TRUE,FALSE,female,3-7 days
107700004,FALSE,TRUE,FALSE,FALSE,FALSE,male,occasional
107701001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
107701002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
107701003,FALSE,FALSE,FALSE,FALSE,FALSE,male,3-7 days
107701004,FALSE,FALSE,FALSE,TRUE,FALSE,male,never met
107702001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
107702002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
107702003,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
107702004,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
107702005,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
107702006,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
107703001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
107703002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
107704001,TRUE,FALSE,FALSE,TRUE,FALSE,female,1-2 days
107704002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
107704003,TRUE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
107706001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
107706002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
107706003,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
107706004,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
107706005,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
107707001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
107708001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
107709001,TRUE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
107709002,TRUE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
107709003,TRUE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
107709004,TRUE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
107709005,TRUE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
107710001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
107711001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
107711002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
107712001,TRUE,FALSE,FALSE,FALSE,FALSE,male,2-3 weeks
107713001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
107713002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
107713003,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
107713004,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
107713005,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
107713006,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
107714001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
107715001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
107715002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
107715003,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
107715004,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
107715005,FALSE,FALSE,FALSE,FALSE,FALSE,female,3-7 days
107716001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
107717001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
107717002,TRUE,TRUE,FALSE,FALSE,FALSE,female,1-2 days
107717003,TRUE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
107717004,TRUE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
107718001,FALSE,TRUE,FALSE,FALSE,FALSE,female,1-2 days
107718002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
107718003,NA,NA,NA,NA,NA,NA,NA
107718004,NA,NA,NA,NA,NA,NA,NA
107718005,NA,NA,NA,NA,NA,NA,NA
107718006,NA,NA,NA,NA,NA,NA,NA
107718007,NA,NA,NA,NA,NA,NA,NA
107718008,NA,NA,NA,NA,NA,NA,NA
107718009,NA,NA,NA,NA,NA,NA,NA
107718010,NA,NA,NA,NA,NA,NA,NA
107718011,NA,NA,NA,NA,NA,NA,NA
107718012,NA,NA,NA,NA,NA,NA,NA
107718013,NA,NA,NA,NA,NA,NA,NA
107718014,NA,NA,NA,NA,NA,NA,NA
107718015,NA,NA,NA,NA,NA,NA,NA
107718016,NA,NA,NA,NA,NA,NA,NA
107718017,NA,NA,NA,NA,NA,NA,NA
107718018,NA,NA,NA,NA,NA,NA,NA
107718019,NA,NA,NA,NA,NA,NA,NA
107718020,NA,NA,NA,NA,NA,NA,NA
107718021,NA,NA,NA,NA,NA,NA,NA
107718022,NA,NA,NA,NA,NA,NA,NA
107718023,NA,NA,NA,NA,NA,NA,NA
107718024,NA,NA,NA,NA,NA,NA,NA
107718025,NA,NA,NA,NA,NA,NA,NA
107718026,NA,NA,NA,NA,NA,NA,NA
107718027,NA,NA,NA,NA,NA,NA,NA
107718028,NA,NA,NA,NA,NA,NA,NA
107718029,NA,NA,NA,NA,NA,NA,NA
107718030,NA,NA,NA,NA,NA,NA,NA
107718031,NA,NA,NA,NA,NA,NA,NA
107718032,NA,NA,NA,NA,NA,NA,NA
107718033,NA,NA,NA,NA,NA,NA,NA
