hh_id,country,hh_size
HH10769001,it,7
HH10769002,it,7
HH10769101,it,4
HH10769102,it,4
HH10769201,it,3
HH10769202,it,3
HH10769203,it,3
HH10769204,it,3
HH10769301,it,6
HH10769401,it,3
HH10769402,it,3
HH10769403,it,3
HH10769501,it,2
HH10769502,it,2
HH10769503,it,2
HH10769504,it,2
HH10769601,it,3
HH10769602,it,3
HH10769603,it,3
HH10769701,it,2
HH10769702,it,2
HH10769704,it,1
HH10769801,it,2
HH10769802,it,2
HH10769803,it,2
HH10769804,it,2
HH10769901,it,4
HH10769902,it,4
HH10769903,it,4
HH10770001,it,2
HH10770002,it,2
HH10770004,it,2
HH10770101,it,3
HH10770102,it,3
HH10770103,it,3
HH10770201,it,7
HH10770301,it,3
HH10770302,it,3
HH10770303,it,3
HH10770304,it,3
HH10770401,it,4
HH10770404,it,4
HH10770501,it,1
HH10770502,it,1
HH10770504,it,1
HH10770601,it,4
HH10770701,it,2
HH10770702,it,2
HH10770703,it,2
HH10770801,it,2
HH10770802,it,2
HH10770803,it,2
HH10770901,it,3
HH10771001,it,5
HH10771101,it,3
HH10771201,it,1
HH10771202,it,1
HH10771203,it,1
HH10771204,it,1
HH10771301,it,4
HH10771401,it,2
HH10771402,it,2
HH10771403,it,2
HH10771501,it,3
HH10771503,it,3
HH10771601,it,2
HH10771604,it,2
HH10771701,it,3
HH10771801,it,3
HH10771901,it,1
HH10771902,it,1
HH10771903,it,1
HH10772001,it,3
HH10772002,it,3
HH10772003,it,3
HH10772004,it,3
HH10772101,it,4
HH10772102,it,4
HH10772103,it,4
HH10772201,it,2
HH10772301,it,1
HH10772302,it,1
HH10772401,it,5
HH10772501,it,4
HH10772502,it,4
HH10772503,it,4
HH10772504,it,4
HH10772601,it,5
HH10772701,it,5
HH10772702,it,5
HH10772801,it,3
HH10772901,it,4
HH10772902,it,4
HH10772903,it,4
HH10773001,it,4
HH10773003,it,4
HH10773101,it,3
HH10773102,it,3
HH10773103,it,3
HH10773201,it,3
HH10773204,it,3
HH10773301,it,5
HH10773401,it,4
HH10773404,it,4
HH10773501,it,4
HH10773502,it,4
HH10773601,it,4
HH10773602,it,4
HH10773604,it,4
HH10773701,it,3
HH10773801,it,4
HH10773802,it,4
HH10773901,it,2
HH10773904,it,2
HH10774001,it,4
HH10774004,it,4
HH10774101,it,3
HH10774201,it,3
HH10774202,it,3
HH10774203,it,2
HH10774204,it,2
HH10774301,it,3
HH10774401,it,5
HH10774501,it,2
HH10774504,it,2
HH10774601,it,3
HH10774701,it,4
HH10774702,it,4
HH10774703,it,4
HH10774704,it,4
HH10774801,it,4
HH10774901,it,3
HH10774904,it,3
HH10775001,it,2
HH10775002,it,2
HH10775003,it,2
HH10775101,it,5
HH10775201,it,2
HH10775202,it,2
HH10775204,it,2
HH10775301,it,4
HH10775401,it,3
HH10775403,it,3
HH10775404,it,3
HH10775501,it,3
HH10775502,it,3
HH10775503,it,3
HH10775601,it,3
HH10775701,it,2
HH10775702,it,2
HH10775703,it,2
HH10775704,it,2
HH10775801,it,4
HH10775901,it,4
HH10776001,it,4
HH10776101,it,3
HH10776102,it,3
HH10776103,it,3
HH10776201,it,4
HH10776202,it,4
HH10776203,it,4
HH10776301,it,4
HH10776401,it,2
HH10776402,it,2
HH10776403,it,2
HH10776404,it,2
HH10776501,it,4
HH10776601,it,3
HH10776602,it,3
HH10776603,it,3
HH10776701,it,5
HH10776801,it,4
HH10776901,it,4
HH10777001,it,3
HH10777101,it,4
HH10777102,it,4
HH10777201,it,4
HH10777203,it,4
HH10777301,it,4
HH10777401,it,5
HH10777402,it,5
HH10777403,it,5
HH10777501,it,3
HH10777601,it,3
HH10777602,it,3
HH10777603,it,3
HH10777701,it,4
HH10777704,it,4
HH10777801,it,4
HH10777901,it,4
HH10777902,it,4
HH10777904,it,4
HH10778001,it,4
HH10778101,it,3
HH10778201,it,3
HH10778202,it,3
HH10778203,it,3
HH10778301,it,3
HH10778302,it,3
HH10778303,it,3
HH10778304,it,3
HH10778401,it,3
HH10778501,it,4
HH10778502,it,4
HH10778503,it,4
HH10778601,it,3
HH10778701,it,2
HH10778702,it,2
HH10778703,it,2
HH10778704,it,2
HH10778801,it,4
HH10778901,it,2
HH10778902,it,2
HH10778903,it,2
HH10779001,it,2
HH10779002,it,2
HH10779003,it,2
HH10779101,it,3
HH10779104,it,3
HH10779201,it,2
HH10779301,it,4
HH10779401,it,2
HH10779402,it,2
HH10779403,it,2
HH10779501,it,4
HH10779504,it,4
HH10779601,it,4
HH10779602,it,4
HH10779604,it,1
HH10779701,it,3
HH10779702,it,3
HH10779801,it,4
HH10779802,it,4
HH10779901,it,3
HH10779902,it,3
HH10779903,it,3
HH10780001,it,4
HH10780101,it,2
HH10780102,it,1
HH10780103,it,1
HH10780104,it,2
HH10780201,it,1
HH10780202,it,1
HH10780203,it,1
HH10780204,it,1
HH10780301,it,3
HH10780401,it,2
HH10780402,it,2
HH10780403,it,2
HH10780404,it,2
HH10780501,it,2
HH10780502,it,2
HH10780503,it,2
HH10780504,it,2
HH10780601,it,2
HH10780701,it,3
HH10780704,it,3
HH10780801,it,3
HH10780901,it,4
HH10780902,it,4
HH10781001,it,4
HH10781004,it,4
HH10781101,it,3
HH10781102,it,3
HH10781201,it,4
HH10781301,it,3
HH10781302,it,3
HH10781303,it,3
HH10781401,it,3
HH10781501,it,5
HH10781502,it,5
HH10781601,it,1
HH10781602,it,1
HH10781603,it,1
HH10781604,it,1
HH10781701,it,4
HH10781702,it,4
HH10781703,it,4
HH10781704,it,4
HH10781801,it,3
HH10781901,it,4
HH10782001,it,2
HH10782004,it,2
HH10782101,it,3
HH10782201,it,3
HH10782301,it,3
HH10782401,it,4
HH10782402,it,4
HH10782403,it,4
HH10782404,it,4
HH10782501,it,4
HH10782601,it,1
HH10782701,it,3
HH10782801,it,2
HH10782802,it,2
HH10782803,it,2
HH10782804,it,2
HH10782901,it,3
HH10782902,it,3
HH10782903,it,3
HH10782904,it,3
HH10783001,it,1
HH10783002,it,1
HH10783003,it,1
HH10783004,it,1
HH10783101,it,3
HH10783201,it,3
HH10783301,it,2
HH10783302,it,2
HH10783303,it,2
HH10783401,it,4
HH10783402,it,4
HH10783403,it,4
HH10783404,it,4
HH10783501,it,9
HH10783601,it,3
HH10783602,it,3
HH10783603,it,3
HH10783701,it,4
HH10783702,it,4
HH10783801,it,2
HH10783802,it,2
HH10783901,it,3
HH10784001,it,3
HH10784002,it,3
HH10784004,it,3
HH10784101,it,1
HH10784102,it,1
HH10784104,it,1
HH10784201,it,5
HH10784301,it,4
HH10784401,it,3
HH10784404,it,3
HH10784501,it,4
HH10784504,it,4
HH10784601,it,2
HH10784604,it,2
HH10784701,it,2
HH10784702,it,2
HH10784703,it,2
HH10784801,it,4
HH10784901,it,4
HH10785001,it,4
HH10785002,it,4
HH10785003,it,4
HH10785004,it,4
HH10785101,it,4
HH10785103,it,4
HH10785201,it,2
HH10785301,it,5
HH10785401,it,2
HH10785402,it,2
HH10785403,it,2
HH10785501,it,4
HH10785502,it,4
HH10785601,it,3
HH10785602,it,3
HH10785701,it,5
HH10785801,it,4
HH10785901,it,2
HH10785902,it,2
HH10786001,it,4
HH10786101,it,4
HH10786201,it,5
HH10786301,it,2
HH10786302,it,2
HH10786303,it,2
HH10786401,it,3
HH10786402,it,3
HH10786403,it,3
HH10786404,it,3
HH10786501,it,2
HH10786601,it,1
HH10786602,it,1
HH10786603,it,1
HH10786604,it,1
HH10786701,it,1
HH10786702,it,1
HH10786703,it,1
HH10786704,it,1
HH10786801,it,4
HH10786802,it,4
HH10786803,it,4
HH10786804,it,4
HH10786901,it,3
HH10787001,it,4
HH10787101,it,1
HH10787201,it,3
HH10787202,it,3
HH10787301,it,1
HH10787302,it,1
HH10787303,it,1
HH10787401,it,1
HH10787501,it,3
HH10787601,it,4
