"part_id","hh_id","part_age","part_gender"
10769001,"HH10769001","18-29","M"
10769002,"HH10769002","18-29","M"
10769101,"HH10769101","60-69","M"
10769102,"HH10769102","60-69","M"
10769201,"HH10769201","50-59","F"
10769202,"HH10769202","50-59","F"
10769203,"HH10769203","50-59","F"
10769204,"HH10769204","50-59","F"
10769301,"HH10769301","40-49","M"
10769401,"HH10769401","50-59","F"
10769402,"HH10769402","50-59","F"
10769403,"HH10769403","50-59","F"
10769501,"HH10769501","50-59","M"
10769502,"HH10769502","50-59","M"
10769503,"HH10769503","50-59","M"
10769504,"HH10769504","50-59","M"
10769601,"HH10769601","40-49","M"
10769602,"HH10769602","40-49","M"
10769603,"HH10769603","40-49","M"
10769701,"HH10769701","30-39","M"
10769702,"HH10769702","30-39","M"
10769704,"HH10769704","30-39","M"
10769801,"HH10769801","60-69","M"
10769802,"HH10769802","60-69","M"
10769803,"HH10769803","60-69","M"
10769804,"HH10769804","60-69","M"
10769901,"HH10769901","50-59","M"
10769902,"HH10769902","50-59","M"
10769903,"HH10769903","50-59","M"
10770001,"HH10770001","40-49","F"
10770002,"HH10770002","40-49","F"
10770004,"HH10770004","40-49","F"
10770101,"HH10770101","60-69","M"
10770102,"HH10770102","60-69","M"
10770103,"HH10770103","60-69","M"
10770201,"HH10770201","12-15","F"
10770301,"HH10770301","18-29","M"
10770302,"HH10770302","18-29","M"
10770303,"HH10770303","18-29","M"
10770304,"HH10770304","18-29","M"
10770401,"HH10770401","1-4","F"
10770404,"HH10770404","1-4","F"
10770501,"HH10770501","60-69","F"
10770502,"HH10770502","60-69","F"
10770504,"HH10770504","60-69","F"
10770601,"HH10770601","5-11","F"
10770701,"HH10770701","18-29","F"
10770702,"HH10770702","18-29","F"
10770703,"HH10770703","18-29","F"
10770801,"HH10770801","60-69","M"
10770802,"HH10770802","60-69","M"
10770803,"HH10770803","60-69","M"
10770901,"HH10770901","40-49","M"
10771001,"HH10771001","5-11","F"
10771101,"HH10771101","12-15","F"
10771201,"HH10771201","40-49","M"
