part_id,sday_id,dayofweek,month,year,day,wave
10769001,2022.04.07,4,4,2022,7,1
10769101,2022.04.07,4,4,2022,7,1
10769201,2022.04.07,4,4,2022,7,1
10769301,2022.04.07,4,4,2022,7,1
10769401,2022.04.07,4,4,2022,7,1
10769501,2022.04.07,4,4,2022,7,1
10769601,2022.04.07,4,4,2022,7,1
10769701,2022.04.07,4,4,2022,7,1
10769801,2022.04.07,4,4,2022,7,1
10769901,2022.04.07,4,4,2022,7,1
10770001,2022.04.07,4,4,2022,7,1
10770101,2022.04.07,4,4,2022,7,1
10770201,2022.04.07,4,4,2022,7,1
10770301,2022.04.07,4,4,2022,7,1
10770401,2022.04.07,4,4,2022,7,1
10770501,2022.04.07,4,4,2022,7,1
10770601,2022.04.07,4,4,2022,7,1
10770701,2022.04.07,4,4,2022,7,1
10770801,2022.04.07,4,4,2022,7,1
10770901,2022.04.10,0,4,2022,10,1
10771001,2022.04.07,4,4,2022,7,1
10771101,2022.04.07,4,4,2022,7,1
10771201,2022.04.07,4,4,2022,7,1
10771301,2022.04.07,4,4,2022,7,1
10771401,2022.04.07,4,4,2022,7,1
10771501,2022.04.07,4,4,2022,7,1
10771601,2022.04.07,4,4,2022,7,1
10771701,2022.04.07,4,4,2022,7,1
10771801,2022.04.07,4,4,2022,7,1
10771901,2022.04.07,4,4,2022,7,1
10772001,2022.04.09,6,4,2022,9,1
10772101,2022.04.07,4,4,2022,7,1
10772201,2022.04.07,4,4,2022,7,1
10772301,2022.04.07,4,4,2022,7,1
10772401,2022.04.07,4,4,2022,7,1
10772501,2022.04.07,4,4,2022,7,1
10772601,2022.04.07,4,4,2022,7,1
10772701,2022.04.07,4,4,2022,7,1
10772801,2022.04.07,4,4,2022,7,1
10772901,2022.04.07,4,4,2022,7,1
10773001,2022.04.07,4,4,2022,7,1
10773101,2022.04.07,4,4,2022,7,1
10773201,2022.04.07,4,4,2022,7,1
10773301,2022.04.07,4,4,2022,7,1
10773401,2022.04.07,4,4,2022,7,1
10773501,2022.04.07,4,4,2022,7,1
10773601,2022.04.07,4,4,2022,7,1
10773701,2022.04.07,4,4,2022,7,1
10773801,2022.04.07,4,4,2022,7,1
10773901,2022.04.07,4,4,2022,7,1
10774001,2022.04.07,4,4,2022,7,1
10774101,2022.04.07,4,4,2022,7,1
10774201,2022.04.07,4,4,2022,7,1
10774301,2022.04.07,4,4,2022,7,1
10774401,2022.04.07,4,4,2022,7,1
10774501,2022.04.07,4,4,2022,7,1
10774601,2022.04.07,4,4,2022,7,1
10774701,2022.04.07,4,4,2022,7,1
10774801,2022.04.07,4,4,2022,7,1
10774901,2022.04.07,4,4,2022,7,1
10775001,2022.04.07,4,4,2022,7,1
