cont_id,cnt_outside_other,cnt_other_house,cnt_worship,cnt_supermarket,cnt_shop,cnt_gender_all,frequency_multi_all,cnt_prec_yn,cnt_prec,cnt_prec_none
be_G1_702766001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days,1,1,0
be_G1_702766002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days,1,1,0
be_G1_702767001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days,1,1,0
be_G1_702770001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days,1,1,0
be_G1_702770002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days,1,1,0
be_G1_702770003,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days,1,1,0
be_G1_702770004,FALSE,TRUE,FALSE,FALSE,FALSE,female,1-2 days,1,1,0
be_G1_702771001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days,1,1,0
be_G1_702771002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days,1,1,0
be_G1_702771003,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days,1,1,0
be_G1_702771004,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days,1,1,0
be_G1_702771005,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days,1,1,0
be_G1_702771006,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days,1,1,0
be_G1_702772001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days,1,1,0
be_G1_702773001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days,1,1,0
be_G1_702773002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days,1,1,0
be_G1_702773003,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days,1,1,0
be_G1_702773004,FALSE,TRUE,FALSE,FALSE,FALSE,male,3-7 days,1,1,0
be_G1_702775001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days,1,1,0
be_G1_702775002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days,1,1,0
be_G1_702775003,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days,1,1,0
be_G1_702775004,FALSE,FALSE,FALSE,FALSE,FALSE,female,3-7 days,1,1,0
be_G1_702775005,FALSE,FALSE,FALSE,FALSE,FALSE,female,3-7 days,1,1,0
be_G1_702775006,FALSE,FALSE,FALSE,FALSE,FALSE,female,3-7 days,1,1,0
be_G1_702778001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days,1,1,0
be_G1_702779001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days,1,1,0
be_G1_702780001,FALSE,TRUE,FALSE,FALSE,FALSE,female,1-2 days,1,1,0
be_G1_702784001,FALSE,TRUE,FALSE,FALSE,FALSE,female,2-3 weeks,1,1,0
be_G1_702785001,TRUE,FALSE,FALSE,TRUE,FALSE,female,1-2 days,1,1,0
be_G1_702787001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days,1,1,0
be_G1_702788001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days,1,1,0
be_G1_702788002,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1-2 days,1,1,0
be_G1_702788003,FALSE,FALSE,FALSE,FALSE,FALSE,NA,3-7 days,1,1,0
be_G1_702788004,FALSE,FALSE,FALSE,FALSE,FALSE,NA,3-7 days,1,1,0
be_G1_702788005,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1-2 days,1,1,0
