cont_id,cnt_outside_other,cnt_other_house,cnt_worship,cnt_supermarket,cnt_shop,cnt_gender_all,frequency_multi_all
103122001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
103122002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
103122003,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
103122004,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
103123001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
103123002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
103123003,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
103123004,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
103125001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
103125002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
103126001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
103126002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
103126003,NA,NA,NA,NA,NA,NA,NA
103126004,NA,NA,NA,NA,NA,NA,NA
103126005,NA,NA,NA,NA,NA,NA,NA
103126006,NA,NA,NA,NA,NA,NA,NA
103126007,NA,NA,NA,NA,NA,NA,NA
103126008,NA,NA,NA,NA,NA,NA,NA
103128001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
103129001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
103129002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
103129003,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
103129004,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
103129005,FALSE,FALSE,FALSE,TRUE,FALSE,female,1-2 days
103129006,FALSE,FALSE,FALSE,TRUE,FALSE,female,1-2 days
103130001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
103130002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
103130003,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
103130004,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
103130005,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
103130006,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
103130007,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
103131001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
103131002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
103131003,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
103131004,FALSE,FALSE,FALSE,FALSE,FALSE,male,3-7 days
103132001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
103132002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
103132003,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
103132004,FALSE,FALSE,TRUE,FALSE,FALSE,male,occasional
103132005,FALSE,FALSE,FALSE,FALSE,FALSE,female,2-3 weeks
103132006,TRUE,FALSE,FALSE,FALSE,FALSE,male,3-7 days
103132007,FALSE,FALSE,FALSE,FALSE,FALSE,female,3-7 days
103133001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
103133002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
103133003,FALSE,FALSE,FALSE,FALSE,FALSE,male,3-7 days
103133004,NA,NA,NA,NA,NA,NA,NA
103134001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
103134002,TRUE,FALSE,FALSE,TRUE,FALSE,male,1-2 days
103134003,NA,NA,NA,NA,NA,NA,NA
103134004,NA,NA,NA,NA,NA,NA,NA
103134005,NA,NA,NA,NA,NA,NA,NA
103134006,NA,NA,NA,NA,NA,NA,NA
103134007,NA,NA,NA,NA,NA,NA,NA
103134008,NA,NA,NA,NA,NA,NA,NA
103134009,NA,NA,NA,NA,NA,NA,NA
103134010,NA,NA,NA,NA,NA,NA,NA
103134011,NA,NA,NA,NA,NA,NA,NA
103134012,NA,NA,NA,NA,NA,NA,NA
103134013,NA,NA,NA,NA,NA,NA,NA
103134014,NA,NA,NA,NA,NA,NA,NA
103134015,NA,NA,NA,NA,NA,NA,NA
103134016,NA,NA,NA,NA,NA,NA,NA
103134017,NA,NA,NA,NA,NA,NA,NA
103134018,NA,NA,NA,NA,NA,NA,NA
103134019,NA,NA,NA,NA,NA,NA,NA
103134020,NA,NA,NA,NA,NA,NA,NA
103134021,NA,NA,NA,NA,NA,NA,NA
103134022,NA,NA,NA,NA,NA,NA,NA
103134023,NA,NA,NA,NA,NA,NA,NA
103134024,NA,NA,NA,NA,NA,NA,NA
103134025,NA,NA,NA,NA,NA,NA,NA
103134026,NA,NA,NA,NA,NA,NA,NA
103134027,NA,NA,NA,NA,NA,NA,NA
103134028,NA,NA,NA,NA,NA,NA,NA
103134029,NA,NA,NA,NA,NA,NA,NA
103134030,NA,NA,NA,NA,NA,NA,NA
103134031,NA,NA,NA,NA,NA,NA,NA
103134032,NA,NA,NA,NA,NA,NA,NA
103134033,NA,NA,NA,NA,NA,NA,NA
103134034,NA,NA,NA,NA,NA,NA,NA
103134035,NA,NA,NA,NA,NA,NA,NA
103134036,NA,NA,NA,NA,NA,NA,NA
103134037,NA,NA,NA,NA,NA,NA,NA
103134038,NA,NA,NA,NA,NA,NA,NA
103134039,NA,NA,NA,NA,NA,NA,NA
103134040,NA,NA,NA,NA,NA,NA,NA
103134041,NA,NA,NA,NA,NA,NA,NA
103134042,NA,NA,NA,NA,NA,NA,NA
103134043,NA,NA,NA,NA,NA,NA,NA
103134044,NA,NA,NA,NA,NA,NA,NA
103134045,NA,NA,NA,NA,NA,NA,NA
103134046,NA,NA,NA,NA,NA,NA,NA
103134047,NA,NA,NA,NA,NA,NA,NA
103134048,NA,NA,NA,NA,NA,NA,NA
103134049,NA,NA,NA,NA,NA,NA,NA
103134050,NA,NA,NA,NA,NA,NA,NA
103134051,NA,NA,NA,NA,NA,NA,NA
103134052,NA,NA,NA,NA,NA,NA,NA
103134053,NA,NA,NA,NA,NA,NA,NA
103134054,NA,NA,NA,NA,NA,NA,NA
103134055,NA,NA,NA,NA,NA,NA,NA
103134056,NA,NA,NA,NA,NA,NA,NA
103134057,NA,NA,NA,NA,NA,NA,NA
103134058,NA,NA,NA,NA,NA,NA,NA
103134059,NA,NA,NA,NA,NA,NA,NA
103134060,NA,NA,NA,NA,NA,NA,NA
103134061,NA,NA,NA,NA,NA,NA,NA
103134062,NA,NA,NA,NA,NA,NA,NA
103134063,NA,NA,NA,NA,NA,NA,NA
103134064,NA,NA,NA,NA,NA,NA,NA
103134065,NA,NA,NA,NA,NA,NA,NA
103134066,NA,NA,NA,NA,NA,NA,NA
103134067,NA,NA,NA,NA,NA,NA,NA
103134068,NA,NA,NA,NA,NA,NA,NA
103134069,NA,NA,NA,NA,NA,NA,NA
103134070,NA,NA,NA,NA,NA,NA,NA
103134071,NA,NA,NA,NA,NA,NA,NA
103134072,NA,NA,NA,NA,NA,NA,NA
103134073,NA,NA,NA,NA,NA,NA,NA
103134074,NA,NA,NA,NA,NA,NA,NA
103134075,NA,NA,NA,NA,NA,NA,NA
103134076,NA,NA,NA,NA,NA,NA,NA
103134077,NA,NA,NA,NA,NA,NA,NA
103134078,NA,NA,NA,NA,NA,NA,NA
103134079,NA,NA,NA,NA,NA,NA,NA
103134080,NA,NA,NA,NA,NA,NA,NA
103134081,NA,NA,NA,NA,NA,NA,NA
103134082,NA,NA,NA,NA,NA,NA,NA
103134083,NA,NA,NA,NA,NA,NA,NA
103134084,NA,NA,NA,NA,NA,NA,NA
103134085,NA,NA,NA,NA,NA,NA,NA
103134086,NA,NA,NA,NA,NA,NA,NA
103134087,NA,NA,NA,NA,NA,NA,NA
103134088,NA,NA,NA,NA,NA,NA,NA
103134089,NA,NA,NA,NA,NA,NA,NA
103134090,NA,NA,NA,NA,NA,NA,NA
103134091,NA,NA,NA,NA,NA,NA,NA
103134092,NA,NA,NA,NA,NA,NA,NA
103134093,NA,NA,NA,NA,NA,NA,NA
103134094,NA,NA,NA,NA,NA,NA,NA
103134095,NA,NA,NA,NA,NA,NA,NA
103134096,NA,NA,NA,NA,NA,NA,NA
103134097,NA,NA,NA,NA,NA,NA,NA
103134098,NA,NA,NA,NA,NA,NA,NA
103134099,NA,NA,NA,NA,NA,NA,NA
103134100,NA,NA,NA,NA,NA,NA,NA
103134101,NA,NA,NA,NA,NA,NA,NA
103134102,NA,NA,NA,NA,NA,NA,NA
103134103,NA,NA,NA,NA,NA,NA,NA
103134104,NA,NA,NA,NA,NA,NA,NA
103134105,NA,NA,NA,NA,NA,NA,NA
103134106,NA,NA,NA,NA,NA,NA,NA
103134107,NA,NA,NA,NA,NA,NA,NA
103134108,NA,NA,NA,NA,NA,NA,NA
103134109,NA,NA,NA,NA,NA,NA,NA
103134110,NA,NA,NA,NA,NA,NA,NA
103134111,NA,NA,NA,NA,NA,NA,NA
103134112,NA,NA,NA,NA,NA,NA,NA
103134113,NA,NA,NA,NA,NA,NA,NA
103134114,NA,NA,NA,NA,NA,NA,NA
103134115,NA,NA,NA,NA,NA,NA,NA
103134116,NA,NA,NA,NA,NA,NA,NA
103134117,NA,NA,NA,NA,NA,NA,NA
103134118,NA,NA,NA,NA,NA,NA,NA
103134119,NA,NA,NA,NA,NA,NA,NA
103134120,NA,NA,NA,NA,NA,NA,NA
103134121,NA,NA,NA,NA,NA,NA,NA
