hh_id,country,hh_size
HH10312201,lt,5
HH10312203,lt,NA
HH10312204,lt,NA
HH10312205,lt,NA
HH10312208,lt,NA
HH10312209,lt,NA
HH10312301,lt,3
HH10312304,lt,NA
HH10312305,lt,NA
HH10312307,lt,NA
HH10312308,lt,NA
HH10312309,lt,NA
HH10312310,lt,1
HH10312311,lt,1
HH10312401,lt,3
HH10312403,lt,NA
HH10312404,lt,NA
HH10312405,lt,NA
HH10312409,lt,NA
HH10312410,lt,3
HH10312412,lt,3
HH10312413,lt,3
HH10312414,lt,3
HH10312501,lt,3
HH10312503,lt,NA
HH10312505,lt,NA
HH10312508,lt,NA
HH10312510,lt,3
HH10312511,lt,3
HH10312512,lt,3
HH10312513,lt,3
HH10312515,lt,3
HH10312601,lt,3
HH10312603,lt,NA
HH10312604,lt,NA
HH10312605,lt,NA
HH10312701,lt,2
HH10312703,lt,NA
HH10312704,lt,NA
HH10312707,lt,NA
HH10312708,lt,NA
HH10312709,lt,NA
HH10312710,lt,2
HH10312711,lt,2
HH10312712,lt,2
HH10312713,lt,2
HH10312714,lt,2
HH10312801,lt,2
HH10312803,lt,NA
HH10312804,lt,NA
HH10312805,lt,NA
HH10312807,lt,NA
HH10312810,lt,2
HH10312811,lt,2
HH10312812,lt,2
HH10312813,lt,2
HH10312901,lt,5
HH10312903,lt,NA
HH10312904,lt,NA
HH10312910,lt,5
HH10312912,lt,5
HH10312913,lt,5
HH10313001,lt,4
HH10313003,lt,NA
HH10313004,lt,NA
HH10313005,lt,NA
HH10313007,lt,NA
HH10313008,lt,NA
HH10313101,lt,4
HH10313103,lt,NA
HH10313104,lt,NA
HH10313105,lt,NA
HH10313201,lt,5
HH10313203,lt,NA
HH10313204,lt,NA
HH10313301,lt,4
HH10313303,lt,NA
HH10313304,lt,NA
HH10313305,lt,NA
HH10313310,lt,4
HH10313311,lt,4
HH10313312,lt,4
HH10313315,lt,4
HH10313401,lt,3
HH10313403,lt,NA
HH10313404,lt,NA
HH10313405,lt,NA
HH10313408,lt,NA
HH10313410,lt,3
HH10313411,lt,3
HH10313412,lt,3
HH10313413,lt,3
HH10313414,lt,3
HH10313501,lt,2
HH10313503,lt,NA
HH10313504,lt,NA
HH10313505,lt,NA
HH10313601,lt,2
HH10313603,lt,NA
HH10313604,lt,NA
HH10313605,lt,NA
HH10313607,lt,NA
HH10313609,lt,NA
HH10313610,lt,2
HH10313611,lt,2
HH10313612,lt,2
HH10313613,lt,2
HH10313614,lt,2
HH10313615,lt,2
HH10313701,lt,3
HH10313704,lt,NA
HH10313705,lt,NA
HH10313801,lt,3
HH10313803,lt,NA
HH10313804,lt,NA
HH10313805,lt,NA
HH10313807,lt,NA
HH10313808,lt,NA
HH10313809,lt,NA
HH10313901,lt,4
HH10314001,lt,4
HH10314003,lt,NA
HH10314005,lt,NA
HH10314101,lt,1
HH10314103,lt,NA
HH10314104,lt,NA
HH10314105,lt,NA
HH10314107,lt,NA
HH10314108,lt,NA
HH10314110,lt,2
HH10314111,lt,2
