"part_id","hh_id","part_age","part_gender"
10312201,"HH10312201","30-39","M"
10312203,"HH10312203","30-39","M"
10312204,"HH10312204","30-39","M"
10312205,"HH10312205","30-39","M"
10312208,"HH10312208","30-39","M"
10312209,"HH10312209","30-39","M"
10312301,"HH10312301","18-29","M"
10312304,"HH10312304","18-29","M"
10312305,"HH10312305","18-29","M"
10312307,"HH10312307","18-29","M"
10312308,"HH10312308","18-29","M"
10312309,"HH10312309","18-29","M"
10312310,"HH10312310","18-29","M"
10312311,"HH10312311","18-29","M"
10312401,"HH10312401","50-59","M"
10312403,"HH10312403","50-59","M"
10312404,"HH10312404","50-59","M"
10312405,"HH10312405","50-59","M"
10312409,"HH10312409","50-59","M"
10312410,"HH10312410","50-59","M"
10312412,"HH10312412","50-59","M"
10312413,"HH10312413","50-59","M"
10312414,"HH10312414","50-59","M"
10312501,"HH10312501","18-29","F"
10312503,"HH10312503","18-29","F"
10312505,"HH10312505","18-29","F"
10312508,"HH10312508","18-29","F"
10312510,"HH10312510","18-29","F"
10312511,"HH10312511","18-29","F"
10312512,"HH10312512","18-29","F"
10312513,"HH10312513","18-29","F"
10312515,"HH10312515","18-29","F"
10312601,"HH10312601","40-49","F"
10312603,"HH10312603","40-49","F"
10312604,"HH10312604","40-49","F"
10312605,"HH10312605","40-49","F"
10312701,"HH10312701","30-39","M"
10312703,"HH10312703","30-39","M"
10312704,"HH10312704","30-39","M"
10312707,"HH10312707","30-39","M"
10312708,"HH10312708","30-39","M"
10312709,"HH10312709","30-39","M"
10312710,"HH10312710","30-39","M"
10312711,"HH10312711","30-39","M"
10312712,"HH10312712","30-39","M"
10312713,"HH10312713","30-39","M"
10312714,"HH10312714","30-39","M"
10312801,"HH10312801","60-69","M"
10312803,"HH10312803","60-69","M"
10312804,"HH10312804","60-69","M"
10312805,"HH10312805","60-69","M"
10312807,"HH10312807","60-69","M"
10312810,"HH10312810","60-69","M"
10312811,"HH10312811","60-69","M"
10312812,"HH10312812","60-69","M"
10312813,"HH10312813","60-69","M"
10312901,"HH10312901","50-59","M"
10312903,"HH10312903","50-59","M"
10312904,"HH10312904","50-59","M"
10312910,"HH10312910","50-59","M"
10312912,"HH10312912","50-59","M"
10312913,"HH10312913","50-59","M"
10313001,"HH10313001","30-39","F"
10313003,"HH10313003","30-39","F"
10313004,"HH10313004","30-39","F"
10313005,"HH10313005","30-39","F"
10313007,"HH10313007","30-39","F"
10313008,"HH10313008","30-39","F"
10313101,"HH10313101","40-49","M"
10313103,"HH10313103","40-49","M"
10313104,"HH10313104","40-49","M"
10313105,"HH10313105","40-49","M"
10313201,"HH10313201","18-29","F"
10313203,"HH10313203","18-29","F"
10313204,"HH10313204","18-29","F"
10313301,"HH10313301","30-39","F"
10313303,"HH10313303","30-39","F"
10313304,"HH10313304","30-39","F"
10313305,"HH10313305","30-39","F"
10313310,"HH10313310","30-39","F"
10313311,"HH10313311","30-39","F"
10313312,"HH10313312","30-39","F"
10313315,"HH10313315","30-39","F"
10313401,"HH10313401","18-29","F"
10313403,"HH10313403","18-29","F"
10313404,"HH10313404","18-29","F"
10313405,"HH10313405","18-29","F"
10313408,"HH10313408","18-29","F"
10313410,"HH10313410","18-29","F"
10313411,"HH10313411","18-29","F"
10313412,"HH10313412","18-29","F"
10313413,"HH10313413","18-29","F"
10313414,"HH10313414","18-29","F"
10313501,"HH10313501","40-49","F"
10313503,"HH10313503","40-49","F"
10313504,"HH10313504","40-49","F"
10313505,"HH10313505","40-49","F"
10313601,"HH10313601","50-59","F"
10313603,"HH10313603","50-59","F"
10313604,"HH10313604","50-59","M"
10313605,"HH10313605","50-59","F"
10313607,"HH10313607","50-59","F"
10313609,"HH10313609","50-59","F"
10313610,"HH10313610","50-59","F"
10313611,"HH10313611","50-59","F"
10313612,"HH10313612","50-59","F"
10313613,"HH10313613","50-59","F"
10313614,"HH10313614","50-59","F"
10313615,"HH10313615","50-59","F"
10313701,"HH10313701","40-49","F"
10313704,"HH10313704","40-49","F"
10313705,"HH10313705","40-49","F"
10313801,"HH10313801","18-29","M"
10313803,"HH10313803","18-29","M"
10313804,"HH10313804","18-29","M"
10313805,"HH10313805","18-29","M"
10313807,"HH10313807","18-29","M"
10313808,"HH10313808","18-29","M"
10313809,"HH10313809","18-29","M"
10313901,"HH10313901","30-39","M"
10314001,"HH10314001","40-49","M"
10314003,"HH10314003","40-49","M"
10314005,"HH10314005","40-49","M"
10314101,"HH10314101","60-69","M"
