"part_id","panel","multiple_contacts_child_school","multiple_contacts_adult_school","multiple_contacts_older_adult_school","multiple_contacts_school_precautions","multiple_contacts_school_duration","multiple_contacts_child_other","multiple_contacts_adult_other","multiple_contacts_older_adult_other","multiple_contacts_other_precautions","multiple_contacts_other_duration","survey_round","multiple_contacts_child_work","multiple_contacts_adult_work","multiple_contacts_older_adult_work","multiple_contacts_work_precautions","multiple_contacts_work_duration","panel_id"
10312201,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,103122
10312203,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,103122
10312204,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,103122
10312205,"A",NA,NA,NA,NA,NA,1,1,1,"Prefer not to answer","Less than 1 minute",5,1,2,2,"Prefer not to answer","1 hour or more",103122
10312208,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,103122
10312209,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,103122
10312301,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,103123
10312304,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,103123
10312305,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,103123
10312307,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,103123
10312308,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,103123
10312309,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,103123
10312310,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,103123
10312311,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,103123
10312401,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,103124
10312403,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,103124
10312404,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,103124
10312405,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,103124
10312409,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,103124
10312410,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,103124
10312412,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,103124
10312413,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,103124
10312414,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,103124
10312501,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,103125
10312503,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,103125
10312505,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,103125
10312508,"A",NA,NA,NA,NA,NA,0,0,0,NA,NA,8,0,2,0,"Yes","1 minutes or more but less than 5 minutes",103125
10312510,"B",0,6,0,"Sometimes","Less than 1 minute",0,2,0,"Yes","1 minutes or more but less than 5 minutes",10,0,5,0,"Yes","1 minutes or more but less than 5 minutes",103125
10312511,"B",NA,NA,NA,NA,NA,0,3,0,"No","Less than 1 minute",11,0,3,0,"Yes","Less than 1 minute",103125
10312512,"B",NA,NA,NA,NA,NA,0,3,0,"Yes","1 minutes or more but less than 5 minutes",12,0,3,0,"Yes","1 minutes or more but less than 5 minutes",103125
10312513,"B",NA,NA,NA,NA,NA,0,3,2,"Yes","1 minutes or more but less than 5 minutes",13,0,3,2,"Yes","1 minutes or more but less than 5 minutes",103125
