"cont_id","cnt_outside_other","cnt_other_house","cnt_worship","cnt_supermarket","cnt_shop","cnt_gender_all","frequency_multi_all"
"be_A1_100002001",FALSE,FALSE,FALSE,FALSE,FALSE,"male","1-2 days"
"be_A1_100002002",FALSE,FALSE,FALSE,FALSE,FALSE,"female","1-2 days"
"be_A1_100002003",FALSE,FALSE,FALSE,FALSE,FALSE,"male","1-2 days"
"be_A1_100002004",FALSE,FALSE,FALSE,FALSE,FALSE,"female","1-2 days"
"be_A1_100002005",FALSE,FALSE,FALSE,FALSE,FALSE,"male","1-2 days"
"be_A1_100003001",FALSE,FALSE,FALSE,FALSE,FALSE,"male","1-2 days"
"be_A1_100003002",FALSE,FALSE,FALSE,FALSE,FALSE,"female","1-2 days"
"be_A1_100003003",FALSE,FALSE,FALSE,FALSE,FALSE,"male","1-2 days"
"be_A1_100003004",FALSE,TRUE,FALSE,FALSE,FALSE,"female","1-2 days"
"be_A1_100003005",FALSE,FALSE,FALSE,FALSE,FALSE,"female","1-2 days"
"be_A1_100004001",FALSE,FALSE,FALSE,TRUE,FALSE,"female","1-2 days"
"be_A1_100004002",FALSE,FALSE,FALSE,FALSE,FALSE,"female","1-2 days"
"be_A1_100004003",FALSE,FALSE,FALSE,FALSE,FALSE,"male","3-7 days"
"be_A1_100004004",FALSE,FALSE,FALSE,FALSE,FALSE,"male","1-2 days"
"be_A1_100004005",TRUE,FALSE,FALSE,FALSE,FALSE,"female","1-2 days"
"be_A1_100005001",FALSE,FALSE,FALSE,FALSE,FALSE,"female","1-2 days"
"be_A1_100005002",FALSE,FALSE,FALSE,FALSE,FALSE,"male","2-3 weeks"
"be_A1_100005003",FALSE,FALSE,FALSE,FALSE,FALSE,"female","1 month"
"be_A1_100005004",FALSE,FALSE,FALSE,FALSE,FALSE,"male","occasional"
"be_A1_100005005",FALSE,FALSE,FALSE,FALSE,FALSE,"male","2-3 weeks"
"be_A1_100006001",FALSE,FALSE,FALSE,FALSE,FALSE,"male","1-2 days"
"be_A1_100008001",FALSE,FALSE,FALSE,FALSE,FALSE,"male","1-2 days"
"be_A1_100009001",FALSE,FALSE,FALSE,FALSE,FALSE,"male","1-2 days"
"be_A1_100010001",FALSE,FALSE,FALSE,FALSE,FALSE,"male","1-2 days"
"be_A1_100011001",FALSE,FALSE,FALSE,FALSE,FALSE,"female","1-2 days"
"be_A1_100011002",FALSE,FALSE,FALSE,TRUE,FALSE,"female","never met"
"be_A1_100011003",FALSE,FALSE,FALSE,FALSE,TRUE,"male","never met"
"be_A1_100012001",FALSE,FALSE,FALSE,FALSE,FALSE,"male","1-2 days"
"be_A1_100012002",FALSE,FALSE,FALSE,FALSE,FALSE,"female","1-2 days"
"be_A1_100012003",FALSE,FALSE,FALSE,FALSE,FALSE,"female","3-7 days"
"be_A1_100012004",FALSE,FALSE,FALSE,FALSE,FALSE,"female","3-7 days"
"be_A1_100012005",FALSE,FALSE,FALSE,FALSE,FALSE,"male","1-2 days"
"be_A1_100012006",FALSE,FALSE,FALSE,FALSE,FALSE,"male","1-2 days"
"be_A1_100012007",FALSE,FALSE,FALSE,FALSE,FALSE,"male","never met"
"be_A1_100012008",FALSE,FALSE,FALSE,FALSE,FALSE,"female","1-2 days"
"be_A1_100012009",FALSE,FALSE,FALSE,FALSE,FALSE,"male","3-7 days"
"be_A1_100012010",FALSE,FALSE,FALSE,FALSE,FALSE,"female","3-7 days"
"be_A1_100012011",FALSE,FALSE,FALSE,FALSE,FALSE,"female","1-2 days"
"be_A1_100013001",FALSE,FALSE,FALSE,TRUE,FALSE,"female","1-2 days"
"be_A1_100013002",FALSE,FALSE,FALSE,FALSE,FALSE,"female","1-2 days"
"be_A1_100013003",FALSE,FALSE,FALSE,FALSE,FALSE,"male","1-2 days"
"be_A1_100014001",FALSE,FALSE,FALSE,FALSE,FALSE,"male","1-2 days"
"be_A1_100014002",FALSE,FALSE,FALSE,FALSE,FALSE,"female","1-2 days"
"be_A1_100014003",FALSE,FALSE,FALSE,FALSE,FALSE,"female","1-2 days"
"be_A1_100014004",FALSE,FALSE,FALSE,FALSE,FALSE,"female","1-2 days"
"be_A1_100014005",FALSE,FALSE,FALSE,FALSE,FALSE,"female","3-7 days"
"be_A1_100014006",FALSE,FALSE,FALSE,TRUE,FALSE,"female","3-7 days"
"be_A1_100015001",FALSE,FALSE,FALSE,FALSE,FALSE,"male","1-2 days"
"be_A1_100015002",FALSE,FALSE,FALSE,FALSE,FALSE,"female","1-2 days"
"be_A1_100016001",FALSE,FALSE,FALSE,FALSE,FALSE,"male","1-2 days"
"be_A1_100016002",FALSE,FALSE,FALSE,FALSE,FALSE,"female","1-2 days"
"be_A1_100020001",FALSE,TRUE,FALSE,FALSE,FALSE,"female","1-2 days"
"be_A1_100021001",FALSE,FALSE,FALSE,TRUE,FALSE,"female","2-3 weeks"
"be_A1_100021002",FALSE,FALSE,FALSE,FALSE,FALSE,"male","3-7 days"
"be_A1_100021003",NA,NA,NA,NA,NA,NA,NA
"be_A1_100021004",NA,NA,NA,NA,NA,NA,NA
"be_A1_100021005",NA,NA,NA,NA,NA,NA,NA
"be_A1_100021006",NA,NA,NA,NA,NA,NA,NA
"be_A1_100022001",FALSE,FALSE,FALSE,FALSE,FALSE,"female","1-2 days"
"be_A1_100022002",FALSE,FALSE,FALSE,FALSE,FALSE,"male","1-2 days"
"be_A1_100022003",NA,NA,NA,NA,NA,NA,NA
"be_A1_100022004",NA,NA,NA,NA,NA,NA,NA
"be_A1_100024001",FALSE,TRUE,FALSE,FALSE,FALSE,"female","1-2 days"
"be_A1_100024002",FALSE,FALSE,FALSE,FALSE,FALSE,"male","1-2 days"
"be_A1_100024003",FALSE,FALSE,FALSE,FALSE,FALSE,"male","1-2 days"
"be_A1_100024004",FALSE,FALSE,FALSE,FALSE,FALSE,"male","1-2 days"
"be_A1_100024005",FALSE,FALSE,FALSE,FALSE,FALSE,"male","1-2 days"
"be_A1_100026001",FALSE,FALSE,FALSE,FALSE,FALSE,"male","1-2 days"
