"hh_id","country","hh_size"
"HHbe_A1_100002","be",3
"HHbe_A1_100003","be",3
"HHbe_A1_100004","be",3
"HHbe_A1_100005","be",2
"HHbe_A1_100006","be",2
"HHbe_A1_100008","be",2
"HHbe_A1_100009","be",2
"HHbe_A1_100010","be",2
"HHbe_A1_100011","be",2
"HHbe_A1_100012","be",4
"HHbe_A1_100013","be",4
"HHbe_A1_100014","be",5
"HHbe_A1_100015","be",4
"HHbe_A1_100016","be",3
"HHbe_A1_100017","be",1
"HHbe_A1_100018","be",1
"HHbe_A1_100019","be",1
"HHbe_A1_100020","be",2
"HHbe_A1_100021","be",3
"HHbe_A1_100022","be",3
"HHbe_A1_100023","be",1
"HHbe_A1_100024","be",3
"HHbe_A1_100025","be",7
"HHbe_A1_100026","be",5
"HHbe_A1_100027","be",3
"HHbe_A1_100028","be",3
"HHbe_A1_100029","be",5
"HHbe_A1_100030","be",2
"HHbe_A1_100031","be",3
"HHbe_A1_100032","be",1
"HHbe_A1_100033","be",2
"HHbe_A1_100034","be",2
"HHbe_A1_100035","be",2
"HHbe_A1_100036","be",4
"HHbe_A1_100037","be",2
"HHbe_A1_100038","be",4
"HHbe_A1_100039","be",3
"HHbe_A1_100040","be",2
"HHbe_A1_100041","be",2
"HHbe_A1_100042","be",3
"HHbe_A1_100043","be",3
"HHbe_A1_100044","be",2
"HHbe_A1_100045","be",4
"HHbe_A1_100046","be",2
"HHbe_A1_100047","be",2
"HHbe_A1_100048","be",3
"HHbe_A1_100049","be",2
"HHbe_A1_100050","be",2
"HHbe_A1_100051","be",1
"HHbe_A1_100052","be",2
"HHbe_A1_100053","be",3
"HHbe_A1_100054","be",1
"HHbe_A1_100055","be",4
"HHbe_A1_100056","be",2
"HHbe_A1_100057","be",3
"HHbe_A1_100058","be",3
"HHbe_A1_100059","be",1
"HHbe_A1_100060","be",1
"HHbe_A1_100061","be",5
"HHbe_A1_100062","be",4
"HHbe_A1_100063","be",1
"HHbe_A1_100064","be",4
"HHbe_A1_100065","be",3
"HHbe_A1_100066","be",3
"HHbe_A1_100067","be",2
"HHbe_A1_100068","be",3
"HHbe_A1_100069","be",3
"HHbe_A1_100070","be",2
"HHbe_A1_100071","be",3
"HHbe_A1_100072","be",2
"HHbe_A1_100073","be",2
"HHbe_A1_100074","be",2
"HHbe_A1_100075","be",1
"HHbe_A1_100076","be",1
"HHbe_A1_100077","be",1
"HHbe_A1_100078","be",3
"HHbe_A1_100079","be",3
"HHbe_A1_100080","be",1
"HHbe_A1_100081","be",2
"HHbe_A1_100082","be",3
"HHbe_A1_100083","be",1
"HHbe_A1_100084","be",4
"HHbe_A1_100085","be",2
"HHbe_A1_100086","be",5
"HHbe_A1_100087","be",3
"HHbe_A1_100088","be",1
"HHbe_A1_100089","be",4
"HHbe_A1_100090","be",1
"HHbe_A1_100091","be",5
"HHbe_A1_100092","be",2
"HHbe_A1_100093","be",2
"HHbe_A1_100094","be",4
"HHbe_A1_100095","be",3
"HHbe_A1_100096","be",3
"HHbe_A1_100097","be",1
"HHbe_A1_100098","be",3
"HHbe_A1_100099","be",1
"HHbe_A1_100100","be",2
"HHbe_A1_100101","be",1
"HHbe_A1_100102","be",3
"HHbe_A1_100103","be",4
"HHbe_A1_100104","be",3
"HHbe_A1_100105","be",3
"HHbe_A1_100106","be",2
"HHbe_A1_100107","be",2
"HHbe_A1_100108","be",1
"HHbe_A1_100109","be",5
"HHbe_A1_100110","be",3
"HHbe_A1_100111","be",3
"HHbe_A1_100112","be",3
"HHbe_A1_100113","be",2
"HHbe_A1_100114","be",1
"HHbe_A1_100115","be",2
"HHbe_A1_100116","be",3
"HHbe_A1_100117","be",1
"HHbe_A1_100118","be",4
"HHbe_A1_100119","be",4
"HHbe_A1_100120","be",4
"HHbe_A1_100121","be",2
"HHbe_A1_100122","be",1
"HHbe_A1_100123","be",1
"HHbe_A1_100124","be",5
"HHbe_A1_100125","be",2
"HHbe_A1_100126","be",3
"HHbe_A1_100127","be",3
"HHbe_A1_100128","be",3
"HHbe_A1_100129","be",2
"HHbe_A1_100130","be",1
"HHbe_A1_100131","be",3
"HHbe_A1_100132","be",3
"HHbe_A1_100133","be",4
"HHbe_A1_100134","be",4
"HHbe_A1_100135","be",2
"HHbe_A1_100136","be",2
"HHbe_A1_100137","be",3
"HHbe_A1_100138","be",2
"HHbe_A1_100139","be",1
"HHbe_A1_100140","be",4
"HHbe_A1_100141","be",4
"HHbe_A1_100142","be",1
"HHbe_A1_100143","be",3
"HHbe_A1_100144","be",2
"HHbe_A1_100145","be",5
"HHbe_A1_100146","be",2
"HHbe_A1_100147","be",1
"HHbe_A1_100148","be",1
"HHbe_A1_100149","be",1
"HHbe_A1_100150","be",4
"HHbe_A1_100151","be",6
"HHbe_A1_100152","be",4
"HHbe_A1_100153","be",5
"HHbe_A1_100154","be",3
"HHbe_A1_100155","be",3
"HHbe_A1_100156","be",5
"HHbe_A1_100157","be",3
"HHbe_A1_100158","be",4
"HHbe_A1_100159","be",2
"HHbe_A1_100160","be",1
"HHbe_A1_100161","be",1
"HHbe_A1_100162","be",4
"HHbe_A1_100163","be",4
"HHbe_A1_100165","be",3
"HHbe_A1_100166","be",5
"HHbe_A1_100167","be",2
"HHbe_A1_100168","be",2
"HHbe_A1_100169","be",3
"HHbe_A1_100170","be",2
"HHbe_A1_100171","be",2
"HHbe_A1_100172","be",3
"HHbe_A1_100173","be",2
"HHbe_A1_100174","be",1
"HHbe_A1_100175","be",2
"HHbe_A1_100176","be",3
"HHbe_A1_100177","be",4
"HHbe_A1_100178","be",2
"HHbe_A1_100179","be",2
"HHbe_A1_100180","be",3
"HHbe_A1_100181","be",5
"HHbe_A1_100182","be",4
"HHbe_A1_100183","be",1
"HHbe_A1_100184","be",3
"HHbe_A1_100185","be",3
"HHbe_A1_100186","be",2
"HHbe_A1_100187","be",1
"HHbe_A1_100188","be",4
"HHbe_A1_100189","be",3
"HHbe_A1_100190","be",3
"HHbe_A1_100191","be",3
"HHbe_A1_100192","be",4
"HHbe_A1_100193","be",5
"HHbe_A1_100194","be",3
"HHbe_A1_100195","be",5
"HHbe_A1_100196","be",2
"HHbe_A1_100197","be",6
"HHbe_A1_100198","be",1
"HHbe_A1_100199","be",2
"HHbe_A1_100200","be",2
"HHbe_A1_100201","be",2
"HHbe_A1_100202","be",2
"HHbe_A1_100203","be",1
"HHbe_A1_100204","be",5
"HHbe_A1_100205","be",4
"HHbe_A1_100206","be",3
"HHbe_A1_100207","be",1
"HHbe_A1_100208","be",4
"HHbe_A1_100209","be",5
"HHbe_A1_100210","be",5
"HHbe_A1_100211","be",3
"HHbe_A1_100212","be",2
"HHbe_A1_100213","be",1
"HHbe_A1_100214","be",3
"HHbe_A1_100215","be",3
"HHbe_A1_100216","be",1
"HHbe_A1_100217","be",2
"HHbe_A1_100218","be",2
"HHbe_A1_100219","be",1
"HHbe_A1_100220","be",6
"HHbe_A1_100221","be",1
"HHbe_A1_100222","be",3
"HHbe_A1_100223","be",3
"HHbe_A1_100224","be",5
"HHbe_A1_100225","be",4
"HHbe_A1_100226","be",1
"HHbe_A1_100227","be",4
"HHbe_A1_100228","be",4
"HHbe_A1_100229","be",4
"HHbe_A1_100230","be",2
"HHbe_A1_100231","be",6
"HHbe_A1_100232","be",5
"HHbe_A1_100233","be",2
"HHbe_A1_100234","be",3
