"part_id","hh_id","part_age","part_gender"
"be_A1_100002","HHbe_A1_100002","16-17","female"
"be_A1_100003","HHbe_A1_100003","5-11","male"
"be_A1_100004","HHbe_A1_100004","50-59","male"
"be_A1_100005","HHbe_A1_100005","50-59","male"
"be_A1_100006","HHbe_A1_100006","60-69","female"
"be_A1_100008","HHbe_A1_100008","60-69","female"
"be_A1_100009","HHbe_A1_100009","40-49","male"
"be_A1_100010","HHbe_A1_100010","50-59","female"
"be_A1_100011","HHbe_A1_100011","70-120","male"
"be_A1_100012","HHbe_A1_100012","1-4","male"
"be_A1_100013","HHbe_A1_100013","60-69","male"
"be_A1_100014","HHbe_A1_100014","40-49","female"
"be_A1_100015","HHbe_A1_100015","40-49","female"
"be_A1_100016","HHbe_A1_100016","40-49","male"
"be_A1_100017","HHbe_A1_100017","50-59","male"
"be_A1_100018","HHbe_A1_100018","60-69","male"
"be_A1_100019","HHbe_A1_100019","60-69","male"
"be_A1_100020","HHbe_A1_100020","12-15","female"
"be_A1_100021","HHbe_A1_100021","18-29","female"
"be_A1_100022","HHbe_A1_100022","18-29","female"
"be_A1_100023","HHbe_A1_100023","60-69","female"
"be_A1_100024","HHbe_A1_100024","12-15","male"
"be_A1_100025","HHbe_A1_100025","40-49","female"
"be_A1_100026","HHbe_A1_100026","30-39","female"
"be_A1_100027","HHbe_A1_100027","18-29","female"
"be_A1_100028","HHbe_A1_100028","50-59","male"
"be_A1_100029","HHbe_A1_100029","18-29","male"
"be_A1_100030","HHbe_A1_100030","60-69","female"
"be_A1_100031","HHbe_A1_100031","60-69","female"
"be_A1_100032","HHbe_A1_100032","50-59","female"
"be_A1_100033","HHbe_A1_100033","30-39","female"
"be_A1_100034","HHbe_A1_100034","18-29","female"
"be_A1_100035","HHbe_A1_100035","60-69","male"
"be_A1_100036","HHbe_A1_100036","40-49","female"
"be_A1_100037","HHbe_A1_100037","60-69","male"
"be_A1_100038","HHbe_A1_100038","30-39","female"
"be_A1_100039","HHbe_A1_100039","30-39","female"
"be_A1_100040","HHbe_A1_100040","30-39","male"
"be_A1_100041","HHbe_A1_100041","50-59","male"
"be_A1_100042","HHbe_A1_100042","40-49","female"
"be_A1_100043","HHbe_A1_100043","50-59","female"
"be_A1_100044","HHbe_A1_100044","70-120","male"
"be_A1_100045","HHbe_A1_100045","30-39","female"
"be_A1_100046","HHbe_A1_100046","70-120","male"
"be_A1_100047","HHbe_A1_100047","30-39","female"
"be_A1_100048","HHbe_A1_100048","50-59","male"
"be_A1_100049","HHbe_A1_100049","18-29","female"
"be_A1_100050","HHbe_A1_100050","30-39","female"
"be_A1_100051","HHbe_A1_100051","70-120","female"
"be_A1_100052","HHbe_A1_100052","40-49","female"
"be_A1_100053","HHbe_A1_100053","40-49","male"
"be_A1_100054","HHbe_A1_100054","50-59","female"
"be_A1_100055","HHbe_A1_100055","40-49","male"
"be_A1_100056","HHbe_A1_100056","40-49","female"
"be_A1_100057","HHbe_A1_100057","40-49","female"
"be_A1_100058","HHbe_A1_100058","1-4","female"
"be_A1_100059","HHbe_A1_100059","30-39","female"
"be_A1_100060","HHbe_A1_100060","70-120","male"
"be_A1_100061","HHbe_A1_100061","5-11","male"
"be_A1_100062","HHbe_A1_100062","40-49","female"
"be_A1_100063","HHbe_A1_100063","50-59","male"
"be_A1_100064","HHbe_A1_100064","40-49","female"
"be_A1_100065","HHbe_A1_100065","30-39","female"
"be_A1_100066","HHbe_A1_100066","5-11","male"
