hh_id,country,hh_size
HH1400101,nl,2
HH1400102,nl,2
HH1400103,nl,2
HH1400104,nl,2
HH1400105,nl,2
HH1400108,nl,2
HH1400201,nl,1
HH1400205,nl,1
HH1400206,nl,1
HH1400207,nl,1
HH1400208,nl,1
HH1400301,nl,2
HH1400304,nl,2
HH1400305,nl,2
HH1400306,nl,2
HH1400308,nl,2
HH1400401,nl,2
HH1400404,nl,2
HH1400405,nl,2
HH1400406,nl,2
HH1400407,nl,2
HH1400501,nl,2
HH1400502,nl,2
HH1400503,nl,2
HH1400504,nl,2
HH1400505,nl,2
HH1400506,nl,2
HH1400507,nl,2
HH1400508,nl,2
HH1400601,nl,3
HH1400604,nl,2
HH1400701,nl,2
HH1400702,nl,2
HH1400703,nl,2
HH1400704,nl,2
HH1400706,nl,2
HH1400801,nl,2
HH1400901,nl,2
HH1400902,nl,3
HH1400903,nl,2
HH1400904,nl,2
HH1400907,nl,2
HH1400908,nl,2
HH1401001,nl,3
HH1401002,nl,2
HH1401003,nl,2
HH1401004,nl,2
HH1401005,nl,2
HH1401006,nl,2
HH1401007,nl,2
HH1401101,nl,2
HH1401105,nl,1
HH1401106,nl,1
HH1401201,nl,1
HH1401202,nl,1
HH1401203,nl,1
HH1401204,nl,2
HH1401205,nl,1
HH1401206,nl,1
HH1401207,nl,1
HH1401208,nl,1
HH1401301,nl,2
HH1401302,nl,2
HH1401303,nl,2
HH1401304,nl,1
HH1401305,nl,1
HH1401306,nl,2
HH1401307,nl,1
HH1401308,nl,2
HH1401401,nl,2
HH1401405,nl,2
HH1401406,nl,2
HH1401408,nl,2
HH1401501,nl,3
HH1401502,nl,3
HH1401503,nl,2
HH1401504,nl,2
HH1401505,nl,2
HH1401506,nl,2
HH1401507,nl,2
HH1401508,nl,2
HH1401601,nl,1
HH1401602,nl,1
HH1401603,nl,1
HH1401604,nl,1
HH1401605,nl,1
HH1401606,nl,1
HH1401607,nl,1
HH1401608,nl,1
HH1401701,nl,2
HH1401704,nl,2
HH1401705,nl,2
HH1401706,nl,2
HH1401708,nl,2
HH1401801,nl,1
HH1401802,nl,1
HH1401803,nl,1
HH1401901,nl,3
HH1401905,nl,2
HH1401906,nl,2
HH1401908,nl,2
HH1402001,nl,5
HH1402002,nl,5
HH1402003,nl,6
HH1402004,nl,5
HH1402005,nl,5
HH1402006,nl,5
HH1402007,nl,5
HH1402008,nl,5
HH1402101,nl,2
HH1402102,nl,3
HH1402104,nl,2
HH1402107,nl,2
HH1402108,nl,2
HH1402201,nl,2
HH1402202,nl,2
HH1402203,nl,2
HH1402204,nl,2
HH1402205,nl,2
HH1402206,nl,2
HH1402207,nl,2
HH1402208,nl,3
HH1402301,nl,1
HH1402302,nl,1
HH1402303,nl,1
HH1402304,nl,1
HH1402305,nl,1
HH1402306,nl,1
HH1402307,nl,1
HH1402308,nl,1
HH1402501,nl,2
HH1402502,nl,2
HH1402503,nl,2
HH1402504,nl,2
HH1402505,nl,2
HH1402506,nl,2
HH1402601,nl,5
HH1402602,nl,6
HH1402603,nl,6
HH1402605,nl,6
HH1402606,nl,6
HH1402607,nl,5
HH1402608,nl,6
HH1402701,nl,2
HH1402702,nl,2
HH1402703,nl,2
HH1402704,nl,2
HH1402705,nl,2
HH1402706,nl,2
HH1402707,nl,2
HH1402708,nl,2
HH1402801,nl,1
HH1402802,nl,1
HH1402803,nl,1
HH1402804,nl,1
HH1402805,nl,1
HH1402806,nl,1
HH1402807,nl,1
HH1402808,nl,1
HH1402901,nl,1
HH1402902,nl,1
HH1402903,nl,1
HH1402904,nl,1
HH1402905,nl,1
HH1402906,nl,1
HH1402907,nl,1
HH1402908,nl,1
HH1403001,nl,3
HH1403002,nl,2
HH1403003,nl,2
HH1403004,nl,2
HH1403005,nl,2
HH1403006,nl,2
HH1403007,nl,2
HH1403008,nl,3
HH1403101,nl,2
HH1403102,nl,2
HH1403103,nl,2
HH1403104,nl,2
HH1403105,nl,2
HH1403106,nl,2
HH1403107,nl,3
HH1403108,nl,2
HH1403201,nl,2
HH1403202,nl,3
HH1403203,nl,2
HH1403204,nl,2
HH1403205,nl,2
HH1403206,nl,3
HH1403207,nl,3
HH1403208,nl,2
HH1403301,nl,2
HH1403302,nl,2
HH1403303,nl,2
HH1403304,nl,2
HH1403305,nl,2
HH1403306,nl,2
HH1403307,nl,2
HH1403308,nl,3
HH1403401,nl,5
HH1403405,nl,4
HH1403406,nl,4
HH1403407,nl,4
HH1403408,nl,4
HH1403501,nl,2
HH1403502,nl,1
HH1403503,nl,2
HH1403504,nl,2
HH1403505,nl,2
HH1403506,nl,2
HH1403507,nl,2
HH1403508,nl,2
HH1403601,nl,1
HH1403602,nl,2
HH1403606,nl,1
HH1403701,nl,2
HH1403702,nl,2
HH1403703,nl,2
HH1403705,nl,2
HH1403706,nl,2
HH1403801,nl,2
HH1403802,nl,2
HH1403803,nl,2
HH1403804,nl,2
HH1403805,nl,2
HH1403806,nl,2
HH1403807,nl,2
HH1403808,nl,2
HH1403901,nl,2
HH1403902,nl,1
HH1403903,nl,1
HH1403904,nl,1
HH1403905,nl,1
HH1403906,nl,1
HH1404001,nl,3
HH1404002,nl,2
HH1404003,nl,2
HH1404004,nl,2
HH1404005,nl,2
HH1404006,nl,2
HH1404101,nl,6
HH1404102,nl,5
HH1404103,nl,6
HH1404201,nl,3
HH1404202,nl,3
HH1404203,nl,2
HH1404204,nl,2
HH1404205,nl,2
HH1404206,nl,2
HH1404207,nl,2
HH1404208,nl,2
HH1404301,nl,3
HH1404307,nl,3
HH1404401,nl,1
HH1404402,nl,1
HH1404403,nl,1
HH1404404,nl,1
HH1404405,nl,1
HH1404406,nl,1
HH1404407,nl,1
HH1404408,nl,1
HH1404501,nl,3
HH1404502,nl,3
HH1404601,nl,3
HH1404602,nl,3
HH1404603,nl,3
HH1404604,nl,3
HH1404605,nl,3
HH1404606,nl,4
HH1404801,nl,2
HH1404802,nl,2
HH1404803,nl,9
HH1404804,nl,2
HH1404805,nl,2
HH1404806,nl,2
HH1404807,nl,2
HH1404808,nl,2
HH1404901,nl,2
HH1405001,nl,2
HH1405002,nl,2
HH1405003,nl,2
HH1405004,nl,2
HH1405005,nl,2
HH1405006,nl,2
HH1405007,nl,2
HH1405008,nl,2
HH1405101,nl,1
HH1405102,nl,1
HH1405103,nl,1
HH1405104,nl,1
HH1405105,nl,1
HH1405106,nl,1
HH1405108,nl,1
HH1405201,nl,2
HH1405202,nl,2
HH1405203,nl,2
HH1405204,nl,3
HH1405205,nl,2
HH1405206,nl,2
HH1405207,nl,2
HH1405208,nl,3
HH1405301,nl,2
HH1405302,nl,3
HH1405303,nl,3
HH1405304,nl,2
HH1405305,nl,3
HH1405306,nl,2
HH1405307,nl,2
HH1405308,nl,2
HH1405401,nl,1
HH1405402,nl,1
HH1405403,nl,1
HH1405404,nl,1
HH1405405,nl,1
HH1405406,nl,1
HH1405407,nl,1
HH1405408,nl,1
HH1405501,nl,2
HH1405502,nl,2
HH1405503,nl,2
HH1405504,nl,2
HH1405505,nl,2
HH1405506,nl,2
HH1405507,nl,2
HH1405508,nl,2
HH1405601,nl,1
HH1405602,nl,1
HH1405603,nl,1
HH1405604,nl,1
HH1405605,nl,2
HH1405606,nl,1
HH1405607,nl,1
HH1405608,nl,1
HH1405701,nl,3
HH1405704,nl,2
HH1405707,nl,2
HH1405801,nl,2
HH1405802,nl,2
HH1405803,nl,2
HH1405804,nl,2
HH1405805,nl,3
HH1405806,nl,2
HH1405807,nl,3
HH1405808,nl,3
HH1405901,nl,4
HH1405902,nl,4
HH1405904,nl,4
HH1405905,nl,4
HH1405906,nl,5
HH1405907,nl,4
HH1405908,nl,4
HH1406001,nl,1
HH1406002,nl,1
HH1406003,nl,2
HH1406004,nl,1
HH1406005,nl,2
HH1406006,nl,1
HH1406007,nl,2
HH1406008,nl,1
HH1406101,nl,1
HH1406102,nl,1
HH1406103,nl,1
HH1406105,nl,1
HH1406106,nl,1
HH1406107,nl,1
HH1406201,nl,2
HH1406202,nl,1
HH1406203,nl,1
HH1406204,nl,1
HH1406205,nl,1
HH1406206,nl,1
HH1406207,nl,1
HH1406208,nl,1
HH1406301,nl,2
HH1406302,nl,2
HH1406303,nl,2
HH1406304,nl,2
HH1406305,nl,2
HH1406306,nl,2
HH1406307,nl,2
HH1406308,nl,2
HH1406401,nl,3
HH1406402,nl,2
HH1406403,nl,3
HH1406404,nl,3
HH1406405,nl,3
HH1406407,nl,3
HH1406408,nl,3
HH1406501,nl,2
HH1406502,nl,3
HH1406503,nl,2
HH1406504,nl,2
HH1406506,nl,2
HH1406507,nl,2
HH1406508,nl,2
HH1406601,nl,1
HH1406602,nl,1
HH1406603,nl,1
HH1406604,nl,1
HH1406605,nl,1
HH1406606,nl,1
HH1406607,nl,1
HH1406608,nl,1
HH1406701,nl,2
HH1406706,nl,2
HH1406801,nl,1
HH1406802,nl,1
HH1406803,nl,1
HH1406804,nl,1
HH1406805,nl,2
HH1406806,nl,1
HH1406807,nl,1
HH1406808,nl,1
HH1406901,nl,2
HH1406902,nl,2
HH1406903,nl,2
HH1406904,nl,2
HH1406905,nl,2
HH1406906,nl,2
HH1406907,nl,2
HH1406908,nl,2
HH1407001,nl,2
HH1407002,nl,2
HH1407003,nl,2
HH1407201,nl,2
HH1407202,nl,2
HH1407203,nl,2
HH1407204,nl,2
HH1407205,nl,2
HH1407206,nl,2
HH1407207,nl,2
HH1407208,nl,2
HH1407301,nl,2
HH1407304,nl,1
HH1407305,nl,1
HH1407306,nl,1
HH1407307,nl,1
HH1407308,nl,1
HH1407401,nl,4
HH1407402,nl,4
HH1407403,nl,4
HH1407404,nl,5
HH1407405,nl,4
HH1407406,nl,3
HH1407408,nl,3
HH1407501,nl,2
HH1407502,nl,2
HH1407503,nl,2
HH1407504,nl,2
HH1407506,nl,2
HH1407507,nl,2
HH1407508,nl,2
HH1407601,nl,2
HH1407602,nl,2
HH1407603,nl,2
HH1407604,nl,2
HH1407605,nl,2
HH1407606,nl,2
HH1407607,nl,2
HH1407608,nl,2
HH1407701,nl,1
HH1407704,nl,1
HH1407705,nl,1
HH1407706,nl,1
HH1407707,nl,1
HH1407708,nl,1
HH1407801,nl,3
HH1407804,nl,3
HH1407805,nl,3
HH1407901,nl,1
HH1407902,nl,1
HH1407903,nl,1
HH1407904,nl,1
HH1407905,nl,1
HH1407906,nl,1
HH1407907,nl,1
HH1407908,nl,1
HH1408001,nl,4
HH1408002,nl,5
HH1408004,nl,4
HH1408008,nl,4
HH1408101,nl,2
HH1408104,nl,2
HH1408105,nl,2
HH1408106,nl,2
HH1408107,nl,2
HH1408108,nl,2
HH1408201,nl,3
HH1408202,nl,3
HH1408203,nl,3
HH1408205,nl,3
HH1408206,nl,2
HH1408207,nl,3
HH1408208,nl,3
HH1408301,nl,2
HH1408302,nl,2
HH1408303,nl,2
HH1408304,nl,2
HH1408305,nl,2
HH1408306,nl,2
HH1408307,nl,2
HH1408308,nl,2
HH1408401,nl,2
HH1408402,nl,2
HH1408403,nl,3
HH1408405,nl,2
HH1408408,nl,2
HH1408501,nl,2
HH1408502,nl,2
HH1408504,nl,2
HH1408505,nl,2
HH1408506,nl,2
HH1408508,nl,2
HH1408601,nl,2
HH1408602,nl,2
HH1408603,nl,2
HH1408605,nl,2
HH1408606,nl,2
HH1408607,nl,2
HH1408608,nl,2
HH1408701,nl,4
HH1408702,nl,4
HH1408703,nl,4
HH1408705,nl,4
HH1408707,nl,4
HH1408708,nl,4
HH1408801,nl,3
HH1408802,nl,2
HH1408803,nl,2
HH1408804,nl,2
HH1408805,nl,3
HH1408806,nl,2
HH1408807,nl,2
HH1408901,nl,4
HH1408902,nl,3
HH1408906,nl,3
HH1409001,nl,1
HH1409002,nl,2
HH1409003,nl,1
HH1409004,nl,1
HH1409005,nl,1
HH1409006,nl,1
HH1409007,nl,1
HH1409008,nl,1
HH1409101,nl,1
HH1409102,nl,1
HH1409103,nl,1
HH1409105,nl,1
HH1409106,nl,1
HH1409107,nl,1
HH1409108,nl,1
HH1409201,nl,1
HH1409202,nl,1
HH1409203,nl,1
HH1409204,nl,1
HH1409205,nl,1
HH1409206,nl,2
HH1409207,nl,2
HH1409208,nl,2
HH1409301,nl,2
HH1409302,nl,1
HH1409304,nl,1
HH1409306,nl,1
HH1409401,nl,2
HH1409404,nl,2
HH1409405,nl,2
HH1409406,nl,2
HH1409408,nl,2
HH1409501,nl,2
HH1409502,nl,2
HH1409503,nl,2
HH1409505,nl,2
HH1409506,nl,2
HH1409508,nl,2
HH1409601,nl,3
HH1409602,nl,3
HH1409603,nl,3
HH1409604,nl,3
HH1409605,nl,3
HH1409606,nl,3
HH1409607,nl,2
HH1409608,nl,1
HH1409701,nl,2
HH1409702,nl,2
HH1409703,nl,2
HH1409704,nl,2
HH1409705,nl,2
HH1409706,nl,2
HH1409707,nl,2
HH1409708,nl,2
HH1409801,nl,2
HH1409802,nl,2
HH1409803,nl,2
HH1409804,nl,2
HH1409805,nl,2
HH1409806,nl,2
HH1409807,nl,2
HH1409808,nl,2
HH1409901,nl,1
HH1409906,nl,1
HH1409907,nl,1
HH1409908,nl,1
HH1410001,nl,1
HH1410002,nl,1
HH1410004,nl,1
HH1410005,nl,1
HH1410006,nl,1
HH1410007,nl,1
HH1410008,nl,1
HH1410101,nl,3
HH1410102,nl,2
HH1410103,nl,3
HH1410104,nl,2
HH1410105,nl,2
HH1410106,nl,3
HH1410107,nl,2
HH1410108,nl,2
HH1410301,nl,2
HH1410302,nl,2
HH1410303,nl,2
HH1410305,nl,2
HH1410306,nl,2
HH1410307,nl,2
HH1410308,nl,2
HH1410501,nl,3
HH1410504,nl,2
HH1410505,nl,2
HH1410506,nl,2
HH1410507,nl,2
HH1410508,nl,2
HH1410601,nl,1
HH1410602,nl,1
HH1410603,nl,1
HH1410604,nl,1
HH1410605,nl,1
HH1410606,nl,1
HH1410607,nl,1
HH1410608,nl,1
HH1410701,nl,1
HH1410702,nl,1
HH1410703,nl,1
HH1410704,nl,1
HH1410705,nl,1
HH1410706,nl,1
HH1410707,nl,1
HH1410708,nl,1
HH1410801,nl,2
HH1410802,nl,2
HH1410803,nl,1
HH1410805,nl,1
HH1410806,nl,1
HH1410807,nl,1
HH1410808,nl,1
HH1410901,nl,4
HH1410902,nl,4
HH1410903,nl,3
HH1410905,nl,4
HH1410906,nl,4
HH1410907,nl,3
HH1410908,nl,4
HH1411001,nl,2
