country,panel,date,survey_round,hh_id
nl,A,2020-04-16,1,HH1400101
nl,A,2020-04-20,1,HH1400201
nl,A,2020-04-19,1,HH1400301
nl,A,2020-04-19,1,HH1400401
nl,A,2020-04-19,1,HH1400501
nl,A,2020-04-19,1,HH1400601
nl,A,2020-04-19,1,HH1400701
nl,A,2020-04-16,1,HH1400801
nl,A,2020-04-19,1,HH1400901
nl,A,2020-04-16,1,HH1401001
nl,A,2020-04-19,1,HH1401101
nl,A,2020-04-17,1,HH1401201
nl,A,2020-04-16,1,HH1401301
nl,A,2020-04-16,1,HH1401401
nl,A,2020-04-16,1,HH1401501
nl,A,2020-04-19,1,HH1401601
nl,A,2020-04-16,1,HH1401701
nl,A,2020-04-16,1,HH1401801
nl,A,2020-04-20,1,HH1401901
nl,A,2020-04-19,1,HH1402001
nl,A,2020-04-19,1,HH1402101
nl,A,2020-04-20,1,HH1402201
nl,A,2020-04-19,1,HH1402301
nl,A,2020-04-17,1,HH1402501
nl,A,2020-04-19,1,HH1402601
nl,A,2020-04-17,1,HH1402701
nl,A,2020-04-16,1,HH1402801
nl,A,2020-04-20,1,HH1402901
nl,A,2020-04-19,1,HH1403001
nl,A,2020-04-20,1,HH1403101
nl,A,2020-04-16,1,HH1403201
nl,A,2020-04-20,1,HH1403301
nl,A,2020-04-16,1,HH1403401
nl,A,2020-04-16,1,HH1403501
nl,A,2020-04-17,1,HH1403601
nl,A,2020-04-19,1,HH1403701
nl,A,2020-04-19,1,HH1403801
nl,A,2020-04-17,1,HH1403901
nl,A,2020-04-17,1,HH1404001
nl,A,2020-04-17,1,HH1404101
nl,A,2020-04-17,1,HH1404201
nl,A,2020-04-18,1,HH1404301
nl,A,2020-04-16,1,HH1404401
nl,A,2020-04-18,1,HH1404501
nl,A,2020-04-19,1,HH1404601
nl,A,2020-04-19,1,HH1404801
nl,A,2020-04-19,1,HH1404901
nl,A,2020-04-19,1,HH1405001
nl,A,2020-04-19,1,HH1405101
nl,A,2020-04-17,1,HH1405201
nl,A,2020-04-19,1,HH1405301
nl,A,2020-04-19,1,HH1405401
nl,A,2020-04-19,1,HH1405501
nl,A,2020-04-19,1,HH1405601
nl,A,2020-04-19,1,HH1405701
nl,A,2020-04-19,1,HH1405801
nl,A,2020-04-20,1,HH1405901
nl,A,2020-04-20,1,HH1406001
nl,A,2020-04-16,1,HH1406101
nl,A,2020-04-19,1,HH1406201
nl,A,2020-04-19,1,HH1406301
nl,A,2020-04-19,1,HH1406401
nl,A,2020-04-16,1,HH1406501
nl,A,2020-04-20,1,HH1406601
nl,A,2020-04-19,1,HH1406701
nl,A,2020-04-19,1,HH1406801
nl,A,2020-04-16,1,HH1406901
nl,A,2020-04-19,1,HH1407001
nl,A,2020-04-19,1,HH1407201
nl,A,2020-04-19,1,HH1407301
nl,A,2020-04-16,1,HH1407401
nl,A,2020-04-19,1,HH1407501
nl,A,2020-04-19,1,HH1407601
nl,A,2020-04-17,1,HH1407701
nl,A,2020-04-17,1,HH1407801
nl,A,2020-04-16,1,HH1407901
nl,A,2020-04-19,1,HH1408001
nl,A,2020-04-19,1,HH1408101
nl,A,2020-04-18,1,HH1408201
nl,A,2020-04-16,1,HH1408301
nl,A,2020-04-19,1,HH1408401
nl,A,2020-04-16,1,HH1408501
nl,A,2020-04-16,1,HH1408601
nl,A,2020-04-19,1,HH1408701
nl,A,2020-04-20,1,HH1408801
nl,A,2020-04-19,1,HH1408901
nl,A,2020-04-19,1,HH1409001
nl,A,2020-04-19,1,HH1409101
nl,A,2020-04-20,1,HH1409201
nl,A,2020-04-19,1,HH1409301
nl,A,2020-04-18,1,HH1409401
nl,A,2020-04-16,1,HH1409501
nl,A,2020-04-17,1,HH1409601
nl,A,2020-04-16,1,HH1409701
nl,A,2020-04-17,1,HH1409801
nl,A,2020-04-19,1,HH1409901
nl,A,2020-04-19,1,HH1410001
nl,A,2020-04-16,1,HH1410101
nl,A,2020-04-16,1,HH1410301
nl,A,2020-04-16,1,HH1410501
nl,A,2020-04-19,1,HH1410601
nl,A,2020-04-19,1,HH1410701
nl,A,2020-04-16,1,HH1410801
nl,A,2020-04-17,1,HH1410901
