"part_id","hh_id","part_age","part_gender"
1400101,"HH1400101",67,"F"
1400102,"HH1400102",67,"F"
1400103,"HH1400103",67,"F"
1400104,"HH1400104",67,"F"
1400105,"HH1400105",67,"F"
1400108,"HH1400108",67,"F"
1400201,"HH1400201",63,"F"
1400205,"HH1400205",63,"F"
1400206,"HH1400206",63,"F"
1400207,"HH1400207",63,"F"
1400208,"HH1400208",63,"F"
1400301,"HH1400301",64,"F"
1400304,"HH1400304",64,"F"
1400305,"HH1400305",64,"F"
1400306,"HH1400306",64,"F"
1400308,"HH1400308",64,"F"
1400401,"HH1400401",64,"F"
1400404,"HH1400404",64,"F"
1400405,"HH1400405",64,"F"
1400406,"HH1400406",65,"F"
1400407,"HH1400407",65,"F"
1400501,"HH1400501",74,"F"
1400502,"HH1400502",74,"F"
1400503,"HH1400503",74,"F"
1400504,"HH1400504",74,"F"
1400505,"HH1400505",74,"F"
1400506,"HH1400506",74,"F"
1400507,"HH1400507",74,"F"
1400508,"HH1400508",74,"F"
1400601,"HH1400601",63,"F"
1400604,"HH1400604",63,"F"
1400701,"HH1400701",57,"M"
1400702,"HH1400702",57,"M"
1400703,"HH1400703",57,"M"
1400704,"HH1400704",58,"M"
1400706,"HH1400706",58,"M"
1400801,"HH1400801",72,"M"
1400901,"HH1400901",66,"M"
1400902,"HH1400902",66,"M"
1400903,"HH1400903",66,"M"
1400904,"HH1400904",66,"M"
1400907,"HH1400907",66,"M"
1400908,"HH1400908",66,"M"
1401001,"HH1401001",72,"F"
1401002,"HH1401002",72,"F"
1401003,"HH1401003",72,"F"
1401004,"HH1401004",72,"F"
1401005,"HH1401005",72,"F"
1401006,"HH1401006",72,"F"
1401007,"HH1401007",72,"F"
1401101,"HH1401101",62,"F"
1401105,"HH1401105",62,"F"
1401106,"HH1401106",62,"F"
1401201,"HH1401201",73,"M"
1401202,"HH1401202",73,"M"
1401203,"HH1401203",73,"M"
1401204,"HH1401204",73,"M"
1401205,"HH1401205",73,"M"
1401206,"HH1401206",73,"M"
1401207,"HH1401207",73,"M"
1401208,"HH1401208",73,"M"
1401301,"HH1401301",70,"M"
1401302,"HH1401302",71,"M"
1401303,"HH1401303",71,"M"
1401304,"HH1401304",71,"M"
1401305,"HH1401305",71,"M"
1401306,"HH1401306",71,"M"
1401307,"HH1401307",71,"M"
1401308,"HH1401308",71,"M"
1401401,"HH1401401",70,"M"
1401405,"HH1401405",70,"M"
1401406,"HH1401406",70,"M"
1401408,"HH1401408",70,"M"
1401501,"HH1401501",69,"M"
1401502,"HH1401502",69,"M"
1401503,"HH1401503",69,"M"
1401504,"HH1401504",69,"M"
1401505,"HH1401505",69,"M"
1401506,"HH1401506",69,"M"
1401507,"HH1401507",69,"M"
1401508,"HH1401508",69,"M"
1401601,"HH1401601",37,"M"
1401602,"HH1401602",37,"M"
1401603,"HH1401603",37,"M"
1401604,"HH1401604",37,"M"
1401605,"HH1401605",37,"M"
1401606,"HH1401606",37,"M"
1401607,"HH1401607",37,"M"
1401608,"HH1401608",37,"M"
1401701,"HH1401701",45,"M"
1401704,"HH1401704",45,"M"
1401705,"HH1401705",45,"M"
1401706,"HH1401706",45,"M"
1401708,"HH1401708",45,"M"
1401801,"HH1401801",46,"F"
1401802,"HH1401802",46,"F"
1401803,"HH1401803",46,"F"
1401901,"HH1401901",64,"F"
1401905,"HH1401905",64,"F"
1401906,"HH1401906",64,"F"
1401908,"HH1401908",64,"F"
1402001,"HH1402001",48,"F"
1402002,"HH1402002",48,"F"
1402003,"HH1402003",48,"F"
1402004,"HH1402004",48,"F"
1402005,"HH1402005",48,"F"
1402006,"HH1402006",48,"F"
1402007,"HH1402007",48,"F"
1402008,"HH1402008",48,"F"
1402101,"HH1402101",60,"M"
1402102,"HH1402102",60,"M"
1402104,"HH1402104",60,"M"
1402107,"HH1402107",60,"M"
1402108,"HH1402108",60,"M"
1402201,"HH1402201",62,"F"
1402202,"HH1402202",62,"F"
1402203,"HH1402203",62,"F"
1402204,"HH1402204",62,"F"
1402205,"HH1402205",62,"F"
1402206,"HH1402206",62,"F"
1402207,"HH1402207",62,"F"
1402208,"HH1402208",62,"F"
1402301,"HH1402301",63,"M"
1402302,"HH1402302",63,"M"
1402303,"HH1402303",63,"M"
1402304,"HH1402304",63,"M"
1402305,"HH1402305",63,"M"
1402306,"HH1402306",63,"M"
1402307,"HH1402307",63,"M"
1402308,"HH1402308",63,"M"
1402501,"HH1402501",65,"M"
1402502,"HH1402502",65,"M"
1402503,"HH1402503",65,"M"
1402504,"HH1402504",65,"M"
1402505,"HH1402505",65,"M"
1402506,"HH1402506",66,"M"
1402601,"HH1402601",49,"F"
1402602,"HH1402602",49,"F"
1402603,"HH1402603",49,"F"
