part_id,month,year,sday_id,dayofweek,day,wave
1400101,4,2020,2020.04.16,4,16,1
1400201,4,2020,2020.04.20,1,20,1
1400301,4,2020,2020.04.19,0,19,1
1400401,4,2020,2020.04.19,0,19,1
1400501,4,2020,2020.04.19,0,19,1
1400601,4,2020,2020.04.19,0,19,1
1400701,4,2020,2020.04.19,0,19,1
1400801,4,2020,2020.04.16,4,16,1
1400901,4,2020,2020.04.19,0,19,1
1401001,4,2020,2020.04.16,4,16,1
1401101,4,2020,2020.04.19,0,19,1
1401201,4,2020,2020.04.17,5,17,1
1401301,4,2020,2020.04.16,4,16,1
1401401,4,2020,2020.04.16,4,16,1
1401501,4,2020,2020.04.16,4,16,1
1401601,4,2020,2020.04.19,0,19,1
1401701,4,2020,2020.04.16,4,16,1
1401801,4,2020,2020.04.16,4,16,1
1401901,4,2020,2020.04.20,1,20,1
1402001,4,2020,2020.04.19,0,19,1
1402101,4,2020,2020.04.19,0,19,1
1402201,4,2020,2020.04.20,1,20,1
1402301,4,2020,2020.04.19,0,19,1
1402501,4,2020,2020.04.17,5,17,1
1402601,4,2020,2020.04.19,0,19,1
1402701,4,2020,2020.04.17,5,17,1
1402801,4,2020,2020.04.16,4,16,1
1402901,4,2020,2020.04.20,1,20,1
1403001,4,2020,2020.04.19,0,19,1
1403101,4,2020,2020.04.20,1,20,1
1403201,4,2020,2020.04.16,4,16,1
1403301,4,2020,2020.04.20,1,20,1
1403401,4,2020,2020.04.16,4,16,1
1403501,4,2020,2020.04.16,4,16,1
1403601,4,2020,2020.04.17,5,17,1
1403701,4,2020,2020.04.19,0,19,1
1403801,4,2020,2020.04.19,0,19,1
1403901,4,2020,2020.04.17,5,17,1
1404001,4,2020,2020.04.17,5,17,1
1404101,4,2020,2020.04.17,5,17,1
1404201,4,2020,2020.04.17,5,17,1
1404301,4,2020,2020.04.18,6,18,1
1404401,4,2020,2020.04.16,4,16,1
1404501,4,2020,2020.04.18,6,18,1
1404601,4,2020,2020.04.19,0,19,1
1404801,4,2020,2020.04.19,0,19,1
1404901,4,2020,2020.04.19,0,19,1
1405001,4,2020,2020.04.19,0,19,1
1405101,4,2020,2020.04.19,0,19,1
1405201,4,2020,2020.04.17,5,17,1
1405301,4,2020,2020.04.19,0,19,1
1405401,4,2020,2020.04.19,0,19,1
1405501,4,2020,2020.04.19,0,19,1
1405601,4,2020,2020.04.19,0,19,1
1405701,4,2020,2020.04.19,0,19,1
1405801,4,2020,2020.04.19,0,19,1
1405901,4,2020,2020.04.20,1,20,1
1406001,4,2020,2020.04.20,1,20,1
1406101,4,2020,2020.04.16,4,16,1
1406201,4,2020,2020.04.19,0,19,1
1406301,4,2020,2020.04.19,0,19,1
1406401,4,2020,2020.04.19,0,19,1
1406501,4,2020,2020.04.16,4,16,1
1406601,4,2020,2020.04.20,1,20,1
1406701,4,2020,2020.04.19,0,19,1
1406801,4,2020,2020.04.19,0,19,1
1406901,4,2020,2020.04.16,4,16,1
1407001,4,2020,2020.04.19,0,19,1
1407201,4,2020,2020.04.19,0,19,1
1407301,4,2020,2020.04.19,0,19,1
1407401,4,2020,2020.04.16,4,16,1
1407501,4,2020,2020.04.19,0,19,1
1407601,4,2020,2020.04.19,0,19,1
1407701,4,2020,2020.04.17,5,17,1
1407801,4,2020,2020.04.17,5,17,1
1407901,4,2020,2020.04.16,4,16,1
1408001,4,2020,2020.04.19,0,19,1
1408101,4,2020,2020.04.19,0,19,1
1408201,4,2020,2020.04.18,6,18,1
1408301,4,2020,2020.04.16,4,16,1
1408401,4,2020,2020.04.19,0,19,1
1408501,4,2020,2020.04.16,4,16,1
1408601,4,2020,2020.04.16,4,16,1
1408701,4,2020,2020.04.19,0,19,1
1408801,4,2020,2020.04.20,1,20,1
1408901,4,2020,2020.04.19,0,19,1
1409001,4,2020,2020.04.19,0,19,1
1409101,4,2020,2020.04.19,0,19,1
1409201,4,2020,2020.04.20,1,20,1
1409301,4,2020,2020.04.19,0,19,1
1409401,4,2020,2020.04.18,6,18,1
1409501,4,2020,2020.04.16,4,16,1
1409601,4,2020,2020.04.17,5,17,1
1409701,4,2020,2020.04.16,4,16,1
1409801,4,2020,2020.04.17,5,17,1
1409901,4,2020,2020.04.19,0,19,1
1410001,4,2020,2020.04.19,0,19,1
1410101,4,2020,2020.04.16,4,16,1
1410301,4,2020,2020.04.16,4,16,1
1410501,4,2020,2020.04.16,4,16,1
1410601,4,2020,2020.04.19,0,19,1
1410701,4,2020,2020.04.19,0,19,1
1410801,4,2020,2020.04.16,4,16,1
1410901,4,2020,2020.04.17,5,17,1
1411001,4,2020,2020.04.16,4,16,1
1411101,4,2020,2020.04.17,5,17,1
1411201,4,2020,2020.04.17,5,17,1
1411301,4,2020,2020.04.19,0,19,1
1411401,4,2020,2020.04.19,0,19,1
1411501,4,2020,2020.04.19,0,19,1
1411601,4,2020,2020.04.19,0,19,1
1411701,4,2020,2020.04.19,0,19,1
1411801,4,2020,2020.04.16,4,16,1
1411901,4,2020,2020.04.20,1,20,1
1412001,4,2020,2020.04.19,0,19,1
1412101,4,2020,2020.04.19,0,19,1
1412201,4,2020,2020.04.20,1,20,1
1412301,4,2020,2020.04.19,0,19,1
1412401,4,2020,2020.04.16,4,16,1
1412501,4,2020,2020.04.16,4,16,1
1412601,4,2020,2020.04.19,0,19,1
1412701,4,2020,2020.04.19,0,19,1
1412801,4,2020,2020.04.19,0,19,1
1412901,4,2020,2020.04.19,0,19,1
1413001,4,2020,2020.04.19,0,19,1
1413101,4,2020,2020.04.16,4,16,1
1413301,4,2020,2020.04.20,1,20,1
1413401,4,2020,2020.04.17,5,17,1
1413501,4,2020,2020.04.16,4,16,1
1413601,4,2020,2020.04.16,4,16,1
1413701,4,2020,2020.04.19,0,19,1
1413801,4,2020,2020.04.16,4,16,1
1413901,4,2020,2020.04.19,0,19,1
1414001,4,2020,2020.04.19,0,19,1
1414101,4,2020,2020.04.19,0,19,1
1414201,4,2020,2020.04.19,0,19,1
1414301,4,2020,2020.04.16,4,16,1
1414401,4,2020,2020.04.19,0,19,1
1414501,4,2020,2020.04.19,0,19,1
1414701,4,2020,2020.04.19,0,19,1
1414801,4,2020,2020.04.19,0,19,1
1414901,4,2020,2020.04.17,5,17,1
1415001,4,2020,2020.04.16,4,16,1
1415101,4,2020,2020.04.19,0,19,1
1415201,4,2020,2020.04.19,0,19,1
1415301,4,2020,2020.04.16,4,16,1
1415401,4,2020,2020.04.16,4,16,1
1415501,4,2020,2020.04.19,0,19,1
1415601,4,2020,2020.04.16,4,16,1
1415701,4,2020,2020.04.19,0,19,1
1415801,4,2020,2020.04.16,4,16,1
1415901,4,2020,2020.04.16,4,16,1
1416001,4,2020,2020.04.16,4,16,1
1416101,4,2020,2020.04.16,4,16,1
1416201,4,2020,2020.04.17,5,17,1
1416301,4,2020,2020.04.16,4,16,1
1416401,4,2020,2020.04.16,4,16,1
1416501,4,2020,2020.04.19,0,19,1
1416601,4,2020,2020.04.19,0,19,1
1416701,4,2020,2020.04.20,1,20,1
1416801,4,2020,2020.04.19,0,19,1
1416901,4,2020,2020.04.16,4,16,1
1417001,4,2020,2020.04.16,4,16,1
1417101,4,2020,2020.04.19,0,19,1
1417201,4,2020,2020.04.16,4,16,1
1417301,4,2020,2020.04.16,4,16,1
1417401,4,2020,2020.04.19,0,19,1
1417501,4,2020,2020.04.16,4,16,1
1417601,4,2020,2020.04.16,4,16,1
1417701,4,2020,2020.04.19,0,19,1
1417801,4,2020,2020.04.19,0,19,1
1417901,4,2020,2020.04.16,4,16,1
1418001,4,2020,2020.04.18,6,18,1
1418101,4,2020,2020.04.18,6,18,1
1418201,4,2020,2020.04.16,4,16,1
1418301,4,2020,2020.04.16,4,16,1
1418401,4,2020,2020.04.19,0,19,1
1418501,4,2020,2020.04.19,0,19,1
1418601,4,2020,2020.04.17,5,17,1
1418701,4,2020,2020.04.18,6,18,1
1418901,4,2020,2020.04.17,5,17,1
1419001,4,2020,2020.04.19,0,19,1
1419101,4,2020,2020.04.17,5,17,1
1419201,4,2020,2020.04.19,0,19,1
1419301,4,2020,2020.04.20,1,20,1
1419401,4,2020,2020.04.19,0,19,1
1419501,4,2020,2020.04.19,0,19,1
1419601,4,2020,2020.04.19,0,19,1
1419701,4,2020,2020.04.18,6,18,1
1419801,4,2020,2020.04.19,0,19,1
1419901,4,2020,2020.04.16,4,16,1
1420001,4,2020,2020.04.16,4,16,1
1420101,4,2020,2020.04.19,0,19,1
1420201,4,2020,2020.04.19,0,19,1
1420301,4,2020,2020.04.16,4,16,1
1420401,4,2020,2020.04.19,0,19,1
1420501,4,2020,2020.04.16,4,16,1
1420601,4,2020,2020.04.19,0,19,1
1420701,4,2020,2020.04.20,1,20,1
1420801,4,2020,2020.04.19,0,19,1
1420901,4,2020,2020.04.17,5,17,1
1421001,4,2020,2020.04.16,4,16,1
1421101,4,2020,2020.04.18,6,18,1
1421201,4,2020,2020.04.17,5,17,1
1421301,4,2020,2020.04.19,0,19,1
1421401,4,2020,2020.04.16,4,16,1
1421501,4,2020,2020.04.19,0,19,1
1421601,4,2020,2020.04.19,0,19,1
1421701,4,2020,2020.04.17,5,17,1
1421801,4,2020,2020.04.19,0,19,1
1421901,4,2020,2020.04.17,5,17,1
1422001,4,2020,2020.04.19,0,19,1
1422101,4,2020,2020.04.19,0,19,1
1422201,4,2020,2020.04.19,0,19,1
1422301,4,2020,2020.04.19,0,19,1
1422401,4,2020,2020.04.19,0,19,1
1422501,4,2020,2020.04.17,5,17,1
1422601,4,2020,2020.04.16,4,16,1
1422701,4,2020,2020.04.17,5,17,1
1422801,4,2020,2020.04.19,0,19,1
1422901,4,2020,2020.04.19,0,19,1
