hh_id,country,hh_size
HH10918901,pl,1
HH10919001,pl,2
HH10919101,pl,4
HH10919102,pl,4
HH10919103,pl,4
HH10919201,pl,3
HH10919203,pl,3
HH10919301,pl,3
HH10919401,pl,2
HH10919403,pl,2
HH10919501,pl,2
HH10919502,pl,2
HH10919503,pl,2
HH10919601,pl,1
HH10919701,pl,2
HH10919801,pl,3
HH10919901,pl,2
HH10920001,pl,3
HH10920002,pl,3
HH10920003,pl,3
HH10920101,pl,3
HH10920201,pl,2
HH10920203,pl,2
HH10920301,pl,3
HH10920302,pl,2
HH10920303,pl,1
HH10920401,pl,3
HH10920402,pl,3
HH10920403,pl,3
HH10920501,pl,2
HH10920601,pl,2
HH10920701,pl,2
HH10920801,pl,2
HH10920901,pl,2
HH10921001,pl,3
HH10921002,pl,3
HH10921003,pl,3
HH10921101,pl,1
HH10921201,pl,2
HH10921301,pl,1
HH10921401,pl,2
HH10921402,pl,2
HH10921403,pl,2
HH10921501,pl,2
HH10921502,pl,2
HH10921503,pl,2
HH10921601,pl,2
HH10921701,pl,2
HH10921801,pl,2
HH10922001,pl,2
HH10922002,pl,2
HH10922003,pl,2
HH10922101,pl,3
HH10922102,pl,3
HH10922201,pl,2
HH10922301,pl,5
HH10922304,pl,5
HH10922401,pl,4
HH10922402,pl,4
HH10922403,pl,4
HH10922501,pl,2
HH10922601,pl,3
HH10922602,pl,3
HH10922603,pl,3
HH10922701,pl,3
HH10922702,pl,3
HH10922703,pl,3
HH10922801,pl,2
HH10922804,pl,2
HH10922901,pl,2
HH10922902,pl,2
HH10922903,pl,2
HH10923001,pl,4
HH10923002,pl,4
HH10923003,pl,4
HH10923101,pl,3
HH10923201,pl,4
HH10923301,pl,3
HH10923401,pl,7
HH10923403,pl,7
HH10923501,pl,2
HH10923601,pl,2
HH10923701,pl,4
HH10923702,pl,4
HH10923801,pl,3
HH10923804,pl,3
HH10923901,pl,2
HH10924001,pl,3
HH10924003,pl,3
HH10924101,pl,3
