"part_id","hh_id","part_age","part_gender"
10918901,"HH10918901","70-120","F"
10919001,"HH10919001","70-120","M"
10919101,"HH10919101","30-39","M"
10919102,"HH10919102","30-39","M"
10919103,"HH10919103","30-39","M"
10919201,"HH10919201","30-39","M"
10919203,"HH10919203","30-39","M"
10919301,"HH10919301","60-69","M"
10919401,"HH10919401","40-49","F"
10919403,"HH10919403","50-59","F"
10919501,"HH10919501","50-59","M"
10919502,"HH10919502","50-59","M"
10919503,"HH10919503","50-59","M"
10919601,"HH10919601","70-120","F"
10919701,"HH10919701","70-120","F"
10919801,"HH10919801","70-120","F"
10919901,"HH10919901","50-59","F"
10920001,"HH10920001","40-49","M"
10920002,"HH10920002","40-49","M"
10920003,"HH10920003","40-49","M"
10920101,"HH10920101","60-69","M"
10920201,"HH10920201","40-49","M"
10920203,"HH10920203","40-49","M"
10920301,"HH10920301","40-49","M"
10920302,"HH10920302","40-49","M"
10920303,"HH10920303","40-49","M"
10920401,"HH10920401","30-39","M"
10920402,"HH10920402","30-39","M"
10920403,"HH10920403","30-39","M"
10920501,"HH10920501","60-69","F"
10920601,"HH10920601","60-69","M"
10920701,"HH10920701","60-69","M"
10920801,"HH10920801","60-69","F"
10920901,"HH10920901","60-69","M"
10921001,"HH10921001","30-39","M"
10921002,"HH10921002","30-39","M"
10921003,"HH10921003","30-39","M"
10921101,"HH10921101","60-69","F"
10921201,"HH10921201","70-120","M"
10921301,"HH10921301","70-120","F"
10921401,"HH10921401","40-49","F"
10921402,"HH10921402","40-49","F"
10921403,"HH10921403","40-49","F"
10921501,"HH10921501","50-59","M"
10921502,"HH10921502","50-59","M"
10921503,"HH10921503","50-59","M"
10921601,"HH10921601","60-69","M"
10921701,"HH10921701","60-69","F"
10921801,"HH10921801","70-120","M"
10922001,"HH10922001","50-59","F"
10922002,"HH10922002","50-59","F"
10922003,"HH10922003","50-59","F"
10922101,"HH10922101","30-39","F"
10922102,"HH10922102","30-39","F"
10922201,"HH10922201","70-120","M"
10922301,"HH10922301","30-39","F"
10922304,"HH10922304","30-39","F"
10922401,"HH10922401","50-59","M"
10922402,"HH10922402","50-59","M"
10922403,"HH10922403","50-59","M"
10922501,"HH10922501","60-69","M"
10922601,"HH10922601","30-39","M"
10922602,"HH10922602","30-39","M"
10922603,"HH10922603","30-39","M"
10922701,"HH10922701","50-59","M"
10922702,"HH10922702","50-59","M"
10922703,"HH10922703","50-59","M"
10922801,"HH10922801","70-120","M"
10922804,"HH10922804","70-120","M"
10922901,"HH10922901","40-49","M"
10922902,"HH10922902","40-49","M"
10922903,"HH10922903","40-49","M"
10923001,"HH10923001","50-59","M"
10923002,"HH10923002","50-59","M"
10923003,"HH10923003","50-59","M"
10923101,"HH10923101","60-69","F"
10923201,"HH10923201","60-69","M"
10923301,"HH10923301","70-120","F"
10923401,"HH10923401","40-49","M"
10923403,"HH10923403","40-49","M"
10923501,"HH10923501","60-69","F"
10923601,"HH10923601","50-59","M"
10923701,"HH10923701","40-49","F"
10923702,"HH10923702","40-49","F"
10923801,"HH10923801","60-69","F"
10923804,"HH10923804","60-69","F"
10923901,"HH10923901","70-120","M"
10924001,"HH10924001","40-49","M"
10924003,"HH10924003","40-49","M"
10924101,"HH10924101","60-69","M"
10924201,"HH10924201","40-49","M"
