cont_id,cnt_outside_other,cnt_other_house,cnt_worship,cnt_supermarket,cnt_shop,cnt_gender_all,frequency_multi_all
101501001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
101501002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
101501003,NA,NA,NA,NA,NA,NA,NA
101501004,NA,NA,NA,NA,NA,NA,NA
101501005,NA,NA,NA,NA,NA,NA,NA
101501006,NA,NA,NA,NA,NA,NA,NA
101501007,NA,NA,NA,NA,NA,NA,NA
101501008,NA,NA,NA,NA,NA,NA,NA
101501009,NA,NA,NA,NA,NA,NA,NA
101501010,NA,NA,NA,NA,NA,NA,NA
101501011,NA,NA,NA,NA,NA,NA,NA
101501012,NA,NA,NA,NA,NA,NA,NA
101502001,TRUE,FALSE,FALSE,TRUE,FALSE,female,1-2 days
101502002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
101502003,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
101502004,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
101502005,TRUE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
101502006,FALSE,FALSE,FALSE,FALSE,FALSE,male,3-7 days
101502007,FALSE,FALSE,FALSE,FALSE,FALSE,male,3-7 days
101502008,FALSE,FALSE,FALSE,FALSE,FALSE,male,3-7 days
101502009,FALSE,FALSE,FALSE,FALSE,FALSE,female,3-7 days
101502010,FALSE,FALSE,FALSE,FALSE,FALSE,female,3-7 days
101502011,FALSE,FALSE,FALSE,FALSE,FALSE,female,3-7 days
101502012,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
101502013,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
101502014,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
101502015,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
101502016,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
101503001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
101503002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
