hh_id,country,hh_size
HH10150101,pt,3
HH10150102,pt,3
HH10150103,pt,3
HH10150201,pt,4
HH10150202,pt,4
HH10150203,pt,4
HH10150301,pt,3
HH10150302,pt,3
HH10150303,pt,3
HH10150304,pt,3
HH10150401,pt,2
HH10150402,pt,2
HH10150403,pt,2
HH10150404,pt,1
HH10150501,pt,3
HH10150502,pt,3
HH10150503,pt,3
HH10150601,pt,3
HH10150603,pt,6
HH10150701,pt,3
HH10150702,pt,3
HH10150703,pt,3
HH10150704,pt,3
HH10150801,pt,2
HH10150802,pt,2
HH10150803,pt,2
HH10150804,pt,2
HH10150901,pt,2
HH10150902,pt,2
HH10150903,pt,2
HH10150904,pt,2
HH10151001,pt,1
HH10151002,pt,1
HH10151003,pt,1
HH10151004,pt,1
HH10151101,pt,3
HH10151102,pt,3
HH10151103,pt,3
HH10151201,pt,2
HH10151202,pt,2
HH10151204,pt,5
HH10151301,pt,4
HH10151302,pt,4
HH10151303,pt,4
HH10151304,pt,4
HH10151401,pt,2
HH10151402,pt,1
HH10151403,pt,1
HH10151404,pt,1
HH10151501,pt,3
HH10151502,pt,3
HH10151503,pt,3
HH10151601,pt,4
HH10151602,pt,4
HH10151603,pt,4
HH10151604,pt,4
HH10151701,pt,4
HH10151702,pt,4
HH10151801,pt,4
HH10151901,pt,4
HH10151902,pt,4
HH10151903,pt,4
HH10151904,pt,4
HH10152001,pt,2
HH10152002,pt,2
HH10152003,pt,2
HH10152004,pt,2
HH10152101,pt,2
HH10152102,pt,2
HH10152103,pt,2
HH10152104,pt,2
HH10152201,pt,3
HH10152202,pt,3
HH10152203,pt,3
HH10152204,pt,3
HH10152301,pt,3
HH10152302,pt,3
HH10152303,pt,3
HH10152401,pt,6
HH10152501,pt,3
HH10152502,pt,3
HH10152503,pt,3
HH10152504,pt,3
HH10152601,pt,2
HH10152602,pt,2
HH10152603,pt,2
HH10152701,pt,2
HH10152702,pt,2
HH10152703,pt,2
HH10152704,pt,2
HH10152801,pt,3
HH10152802,pt,3
HH10152803,pt,3
HH10152804,pt,3
HH10152901,pt,3
HH10152902,pt,3
HH10152903,pt,3
HH10152904,pt,3
HH10153001,pt,1
HH10153002,pt,1
HH10153003,pt,1
HH10153004,pt,1
HH10153101,pt,5
HH10153102,pt,5
HH10153103,pt,5
HH10153104,pt,5
HH10153201,pt,3
HH10153202,pt,3
HH10153203,pt,3
HH10153204,pt,3
HH10153301,pt,3
HH10153302,pt,3
HH10153303,pt,3
HH10153304,pt,3
HH10153401,pt,1
HH10153402,pt,1
HH10153403,pt,1
HH10153404,pt,1
HH10153501,pt,4
HH10153502,pt,4
HH10153503,pt,4
HH10153504,pt,4
HH10153601,pt,4
HH10153602,pt,4
HH10153603,pt,4
HH10153604,pt,4
HH10153701,pt,5
HH10153702,pt,5
HH10153704,pt,8
HH10153801,pt,4
HH10153802,pt,4
HH10153803,pt,4
HH10153804,pt,4
HH10153901,pt,2
HH10153902,pt,2
HH10153903,pt,2
HH10153904,pt,2
HH10154001,pt,4
HH10154002,pt,4
HH10154003,pt,4
HH10154004,pt,4
HH10154101,pt,3
HH10154102,pt,3
HH10154104,pt,6
HH10154201,pt,3
HH10154202,pt,3
HH10154203,pt,3
HH10154204,pt,3
HH10154301,pt,1
HH10154302,pt,1
HH10154401,pt,3
HH10154402,pt,3
HH10154404,pt,6
HH10154501,pt,2
HH10154502,pt,2
HH10154503,pt,2
HH10154504,pt,2
HH10154601,pt,2
HH10154602,pt,2
HH10154603,pt,2
HH10154604,pt,2
HH10154701,pt,2
HH10154702,pt,2
HH10154703,pt,2
HH10154704,pt,2
HH10154801,pt,3
HH10154802,pt,3
HH10154803,pt,3
HH10154901,pt,1
HH10154902,pt,1
HH10154903,pt,1
HH10154904,pt,1
HH10155001,pt,3
