"part_id","hh_id","part_age","part_gender"
10150101,"HH10150101","16-17","M"
10150102,"HH10150102","16-17","M"
10150103,"HH10150103","16-17","M"
10150201,"HH10150201","16-17","F"
10150202,"HH10150202","16-17","F"
10150203,"HH10150203","16-17","F"
10150301,"HH10150301","5-11","F"
10150302,"HH10150302","5-11","F"
10150303,"HH10150303","5-11","F"
10150304,"HH10150304","5-11","F"
10150401,"HH10150401","40-49","M"
10150402,"HH10150402","40-49","M"
10150403,"HH10150403","40-49","M"
10150404,"HH10150404","40-49","M"
10150501,"HH10150501","18-29","M"
10150502,"HH10150502","18-29","M"
10150503,"HH10150503","18-29","M"
10150601,"HH10150601","5-11","F"
10150603,"HH10150603","5-11","F"
10150701,"HH10150701","1-4","F"
10150702,"HH10150702","1-4","F"
10150703,"HH10150703","1-4","F"
10150704,"HH10150704","1-4","F"
10150801,"HH10150801","5-11","F"
10150802,"HH10150802","5-11","F"
10150803,"HH10150803","5-11","F"
10150804,"HH10150804","5-11","F"
10150901,"HH10150901","50-59","F"
10150902,"HH10150902","50-59","F"
10150903,"HH10150903","50-59","F"
10150904,"HH10150904","50-59","F"
10151001,"HH10151001","70-120","M"
10151002,"HH10151002","70-120","M"
10151003,"HH10151003","70-120","M"
10151004,"HH10151004","70-120","M"
10151101,"HH10151101","30-39","M"
10151102,"HH10151102","30-39","M"
10151103,"HH10151103","30-39","M"
10151201,"HH10151201","50-59","M"
10151202,"HH10151202","50-59","M"
10151204,"HH10151204","50-59","M"
10151301,"HH10151301","18-29","M"
10151302,"HH10151302","18-29","M"
10151303,"HH10151303","18-29","M"
10151304,"HH10151304","18-29","M"
10151401,"HH10151401","60-69","M"
10151402,"HH10151402","60-69","M"
10151403,"HH10151403","60-69","M"
10151404,"HH10151404","60-69","M"
10151501,"HH10151501","40-49","F"
10151502,"HH10151502","40-49","F"
10151503,"HH10151503","40-49","F"
10151601,"HH10151601","1-4","F"
10151602,"HH10151602","1-4","F"
10151603,"HH10151603","1-4","F"
10151604,"HH10151604","1-4","F"
10151701,"HH10151701","1-4","M"
10151702,"HH10151702","55-64","M"
10151801,"HH10151801","12-15","M"
10151901,"HH10151901","12-15","F"
10151902,"HH10151902","12-15","F"
10151903,"HH10151903","12-15","F"
10151904,"HH10151904","12-15","F"
10152001,"HH10152001","60-69","M"
10152002,"HH10152002","60-69","M"
10152003,"HH10152003","60-69","M"
10152004,"HH10152004","60-69","M"
10152101,"HH10152101","40-49","F"
10152102,"HH10152102","40-49","F"
10152103,"HH10152103","40-49","F"
10152104,"HH10152104","40-49","F"
10152201,"HH10152201","5-11","M"
10152202,"HH10152202","5-11","M"
10152203,"HH10152203","5-11","M"
10152204,"HH10152204","5-11","M"
10152301,"HH10152301","50-59","F"
10152302,"HH10152302","50-59","F"
10152303,"HH10152303","50-59","F"
10152401,"HH10152401","12-15","F"
10152501,"HH10152501","18-29","F"
10152502,"HH10152502","18-29","F"
10152503,"HH10152503","18-29","F"
10152504,"HH10152504","18-29","F"
10152601,"HH10152601","30-39","F"
10152602,"HH10152602","30-39","F"
10152603,"HH10152603","30-39","F"
10152701,"HH10152701","50-59","F"
10152702,"HH10152702","50-59","F"
10152703,"HH10152703","50-59","F"
10152704,"HH10152704","50-59","F"
10152801,"HH10152801","50-59","F"
10152802,"HH10152802","50-59","F"
10152803,"HH10152803","40-49","F"
10152804,"HH10152804","50-59","F"
10152901,"HH10152901","30-39","F"
10152902,"HH10152902","30-39","F"
10152903,"HH10152903","30-39","F"
10152904,"HH10152904","30-39","F"
10153001,"HH10153001","40-49","F"
10153002,"HH10153002","40-49","F"
10153003,"HH10153003","40-49","F"
10153004,"HH10153004","40-49","F"
10153101,"HH10153101","5-11","M"
10153102,"HH10153102","5-11","M"
10153103,"HH10153103","5-11","M"
10153104,"HH10153104","5-11","M"
10153201,"HH10153201","40-49","M"
10153202,"HH10153202","50-59","M"
10153203,"HH10153203","50-59","M"
10153204,"HH10153204","50-59","M"
10153301,"HH10153301","50-59","F"
10153302,"HH10153302","50-59","F"
10153303,"HH10153303","50-59","F"
10153304,"HH10153304","50-59","F"
10153401,"HH10153401","50-59","F"
10153402,"HH10153402","50-59","F"
10153403,"HH10153403","50-59","F"
10153404,"HH10153404","50-59","F"
10153501,"HH10153501","18-29","F"
10153502,"HH10153502","18-29","F"
10153503,"HH10153503","18-29","F"
10153504,"HH10153504","18-29","F"
10153601,"HH10153601","16-17","M"
10153602,"HH10153602","16-17","M"
10153603,"HH10153603","16-17","M"
10153604,"HH10153604","16-17","M"
10153701,"HH10153701","40-49","M"
10153702,"HH10153702","40-49","M"
10153704,"HH10153704","40-49","M"
10153801,"HH10153801","12-15","F"
10153802,"HH10153802","12-15","F"
10153803,"HH10153803","12-15","F"
10153804,"HH10153804","12-15","F"
10153901,"HH10153901","30-39","F"
10153902,"HH10153902","30-39","F"
10153903,"HH10153903","30-39","F"
10153904,"HH10153904","30-39","F"
10154001,"HH10154001","50-59","M"
10154002,"HH10154002","50-59","M"
10154003,"HH10154003","50-59","M"
10154004,"HH10154004","50-59","M"
10154101,"HH10154101","40-49","M"
10154102,"HH10154102","40-49","M"
10154104,"HH10154104","40-49","M"
10154201,"HH10154201","50-59","F"
10154202,"HH10154202","50-59","F"
10154203,"HH10154203","50-59","F"
10154204,"HH10154204","50-59","F"
10154301,"HH10154301","50-59","F"
10154302,"HH10154302","50-59","F"
10154401,"HH10154401","18-29","F"
10154402,"HH10154402","18-29","F"
10154404,"HH10154404","18-29","F"
10154501,"HH10154501","60-69","M"
10154502,"HH10154502","60-69","M"
10154503,"HH10154503","60-69","M"
10154504,"HH10154504","60-69","M"
10154601,"HH10154601","18-29","F"
10154602,"HH10154602","18-29","F"
10154603,"HH10154603","18-29","F"
10154604,"HH10154604","18-29","F"
10154701,"HH10154701","60-69","F"
10154702,"HH10154702","60-69","F"
10154703,"HH10154703","60-69","F"
10154704,"HH10154704","60-69","F"
10154801,"HH10154801","1-4","F"
10154802,"HH10154802","1-4","F"
10154803,"HH10154803","1-4","F"
10154901,"HH10154901","18-29","M"
10154902,"HH10154902","18-29","M"
10154903,"HH10154903","18-29","M"
10154904,"HH10154904","18-29","M"
10155001,"HH10155001","40-49","M"
10155002,"HH10155002","40-49","M"
10155003,"HH10155003","40-49","M"
10155004,"HH10155004","40-49","M"
10155101,"HH10155101","70-120","M"
10155102,"HH10155102","70-120","M"
10155103,"HH10155103","70-120","M"
10155104,"HH10155104","70-120","M"
10155201,"HH10155201","50-59","M"
10155202,"HH10155202","50-59","M"
10155203,"HH10155203","50-59","M"
10155204,"HH10155204","50-59","M"
10155301,"HH10155301","18-29","F"
10155302,"HH10155302","18-29","F"
10155303,"HH10155303","18-29","F"
10155304,"HH10155304","18-29","F"
10155401,"HH10155401","60-69","F"
10155402,"HH10155402","60-69","F"
10155403,"HH10155403","60-69","F"
10155404,"HH10155404","60-69","F"
10155501,"HH10155501","50-59","M"
10155502,"HH10155502","50-59","M"
10155503,"HH10155503","50-59","M"
10155504,"HH10155504","50-59","M"
10155601,"HH10155601","30-39","F"
10155602,"HH10155602","30-39","F"
10155603,"HH10155603","30-39","F"
10155701,"HH10155701","16-17","F"
10155702,"HH10155702","16-17","F"
10155703,"HH10155703","16-17","F"
10155704,"HH10155704","16-17","F"
10155801,"HH10155801","1-4","M"
10155802,"HH10155802","1-4","M"
10155803,"HH10155803","1-4","M"
10155804,"HH10155804","1-4","M"
10155901,"HH10155901","5-11","M"
10155902,"HH10155902","5-11","M"
10156001,"HH10156001","70-120","M"
10156002,"HH10156002","70-120","M"
10156003,"HH10156003","70-120","M"
10156004,"HH10156004","70-120","M"
10156101,"HH10156101","50-59","F"
10156102,"HH10156102","50-59","F"
10156103,"HH10156103","50-59","F"
10156201,"HH10156201","40-49","F"
10156202,"HH10156202","40-49","F"
10156203,"HH10156203","40-49","F"
10156204,"HH10156204","40-49","F"
10156301,"HH10156301","40-49","M"
10156302,"HH10156302","40-49","M"
10156401,"HH10156401","70-120","M"
10156402,"HH10156402","70-120","M"
10156404,"HH10156404","70-120","M"
10156501,"HH10156501","50-59","M"
10156502,"HH10156502","50-59","M"
10156503,"HH10156503","50-59","M"
10156504,"HH10156504","50-59","M"
10156601,"HH10156601","60-69","M"
10156602,"HH10156602","60-69","M"
10156701,"HH10156701","12-15","F"
10156704,"HH10156704","12-15","F"
10156801,"HH10156801","60-69","M"
10156802,"HH10156802","60-69","M"
10156803,"HH10156803","60-69","M"
10156901,"HH10156901","5-11","M"
10156902,"HH10156902","5-11","M"
10156904,"HH10156904","5-11","M"
10157001,"HH10157001","60-69","M"
10157002,"HH10157002","70-120","M"
10157003,"HH10157003","70-120","M"
10157004,"HH10157004","70-120","M"
10157101,"HH10157101","30-39","M"
10157102,"HH10157102","30-39","M"
10157103,"HH10157103","30-39","M"
10157104,"HH10157104","30-39","M"
10157201,"HH10157201","60-69","M"
10157202,"HH10157202","60-69","M"
10157203,"HH10157203","60-69","M"
10157204,"HH10157204","60-69","M"
10157301,"HH10157301","30-39","M"
10157302,"HH10157302","30-39","M"
10157303,"HH10157303","30-39","M"
10157304,"HH10157304","30-39","M"
10157401,"HH10157401","18-29","F"
10157402,"HH10157402","18-29","F"
10157403,"HH10157403","18-29","F"
10157404,"HH10157404","18-29","F"
10157501,"HH10157501","40-49","M"
10157502,"HH10157502","40-49","M"
10157503,"HH10157503","40-49","M"
10157504,"HH10157504","40-49","M"
10157601,"HH10157601","18-29","M"
10157602,"HH10157602","18-29","M"
10157603,"HH10157603","18-29","M"
10157604,"HH10157604","18-29","M"
10157701,"HH10157701","50-59","F"
10157702,"HH10157702","50-59","F"
10157703,"HH10157703","50-59","F"
10157704,"HH10157704","50-59","F"
10157801,"HH10157801","18-29","M"
10157802,"HH10157802","18-29","M"
10157803,"HH10157803","18-29","M"
10157804,"HH10157804","18-29","M"
10157901,"HH10157901","50-59","F"
10157902,"HH10157902","50-59","F"
10158001,"HH10158001","50-59","M"
10158002,"HH10158002","50-59","M"
10158003,"HH10158003","50-59","M"
10158004,"HH10158004","50-59","M"
10158101,"HH10158101","60-69","M"
10158102,"HH10158102","60-69","M"
10158103,"HH10158103","60-69","M"
10158104,"HH10158104","60-69","M"
10158201,"HH10158201","50-59","F"
