part_id,cont_id,cnt_age_exact,cnt_age_est_min,cnt_age_est_max,cnt_gender,frequency_multi,phys_contact,cnt_home,cnt_work,cnt_school,cnt_transport,cnt_leisure,cnt_otherplace,duration_multi
10739701,107397001,NA,55,64,F,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6
10739701,107397002,NA,20,24,M,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6
10739701,107397003,NA,45,54,M,4,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,5
10739701,107397004,NA,35,44,F,1,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,5
10739801,107398001,NA,45,54,F,2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4
10739801,107398002,NA,55,64,F,1,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4
10739801,107398003,NA,65,69,F,3,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4
10739801,107398004,NA,18,64,NA,NA,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
10739801,107398005,NA,18,64,NA,NA,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
10739801,107398006,NA,65,120,NA,NA,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
10739801,107398007,NA,65,120,NA,NA,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
10739901,107399001,NA,55,64,F,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6
10740001,107400001,NA,25,34,M,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6
10740001,107400002,NA,1,4,F,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6
10740001,107400003,NA,0,1,M,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6
10740001,107400004,NA,45,54,F,3,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3
10740001,107400005,NA,55,64,F,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4
10740001,107400006,NA,25,34,M,1,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3
10740001,107400007,NA,80,84,F,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4
10740001,107400008,NA,25,34,F,2,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5
10740101,107401001,NA,70,74,M,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3
10740201,107402001,NA,45,54,F,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6
10740201,107402002,NA,55,64,M,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6
10740201,107402003,NA,20,24,F,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5
10740401,107404001,NA,35,44,M,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6
10740401,107404002,NA,1,4,F,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6
10740401,107404003,NA,25,34,F,1,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2
10740601,107406001,NA,25,34,M,1,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2
10740601,107406002,NA,35,44,M,2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3
10740601,107406003,NA,45,54,F,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
10740601,107406004,NA,35,44,F,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3
10740701,107407001,NA,45,54,F,3,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5
10740701,107407002,NA,80,84,F,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5
10741001,107410001,NA,55,64,M,1,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,6
10741001,107410002,NA,45,54,M,3,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6
10741101,107411001,NA,12,15,F,3,2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,5
10741101,107411002,NA,12,15,F,3,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,4
10741101,107411003,NA,35,44,F,4,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4
10741201,107412001,NA,20,24,M,1,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6
10741301,107413001,NA,25,34,M,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
10741301,107413002,NA,1,4,M,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3
10741301,107413003,NA,0,1,F,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4
