cont_id,cnt_outside_other,cnt_other_house,cnt_worship,cnt_supermarket,cnt_shop,cnt_gender_all,frequency_multi_all
107397001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
107397002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
107397003,FALSE,FALSE,FALSE,FALSE,FALSE,male,occasional
107397004,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
107398001,FALSE,FALSE,FALSE,FALSE,FALSE,female,3-7 days
107398002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
107398003,FALSE,FALSE,FALSE,FALSE,FALSE,female,2-3 weeks
107398004,NA,NA,NA,NA,NA,NA,NA
107398005,NA,NA,NA,NA,NA,NA,NA
107398006,NA,NA,NA,NA,NA,NA,NA
107398007,NA,NA,NA,NA,NA,NA,NA
107399001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
107400001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
107400002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
107400003,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
107400004,FALSE,FALSE,FALSE,FALSE,FALSE,female,2-3 weeks
107400005,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
107400006,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
107400007,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
107400008,FALSE,FALSE,FALSE,FALSE,FALSE,female,3-7 days
107401001,FALSE,FALSE,FALSE,TRUE,FALSE,male,1-2 days
107402001,TRUE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
107402002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
107402003,TRUE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
107404001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
107404002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
107404003,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
107406001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
107406002,FALSE,FALSE,FALSE,FALSE,FALSE,male,3-7 days
107406003,FALSE,FALSE,FALSE,TRUE,FALSE,female,1-2 days
107406004,FALSE,FALSE,FALSE,FALSE,FALSE,female,3-7 days
107407001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1 month
107407002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
107410001,TRUE,TRUE,FALSE,TRUE,FALSE,male,1-2 days
107410002,FALSE,FALSE,FALSE,FALSE,FALSE,male,2-3 weeks
107411001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1 month
107411002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1 month
107411003,FALSE,FALSE,TRUE,FALSE,FALSE,female,occasional
107412001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
107413001,FALSE,TRUE,FALSE,FALSE,FALSE,male,1-2 days
107413002,FALSE,TRUE,FALSE,FALSE,FALSE,male,1-2 days
107413003,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
107413004,FALSE,FALSE,FALSE,FALSE,FALSE,male,3-7 days
107413005,FALSE,TRUE,FALSE,FALSE,FALSE,male,1-2 days
107413006,FALSE,TRUE,FALSE,FALSE,FALSE,female,1-2 days
107413007,FALSE,TRUE,FALSE,FALSE,FALSE,female,1-2 days
107413008,FALSE,TRUE,FALSE,FALSE,FALSE,male,1-2 days
107413009,FALSE,TRUE,FALSE,FALSE,FALSE,female,1-2 days
107413010,FALSE,TRUE,FALSE,FALSE,FALSE,female,1-2 days
107413011,FALSE,TRUE,FALSE,FALSE,FALSE,female,1-2 days
107415001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
107416001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
107416002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
107416003,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
107417001,FALSE,TRUE,FALSE,FALSE,FALSE,male,3-7 days
107417002,FALSE,FALSE,FALSE,FALSE,FALSE,male,2-3 weeks
107417003,FALSE,FALSE,FALSE,TRUE,FALSE,female,never met
107418001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
107418002,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
107418003,FALSE,FALSE,FALSE,FALSE,FALSE,female,3-7 days
107418004,FALSE,FALSE,FALSE,FALSE,FALSE,female,3-7 days
107418005,FALSE,FALSE,FALSE,FALSE,FALSE,male,3-7 days
107418006,FALSE,FALSE,FALSE,FALSE,FALSE,female,3-7 days
107419001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
107419002,FALSE,FALSE,FALSE,FALSE,FALSE,male,3-7 days
107420001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
107420002,FALSE,FALSE,FALSE,TRUE,FALSE,female,2-3 weeks
107420003,TRUE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
107421001,FALSE,TRUE,FALSE,FALSE,FALSE,female,1-2 days
107421002,FALSE,TRUE,FALSE,FALSE,FALSE,female,1-2 days
107421003,FALSE,TRUE,FALSE,FALSE,FALSE,female,1 month
107422001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
107422002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
107422003,FALSE,TRUE,FALSE,FALSE,FALSE,male,1-2 days
107422004,FALSE,TRUE,FALSE,FALSE,FALSE,female,1-2 days
107422005,FALSE,FALSE,FALSE,FALSE,FALSE,male,occasional
107422006,FALSE,TRUE,FALSE,FALSE,FALSE,male,3-7 days
107422007,FALSE,FALSE,FALSE,FALSE,FALSE,male,never met
107422008,NA,NA,NA,NA,NA,NA,NA
107422009,NA,NA,NA,NA,NA,NA,NA
107423001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
107423002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
107423003,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
107423004,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
107423005,FALSE,FALSE,FALSE,FALSE,FALSE,male,1 month
107425001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
107425002,FALSE,FALSE,FALSE,TRUE,FALSE,female,1-2 days
107425003,FALSE,FALSE,FALSE,FALSE,FALSE,male,never met
107425004,FALSE,FALSE,FALSE,FALSE,FALSE,male,occasional
107426001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
107426002,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
107426003,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
107426004,TRUE,FALSE,FALSE,FALSE,FALSE,female,3-7 days
107426005,FALSE,FALSE,FALSE,FALSE,TRUE,male,1 month
