hh_id,country,hh_size
HH10739701,si,4
HH10739702,si,4
HH10739705,si,4
HH10739706,si,4
HH10739707,si,4
HH10739801,si,2
HH10739804,si,2
HH10739805,si,2
HH10739806,si,2
HH10739807,si,2
HH10739901,si,2
HH10739902,si,2
HH10739904,si,2
HH10739905,si,2
HH10739906,si,2
HH10739907,si,2
HH10740001,si,4
HH10740007,si,4
HH10740101,si,2
HH10740102,si,2
HH10740104,si,2
HH10740105,si,2
HH10740106,si,2
HH10740107,si,2
HH10740108,si,2
HH10740201,si,3
HH10740301,si,1
HH10740302,si,1
HH10740305,si,1
HH10740306,si,1
HH10740307,si,1
HH10740308,si,1
HH10740401,si,3
HH10740402,si,3
HH10740404,si,3
HH10740405,si,3
HH10740406,si,3
HH10740407,si,3
HH10740408,si,3
HH10740501,si,1
HH10740502,si,1
HH10740504,si,1
HH10740505,si,1
HH10740506,si,1
HH10740508,si,1
HH10740601,si,1
HH10740602,si,1
HH10740604,si,1
HH10740605,si,1
HH10740606,si,1
HH10740607,si,1
HH10740608,si,1
HH10740701,si,1
HH10740702,si,1
HH10740704,si,1
HH10740705,si,1
HH10740706,si,1
HH10740707,si,1
HH10740708,si,1
HH10740801,si,1
HH10740804,si,1
HH10740805,si,1
HH10740807,si,1
HH10740808,si,1
HH10740901,si,1
HH10740902,si,1
HH10740905,si,1
HH10740907,si,1
HH10740908,si,1
HH10741001,si,2
HH10741002,si,2
HH10741004,si,2
HH10741005,si,2
HH10741006,si,2
HH10741007,si,2
HH10741008,si,2
HH10741101,si,5
HH10741104,si,5
HH10741105,si,5
HH10741201,si,2
HH10741202,si,2
HH10741204,si,2
HH10741205,si,2
HH10741206,si,2
HH10741207,si,2
HH10741208,si,2
HH10741301,si,5
HH10741304,si,5
HH10741305,si,5
HH10741306,si,5
HH10741401,si,1
HH10741402,si,1
HH10741404,si,1
HH10741405,si,1
HH10741406,si,1
HH10741407,si,1
HH10741408,si,1
HH10741501,si,2
HH10741502,si,2
HH10741504,si,2
HH10741505,si,2
HH10741506,si,2
HH10741507,si,2
HH10741508,si,2
HH10741601,si,4
HH10741602,si,4
HH10741604,si,4
HH10741605,si,4
HH10741606,si,4
HH10741607,si,4
HH10741608,si,4
HH10741701,si,1
HH10741702,si,1
HH10741705,si,1
HH10741708,si,1
HH10741801,si,3
HH10741802,si,3
HH10741901,si,2
HH10741905,si,2
HH10741907,si,2
HH10742001,si,2
HH10742002,si,2
HH10742004,si,2
HH10742005,si,2
HH10742006,si,2
HH10742007,si,2
HH10742101,si,2
HH10742102,si,2
HH10742104,si,2
HH10742105,si,2
HH10742106,si,2
HH10742108,si,2
HH10742201,si,3
HH10742202,si,3
HH10742204,si,3
HH10742205,si,3
HH10742206,si,3
HH10742207,si,3
HH10742208,si,3
HH10742301,si,3
HH10742302,si,3
HH10742304,si,3
HH10742305,si,3
HH10742306,si,3
HH10742308,si,3
HH10742401,si,1
HH10742402,si,1
HH10742405,si,1
HH10742406,si,1
HH10742407,si,1
HH10742408,si,1
HH10742501,si,2
HH10742502,si,2
HH10742504,si,2
HH10742505,si,2
HH10742506,si,2
HH10742507,si,2
HH10742508,si,2
HH10742601,si,4
HH10742602,si,4
HH10742604,si,4
HH10742605,si,4
HH10742606,si,4
HH10742608,si,4
HH10742701,si,2
HH10742702,si,2
HH10742704,si,2
HH10742705,si,2
HH10742706,si,2
HH10742708,si,2
HH10742801,si,2
HH10742802,si,2
HH10742804,si,2
HH10742901,si,3
HH10742902,si,3
HH10742904,si,3
HH10742905,si,3
HH10742906,si,2
HH10742907,si,2
HH10742908,si,2
HH10743001,si,3
HH10743002,si,3
HH10743004,si,3
HH10743005,si,3
HH10743007,si,3
HH10743008,si,3
HH10743101,si,4
HH10743102,si,4
HH10743104,si,4
HH10743105,si,4
HH10743106,si,4
HH10743107,si,4
HH10743201,si,2
HH10743202,si,2
HH10743204,si,2
HH10743301,si,2
HH10743302,si,2
HH10743304,si,2
HH10743305,si,2
HH10743306,si,2
HH10743307,si,2
HH10743308,si,2
HH10743401,si,2
HH10743402,si,2
HH10743404,si,2
HH10743405,si,2
HH10743501,si,2
HH10743502,si,2
HH10743504,si,2
HH10743505,si,2
HH10743506,si,2
HH10743507,si,2
HH10743508,si,2
HH10743601,si,2
HH10743602,si,2
HH10743604,si,2
HH10743605,si,2
HH10743606,si,2
HH10743607,si,2
HH10743608,si,2
HH10743701,si,1
HH10743801,si,2
HH10743802,si,2
HH10743804,si,2
HH10743805,si,2
HH10743806,si,2
HH10743807,si,2
HH10743808,si,2
HH10743901,si,1
HH10743902,si,1
HH10743904,si,1
HH10743905,si,1
HH10743906,si,1
HH10743907,si,1
HH10743908,si,1
HH10744001,si,2
HH10744002,si,2
HH10744005,si,2
HH10744006,si,2
HH10744007,si,2
HH10744008,si,2
HH10744101,si,1
HH10744102,si,1
HH10744201,si,3
HH10744301,si,2
HH10744302,si,2
HH10744304,si,2
HH10744307,si,2
HH10744401,si,2
HH10744402,si,2
HH10744404,si,2
HH10744406,si,2
HH10744408,si,2
HH10744501,si,3
HH10744502,si,3
HH10744504,si,3
HH10744505,si,3
HH10744506,si,3
HH10744601,si,3
HH10744602,si,3
HH10744604,si,3
HH10744605,si,3
HH10744606,si,3
HH10744607,si,3
HH10744608,si,3
HH10744701,si,1
HH10744705,si,1
HH10744801,si,2
HH10744802,si,2
HH10744804,si,2
HH10744805,si,2
HH10744806,si,2
HH10744807,si,2
HH10744808,si,2
HH10744901,si,3
HH10744908,si,2
HH10745001,si,1
HH10745002,si,1
HH10745004,si,1
HH10745005,si,1
HH10745006,si,1
HH10745007,si,1
HH10745008,si,1
HH10745101,si,1
HH10745102,si,1
HH10745104,si,1
HH10745201,si,2
HH10745202,si,2
HH10745204,si,2
HH10745207,si,2
HH10745301,si,1
HH10745302,si,1
HH10745304,si,1
HH10745306,si,1
HH10745401,si,1
HH10745402,si,1
HH10745404,si,1
HH10745405,si,1
HH10745406,si,1
HH10745501,si,3
HH10745502,si,3
HH10745504,si,3
HH10745505,si,3
HH10745506,si,3
HH10745508,si,3
HH10745601,si,2
HH10745602,si,2
HH10745604,si,2
HH10745605,si,2
HH10745607,si,2
HH10745608,si,2
HH10745701,si,3
HH10745705,si,3
HH10745706,si,3
HH10745801,si,1
HH10745802,si,1
HH10745804,si,1
HH10745805,si,1
HH10745806,si,1
HH10745807,si,1
HH10745808,si,1
HH10745901,si,4
HH10745902,si,4
HH10745904,si,4
HH10745905,si,4
HH10745907,si,4
HH10746001,si,2
HH10746002,si,2
HH10746004,si,2
HH10746005,si,2
HH10746101,si,3
HH10746102,si,3
HH10746104,si,3
HH10746105,si,3
HH10746106,si,3
HH10746107,si,3
HH10746201,si,2
HH10746202,si,2
HH10746204,si,2
HH10746205,si,2
HH10746206,si,2
HH10746301,si,3
HH10746302,si,3
HH10746304,si,3
HH10746401,si,5
HH10746404,si,5
HH10746501,si,1
HH10746502,si,3
HH10746504,si,3
HH10746505,si,3
HH10746506,si,3
HH10746507,si,3
HH10746508,si,3
HH10746601,si,1
HH10746602,si,1
HH10746604,si,1
HH10746605,si,1
HH10746608,si,1
HH10746701,si,2
HH10746702,si,2
HH10746705,si,3
HH10746707,si,3
HH10746801,si,6
HH10746802,si,6
HH10746805,si,6
HH10746807,si,6
HH10746808,si,6
HH10746901,si,3
HH10746902,si,3
HH10746904,si,3
HH10746905,si,3
HH10746906,si,3
HH10746907,si,3
HH10747001,si,2
HH10747002,si,2
HH10747004,si,2
HH10747005,si,2
HH10747006,si,2
HH10747007,si,2
HH10747101,si,2
HH10747102,si,2
HH10747104,si,2
HH10747105,si,2
HH10747106,si,2
HH10747107,si,2
HH10747108,si,2
HH10747201,si,1
HH10747202,si,1
HH10747204,si,1
HH10747206,si,1
HH10747207,si,1
HH10747208,si,1
HH10747301,si,3
HH10747302,si,3
HH10747304,si,3
HH10747305,si,3
HH10747306,si,3
HH10747401,si,2
HH10747402,si,2
HH10747407,si,2
HH10747501,si,2
HH10747502,si,2
HH10747504,si,2
HH10747505,si,2
HH10747506,si,2
HH10747508,si,2
HH10747601,si,2
HH10747602,si,2
HH10747607,si,2
HH10747701,si,4
HH10747702,si,4
HH10747706,si,4
HH10747707,si,4
HH10747708,si,4
HH10747801,si,2
HH10747802,si,2
HH10747804,si,2
HH10747901,si,2
HH10747902,si,2
HH10747904,si,2
HH10747905,si,2
HH10747906,si,2
HH10748001,si,3
HH10748002,si,3
HH10748004,si,3
HH10748005,si,3
HH10748007,si,3
HH10748008,si,3
HH10748101,si,2
HH10748102,si,2
HH10748104,si,2
HH10748105,si,2
HH10748106,si,2
HH10748107,si,2
HH10748108,si,2
HH10748201,si,3
HH10748202,si,3
HH10748204,si,3
HH10748205,si,3
HH10748206,si,3
HH10748207,si,3
HH10748208,si,3
HH10748301,si,2
HH10748302,si,2
HH10748304,si,2
HH10748305,si,2
HH10748306,si,2
HH10748307,si,2
HH10748308,si,2
HH10748401,si,3
HH10748402,si,3
HH10748404,si,3
HH10748405,si,3
HH10748406,si,3
HH10748407,si,3
HH10748501,si,2
HH10748601,si,1
HH10748602,si,1
HH10748604,si,1
HH10748605,si,1
HH10748606,si,1
HH10748608,si,1
HH10748701,si,2
HH10748702,si,2
HH10748704,si,2
HH10748705,si,2
HH10748801,si,2
HH10748804,si,1
HH10748808,si,2
HH10748901,si,4
HH10748902,si,4
HH10748904,si,4
HH10748905,si,4
HH10748906,si,4
HH10748907,si,4
HH10748908,si,4
HH10749001,si,3
HH10749002,si,3
HH10749004,si,3
HH10749005,si,3
HH10749006,si,3
HH10749007,si,3
HH10749008,si,3
HH10749101,si,1
HH10749102,si,1
HH10749104,si,1
HH10749105,si,1
HH10749106,si,1
HH10749107,si,1
HH10749201,si,2
HH10749204,si,2
HH10749206,si,2
HH10749208,si,2
HH10749301,si,2
HH10749302,si,2
HH10749401,si,3
HH10749402,si,3
HH10749405,si,3
HH10749408,si,3
HH10749501,si,5
HH10749502,si,5
HH10749601,si,2
HH10749602,si,2
HH10749604,si,2
HH10749605,si,2
HH10749606,si,2
HH10749607,si,2
HH10749608,si,2
HH10749701,si,4
HH10749702,si,4
HH10749704,si,4
HH10749705,si,4
HH10749706,si,4
HH10749707,si,4
HH10749708,si,4
HH10749801,si,5
HH10749802,si,5
HH10749805,si,5
HH10749806,si,5
HH10749807,si,5
HH10749808,si,5
HH10749901,si,2
HH10749902,si,2
HH10749904,si,2
HH10749905,si,2
HH10749906,si,2
HH10749907,si,2
HH10749908,si,2
HH10750001,si,2
HH10750004,si,2
HH10750005,si,2
HH10750007,si,2
HH10750008,si,2
HH10750101,si,5
HH10750102,si,5
HH10750105,si,5
HH10750106,si,5
HH10750107,si,5
HH10750201,si,2
HH10750205,si,2
HH10750207,si,2
HH10750208,si,2
HH10750301,si,4
HH10750302,si,4
HH10750305,si,4
HH10750308,si,4
HH10750401,si,2
HH10750402,si,2
HH10750405,si,2
HH10750501,si,6
HH10750502,si,6
HH10750504,si,6
HH10750505,si,6
HH10750506,si,6
HH10750507,si,6
HH10750508,si,6
